cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.4,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,100.1,37.76,819.4,165.2,3.301,3.676,30.56,4.15,0.0,45.19,6.761,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83360.0,89570.0,47800.0,2.238E7,45530.0,21460.0,24230.0,13490.0,24780.0,0.0,4.68E-36,2.436E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006469,0.2456,0.01391,0.001641,6.991E-4,0.005386,9.757E-4,
0.0,1607.0,164.8,179.5,154.5,0.04893,4.59,0.2235,0.1636,0.9837,0.4031,0.0,343.6,0.1288,0.6497,0.599,0.08227,0.1937,0.05914,0.0811,4.733,11.05,0.0,343.6,0.1288,0.6497,0.599,0.08227,0.1937,0.05914,0.0811,4.733,11.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.8,106.5,36.8,770.9,167.7,3.231,3.547,30.6,4.075,0.0,48.04,2.635,11.33,52.81,42.46,9.093,0.01335,0.01526,0.01178,0.01377,0.0,0.0,4797000.0,3101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.957E-4,0.0,398.3,75980.0,84010.0,43030.0,2.147E7,49910.0,20140.0,22750.0,13100.0,23500.0,0.0,4.71E-36,2.2870000000000003E-36,1.382E-35,1.632E-35,2.334E-36,5.6059999999999995E-37,1.136E-38,7.733E-39,4.813E-38,2.182E-38,2.08E-35,0.0,0.6935,1.171,2.988,1.545,0.2377,0.04757,0.003695,0.002608,0.01635,0.009705,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.482E-4,0.009343,0.01031,0.006289,0.2444,0.01394,0.00164,6.883E-4,0.005392,9.703E-4,
0.0,1610.0,166.9,176.6,152.2,0.204,7.968,0.2285,0.1711,1.043,1.312,0.0,343.6,0.1372,0.7305,0.6054,0.07982,0.1971,0.05935,0.082,4.069,11.61,0.0,343.6,0.1372,0.7305,0.6054,0.07982,0.1971,0.05935,0.082,4.069,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,114.3,32.78,731.9,169.6,2.214,2.499,28.05,2.818,0.0,48.04,0.8843,7.862,65.13,36.71,1.497,0.01658,0.01878,0.02398,0.08702,0.0,0.0,4797000.0,3101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.827E-4,0.0,475.7,72050.0,78240.0,40120.0,2.099E7,54670.0,19610.0,22180.0,12980.0,23690.0,0.0,4.723E-36,2.388E-36,1.349E-35,1.6280000000000001E-35,2.1900000000000002E-36,7.308E-37,1.147E-38,8.049999999999999E-39,5.029E-38,6.659E-38,2.08E-35,0.0,0.7144,1.184,2.921,1.534,0.225,0.05665,0.003741,0.002685,0.01802,0.0367,0.0,0.0,2.526E-4,1.099E-4,8.249E-4,0.9961,0.001035,4.144E-4,5.437E-4,6.303E-5,6.604E-4,0.0,1.489E-4,0.009333,0.01023,0.006225,0.2422,0.01401,0.001632,6.91E-4,0.005337,0.001024,
0.0,1597.0,184.6,171.7,135.6,0.05474,6.032,0.2232,0.1666,1.021,0.4711,0.0,343.6,0.1263,0.6715,0.6031,0.07044,0.1626,0.05904,0.08201,4.03,11.74,0.0,343.6,0.1263,0.6715,0.6031,0.07044,0.1626,0.05904,0.08201,4.03,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.7,126.1,30.78,701.2,182.0,2.197,2.539,27.68,2.916,0.0,47.73,0.7575,9.492,79.21,36.74,0.5037,0.01404,0.01603,0.01587,0.01687,0.0,0.0,4783000.0,15990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.589E-4,0.0,706.6,71500.0,74290.0,40210.0,2.075E7,53840.0,19330.0,21860.0,12950.0,23360.0,0.0,4.068E-36,2.353E-36,1.355E-35,1.598E-35,2.0680000000000003E-36,4.869E-37,1.074E-38,7.396E-39,4.629E-38,2.265E-38,2.08E-35,0.0,0.6017,1.338,2.863,1.537,0.2159,0.0363,0.003678,0.002636,0.01666,0.01046,0.0,0.0,2.526E-4,1.099E-4,8.249E-4,0.9961,0.001035,4.144E-4,5.437E-4,6.303E-5,6.604E-4,0.0,3.424E-4,0.009255,0.01021,0.006065,0.2407,0.01411,0.001612,6.637E-4,0.005378,0.001016,
0.0,1602.0,157.3,191.8,133.7,0.06362,6.197,0.2252,0.1626,1.037,0.4743,0.0,343.6,0.1252,0.6674,0.5708,0.07383,0.1755,0.05953,0.0834,4.378,11.39,0.0,343.6,0.1252,0.6674,0.5708,0.07383,0.1755,0.05953,0.0834,4.378,11.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.1,127.9,31.18,698.9,178.0,2.405,2.702,28.76,3.203,0.0,47.73,0.7018,10.64,72.59,36.26,3.775,0.1765,0.01577,0.01469,0.01527,2.014E-14,0.0,4783000.0,14430.0,257.0,125.6,0.0,0.0,0.0,0.0,0.0,0.0,2.071E-16,0.0,0.0,4.833E-16,1.395E-13,5.235E-17,6.453E-18,4.347E-17,9.142E-19,2.472E-18,4.713E-16,1.731E-18,0.0,0.0,1.639E-24,2.298E-19,5.437999999999999E-22,1.5280000000000002E-26,1.076E-22,7.077E-27,7.457E-27,1.734E-26,7.681E-27,1.055E-4,0.0,881.9,72250.0,76450.0,40310.0,2.085E7,54290.0,20250.0,22080.0,12980.0,23460.0,0.0,4.4320000000000005E-36,2.244E-36,1.351E-35,1.515E-35,2.172E-36,8.119E-37,1.617E-38,7.420999999999999E-39,4.6099999999999997E-38,2.276E-38,2.08E-35,0.0,0.6644,1.165,2.965,1.464,0.2313,0.05773,0.004615,0.002612,0.01682,0.01047,0.0,0.0,2.534E-4,1.102E-4,8.276E-4,0.9961,0.001038,4.158E-4,5.455E-4,6.324E-5,6.626E-4,0.0,5.353E-4,0.009255,0.01017,0.005964,0.2366,0.01397,0.001617,6.586E-4,0.005381,0.001008,
0.0,1603.0,156.8,178.4,145.4,0.0713,6.07,0.2312,0.173,1.037,0.4832,0.0,343.6,0.119,0.6782,0.5929,0.06242,0.1604,0.06068,0.07674,3.863,11.9,0.0,343.6,0.119,0.6782,0.5929,0.06242,0.1604,0.06068,0.07674,3.863,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.5,115.2,29.22,704.5,169.3,3.079,3.505,29.71,4.023,0.0,47.73,0.7785,6.282,78.3,33.27,0.9619,0.8111,0.01471,0.01435,0.01362,5.645E-14,0.0,4783000.0,13280.0,328.4,110.2,0.0,0.0,0.0,0.0,0.0,0.0,1.822E-15,0.0,0.0,8.673E-15,3.711E-12,2.069E-15,9.686E-16,8.97E-16,4.644E-17,7.351E-17,9.703E-15,4.634E-14,0.0,0.0,1.28E-22,1.262E-17,8.561E-20,2.082E-24,8.464E-22,8.913E-25,9.12E-25,2.177E-24,1.2009999999999999E-24,7.193E-4,0.0,1088.0,102100.0,105700.0,43460.0,2.004E7,46510.0,18530.0,19790.0,12800.0,20440.0,0.0,4.4510000000000005E-36,1.806E-36,1.393E-35,1.548E-35,1.943E-36,5.413E-37,2.075E-38,7.82E-39,4.575E-38,2.315E-38,2.08E-35,0.0,0.6762,1.165,2.916,1.513,0.2067,0.03959,0.005405,0.00268,0.01667,0.01054,0.0,0.0,0.001272,8.864E-4,7.399E-4,0.9951,7.758E-4,3.106E-4,4.075E-4,4.725E-5,4.95E-4,0.0,6.952E-4,0.006912,0.007771,0.00484,0.2416,0.01359,0.001604,6.376E-4,0.005399,9.906E-4,
0.0,1606.0,148.8,189.4,139.3,0.07297,6.201,0.2328,0.1739,1.039,0.4843,0.0,343.6,0.1128,0.6917,0.5685,0.06198,0.1613,0.06817,0.08432,3.692,12.05,0.0,343.6,0.1128,0.6917,0.5685,0.06198,0.1613,0.06817,0.08432,3.692,12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,117.7,29.63,690.8,168.6,3.068,3.496,29.78,4.033,0.0,47.73,1.108,18.17,62.18,33.09,0.8238,0.8108,0.01436,0.01341,0.01312,9.264E-14,0.0,4783000.0,12850.0,322.3,104.9,0.0,0.0,0.0,0.0,0.0,0.0,4.754E-15,0.0,3.423E-16,4.196E-14,1.392E-11,7.886E-15,3.129E-15,5.328E-15,1.538E-15,2.749E-15,4.724E-14,3.263E-13,0.0,8.233E-24,1.705E-21,5.806E-17,5.338E-19,2.3159999999999998E-23,6.6E-21,9.875999999999999E-24,9.672999999999999E-24,2.3359999999999999E-23,1.322E-23,4.959E-4,0.0,1307.0,102600.0,98620.0,47430.0,1.953E7,44880.0,18990.0,20350.0,12840.0,20860.0,0.0,4.5660000000000004E-36,1.658E-36,1.39E-35,1.513E-35,1.935E-36,5.392E-37,2.075E-38,7.831999999999999E-39,4.539E-38,2.315E-38,2.08E-35,0.0,0.7114,1.091,2.942,1.475,0.2059,0.03955,0.005409,0.002684,0.01667,0.01055,0.0,0.0,0.001328,9.256E-4,7.726E-4,0.9948,8.101E-4,3.244E-4,4.256E-4,4.934E-5,5.169E-4,0.0,8.04E-4,0.006915,0.007768,0.004771,0.239,0.01349,0.001613,6.396E-4,0.005397,9.977E-4,
0.0,1607.0,163.8,161.7,121.1,0.07329,6.176,0.2333,0.1739,1.039,3.33,0.0,343.6,0.145,0.7151,0.5798,0.06121,0.1586,0.06776,0.08192,3.691,11.99,0.0,343.6,0.145,0.7151,0.5798,0.06121,0.1586,0.06776,0.08192,3.691,11.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.9,118.0,29.46,674.9,168.6,3.037,3.463,29.78,4.01,0.0,47.73,1.08,6.822,96.61,32.86,0.7766,0.8107,0.01422,0.01297,0.02303,1.282E-13,0.0,4783000.0,12200.0,307.6,99.3,0.0,0.0,0.0,0.0,0.0,0.0,7.958E-15,0.0,6.648E-16,2.398E-11,1.961E-12,1.746E-13,7.725E-15,1.637E-14,5.769E-15,9.446E-15,1.457E-13,8.836E-13,0.0,1.384E-23,1.07E-16,3.66E-18,1.052E-18,9.375999999999999E-23,2.504E-20,4.059E-23,4.0409999999999996E-23,1.072E-22,7.353999999999999E-22,1.0E-4,0.0,1472.0,102500.0,99040.0,46510.0,1.892E7,43180.0,18380.0,19700.0,12720.0,20400.0,0.0,4.6700000000000005E-36,1.9610000000000002E-36,1.356E-35,1.489E-35,1.9260000000000002E-36,5.364E-37,2.063E-38,7.806E-39,4.503E-38,4.424E-38,2.08E-35,0.0,0.7275,1.235,2.747,1.458,0.205,0.03942,0.00541,0.002683,0.01667,0.03825,0.0,0.0,0.001399,9.752E-4,8.14E-4,0.9946,8.535E-4,3.417E-4,4.484E-4,5.198E-5,5.446E-4,0.0,9.867E-4,0.006942,0.00772,0.004774,0.235,0.01329,0.001618,6.411E-4,0.005403,0.001004,
0.0,1608.0,154.8,160.2,126.2,0.07332,6.093,0.2423,0.2055,1.053,0.504,0.0,343.6,0.1647,0.6725,0.5743,0.06063,0.1557,0.06708,0.08167,3.69,12.02,0.0,343.6,0.1647,0.6725,0.5743,0.06063,0.1557,0.06708,0.08167,3.69,12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.4,119.3,29.69,658.0,168.6,3.018,3.446,29.75,3.999,0.0,47.74,1.124,6.798,96.12,32.72,0.6446,0.8113,0.01626,0.01387,0.01408,1.449E-13,0.0,4783000.0,10810.0,263.3,89.5,0.0,0.0,0.0,0.0,0.0,0.0,1.007E-14,0.0,9.61E-16,2.454E-11,2.125E-12,2.564E-13,1.475E-14,3.324E-14,1.201E-14,2.232E-14,2.865E-13,1.767E-12,0.0,1.384E-23,8.351E-17,4.425E-18,1.676E-18,2.34E-22,6.284E-20,1.0239999999999999E-22,1.0369999999999999E-22,3.0609999999999995E-22,1.9879999999999998E-22,1.015E-4,0.0,1594.0,104100.0,99950.0,46030.0,1.848E7,42480.0,18100.0,19440.0,12670.0,20300.0,0.0,4.671E-36,2.057E-36,1.345E-35,1.478E-35,1.9230000000000002E-36,5.3179999999999995E-37,2.053E-38,7.796E-39,4.4659999999999997E-38,2.309E-38,2.08E-35,0.0,0.7301,1.175,2.748,1.489,0.2046,0.03916,0.00541,0.002686,0.01666,0.01056,0.0,0.0,0.001496,0.001043,8.703E-4,0.9942,9.125E-4,3.654E-4,4.794E-4,5.558E-5,5.823E-4,0.0,0.001126,0.006952,0.00775,0.004742,0.2318,0.01314,0.001622,6.492E-4,0.005406,0.001008,
0.0,1608.0,147.4,160.9,127.8,0.07348,6.177,0.2433,0.2075,1.054,0.5052,0.0,343.6,0.1584,0.6886,0.5617,0.05991,0.1536,0.06719,0.08179,3.357,12.35,0.0,343.6,0.1584,0.6886,0.5617,0.05991,0.1536,0.06719,0.08179,3.357,12.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.7,118.5,33.13,651.0,168.6,3.014,3.445,29.73,4.0,0.0,47.74,1.894,7.201,92.97,32.43,0.5168,0.8106,0.01419,0.01293,0.01287,1.696E-13,0.0,4783000.0,9736.0,284.5,86.45,0.0,0.0,0.0,0.0,0.0,0.0,1.255E-14,0.0,3.113E-15,2.174E-11,2.113E-12,2.746E-13,2.617E-14,7.06E-14,2.797E-14,4.576E-14,9.115E-13,3.838E-12,0.0,1.388E-23,6.946E-17,4.079E-18,2.888E-18,4.898E-22,1.256E-19,2.3649999999999997E-22,3.1379999999999997E-22,6.704999999999999E-22,6.372999999999999E-22,4.958E-4,0.0,1723.0,101600.0,96290.0,42950.0,1.8E7,42370.0,18080.0,19450.0,12540.0,20410.0,0.0,4.706E-36,1.906E-36,1.3500000000000001E-35,1.472E-35,1.908E-36,5.2969999999999995E-37,2.032E-38,7.779999999999999E-39,4.423E-38,2.3049999999999999E-38,2.08E-35,0.0,0.7344,1.126,2.761,1.472,0.203,0.03909,0.005409,0.002687,0.01665,0.01056,0.0,0.0,0.001592,0.00111,9.267E-4,0.9938,9.716E-4,3.89E-4,5.104E-4,5.917E-5,6.2E-4,0.0,0.001247,0.006953,0.007681,0.004763,0.2283,0.01304,0.001607,6.467E-4,0.005405,0.001008,
