R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.4E-5,0.031,0.031,0.0,490.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.8E-5,0.031,0.031,0.0,430.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.9E-5,0.031,0.031,0.0,400.0,8.6,0.0,0.0,0.0,1.8E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,4.0E-5,0.031,0.031,0.0,380.0,8.6,0.0,0.0,0.0,1.8E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,3.8E-5,0.031,0.031,0.0,360.0,8.5,0.0,0.0,0.0,1.8E7,1.0,6.9E8,
2.0E-37,0.015,6400.0,4400.0,3700.0,5000000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.2,5000000.0,4.6E-5,0.039,0.039,0.0,430.0,8.9,0.0,8.3E-16,9.9E-27,1.8E7,1.0,7.1E8,
1.9E-37,0.014,6300.0,4400.0,3700.0,4700000.0,3900.0,1500.0,2000.0,240.0,2500.0,0.19,4800000.0,4.9E-5,0.038,0.038,0.0,420.0,8.6,0.0,2.4E-15,6.4E-26,1.7E7,1.0,7.1E8,
1.9E-37,0.014,6200.0,4300.0,3600.0,4400000.0,3800.0,1500.0,2000.0,230.0,2400.0,0.19,4500000.0,5.1E-5,0.036,0.036,0.0,410.0,8.2,0.0,4.9E-15,1.5E-25,1.7E7,1.0,7.1E8,
1.8E-37,0.013,6100.0,4300.0,3600.0,4099999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.19,4099999.9999999995,5.3E-5,0.034,0.034,0.0,390.0,7.8,0.0,8.3E-15,3.0E-25,1.6E7,1.0,7.0E8,
1.8E-37,0.013,6100.0,4200.0,3500.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,5.4E-5,0.033,0.033,0.0,370.0,7.5,0.0,1.4E-14,6.0E-25,1.6E7,1.0,7.0E8,
1.7E-37,0.013,6100.0,4200.0,3500.0,3799999.9999999995,3700.0,1500.0,1900.0,230.0,2400.0,0.18,3799999.9999999995,5.5E-5,0.032,0.032,0.0,350.0,7.4,0.0,2.2E-14,1.0999999999999998E-24,1.5E7,1.0,7.0E8,
1.7E-37,0.013,6100.0,4200.0,3500.0,3799999.9999999995,3700.0,1500.0,1900.0,230.0,2400.0,0.18,3799999.9999999995,5.2E-5,0.032,0.032,0.0,350.0,7.4,0.0,3.8E-14,2.0E-24,1.6E7,1.0,7.0E8,
1.7E-37,0.013,6100.0,4200.0,3500.0,3799999.9999999995,3700.0,1500.0,1900.0,230.0,2400.0,0.18,3799999.9999999995,4.4E-5,0.032,0.032,0.0,350.0,7.4,0.0,6.0E-14,2.9999999999999996E-24,1.7E7,1.0,7.0E8,
1.7E-37,0.013,6100.0,4200.0,3500.0,3799999.9999999995,3700.0,1500.0,1900.0,230.0,2400.0,0.18,3799999.9999999995,3.7E-5,0.032,0.032,0.0,350.0,7.4,0.0,8.8E-14,3.9E-24,1.8E7,1.0,7.0E8,
1.7E-37,0.013,6100.0,4200.0,3500.0,3799999.9999999995,3700.0,1500.0,1900.0,230.0,2400.0,0.18,3799999.9999999995,3.0E-5,0.032,0.032,0.0,350.0,7.4,0.0,1.2E-13,4.7E-24,1.9E7,1.0,7.0E8,
1.7E-37,0.013,6100.0,4200.0,3500.0,3799999.9999999995,3700.0,1500.0,1900.0,230.0,2400.0,0.18,3799999.9999999995,2.4E-5,0.032,0.032,0.0,350.0,7.4,0.0,1.6E-13,5.199999999999999E-24,2.1E7,1.0,7.0E8,
