entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.099,0.1683,0.09788,0.05137,0.02968,0.1565,0.08513,0.02249,0.007867,0.1033,0.02925,0.2079,0.2087,
2.1,0.1669,0.09739,0.05098,0.02962,0.1548,0.0852,0.02258,0.007899,0.1037,0.03036,0.2089,0.2086,
2.1,0.1848,0.09635,0.05085,0.02966,0.1545,0.08538,0.02263,0.007914,0.1039,0.03042,0.2093,0.2091,
2.107,0.1569,0.1006,0.05017,0.02967,0.1542,0.08512,0.02268,0.007931,0.1042,0.03293,0.2084,0.2041,
2.107,0.1689,0.0993,0.05025,0.02981,0.152,0.08495,0.02279,0.007967,0.1047,0.03309,0.2094,0.2057,
2.104,0.1599,0.09787,0.05038,0.02929,0.1506,0.08416,0.02287,0.007993,0.105,0.0332,0.2101,0.2085,
2.103,0.1607,0.09553,0.04991,0.02939,0.1496,0.0842,0.02297,0.008028,0.1055,0.03335,0.2111,0.2104,
2.101,0.1607,0.09486,0.05005,0.02947,0.148,0.08268,0.02304,0.008019,0.1058,0.03345,0.2117,0.2129,
2.098,0.1598,0.09358,0.05008,0.02913,0.1465,0.08162,0.02309,0.008035,0.1061,0.03352,0.2132,0.2151,
2.097,0.1564,0.09234,0.05017,0.02923,0.1448,0.0805,0.02318,0.008066,0.1065,0.03366,0.2141,0.2175,
2.096,0.1656,0.0917,0.05014,0.02923,0.1439,0.08055,0.0232,0.008071,0.1066,0.03368,0.2153,0.2176,
2.1,0.1584,0.09322,0.05015,0.02924,0.1438,0.07977,0.0232,0.008073,0.1066,0.03587,0.2132,0.2169,
2.1,0.1803,0.09272,0.05011,0.02925,0.1438,0.07943,0.02321,0.008076,0.1066,0.03588,0.2133,0.2176,
2.098,0.1563,0.09238,0.04984,0.02926,0.1437,0.07866,0.02322,0.008081,0.1067,0.0359,0.2134,0.2188,
2.096,0.1557,0.09203,0.04928,0.02918,0.1433,0.07846,0.02316,0.00806,0.1064,0.03581,0.2161,0.2183,
2.106,0.1489,0.09896,0.04912,0.02919,0.1431,0.07743,0.02313,0.008065,0.1065,0.03915,0.2129,0.2125,
2.106,0.1536,0.09838,0.0491,0.02919,0.1431,0.07732,0.0231,0.008066,0.1065,0.03915,0.2129,0.2132,
2.109,0.1516,0.1025,0.04864,0.02911,0.143,0.07656,0.02309,0.008062,0.1065,0.04013,0.2129,0.2095,
2.11,0.1577,0.1035,0.04841,0.02908,0.1429,0.07649,0.02307,0.008047,0.1064,0.04079,0.2131,0.2083,
2.114,0.1658,0.1061,0.04835,0.02906,0.1424,0.07645,0.02305,0.008043,0.1063,0.04293,0.2119,0.2054,
2.113,0.1576,0.1053,0.04831,0.02904,0.1422,0.07591,0.02304,0.008037,0.1062,0.0429,0.2128,0.2062,
2.112,0.151,0.1052,0.04832,0.02874,0.1421,0.07538,0.02304,0.008039,0.1063,0.04291,0.2128,0.2071,
2.111,0.1461,0.105,0.04828,0.02871,0.1419,0.07532,0.02302,0.008032,0.1062,0.04287,0.2137,0.207,
2.109,0.1467,0.1048,0.04809,0.02831,0.1418,0.07476,0.023,0.008025,0.1061,0.04283,0.2146,0.2078,
2.108,0.1492,0.1041,0.04794,0.02828,0.1416,0.07471,0.02298,0.00802,0.106,0.04281,0.2155,0.2081,
2.106,0.1491,0.1039,0.04785,0.02767,0.1416,0.0742,0.02299,0.008023,0.1061,0.04282,0.2156,0.2093,
2.109,0.1457,0.1071,0.04751,0.02766,0.1417,0.07294,0.02301,0.008029,0.1061,0.04446,0.2142,0.2073,
2.108,0.1475,0.1068,0.04745,0.02764,0.1415,0.07213,0.02299,0.008022,0.106,0.04442,0.2151,0.2078,
2.107,0.1557,0.1067,0.04735,0.02764,0.1415,0.07179,0.02295,0.008026,0.1061,0.04444,0.2152,0.2083,
2.106,0.147,0.1066,0.04734,0.02729,0.1415,0.07109,0.02296,0.008027,0.1061,0.04445,0.2152,0.2094,
2.106,0.1402,0.1064,0.04733,0.02728,0.1414,0.07112,0.02297,0.00803,0.1061,0.04446,0.2153,0.2095,
2.108,0.1419,0.1096,0.04747,0.02733,0.1413,0.07107,0.02295,0.008286,0.1073,0.04371,0.2155,0.2055,
2.108,0.1593,0.1091,0.04777,0.02744,0.141,0.07124,0.02323,0.008029,0.1082,0.04273,0.2156,0.2057,
2.104,0.1462,0.1084,0.04776,0.02692,0.1407,0.07024,0.02336,0.007973,0.1085,0.0421,0.2174,0.2067,
2.103,0.142,0.1078,0.04781,0.027,0.1409,0.06907,0.02364,0.008054,0.1093,0.04127,0.2172,0.208,
2.107,0.1432,0.1106,0.04782,0.02674,0.1405,0.06807,0.02413,0.007802,0.1098,0.04314,0.2151,0.2062,
2.106,0.1434,0.11,0.04778,0.02671,0.1402,0.0682,0.02386,0.008703,0.1104,0.04145,0.2169,0.2059,
2.106,0.1462,0.1091,0.04765,0.02682,0.1404,0.06826,0.02401,0.008842,0.1107,0.04098,0.2171,0.2061,
2.107,0.1567,0.1082,0.04747,0.02693,0.1406,0.06814,0.0237,0.009099,0.1113,0.04161,0.2165,0.2064,
2.106,0.1569,0.1073,0.04742,0.02698,0.1411,0.06795,0.02358,0.009365,0.1123,0.04106,0.216,0.2069,
2.11,0.1489,0.1088,0.04732,0.02667,0.1414,0.06717,0.02321,0.0095,0.1127,0.04353,0.2132,0.2064,
2.111,0.1701,0.1087,0.04721,0.02683,0.1412,0.06719,0.02322,0.009765,0.1142,0.04303,0.2121,0.2065,
2.109,0.1581,0.1084,0.04723,0.0269,0.1411,0.06712,0.0232,0.009756,0.1157,0.04136,0.213,0.2063,
2.107,0.1572,0.1076,0.04742,0.02642,0.141,0.06749,0.02278,0.01006,0.1162,0.04047,0.2139,0.2067,
2.107,0.1636,0.107,0.04768,0.02649,0.1407,0.06754,0.02279,0.0102,0.1163,0.04029,0.2141,0.2069,
2.11,0.1691,0.1066,0.04765,0.02656,0.1405,0.0676,0.02281,0.01021,0.1172,0.04163,0.2121,0.207,
2.088,0.1621,0.106,0.04784,0.02639,0.1397,0.0821,0.00845,0.01035,0.1182,0.04199,0.2113,0.2076,
2.086,0.1523,0.1052,0.04811,0.02642,0.1398,0.08172,0.008423,0.01053,0.1209,0.04012,0.2105,0.2082,
2.086,0.1787,0.1042,0.04829,0.02627,0.1403,0.08187,0.008294,0.0108,0.1209,0.03987,0.2106,0.2086,
2.085,0.1743,0.1036,0.04835,0.02635,0.1405,0.08178,0.008285,0.01078,0.1208,0.03982,0.2114,0.2083,
2.084,0.154,0.1028,0.04835,0.02634,0.1404,0.08176,0.008282,0.01078,0.1212,0.03936,0.2124,0.2083,
2.081,0.1544,0.1019,0.04823,0.02618,0.1408,0.08105,0.008277,0.01074,0.1219,0.03864,0.2133,0.209,
2.085,0.1569,0.1027,0.0483,0.02623,0.141,0.08082,0.008257,0.01074,0.1231,0.04029,0.2106,0.2079,
2.084,0.1565,0.1022,0.04871,0.02629,0.1409,0.0797,0.008225,0.01074,0.1239,0.03957,0.2107,0.2091,
2.087,0.1548,0.1061,0.04863,0.02642,0.141,0.07971,0.008227,0.01074,0.1242,0.03998,0.21,0.205,
2.085,0.1693,0.1056,0.04859,0.0257,0.1408,0.07951,0.008106,0.01073,0.1241,0.03995,0.211,0.2059,
2.086,0.1563,0.1054,0.04857,0.02582,0.1404,0.07889,0.008113,0.01074,0.1242,0.04132,0.2098,0.2067,
2.086,0.1566,0.1048,0.0486,0.02586,0.1399,0.07874,0.007953,0.01074,0.1245,0.04192,0.21,0.207,
2.086,0.1605,0.102,0.04851,0.026,0.1422,0.07852,0.007957,0.01074,0.1248,0.04229,0.2095,0.2074,
2.086,0.1666,0.1017,0.0485,0.02613,0.1421,0.07754,0.00783,0.01097,0.1262,0.0422,0.2082,0.2087,
2.085,0.1631,0.1007,0.04849,0.02618,0.1421,0.07765,0.007841,0.01165,0.1277,0.04032,0.2085,0.209,
2.085,0.1761,0.1008,0.04857,0.02627,0.1425,0.07671,0.007847,0.01192,0.128,0.0399,0.2087,0.2089,
2.084,0.17,0.1011,0.04888,0.02637,0.1419,0.07604,0.007856,0.01193,0.1288,0.03925,0.2089,0.2088,
2.084,0.1616,0.1008,0.04888,0.02641,0.1419,0.07608,0.00786,0.01194,0.1293,0.03887,0.209,0.209,
2.082,0.1641,0.09957,0.04907,0.02636,0.1414,0.0759,0.007841,0.01224,0.1293,0.03815,0.2117,0.2085,
2.081,0.1636,0.0991,0.04898,0.02652,0.1413,0.0749,0.007846,0.01251,0.1295,0.03779,0.2118,0.2097,
2.083,0.1812,0.1003,0.04929,0.02655,0.1411,0.07485,0.007972,0.01251,0.1302,0.03778,0.2118,0.2076,
2.085,0.1843,0.09967,0.04933,0.02659,0.1416,0.07486,0.007973,0.01251,0.1305,0.03861,0.2107,0.2076,
2.084,0.1788,0.0993,0.04915,0.02661,0.141,0.07472,0.007961,0.01249,0.1303,0.03855,0.2126,0.2073,
2.083,0.1642,0.09927,0.0492,0.02666,0.1407,0.07401,0.007938,0.01236,0.1304,0.03857,0.2126,0.2083,
2.081,0.1784,0.0988,0.04937,0.02637,0.1401,0.07387,0.01429,0.006314,0.1308,0.03811,0.2137,0.2082,
2.083,0.1837,0.09832,0.04935,0.02641,0.1402,0.07379,0.01428,0.006796,0.1308,0.03898,0.2131,0.208,
2.082,0.1718,0.09804,0.04934,0.02647,0.1404,0.0736,0.01424,0.006884,0.1321,0.03755,0.2131,0.2084,
2.09,0.1723,0.1028,0.04961,0.02602,0.1405,0.07354,0.01423,0.007065,0.1318,0.04027,0.2112,0.2029,
2.09,0.1735,0.1024,0.04976,0.02609,0.1404,0.0733,0.01424,0.007329,0.1321,0.03981,0.2113,0.2033,
2.093,0.1643,0.1022,0.0499,0.0261,0.1404,0.07303,0.01424,0.007678,0.1322,0.04148,0.2092,0.2036,
2.092,0.1753,0.1011,0.05029,0.02563,0.1402,0.07256,0.01422,0.008205,0.132,0.04084,0.2109,0.204,
2.09,0.1693,0.1008,0.05031,0.02567,0.1399,0.07251,0.0142,0.008459,0.134,0.03879,0.2115,0.2039,
2.09,0.1762,0.09759,0.05033,0.02555,0.1428,0.07207,0.01421,0.008971,0.1348,0.03852,0.2106,0.2046,
2.092,0.1863,0.09744,0.05037,0.02559,0.1427,0.07222,0.01419,0.009488,0.1351,0.03887,0.2094,0.2046,
2.089,0.1749,0.09644,0.05063,0.02493,0.143,0.07126,0.01417,0.009481,0.1352,0.03856,0.2103,0.206,
2.088,0.179,0.09577,0.05055,0.02505,0.1435,0.07061,0.0142,0.009326,0.1352,0.03857,0.2103,0.2069,
2.087,0.1788,0.09478,0.05086,0.0251,0.1439,0.07012,0.01421,0.00946,0.1357,0.038,0.2104,0.2075,
2.086,0.1784,0.09436,0.05098,0.02523,0.1437,0.06951,0.01434,0.009464,0.136,0.03769,0.2105,0.2082,
2.097,0.1783,0.09555,0.051,0.02532,0.1435,0.06875,0.01435,0.01104,0.1344,0.0417,0.2066,0.2078,
2.095,0.1775,0.09517,0.05099,0.02538,0.1437,0.06846,0.01435,0.01104,0.1355,0.04067,0.2066,0.2081,
2.095,0.1855,0.09503,0.05097,0.02544,0.1437,0.06813,0.01436,0.01118,0.1358,0.04025,0.2067,0.2085,
2.093,0.1798,0.09423,0.05091,0.02543,0.1437,0.06754,0.0142,0.01129,0.1357,0.03995,0.2084,0.2087,
2.093,0.2078,0.09516,0.05097,0.02455,0.1434,0.06711,0.01417,0.01153,0.1356,0.04065,0.2089,0.208,
2.092,0.1769,0.09442,0.05139,0.02462,0.1434,0.0657,0.01402,0.01184,0.1353,0.04066,0.209,0.2097,
2.09,0.1776,0.09357,0.05132,0.02449,0.1431,0.06453,0.014,0.01209,0.1349,0.04061,0.2108,0.2106,
2.09,0.1789,0.09246,0.05135,0.02461,0.1429,0.06379,0.01422,0.01301,0.1338,0.0403,0.2126,0.211,
