RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4637000.0,2433000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4594000.0,2405000.0,1397000.0,7302000.0,4019000.0,1065000.0,372600.0,4892000.0,1432000.0,9852000.0,9841000.0,
4535000.0,2394000.0,1396000.0,7273000.0,4019000.0,1065000.0,372500.0,4892000.0,1432000.0,9852000.0,9841000.0,
4723000.0,2356000.0,1394000.0,7244000.0,3997000.0,1065000.0,372400.0,4892000.0,1546000.0,9786000.0,9587000.0,
4640000.0,2348000.0,1393000.0,7104000.0,3970000.0,1065000.0,372300.0,4892000.0,1546000.0,9786000.0,9615000.0,
4558000.0,2346000.0,1364000.0,7012000.0,3919000.0,1065000.0,372200.0,4892000.0,1546000.0,9786000.0,9711000.0,
4429000.0,2314000.0,1363000.0,6937000.0,3904000.0,1065000.0,372200.0,4892000.0,1546000.0,9786000.0,9756000.0,
4385000.0,2313000.0,1362000.0,6843000.0,3822000.0,1065000.0,370700.0,4892000.0,1546000.0,9786000.0,9840000.0,
4316000.0,2310000.0,1344000.0,6758000.0,3765000.0,1065000.0,370600.0,4892000.0,1546000.0,9835000.0,9923000.0,
4241000.0,2304000.0,1342000.0,6649000.0,3697000.0,1065000.0,370500.0,4892000.0,1546000.0,9835000.0,9990000.0,
4209000.0,2301000.0,1342000.0,6604000.0,3697000.0,1065000.0,370500.0,4892000.0,1546000.0,9884000.0,9990000.0,
4278000.0,2301000.0,1342000.0,6599000.0,3661000.0,1065000.0,370500.0,4892000.0,1646000.0,9784000.0,9952000.0,
4253000.0,2298000.0,1342000.0,6594000.0,3643000.0,1065000.0,370500.0,4892000.0,1646000.0,9784000.0,9982000.0,
4235000.0,2285000.0,1342000.0,6589000.0,3606000.0,1064000.0,370500.0,4892000.0,1646000.0,9784000.0,1.003E7,
4230000.0,2265000.0,1341000.0,6584000.0,3606000.0,1064000.0,370500.0,4892000.0,1646000.0,9932000.0,1.003E7,
4546000.0,2257000.0,1341000.0,6574000.0,3557000.0,1063000.0,370500.0,4892000.0,1798000.0,9780000.0,9760000.0,
4518000.0,2255000.0,1341000.0,6571000.0,3551000.0,1061000.0,370500.0,4892000.0,1798000.0,9780000.0,9790000.0,
4712000.0,2235000.0,1337000.0,6571000.0,3518000.0,1061000.0,370500.0,4892000.0,1844000.0,9783000.0,9628000.0,
4762000.0,2226000.0,1337000.0,6571000.0,3518000.0,1061000.0,370100.0,4892000.0,1876000.0,9799000.0,9578000.0,
4879000.0,2224000.0,1337000.0,6553000.0,3518000.0,1061000.0,370100.0,4892000.0,1975000.0,9749000.0,9450000.0,
4847000.0,2224000.0,1337000.0,6548000.0,3495000.0,1061000.0,370100.0,4892000.0,1975000.0,9798000.0,9495000.0,
4842000.0,2224000.0,1323000.0,6543000.0,3470000.0,1061000.0,370100.0,4892000.0,1975000.0,9798000.0,9534000.0,
4836000.0,2224000.0,1323000.0,6539000.0,3470000.0,1060000.0,370100.0,4892000.0,1975000.0,9847000.0,9534000.0,
4831000.0,2217000.0,1305000.0,6539000.0,3447000.0,1060000.0,370100.0,4892000.0,1975000.0,9896000.0,9581000.0,
4802000.0,2212000.0,1305000.0,6534000.0,3447000.0,1060000.0,370100.0,4892000.0,1975000.0,9946000.0,9601000.0,
4792000.0,2207000.0,1276000.0,6529000.0,3422000.0,1060000.0,370100.0,4892000.0,1975000.0,9946000.0,9655000.0,
4938000.0,2190000.0,1275000.0,6529000.0,3362000.0,1060000.0,370100.0,4892000.0,2049000.0,9872000.0,9553000.0,
4929000.0,2189000.0,1275000.0,6529000.0,3327000.0,1060000.0,370100.0,4892000.0,2049000.0,9921000.0,9587000.0,
4919000.0,2183000.0,1275000.0,6525000.0,3310000.0,1058000.0,370100.0,4892000.0,2049000.0,9921000.0,9606000.0,
4915000.0,2183000.0,1258000.0,6525000.0,3277000.0,1058000.0,370100.0,4892000.0,2049000.0,9921000.0,9655000.0,
4906000.0,2181000.0,1257000.0,6516000.0,3277000.0,1058000.0,370100.0,4892000.0,2049000.0,9921000.0,9655000.0,
5056000.0,2189000.0,1261000.0,6516000.0,3277000.0,1058000.0,382100.0,4947000.0,2016000.0,9937000.0,9479000.0,
5028000.0,2201000.0,1265000.0,6498000.0,3283000.0,1070000.0,370100.0,4987000.0,1970000.0,9937000.0,9479000.0,
5003000.0,2205000.0,1243000.0,6493000.0,3243000.0,1079000.0,368000.0,5007000.0,1943000.0,1.004E7,9543000.0,
4975000.0,2207000.0,1246000.0,6501000.0,3188000.0,1091000.0,371700.0,5043000.0,1905000.0,1.002E7,9598000.0,
5109000.0,2208000.0,1235000.0,6491000.0,3144000.0,1114000.0,360300.0,5072000.0,1992000.0,9933000.0,9524000.0,
5087000.0,2210000.0,1236000.0,6486000.0,3154000.0,1104000.0,402600.0,5105000.0,1917000.0,1.003E7,9524000.0,
5044000.0,2202000.0,1240000.0,6487000.0,3154000.0,1110000.0,408600.0,5116000.0,1894000.0,1.003E7,9524000.0,
5001000.0,2194000.0,1245000.0,6502000.0,3150000.0,1095000.0,420600.0,5146000.0,1924000.0,1.001E7,9542000.0,
4958000.0,2191000.0,1246000.0,6522000.0,3140000.0,1089000.0,432700.0,5190000.0,1897000.0,9981000.0,9559000.0,
5026000.0,2185000.0,1232000.0,6530000.0,3102000.0,1072000.0,438700.0,5206000.0,2010000.0,9846000.0,9533000.0,
5020000.0,2180000.0,1238000.0,6520000.0,3102000.0,1072000.0,450800.0,5271000.0,1986000.0,9792000.0,9533000.0,
5008000.0,2183000.0,1243000.0,6520000.0,3102000.0,1072000.0,450800.0,5346000.0,1911000.0,9841000.0,9533000.0,
4973000.0,2193000.0,1222000.0,6522000.0,3120000.0,1053000.0,465100.0,5372000.0,1871000.0,9890000.0,9557000.0,
4945000.0,2203000.0,1224000.0,6502000.0,3120000.0,1053000.0,471100.0,5376000.0,1861000.0,9890000.0,9557000.0,
4920000.0,2200000.0,1226000.0,6488000.0,3120000.0,1053000.0,471100.0,5413000.0,1922000.0,9793000.0,9557000.0,
4886000.0,2205000.0,1216000.0,6439000.0,3784000.0,389500.0,477000.0,5446000.0,1935000.0,9740000.0,9570000.0,
4846000.0,2216000.0,1217000.0,6438000.0,3764000.0,388000.0,485100.0,5569000.0,1848000.0,9696000.0,9591000.0,
4799000.0,2224000.0,1209000.0,6462000.0,3770000.0,381900.0,497100.0,5569000.0,1836000.0,9696000.0,9604000.0,
4775000.0,2229000.0,1215000.0,6475000.0,3770000.0,381900.0,497100.0,5569000.0,1836000.0,9745000.0,9604000.0,
4740000.0,2230000.0,1215000.0,6475000.0,3770000.0,381900.0,497000.0,5590000.0,1815000.0,9793000.0,9604000.0,
4700000.0,2225000.0,1208000.0,6494000.0,3739000.0,381900.0,495500.0,5622000.0,1783000.0,9842000.0,9644000.0,
4737000.0,2227000.0,1209000.0,6501000.0,3726000.0,380700.0,495100.0,5678000.0,1858000.0,9711000.0,9585000.0,
4711000.0,2245000.0,1212000.0,6496000.0,3674000.0,379200.0,495100.0,5712000.0,1824000.0,9711000.0,9639000.0,
4891000.0,2241000.0,1217000.0,6496000.0,3674000.0,379200.0,495100.0,5724000.0,1842000.0,9680000.0,9447000.0,
4871000.0,2241000.0,1185000.0,6494000.0,3667000.0,373800.0,495100.0,5724000.0,1842000.0,9729000.0,9494000.0,
