RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4645000.0,2431000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4606000.0,2396000.0,1396000.0,7384000.0,3995000.0,1065000.0,372700.0,4892000.0,1501000.0,9831000.0,9876000.0,
4671000.0,2391000.0,1396000.0,7284000.0,3976000.0,1065000.0,372500.0,4892000.0,1546000.0,9786000.0,9830000.0,
4618000.0,2363000.0,1387000.0,7127000.0,3975000.0,1065000.0,372200.0,4892000.0,1546000.0,9835000.0,9838000.0,
4617000.0,2363000.0,1385000.0,7029000.0,3960000.0,1065000.0,372100.0,4892000.0,1546000.0,9835000.0,9853000.0,
4602000.0,2362000.0,1385000.0,6924000.0,3915000.0,1065000.0,372000.0,4892000.0,1546000.0,9835000.0,9898000.0,
4582000.0,2362000.0,1384000.0,6855000.0,3886000.0,1065000.0,371900.0,4892000.0,1546000.0,9835000.0,9927000.0,
4526000.0,2355000.0,1384000.0,6780000.0,3879000.0,1065000.0,371900.0,4892000.0,1546000.0,9835000.0,9957000.0,
4654000.0,2353000.0,1383000.0,6688000.0,3717000.0,1059000.0,370300.0,4892000.0,1632000.0,9748000.0,9978000.0,
4584000.0,2353000.0,1382000.0,6548000.0,3679000.0,1059000.0,370300.0,4892000.0,1632000.0,9748000.0,1.004E7,
4520000.0,2351000.0,1382000.0,6504000.0,3640000.0,1059000.0,370200.0,4892000.0,1632000.0,9748000.0,1.008E7,
4604000.0,2344000.0,1364000.0,6474000.0,3616000.0,1059000.0,370200.0,4892000.0,1736000.0,9644000.0,1.003E7,
4571000.0,2342000.0,1363000.0,6439000.0,3616000.0,1059000.0,370200.0,4892000.0,1736000.0,9644000.0,1.004E7,
4571000.0,2342000.0,1363000.0,6434000.0,3584000.0,1057000.0,370200.0,4892000.0,1736000.0,9644000.0,1.008E7,
4571000.0,2337000.0,1363000.0,6409000.0,3569000.0,1057000.0,370200.0,4892000.0,1736000.0,9693000.0,1.009E7,
4566000.0,2334000.0,1363000.0,6379000.0,3561000.0,1057000.0,370200.0,4892000.0,1734000.0,9741000.0,1.01E7,
4645000.0,2331000.0,1363000.0,6374000.0,3540000.0,1057000.0,370200.0,4892000.0,1795000.0,9727000.0,1.003E7,
4635000.0,2331000.0,1363000.0,6335000.0,3523000.0,1057000.0,370200.0,4892000.0,1795000.0,9776000.0,1.005E7,
4736000.0,2331000.0,1363000.0,6309000.0,3499000.0,1057000.0,370200.0,4892000.0,1916000.0,9702000.0,9958000.0,
4709000.0,2331000.0,1362000.0,6260000.0,3482000.0,1057000.0,370200.0,4892000.0,1916000.0,9702000.0,9991000.0,
4788000.0,2331000.0,1362000.0,6235000.0,3457000.0,1057000.0,370200.0,4892000.0,1989000.0,9630000.0,9938000.0,
5061000.0,2331000.0,1362000.0,6224000.0,3424000.0,1057000.0,370200.0,4892000.0,2077000.0,9542000.0,9688000.0,
5056000.0,2331000.0,1362000.0,6224000.0,3407000.0,1057000.0,370200.0,4892000.0,2077000.0,9542000.0,9705000.0,
5046000.0,2331000.0,1362000.0,6224000.0,3407000.0,1057000.0,370200.0,4892000.0,2077000.0,9542000.0,9705000.0,
5031000.0,2331000.0,1362000.0,6224000.0,3407000.0,1057000.0,370200.0,4892000.0,2077000.0,9542000.0,9705000.0,
4993000.0,2326000.0,1360000.0,6215000.0,3407000.0,1057000.0,370200.0,4892000.0,2077000.0,9589000.0,9720000.0,
4989000.0,2325000.0,1360000.0,6205000.0,3391000.0,1057000.0,370200.0,4892000.0,2077000.0,9589000.0,9736000.0,
4974000.0,2325000.0,1360000.0,6200000.0,3373000.0,1057000.0,370200.0,4892000.0,2077000.0,9637000.0,9753000.0,
4969000.0,2325000.0,1360000.0,6195000.0,3358000.0,1057000.0,370200.0,4892000.0,2077000.0,9734000.0,9769000.0,
5083000.0,2324000.0,1360000.0,6190000.0,3336000.0,1057000.0,370200.0,4892000.0,2156000.0,9655000.0,9672000.0,
5043000.0,2324000.0,1360000.0,6185000.0,3336000.0,1057000.0,370200.0,4892000.0,2156000.0,9655000.0,9698000.0,
5024000.0,2327000.0,1363000.0,6165000.0,3307000.0,1051000.0,386800.0,4912000.0,2117000.0,9703000.0,9735000.0,
5139000.0,2331000.0,1369000.0,6165000.0,3278000.0,1046000.0,398800.0,4934000.0,2176000.0,9611000.0,9621000.0,
5097000.0,2332000.0,1372000.0,6172000.0,3259000.0,1052000.0,1040000.0,4310000.0,2151000.0,9611000.0,9640000.0,
5082000.0,2328000.0,1375000.0,6157000.0,3247000.0,1052000.0,1058000.0,4332000.0,2112000.0,9660000.0,9652000.0,
5062000.0,2337000.0,1363000.0,6157000.0,3234000.0,1058000.0,1080000.0,4373000.0,2043000.0,9708000.0,9679000.0,
5047000.0,2340000.0,1370000.0,6143000.0,3228000.0,1064000.0,1080000.0,4432000.0,1972000.0,9756000.0,9691000.0,
5034000.0,2335000.0,1376000.0,6138000.0,3228000.0,1076000.0,1104000.0,4469000.0,1899000.0,9756000.0,9691000.0,
5240000.0,2325000.0,1380000.0,6155000.0,3237000.0,1066000.0,1764000.0,3845000.0,2024000.0,9593000.0,9443000.0,
5201000.0,2328000.0,1371000.0,6149000.0,3199000.0,1066000.0,1776000.0,4002000.0,1855000.0,9641000.0,9497000.0,
5184000.0,2332000.0,1374000.0,6149000.0,3139000.0,1072000.0,1770000.0,4037000.0,1984000.0,9478000.0,9558000.0,
5157000.0,2330000.0,1377000.0,6138000.0,3078000.0,1072000.0,1782000.0,4146000.0,1863000.0,9525000.0,9618000.0,
5123000.0,2321000.0,1386000.0,6138000.0,3729000.0,353000.0,1782000.0,4156000.0,1853000.0,9573000.0,9685000.0,
5076000.0,2330000.0,1389000.0,6128000.0,3652000.0,352900.0,1782000.0,4197000.0,1811000.0,9573000.0,9763000.0,
5040000.0,2327000.0,1392000.0,6134000.0,3599000.0,359000.0,1776000.0,4253000.0,1756000.0,9621000.0,9815000.0,
4994000.0,2341000.0,1393000.0,6134000.0,3560000.0,359000.0,1782000.0,4279000.0,1724000.0,9621000.0,9854000.0,
5235000.0,2345000.0,1399000.0,6124000.0,3532000.0,359000.0,1796000.0,4287000.0,1759000.0,9563000.0,9632000.0,
5405000.0,2354000.0,1403000.0,6115000.0,3490000.0,352900.0,1796000.0,4303000.0,1743000.0,9563000.0,9487000.0,
5358000.0,2357000.0,1386000.0,6121000.0,3425000.0,351400.0,1802000.0,4378000.0,1661000.0,9563000.0,9572000.0,
5320000.0,2364000.0,1387000.0,6106000.0,3393000.0,341300.0,1810000.0,4388000.0,1643000.0,9611000.0,9614000.0,
5297000.0,2357000.0,1393000.0,6185000.0,3365000.0,341300.0,1819000.0,4380000.0,1739000.0,9515000.0,9552000.0,
5254000.0,2361000.0,1395000.0,6182000.0,3330000.0,341300.0,1825000.0,4400000.0,1713000.0,9563000.0,9587000.0,
5110000.0,2364000.0,1398000.0,6285000.0,3330000.0,341300.0,1831000.0,4451000.0,1655000.0,9563000.0,9587000.0,
5197000.0,2363000.0,1404000.0,6295000.0,3302000.0,341300.0,1837000.0,4463000.0,1638000.0,9563000.0,9484000.0,
5160000.0,2365000.0,1403000.0,6314000.0,3202000.0,341300.0,1837000.0,4481000.0,1620000.0,9563000.0,9584000.0,
5273000.0,2375000.0,1409000.0,6299000.0,3181000.0,341300.0,1843000.0,4499000.0,1596000.0,9611000.0,9472000.0,
5213000.0,2382000.0,1411000.0,6304000.0,3187000.0,335300.0,1843000.0,4542000.0,1553000.0,9611000.0,9472000.0,
5201000.0,2381000.0,1413000.0,6304000.0,3161000.0,335300.0,1855000.0,4551000.0,1531000.0,9611000.0,9498000.0,
5184000.0,2389000.0,1417000.0,6294000.0,3161000.0,341300.0,1855000.0,4545000.0,1531000.0,9611000.0,9498000.0,
5171000.0,2382000.0,1423000.0,6294000.0,3145000.0,336100.0,1856000.0,4545000.0,1525000.0,9659000.0,9524000.0,
5112000.0,2370000.0,1413000.0,6330000.0,3139000.0,330000.0,1862000.0,4563000.0,1502000.0,9707000.0,9561000.0,
5058000.0,2373000.0,1415000.0,6340000.0,3139000.0,330000.0,1862000.0,4579000.0,1485000.0,9756000.0,9561000.0,
5024000.0,2389000.0,1417000.0,6340000.0,3121000.0,915700.0,1285000.0,4612000.0,1597000.0,9603000.0,9578000.0,
4997000.0,2390000.0,1419000.0,6325000.0,3111000.0,908100.0,1285000.0,4612000.0,1597000.0,9699000.0,9596000.0,
4859000.0,2396000.0,1422000.0,6434000.0,3097000.0,915000.0,1285000.0,4611000.0,1583000.0,9699000.0,9618000.0,
4954000.0,2398000.0,1426000.0,6434000.0,3084000.0,915000.0,1285000.0,4611000.0,1602000.0,9729000.0,9513000.0,
4935000.0,2402000.0,1431000.0,6429000.0,3084000.0,1444000.0,756600.0,4691000.0,1521000.0,9729000.0,9513000.0,
4902000.0,2416000.0,1435000.0,6424000.0,3084000.0,1449000.0,751800.0,4702000.0,1510000.0,9826000.0,9513000.0,
4851000.0,2419000.0,1438000.0,6424000.0,3088000.0,1451000.0,760100.0,4787000.0,1492000.0,9746000.0,9549000.0,
4796000.0,2431000.0,1437000.0,6443000.0,3088000.0,1482000.0,728800.0,4798000.0,1480000.0,9746000.0,9549000.0,
4760000.0,2436000.0,1438000.0,6433000.0,3070000.0,1500000.0,710700.0,4842000.0,1437000.0,9795000.0,9566000.0,
4732000.0,2440000.0,1440000.0,6433000.0,3070000.0,1506000.0,716700.0,4870000.0,1409000.0,9782000.0,9566000.0,
4695000.0,2445000.0,1445000.0,6452000.0,3053000.0,1512000.0,710700.0,4895000.0,1384000.0,9782000.0,9584000.0,
4619000.0,2446000.0,1446000.0,6505000.0,3053000.0,1530000.0,708600.0,4901000.0,1518000.0,9625000.0,9584000.0,
4783000.0,2450000.0,1450000.0,6505000.0,3035000.0,1530000.0,708600.0,4923000.0,1587000.0,9535000.0,9410000.0,
4768000.0,2449000.0,1455000.0,6505000.0,3041000.0,1524000.0,717200.0,4943000.0,1559000.0,9535000.0,9410000.0,
4713000.0,2460000.0,1456000.0,6508000.0,3020000.0,1524000.0,722000.0,5033000.0,1463000.0,9535000.0,9431000.0,
4670000.0,2457000.0,1454000.0,6512000.0,3008000.0,1536000.0,709900.0,5044000.0,1450000.0,9535000.0,9443000.0,
4645000.0,2462000.0,1437000.0,6497000.0,3008000.0,1536000.0,709900.0,5069000.0,1425000.0,9630000.0,9466000.0,
4601000.0,2465000.0,1441000.0,6489000.0,2993000.0,1543000.0,703900.0,5180000.0,1314000.0,9630000.0,9481000.0,
4549000.0,2468000.0,1428000.0,6485000.0,2974000.0,1536000.0,702400.0,5193000.0,1403000.0,9523000.0,9529000.0,
4527000.0,2469000.0,1430000.0,6465000.0,2956000.0,1536000.0,708400.0,5235000.0,1355000.0,9523000.0,9546000.0,
