cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07118,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07118,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1,100.1,37.73,822.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.58,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83360,89590,47790,2.24E+07,45530,21460,24230,13490,24780,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006468,0.2456,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1606,158.6,183.6,154.4,0.05172,5.902,0.2244,0.1658,0.9673,0.4065,0,343.6,0.1265,0.6765,0.5892,0.07268,0.1994,0.06007,0.08233,4.761,11.02,0,343.6,0.1265,0.6765,0.5892,0.07268,0.1994,0.06007,0.08233,4.761,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,299.8,104.5,39.54,796.4,165.1,3.265,3.606,29.78,4.22,0,48.6,5.922,10.77,59.91,41.49,0.1903,0.01351,0.01544,0.01182,0.0139,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,330.7,76970,83910,44840,2.15E+07,42890,20350,22980,13170,23640,0,4.93E-36,2.22E-36,1.41E-35,1.63E-35,2.16E-36,5.61E-37,1.14E-38,7.85E-39,4.74E-38,2.20E-38,2.08E-35,0,0.6933,1.127,3.017,1.547,0.2298,0.04419,0.003722,0.002646,0.01608,0.009765,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.75E-04,0.00952,0.01015,0.006388,0.2443,0.01381,0.00164,6.90E-04,0.005407,9.71E-04
0,1594,170.9,180.4,152.8,0.05186,5.391,0.2245,0.1658,0.9671,0.4065,0,343.6,0.1413,0.6538,0.5903,0.07438,0.2034,0.06022,0.08237,4.76,11.02,0,343.6,0.1413,0.6538,0.5903,0.07438,0.2034,0.06022,0.08237,4.76,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,303.5,104.6,39.64,781.7,165.1,3.197,3.53,29.75,4.16,0,47.55,5.584,9.054,67.5,41.28,0.1153,0.01325,0.01517,0.01175,0.01368,0,0,4791000,8715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,438.3,74170,77570,45210,2.14E+07,41430,19700,22300,12960,23250,0,4.24E-36,2.26E-36,1.41E-35,1.61E-35,2.19E-36,5.63E-37,1.14E-38,7.82E-39,4.67E-38,2.20E-38,2.08E-35,0,0.5962,1.222,2.982,1.581,0.2313,0.04313,0.00372,0.002644,0.01607,0.009764,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.84E-04,0.009503,0.01012,0.006403,0.2426,0.01379,0.001631,6.79E-04,0.005403,9.62E-04
0,1597,171.5,177.9,152.4,0.05194,5.52,0.2319,0.1635,0.9833,0.411,0,343.6,0.1424,0.6448,0.6059,0.073,0.3405,0.05919,0.1005,4.621,10.99,0,343.6,0.1424,0.6448,0.6059,0.073,0.3405,0.05919,0.1005,4.621,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,303.5,104.5,39.61,767,165,3.157,3.484,29.71,4.122,0,47.55,5.476,9.277,66.83,40.96,0.1086,0.013,0.0149,0.0117,0.01347,0,0,4791000,8715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,495.3,75210,78240,43890,2.06E+07,40030,19280,21800,12870,22710,0,4.25E-36,2.27E-36,1.40E-35,1.61E-35,2.18E-36,5.17E-37,1.13E-38,7.89E-39,4.63E-38,2.20E-38,2.08E-35,0,0.6172,1.233,2.961,1.574,0.2298,0.03996,0.003729,0.002646,0.01607,0.009767,0,0,2.53E-04,1.10E-04,8.25E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,2.47E-04,0.009525,0.01009,0.006383,0.2383,0.01365,0.001647,6.82E-04,0.005421,9.58E-04
0,1601,171.5,178.2,147.3,0.05192,6.42,0.2319,0.1636,0.9768,0.4173,0,343.6,0.1424,0.6469,0.5858,0.07234,0.3465,0.05935,0.1004,4.627,10.99,0,343.6,0.1424,0.6469,0.5858,0.07234,0.3465,0.05935,0.1004,4.627,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,303.2,104.5,40.58,750.6,165,3.12,3.441,29.69,4.084,0,47.69,5.499,9.18,65.39,41.1,0.1029,0.01295,0.01483,0.0117,0.01343,0,0,4791000,8715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60E-04,0,689.2,75060,77690,46090,2.03E+07,39140,18910,21380,12750,22310,0,4.44E-36,2.27E-36,1.40E-35,1.56E-35,2.18E-36,6.41E-37,1.12E-38,7.87E-39,4.60E-38,2.20E-38,2.08E-35,0,0.6512,1.233,2.961,1.529,0.2296,0.04825,0.003729,0.002647,0.01606,0.009773,0,0,2.53E-04,1.10E-04,8.25E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,3.11E-04,0.009515,0.0101,0.006379,0.2382,0.0136,0.001651,6.82E-04,0.005415,9.66E-04
0,1598,179.7,177,142.7,0.05222,4.443,0.233,0.1636,0.9745,0.4192,0,343.6,0.1457,0.6416,0.5792,0.0888,0.3337,0.05952,0.1005,4.636,10.98,0,343.6,0.1457,0.6416,0.5792,0.0888,0.3337,0.05952,0.1005,4.636,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,307.1,102.9,41.56,723.6,164.9,3.062,3.377,29.66,4.03,0,47.05,3.517,12.72,64.64,42.72,0.09066,0.0129,0.01476,0.01171,0.01338,0,0,4786000,14030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60E-04,0,1032,76190,80710,49950,2.06E+07,38980,18560,21030,12620,22220,0,4.10E-36,2.76E-36,1.39E-35,1.54E-35,2.56E-36,3.34E-37,1.12E-38,7.87E-39,4.54E-38,2.19E-38,2.08E-35,0,0.6258,1.315,2.93,1.493,0.2524,0.02994,0.003734,0.002648,0.01605,0.009775,0,0,2.53E-04,1.10E-04,8.25E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,4.33E-04,0.009535,0.01004,0.006351,0.2371,0.01351,0.001663,6.78E-04,0.005415,9.63E-04
0,1598,179.3,179.7,138.4,0.05156,4.44,0.2329,0.1636,0.9743,0.4194,0,343.6,0.1332,0.662,0.5837,0.07129,0.3339,0.05974,0.1016,4.495,11.12,0,343.6,0.1332,0.662,0.5837,0.07129,0.3339,0.05974,0.1016,4.495,11.12,0,0,0,0,0,0,0,0,0,0,0,0,0,313,102.8,41.12,714.5,164.8,3.008,3.316,29.65,3.98,0,47.05,1.02,7.841,76.3,37.02,0.07481,0.01278,0.0146,0.01173,0.01329,0,0,4786000,13520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88E-04,0,1061,77660,80620,47790,2.15E+07,39720,18820,21400,12670,22740,0,4.10E-36,2.47E-36,1.39E-35,1.55E-35,2.16E-36,3.33E-37,1.11E-38,7.84E-39,4.49E-38,2.19E-38,2.08E-35,0,0.6258,1.304,2.93,1.5,0.2239,0.02994,0.003733,0.002647,0.01605,0.009778,0,0,2.53E-04,1.10E-04,8.25E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,4.45E-04,0.009511,0.01002,0.006239,0.2362,0.01349,0.001661,6.71E-04,0.00541,9.63E-04
0,1591,184.8,172.8,132,0.0514,4.403,0.2515,0.1636,0.9729,0.3936,0,343.6,0.1471,0.6707,0.5734,0.07111,0.3313,0.05982,0.1014,4.492,11.1,0,343.6,0.1471,0.6707,0.5734,0.07111,0.3313,0.05982,0.1014,4.492,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,311.6,106.1,39.68,689,164.8,2.987,3.292,29.63,3.959,0,46.2,9.062,6.611,85.04,36.91,0.04041,0.01274,0.01445,0.01175,0.01321,0,0,4779000,20530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50E-04,0,1212,81150,83050,49170,2.18E+07,40080,19030,21650,12750,23530,0,3.90E-36,2.41E-36,1.39E-35,1.51E-35,2.16E-36,3.32E-37,1.09E-38,7.82E-39,4.44E-38,2.34E-38,2.08E-35,0,0.5724,1.402,2.908,1.475,0.2231,0.02984,0.003733,0.002647,0.01604,0.009808,0,0,2.54E-04,1.11E-04,8.30E-04,0.9961,0.001042,4.17E-04,5.47E-04,6.35E-05,6.65E-04,0,6.60E-04,0.009512,0.009971,0.006147,0.2323,0.01332,0.00165,6.60E-04,0.00541,0.001013
0,1591,182.8,173.4,131.4,0.08681,3.782,0.2414,0.1623,0.9681,0.3883,0,343.6,0.1334,0.6557,0.6421,0.1221,0.4107,1.549,0.3307,3.159,10.54,0,343.6,0.1334,0.6557,0.6421,0.1221,0.4107,1.549,0.3307,3.159,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,316.1,105.5,39.87,659.1,164,2.873,3.228,29.55,3.948,0,46.2,1.942,6.656,93.04,36.9,0.4778,0.01648,0.01563,0.01531,0.01878,2.51E-17,0,4779000,20300,0,0,0,0,0,0,0,0,1.26E-19,0,0,3.11E-21,0,0,0,9.36E-22,0,0,4.66E-22,0,0,0,1.58E-28,0,0,0,9.18E-31,0,0,2.00E-34,0,1.00E-04,0,1240,82220,89350,48730,2.07E+07,46590,18410,20840,12730,22980,0,3.90E-36,2.32E-36,1.36E-35,1.51E-35,2.44E-36,2.52E-37,8.88E-39,7.52E-39,4.30E-38,2.26E-38,2.08E-35,0,0.5724,1.357,2.898,1.501,0.2489,0.02505,0.00362,0.002623,0.01593,0.009758,0,0,2.55E-04,1.11E-04,8.34E-04,0.9961,0.001047,4.19E-04,5.50E-04,6.38E-05,6.68E-04,0,6.60E-04,0.009528,0.00994,0.006163,0.2293,0.01313,0.001599,6.71E-04,0.005418,0.001041
0,1580,190.9,174,106.8,0.04649,3.748,0.2667,0.171,0.9787,0.3884,0,343.6,0.1355,0.6778,0.6456,0.1002,0.3963,0.1518,0.117,2.856,12.46,0,343.6,0.1355,0.6778,0.6456,0.1002,0.3963,0.1518,0.117,2.856,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,325.4,105.5,40.19,637.7,161.6,2.944,3.226,29.63,4.047,0,45.3,1.815,8.978,114.9,36.63,0.4072,0.01884,0.01622,0.01767,0.02194,8.72E-17,0,4771000,27050,0,0,0,0,0,0,0,0,2.53E-18,0,0,2.44E-18,7.24E-18,5.46E-18,7.40E-19,3.05E-18,4.92E-18,2.10E-18,4.85E-17,1.14E-16,0,0,2.94E-25,4.32E-24,1.82E-23,1.16E-26,1.53E-25,8.54E-28,1.41E-27,1.53E-27,4.64E-27,1.00E-04,0,1278,79570,79160,51980,2.00E+07,44610,17660,19910,12590,22170,0,3.40E-36,2.33E-36,1.38E-35,1.49E-35,2.13E-36,3.93E-37,8.99E-39,7.57E-39,4.27E-38,2.30E-38,2.08E-35,0,0.4979,1.411,2.921,1.495,0.2217,0.03349,0.003675,0.00264,0.01598,0.009826,0,0,2.56E-04,1.12E-04,8.37E-04,0.996,0.00105,4.21E-04,5.52E-04,6.40E-05,6.70E-04,0,6.88E-04,0.009525,0.009961,0.006124,0.2276,0.01293,0.00161,6.70E-04,0.005428,0.001044
