entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.099,0.1683,0.09808,0.05137,0.02968,0.1563,0.08512,0.02249,0.007867,0.1033,0.02925,0.2079,0.2087,
2.097,0.1608,0.09588,0.05071,0.02964,0.1556,0.08477,0.02261,0.007908,0.1038,0.0294,0.209,0.2107,
2.106,0.1587,0.09912,0.05074,0.02967,0.1539,0.08488,0.02263,0.007915,0.1039,0.03278,0.2069,0.2075,
2.105,0.1596,0.09936,0.05086,0.02974,0.1509,0.08442,0.02268,0.007931,0.1042,0.03286,0.2085,0.2087,
2.105,0.1663,0.09961,0.05099,0.02946,0.1486,0.08449,0.02274,0.007952,0.1045,0.03295,0.209,0.2097,
2.108,0.1643,0.1009,0.05098,0.02879,0.1473,0.08403,0.02278,0.007965,0.1046,0.03516,0.2072,0.2101,
2.108,0.1626,0.1006,0.05083,0.02882,0.1459,0.0841,0.02285,0.007986,0.1049,0.03526,0.2078,0.2109,
2.109,0.1601,0.1035,0.05075,0.02848,0.1453,0.08207,0.02281,0.007972,0.1048,0.03623,0.2086,0.2096,
2.108,0.1707,0.103,0.05074,0.02847,0.1448,0.08206,0.02281,0.00797,0.1048,0.03622,0.2096,0.2096,
2.112,0.1653,0.1056,0.05077,0.02849,0.1436,0.0817,0.02284,0.007979,0.1049,0.03784,0.2093,0.207,
2.112,0.1634,0.1056,0.05085,0.02854,0.1423,0.08125,0.02288,0.007992,0.1051,0.0379,0.2097,0.2079,
2.114,0.1668,0.1092,0.05083,0.02853,0.1422,0.0807,0.02285,0.007993,0.1051,0.03816,0.2095,0.205,
2.112,0.1821,0.1088,0.05072,0.02848,0.1418,0.08028,0.0228,0.007978,0.1049,0.0381,0.2112,0.2049,
2.112,0.1667,0.1083,0.05073,0.0285,0.1418,0.08033,0.02282,0.007983,0.105,0.03812,0.2113,0.2051,
2.111,0.1609,0.108,0.05076,0.02851,0.1418,0.07945,0.02283,0.007987,0.105,0.03814,0.2114,0.2061,
2.113,0.1568,0.1094,0.05071,0.02848,0.1416,0.07845,0.02281,0.00798,0.1049,0.03938,0.211,0.2052,
2.114,0.1581,0.1121,0.05057,0.02847,0.1416,0.07681,0.0228,0.007943,0.1049,0.03985,0.2115,0.2036,
2.113,0.1742,0.1115,0.05058,0.02849,0.1416,0.07687,0.02281,0.007949,0.105,0.03988,0.2116,0.2037,
2.113,0.1716,0.1113,0.05055,0.02849,0.1415,0.07674,0.02282,0.007953,0.105,0.03989,0.2117,0.204,
2.116,0.1586,0.1109,0.05052,0.02847,0.1414,0.07594,0.02281,0.007947,0.1049,0.0425,0.21,0.2046,
2.115,0.153,0.1106,0.05049,0.02821,0.1415,0.07548,0.02282,0.00795,0.105,0.04251,0.2101,0.2054,
2.119,0.1516,0.11,0.05051,0.02821,0.1414,0.0751,0.02279,0.007952,0.105,0.04532,0.2073,0.2063,
2.125,0.1528,0.115,0.05046,0.02819,0.1413,0.07341,0.02277,0.007945,0.1049,0.04858,0.2049,0.2025,
2.124,0.1477,0.1148,0.05048,0.02819,0.1413,0.07292,0.02278,0.007948,0.1049,0.0486,0.205,0.2031,
2.123,0.1453,0.1141,0.05048,0.0282,0.1411,0.07202,0.02279,0.007951,0.105,0.04862,0.205,0.2047,
2.122,0.1454,0.1133,0.05047,0.0282,0.1406,0.07201,0.02279,0.00795,0.105,0.04861,0.206,0.2051,
2.12,0.1453,0.113,0.05043,0.02785,0.1403,0.07148,0.02277,0.007944,0.1049,0.04858,0.2069,0.2058,
2.119,0.155,0.1129,0.05034,0.02754,0.1402,0.07104,0.02278,0.007947,0.105,0.0486,0.207,0.2067,
2.12,0.1483,0.1136,0.05027,0.02755,0.1403,0.07008,0.02279,0.007951,0.105,0.04935,0.2064,0.2067,
2.122,0.1451,0.1142,0.05026,0.02722,0.1401,0.06924,0.02281,0.007958,0.1051,0.05173,0.2043,0.2071,
2.122,0.1415,0.1166,0.05029,0.02691,0.1401,0.06876,0.02283,0.007963,0.1052,0.05176,0.2044,0.2052,
2.122,0.1443,0.1154,0.0505,0.02687,0.1397,0.0689,0.02259,0.008391,0.1046,0.05138,0.207,0.2047,
2.121,0.147,0.1145,0.05059,0.02694,0.14,0.06822,0.02277,0.008613,0.1045,0.05115,0.2071,0.2055,
2.147,0.1675,0.1142,0.05075,0.027,0.14,0.06824,0.02278,0.02277,0.09164,0.04993,0.2072,0.2056,
2.146,0.166,0.1134,0.05067,0.02701,0.1399,0.06812,0.02287,0.02299,0.09245,0.04848,0.2089,0.2052,
2.145,0.183,0.1128,0.05076,0.02668,0.1398,0.06804,0.02276,0.02314,0.0926,0.04831,0.209,0.2061,
2.143,0.1735,0.1123,0.05073,0.02627,0.1396,0.06801,0.02288,0.02385,0.0934,0.0466,0.21,0.2065,
2.149,0.1848,0.1121,0.05062,0.02636,0.1394,0.06752,0.02289,0.03076,0.08998,0.04319,0.2101,0.2071,
2.148,0.1854,0.1118,0.05058,0.02607,0.1395,0.06728,0.0229,0.03111,0.08989,0.04297,0.2101,0.2078,
2.152,0.1826,0.1136,0.05076,0.02612,0.1394,0.06693,0.02277,0.03111,0.09015,0.04535,0.2075,0.2063,
