cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83370.0,89590.0,47810.0,2.239E7,45540.0,21470.0,24240.0,13490.0,24790.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.993E-4,0.005386,9.758E-4,
0.0,1593.0,181.5,173.3,153.6,0.05157,8.643,0.2322,0.1739,0.9788,0.4062,0.0,343.6,0.1472,0.6513,0.5912,0.07146,0.2019,0.05994,0.08225,4.761,11.02,0.0,343.6,0.1472,0.6513,0.5912,0.07146,0.2019,0.05994,0.08225,4.761,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.2,106.4,39.35,815.6,165.5,3.336,3.681,29.85,4.27,0.0,47.09,5.859,10.73,58.37,42.11,0.1608,0.01351,0.01543,0.01181,0.0139,0.0,0.0,4790000.0,8887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,444.6,76450.0,82490.0,44780.0,2.15E7,48080.0,20360.0,22990.0,13190.0,23750.0,0.0,4.1230000000000005E-36,2.842E-36,1.353E-35,1.579E-35,2.131E-36,1.088E-36,1.142E-38,7.837E-39,4.696E-38,2.197E-38,2.08E-35,0.0,0.5802,1.342,2.904,1.537,0.2248,0.067,0.003726,0.002644,0.0161,0.009761,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,2.458E-4,0.009337,0.01026,0.006409,0.2452,0.01377,0.001647,6.948E-4,0.005412,9.724E-4,
0.0,1583.0,183.9,182.2,150.8,0.05171,10.11,0.2323,0.1739,0.9784,0.4063,0.0,343.6,0.1342,0.6634,0.5805,0.07064,0.2072,0.06023,0.08212,4.761,11.02,0.0,343.6,0.1342,0.6634,0.5805,0.07064,0.2072,0.06023,0.08212,4.761,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.7,106.8,40.63,784.4,165.8,3.227,3.559,29.81,4.169,0.0,46.02,5.664,10.22,57.2,41.03,0.1796,0.01333,0.01526,0.01176,0.01375,0.0,0.0,4781000.0,16720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,553.5,76010.0,77870.0,46010.0,2.147E7,47240.0,19930.0,22540.0,13080.0,23540.0,0.0,3.577E-36,2.43E-36,1.39E-35,1.54E-35,2.1160000000000002E-36,1.3250000000000001E-36,1.135E-38,7.814999999999999E-39,4.6569999999999997E-38,2.195E-38,2.08E-35,0.0,0.5244,1.315,2.996,1.492,0.2224,0.08068,0.003726,0.002644,0.01609,0.009761,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,3.434E-4,0.009358,0.01023,0.006382,0.2432,0.01372,0.001644,6.855E-4,0.005409,9.666E-4,
0.0,1583.0,184.0,179.0,154.6,0.05649,3.387,0.2369,0.1955,0.988,0.4185,0.0,343.6,0.1337,0.6607,0.5985,0.07404,0.1798,0.0531,0.08031,4.758,11.03,0.0,343.6,0.1337,0.6607,0.5985,0.07404,0.1798,0.0531,0.08031,4.758,11.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.5,110.5,41.23,767.5,165.8,3.179,3.505,29.79,4.123,0.0,46.02,5.559,9.667,58.47,42.64,0.4225,0.01325,0.01517,0.01174,0.01368,0.0,0.0,4781000.0,16720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,687.0,76330.0,78230.0,47470.0,2.241E7,47470.0,20370.0,23120.0,13030.0,24230.0,0.0,3.577E-36,2.414E-36,1.38E-35,1.618E-35,2.266E-36,1.931E-37,1.124E-38,7.788E-39,4.607E-38,2.194E-38,2.08E-35,0.0,0.5245,1.313,2.956,1.55,0.2302,0.02082,0.003723,0.002645,0.01609,0.009763,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,5.544E-4,0.009366,0.0102,0.00638,0.2431,0.01351,0.001632,6.834E-4,0.005409,9.654E-4,
0.0,1589.0,179.1,177.8,150.1,0.05227,4.277,0.2367,0.1955,0.9878,0.4186,0.0,343.6,0.1373,0.6569,0.5763,0.07696,0.1765,0.04547,0.07855,4.756,11.04,0.0,343.6,0.1373,0.6569,0.5763,0.07696,0.1765,0.04547,0.07855,4.756,11.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.3,110.6,41.84,751.2,165.7,3.151,3.473,29.78,4.097,0.0,46.02,5.582,9.194,59.33,42.22,0.3344,0.01318,0.01509,0.01174,0.01363,0.0,0.0,4781000.0,16720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.604E-4,0.0,1068.0,76610.0,78450.0,50530.0,2.358E7,48200.0,21160.0,24100.0,13130.0,25270.0,0.0,3.8780000000000005E-36,2.4630000000000002E-36,1.379E-35,1.571E-35,2.215E-36,2.046E-37,1.117E-38,7.766E-39,4.558E-38,2.192E-38,2.08E-35,0.0,0.5806,1.287,2.927,1.515,0.2351,0.02514,0.003719,0.002645,0.01609,0.009763,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,7.534E-4,0.009333,0.0102,0.006267,0.2424,0.01341,0.001627,6.817E-4,0.005407,9.639E-4,
0.0,1589.0,175.7,171.2,148.0,0.0517,6.175,0.2368,0.1957,0.9867,0.4188,0.0,343.6,0.1348,0.6289,0.5893,0.07449,0.1829,0.04451,0.07837,4.755,11.04,0.0,343.6,0.1348,0.6289,0.5893,0.07449,0.1829,0.04451,0.07837,4.755,11.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.6,113.3,40.18,745.2,165.6,3.102,3.42,29.72,4.059,0.0,46.02,5.752,9.967,71.38,32.56,0.2379,0.0152,0.0151,0.01177,0.01365,0.0,0.0,4781000.0,16720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79E-4,0.0,1210.0,77020.0,76820.0,45080.0,2.46E7,48910.0,22060.0,25090.0,13260.0,26260.0,0.0,3.8790000000000006E-36,2.4220000000000003E-36,1.333E-35,1.561E-35,2.082E-36,5.346E-37,1.109E-38,7.756E-39,4.512E-38,2.191E-38,2.08E-35,0.0,0.5808,1.272,2.867,1.568,0.1972,0.04333,0.003721,0.002647,0.01607,0.009767,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,9.687E-4,0.009248,0.01019,0.00605,0.2412,0.0132,0.001627,6.797E-4,0.005407,9.621E-4,
0.0,1586.0,179.6,171.5,150.3,0.05175,4.255,0.2372,0.1968,0.987,0.4172,0.0,343.6,0.1358,0.6059,0.5841,0.08595,0.1722,0.04502,0.2166,4.791,10.87,0.0,343.6,0.1358,0.6059,0.5841,0.08595,0.1722,0.04502,0.2166,4.791,10.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.9,116.6,40.78,722.2,165.5,3.073,3.387,29.7,4.031,0.0,45.78,5.942,8.76,68.22,32.39,0.1981,0.01471,0.01503,0.01179,0.01361,0.0,0.0,4777000.0,20190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1722.0,78570.0,81100.0,45800.0,2.618E7,50500.0,23300.0,26600.0,13460.0,27810.0,0.0,3.809E-36,2.6630000000000002E-36,1.288E-35,1.56E-35,2.3060000000000003E-36,2.033E-37,1.104E-38,7.774E-39,4.476E-38,2.179E-38,2.08E-35,0.0,0.5793,1.304,2.829,1.548,0.2174,0.02496,0.003719,0.002654,0.01607,0.009756,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,0.00117,0.009323,0.01009,0.005994,0.2416,0.01306,0.001635,6.865E-4,0.005411,9.472E-4,
0.0,1590.0,180.4,170.4,144.7,0.2636,7.434,0.2375,0.1968,0.9868,0.4171,0.0,343.6,0.139,0.6168,0.5512,0.07136,0.1969,0.0451,0.07828,4.791,11.0,0.0,343.6,0.139,0.6168,0.5512,0.07136,0.1969,0.0451,0.07828,4.791,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.7,117.7,40.61,694.6,165.4,3.049,3.359,29.69,4.005,0.0,45.78,5.778,8.711,66.81,31.84,0.1713,0.01422,0.01495,0.01184,0.01359,0.0,0.0,4777000.0,20190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032E-4,0.0,1972.0,80390.0,79210.0,45320.0,2.553E7,50080.0,23560.0,26820.0,13510.0,27830.0,0.0,3.883E-36,2.4510000000000003E-36,1.294E-35,1.4660000000000002E-35,2.054E-36,9.356E-37,1.093E-38,7.751E-39,4.428E-38,2.176E-38,2.08E-35,0.0,0.6125,1.315,2.832,1.475,0.1918,0.06,0.003717,0.002654,0.01607,0.009756,0.0,0.0,2.519E-4,1.096E-4,8.227E-4,0.9961,0.001032,4.133E-4,5.422E-4,6.287E-5,6.586E-4,0.0,0.001219,0.009299,0.01006,0.005915,0.2402,0.01306,0.001629,6.805E-4,0.005408,9.426E-4,
0.0,1592.0,178.5,170.8,144.1,0.2011,9.136,0.2378,0.1976,0.9886,0.4774,0.0,343.6,0.1347,0.6193,0.5817,0.0714,0.5844,0.04598,0.07828,4.792,10.58,0.0,343.6,0.1347,0.6193,0.5817,0.0714,0.5844,0.04598,0.07828,4.792,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.8,118.8,35.93,655.9,175.2,1.905,2.113,27.16,6.37,0.0,45.78,5.955,9.647,63.73,31.82,0.1568,0.0139,0.0149,0.01188,0.01359,0.0,0.0,4777000.0,20190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,2199.0,82320.0,79030.0,45290.0,2.486E7,48740.0,22830.0,25970.0,13320.0,27110.0,0.0,3.964E-36,2.375E-36,1.2960000000000001E-35,1.465E-35,2.051E-36,7.342E-37,1.0229999999999999E-38,7.129E-39,4.243E-38,2.25E-38,2.08E-35,0.0,0.6266,1.294,2.851,1.456,0.1912,0.06232,0.003692,0.002629,0.01601,0.01007,0.0,0.0,2.519E-4,1.096E-4,8.227E-4,0.9961,0.001032,4.133E-4,5.422E-4,6.287E-5,6.586E-4,0.0,0.00144,0.009312,0.01006,0.005822,0.2398,0.01296,0.00161,6.663E-4,0.005383,0.001001,
0.0,1587.0,183.6,161.4,149.9,0.1858,5.737,0.2379,0.197,0.9924,0.4253,0.0,343.6,0.1168,0.6132,0.5907,0.07117,0.1379,0.04525,0.07742,4.754,11.05,0.0,343.6,0.1168,0.6132,0.5907,0.07117,0.1379,0.04525,0.07742,4.754,11.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.7,145.2,29.81,653.9,176.2,1.903,2.109,27.54,2.808,0.0,45.24,1.211,8.812,76.83,26.47,0.1249,0.02869,0.03131,0.01465,0.02598,0.0,0.0,4772000.0,25650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.935E-4,0.0,2413.0,82480.0,79110.0,45110.0,2.5E7,50010.0,18110.0,20850.0,12390.0,23290.0,0.0,3.8200000000000004E-36,1.763E-36,1.311E-35,1.494E-35,2.085E-36,1.734E-37,1.02E-38,7.197E-39,4.212E-38,2.126E-38,2.08E-35,0.0,0.5869,1.311,2.755,1.537,0.1945,0.03,0.003714,0.00265,0.01605,0.009778,0.0,0.0,2.519E-4,1.096E-4,8.227E-4,0.9961,0.001032,4.133E-4,5.422E-4,6.287E-5,6.586E-4,0.0,0.001606,0.00767,0.01196,0.005449,0.2399,0.01282,0.001514,5.594E-4,0.005368,8.783E-4,
