entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.174,0.1683,0.1432,0.075,0.04334,0.2284,0.1243,0.03284,0.01149,0.1508,0.04271,0.07397,0.07397,
2.106,0.1696,0.0994,0.05089,0.02967,0.1545,0.08457,0.02264,0.007921,0.104,0.03244,0.2063,0.2077,
2.112,0.1633,0.1025,0.05099,0.02923,0.1519,0.08398,0.02272,0.007946,0.1043,0.03576,0.2049,0.2058,
2.11,0.1606,0.1018,0.05075,0.02927,0.15,0.08223,0.02278,0.007966,0.1046,0.03585,0.2064,0.2083,
2.107,0.1658,0.1005,0.05082,0.02903,0.1499,0.08066,0.02275,0.007979,0.1048,0.03591,0.2068,0.2109,
2.105,0.1621,0.09982,0.05081,0.02905,0.1479,0.07888,0.02284,0.008011,0.1052,0.03605,0.2076,0.2138,
2.107,0.1632,0.1012,0.05062,0.02901,0.1471,0.07735,0.02282,0.008014,0.1052,0.03762,0.2072,0.2139,
2.106,0.1642,0.1006,0.0505,0.02904,0.1461,0.07721,0.02283,0.008028,0.1054,0.03769,0.2076,0.215,
2.103,0.1651,0.0998,0.05035,0.02907,0.1461,0.07525,0.02283,0.008039,0.1056,0.03774,0.2079,0.2174,
2.104,0.1534,0.1009,0.04967,0.02909,0.1447,0.07403,0.0229,0.008026,0.1059,0.03914,0.2083,0.2173,
2.102,0.1638,0.1009,0.04964,0.02851,0.143,0.07393,0.02278,0.008037,0.1062,0.03923,0.2089,0.2189,
2.101,0.1577,0.1007,0.04959,0.02849,0.1428,0.07282,0.02277,0.00803,0.1061,0.0392,0.2097,0.2198,
2.099,0.1578,0.1006,0.04954,0.02815,0.1425,0.07227,0.02274,0.008022,0.106,0.03916,0.2106,0.2203,
2.098,0.1555,0.1003,0.04947,0.02813,0.1424,0.07222,0.02273,0.008016,0.1059,0.03913,0.2115,0.2202,
2.096,0.1692,0.1001,0.04934,0.02812,0.142,0.07088,0.02272,0.008012,0.1059,0.03911,0.2124,0.2214,
2.096,0.167,0.1001,0.04924,0.02814,0.1415,0.07094,0.02273,0.008019,0.106,0.03915,0.2126,0.2216,
2.101,0.1681,0.1032,0.04903,0.02768,0.1409,0.07038,0.02271,0.00801,0.1059,0.04193,0.2117,0.2186,
2.109,0.1562,0.1088,0.04901,0.02767,0.1407,0.06962,0.02271,0.00801,0.1059,0.04503,0.2096,0.213,
2.108,0.1533,0.1082,0.04906,0.02737,0.1403,0.06954,0.02274,0.008019,0.106,0.04509,0.2098,0.2138,
2.111,0.1654,0.1099,0.04909,0.02739,0.1403,0.06919,0.02275,0.008024,0.106,0.04659,0.2085,0.2123,
2.11,0.159,0.1086,0.04903,0.02742,0.1402,0.0693,0.02278,0.008036,0.1062,0.04662,0.2088,0.213,
2.118,0.1538,0.113,0.04898,0.02741,0.1396,0.0693,0.02278,0.008035,0.1062,0.05005,0.2064,0.2082,
2.116,0.1501,0.1122,0.04867,0.02717,0.1397,0.0689,0.02281,0.008046,0.1063,0.05011,0.2066,0.2094,
2.116,0.1424,0.1129,0.04843,0.02716,0.1393,0.06887,0.0228,0.008043,0.1063,0.05009,0.2076,0.2084,
2.116,0.1391,0.1128,0.04837,0.02718,0.1387,0.06894,0.02283,0.008051,0.1064,0.05015,0.2078,0.2087,
2.115,0.1424,0.1125,0.04811,0.02714,0.1383,0.06884,0.02279,0.008039,0.1063,0.05007,0.2096,0.2083,
2.117,0.1484,0.1125,0.04803,0.02715,0.1379,0.06888,0.02281,0.008044,0.1063,0.05175,0.2081,0.2085,
2.116,0.138,0.1115,0.04799,0.02713,0.1377,0.06828,0.02279,0.008038,0.1062,0.05171,0.209,0.2096,
2.114,0.1563,0.1104,0.04792,0.02713,0.1375,0.06774,0.02281,0.008045,0.1063,0.05175,0.2091,0.2113,
2.113,0.1432,0.1092,0.04792,0.02713,0.1374,0.06733,0.02284,0.008054,0.1065,0.0518,0.2094,0.2124,
2.114,0.1348,0.112,0.04789,0.02711,0.1369,0.06616,0.02283,0.008051,0.1064,0.05261,0.2095,0.2105,
2.138,0.1564,0.1113,0.04789,0.02725,0.1369,0.06551,0.02324,0.0216,0.09709,0.04815,0.2097,0.2114,
2.162,0.2018,0.1108,0.04792,0.02697,0.1365,0.06492,0.0234,0.06336,0.05572,0.04781,0.21,0.2126,
2.167,0.1755,0.1151,0.04805,0.02704,0.1364,0.06346,0.0241,0.063,0.05687,0.04873,0.2077,0.2096,
2.163,0.1746,0.1145,0.048,0.0271,0.1359,0.06132,0.02396,0.06375,0.05722,0.04758,0.2088,0.2119,
2.164,0.1833,0.1182,0.04813,0.02716,0.1356,0.06029,0.02386,0.06422,0.05784,0.04669,0.209,0.209,
2.164,0.1843,0.1177,0.04836,0.0272,0.1354,0.05988,0.02387,0.06439,0.05836,0.0461,0.2091,0.2096,
2.144,0.1882,0.1166,0.04874,0.02725,0.1356,0.07376,0.01005,0.06491,0.0592,0.04485,0.2093,0.2097,
2.144,0.1755,0.116,0.0489,0.02731,0.1357,0.07406,0.00979,0.06521,0.05982,0.04401,0.2094,0.2098,
2.144,0.1723,0.1148,0.04913,0.02735,0.1357,0.07425,0.009666,0.06539,0.05973,0.04404,0.2095,0.2104,
2.143,0.1731,0.1144,0.04918,0.02739,0.1357,0.07429,0.009935,0.06542,0.06179,0.04177,0.2096,0.2105,
2.141,0.2017,0.1131,0.04904,0.02686,0.1356,0.07422,0.009927,0.06537,0.06241,0.04106,0.2115,0.2108,
2.148,0.1834,0.1141,0.04932,0.02694,0.1355,0.0736,0.009931,0.06553,0.06231,0.04504,0.2077,0.21,
2.146,0.198,0.1134,0.04942,0.02699,0.1357,0.07296,0.009806,0.06571,0.06261,0.04468,0.2078,0.211,
2.147,0.196,0.1155,0.04973,0.02702,0.137,0.0722,0.0098,0.06607,0.06297,0.04386,0.2088,0.2071,
2.147,0.1877,0.1148,0.04982,0.02706,0.1374,0.07189,0.009669,0.06628,0.06295,0.04369,0.2088,0.2076,
2.145,0.1873,0.1141,0.04975,0.02709,0.1376,0.07114,0.009663,0.0666,0.06268,0.04354,0.2097,0.2082,
2.145,0.2084,0.113,0.0498,0.02712,0.1385,0.07071,0.009664,0.06674,0.0627,0.0434,0.2097,0.2087,
2.144,0.1987,0.1121,0.04977,0.02715,0.1384,0.07042,0.009662,0.06673,0.06293,0.04314,0.2107,0.2089,
2.143,0.2168,0.1118,0.04973,0.02722,0.1383,0.07019,0.009668,0.06677,0.06453,0.04162,0.2109,0.2093,
2.14,0.2159,0.1113,0.0499,0.02724,0.1379,0.06869,0.009663,0.06674,0.06494,0.04115,0.2118,0.2107,
