cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83360,89580,47800,2.24E+07,45540,21470,24240,13490,24790,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006468,0.2457,0.01391,0.001641,6.99E-04,0.005387,9.76E-04
0,1594,171.1,186.4,153.6,0.05161,4.899,0.2279,0.1659,0.9687,0.4064,0,343.6,0.1312,0.6676,0.6222,0.07199,0.1803,0.06181,0.08303,4.743,11.03,0,343.6,0.1312,0.6676,0.6222,0.07199,0.1803,0.06181,0.08303,4.743,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,289.4,106.3,39.1,775.3,165.1,3.268,3.606,29.82,4.21,0,44.2,5.86,13.66,60.58,41.42,0.1215,0.01335,0.01526,0.01178,0.01377,0,0,4791000,8012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95E-04,0,78.1,75820,80070,47040,2.15E+07,42490,20140,22770,13240,23530,0,4.02E-36,2.31E-36,1.42E-35,1.67E-35,2.13E-36,3.48E-37,1.12E-38,8.16E-39,4.75E-38,2.20E-38,2.08E-35,0,0.579,1.224,3.021,1.591,0.2229,0.03125,0.00373,0.002643,0.01609,0.009765,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.63E-05,0.009346,0.01024,0.006422,0.2445,0.01384,0.00165,6.95E-04,0.005421,9.70E-04
0,1597,171.9,180.2,131.9,0.05354,6.808,0.2503,0.1777,0.9832,0.4065,0,343.6,0.1303,0.6563,0.6046,0.07296,0.1888,0.06198,0.08306,3.838,11.94,0,343.6,0.1303,0.6563,0.6046,0.07296,0.1888,0.06198,0.08306,3.838,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,298.9,105.5,39.2,757,165,3.171,3.497,29.8,4.122,0,46.76,5.639,10.72,82.79,41.42,0.1128,0.0145,0.01583,0.01257,0.01368,0,0,4791000,8012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25E-04,0,484.3,73530,72890,47590,2.15E+07,41520,19850,22460,13150,23290,0,4.31E-36,2.31E-36,1.42E-35,1.58E-35,2.21E-36,6.45E-37,1.10E-38,8.13E-39,4.70E-38,2.20E-38,2.08E-35,0,0.6133,1.231,2.965,1.578,0.226,0.04939,0.003731,0.002645,0.01609,0.009765,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.72E-04,0.009413,0.01005,0.006376,0.2429,0.01383,0.001648,6.97E-04,0.005425,9.67E-04
0,1586,183.1,179.9,138.1,0.04884,5.29,0.2505,0.1782,0.9962,0.4038,0,343.6,0.1263,0.6421,0.6214,0.07092,0.1821,0.06216,0.08401,3.878,11.9,0,343.6,0.1263,0.6421,0.6214,0.07092,0.1821,0.06216,0.08401,3.878,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,298.4,108.4,36.63,729,164.9,3.062,3.422,30.39,3.918,0,45.83,0.824,7.205,87.8,38.74,0.04954,0.01349,0.0153,0.0119,0.01368,0,0,4783000,16020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53E-04,0,569.4,74560,70820,47780,2.22E+07,42110,20170,22900,13080,23960,0,3.76E-36,2.28E-36,1.39E-35,1.62E-35,2.19E-36,4.20E-37,1.09E-38,8.10E-39,4.72E-38,2.18E-38,2.08E-35,0,0.534,1.3,2.938,1.596,0.2241,0.03572,0.003717,0.002644,0.01629,0.009719,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.95E-04,0.009409,0.01002,0.006285,0.2424,0.0137,0.001652,6.97E-04,0.0054,9.70E-04
0,1590,184.2,171.2,136.4,0.04879,5.301,0.2497,0.1763,1.001,0.4041,0,343.6,0.13,0.6908,0.5433,0.067,0.1815,0.05633,0.08013,3.426,12.31,0,343.6,0.13,0.6908,0.5433,0.067,0.1815,0.05633,0.08013,3.426,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,302.9,113.7,37.01,700.9,164.9,3.006,3.314,30.58,3.851,0,61.72,0.843,7.454,74.72,38.14,0.03592,0.01328,0.01514,0.0118,0.01363,6.18E-15,0,4783000,15780,235.3,4.461,0,0,0,0,0,0,6.20E-17,0,0,7.76E-15,4.86E-15,9.22E-17,3.74E-19,4.29E-19,0,0,0,0,0,0,9.20E-23,3.17E-22,6.01E-24,1.34E-29,9.65E-30,0,0,0,0,1.00E-04,0,1915,76650,77680,46570,2.36E+07,43440,21180,24120,13290,25330,0,4.83E-36,2.33E-36,1.37E-35,1.48E-35,2.10E-36,4.18E-37,1.07E-38,7.98E-39,4.69E-38,2.19E-38,2.08E-35,0,0.6394,1.31,2.877,1.497,0.2185,0.0357,0.003699,0.002611,0.01643,0.009972,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.86E-04,0.009428,0.01003,0.006076,0.2428,0.01367,0.001654,6.81E-04,0.005424,9.82E-04
0,1591,179,173,137.3,0.04966,4.562,0.2513,0.1811,0.9807,0.4025,0,343.6,0.126,0.708,0.5328,0.06633,0.1697,0.05524,0.1071,3.441,12.27,0,343.6,0.126,0.708,0.5328,0.06633,0.1697,0.05524,0.1071,3.441,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,313.2,114,37.75,691,164.8,2.969,3.673,29.89,3.867,0,63.06,1.003,7.338,71.8,37.63,0.06634,0.01309,0.02663,0.02639,0.02135,1.85E-14,0,4783000,15770,238.2,4.002,0,0,0,0,0,0,3.13E-16,0,0,9.42E-15,2.49E-13,4.66E-16,1.69E-17,2.70E-17,6.45E-17,1.42E-16,8.81E-16,2.60E-15,0,0,1.69E-22,3.15E-20,3.33E-23,5.46E-27,1.48E-27,5.29E-29,1.03E-26,1.52E-26,2.04E-26,1.50E-04,0,2066,78730,74920,50110,2.48E+07,45230,21880,25240,13710,26440,0,4.95E-36,2.25E-36,1.35E-35,1.48E-35,2.08E-36,2.86E-37,1.05E-38,6.49E-38,1.16E-37,5.99E-38,2.08E-35,0,0.6499,1.278,2.872,1.503,0.217,0.0291,0.003705,0.005933,0.02015,0.01211,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.72E-04,0.009431,0.01002,0.00606,0.2399,0.01358,0.001655,6.82E-04,0.005412,9.73E-04
0,1577,190.7,172.9,144.8,0.04962,4.515,0.2513,0.1722,0.9892,0.4026,0,343.6,0.1265,0.7012,0.5362,0.06417,0.1694,0.05545,0.1054,3.443,12.27,0,343.6,0.1265,0.7012,0.5362,0.06417,0.1694,0.05545,0.1054,3.443,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,319.4,106.6,37.83,686.2,164.8,2.956,3.223,30.31,3.854,0,61.44,2.655,9.922,61.09,37.21,0.06587,0.01289,0.02639,0.02637,0.0212,3.59E-14,0,4773000,26010,238.2,4.002,0,0,0,0,0,0,1.68E-15,0,0,3.32E-14,3.77E-12,6.28E-15,5.44E-16,1.35E-16,7.03E-16,1.08E-15,5.55E-15,1.49E-14,0,0,2.47E-21,7.51E-19,8.31E-21,9.24E-26,5.47E-25,1.33E-27,2.95E-24,3.73E-24,2.07E-24,1.04E-04,0,2129,80420,59320,48340,2.37E+07,44170,21650,24850,13640,25950,0,4.11E-36,3.08E-36,1.47E-35,1.45E-35,1.08E-36,2.84E-37,1.04E-38,3.27E-38,7.64E-38,3.86E-38,2.08E-35,0,0.5387,1.38,2.956,1.493,0.1396,0.02906,0.003704,0.004006,0.01807,0.01092,0,0,2.53E-04,1.10E-04,8.28E-04,0.9961,0.001038,4.16E-04,5.46E-04,6.32E-05,6.63E-04,0,6.45E-04,0.009416,0.009205,0.005992,0.2384,0.0135,0.001648,6.62E-04,0.005417,9.66E-04
0,1580,186.6,174.2,145.7,0.04665,4.573,0.2448,0.1787,0.9801,0.3968,0,343.6,0.1329,0.6937,0.5323,0.0632,0.1545,0.05466,0.1073,2.85,12.89,0,343.6,0.1329,0.6937,0.5323,0.0632,0.1545,0.05466,0.1073,2.85,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,332.6,105.9,33.92,656.6,175.6,2.297,2.56,27.97,2.759,0,61.44,1.588,9.921,56.4,37.2,0.03592,0.01283,0.02634,0.02642,0.02121,5.21E-14,0,4773000,24250,238.2,4.002,0,0,0,0,0,0,4.19E-15,0,0,1.11E-13,1.52E-11,2.59E-14,2.42E-15,2.88E-15,2.38E-15,3.26E-15,1.63E-14,9.65E-14,0,0,1.62E-20,3.62E-18,7.21E-20,4.17E-25,3.11E-24,9.66E-27,2.67E-23,3.35E-23,1.92E-23,7.49E-04,0,2282,81550,57030,46970,2.27E+07,43170,21110,24270,13390,25200,0,4.12E-36,2.46E-36,1.46E-35,1.43E-35,1.08E-36,2.90E-37,9.35E-39,3.27E-38,7.45E-38,3.80E-38,2.08E-35,0,0.5596,1.355,2.947,1.474,0.1394,0.02962,0.003609,0.004115,0.01792,0.01084,0,0,2.53E-04,1.10E-04,8.28E-04,0.9961,0.001038,4.16E-04,5.46E-04,6.32E-05,6.63E-04,0,7.09E-04,0.009299,0.009185,0.005952,0.2376,0.01359,0.001632,7.06E-04,0.005344,9.77E-04
0,1581,182.5,167.2,138.8,0.03755,4.642,0.2475,0.1965,0.9578,0.3984,0,343.7,0.1269,0.7072,0.5164,0.06474,0.1536,0.05518,0.1087,2.848,12.89,0,343.7,0.1269,0.7072,0.5164,0.06474,0.1536,0.05518,0.1087,2.848,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,334.7,109.3,29.55,634.2,173.2,2.609,3.503,27.17,2.96,0,61.44,1.129,16.85,67.27,37.01,0.02124,0.01258,0.02617,0.02619,0.02097,6.73E-14,0,4773000,24250,238.2,4.002,0,0,0,0,0,0,7.72E-15,0,6.63E-16,2.73E-13,3.89E-11,6.60E-14,6.74E-15,1.24E-14,5.83E-15,1.11E-14,3.34E-14,3.31E-13,0,2.48E-22,6.12E-20,1.03E-17,3.42E-19,9.72E-23,7.93E-23,7.17E-25,1.05E-22,1.32E-22,7.97E-23,1.00E-04,0,2399,84340,57990,48900,2.20E+07,40780,19930,22840,13270,24020,0,4.27E-36,2.34E-36,1.48E-35,1.39E-35,1.10E-36,2.97E-37,9.53E-39,3.36E-38,7.35E-38,3.82E-38,2.08E-35,0,0.577,1.352,2.928,1.467,0.1495,0.03005,0.003647,0.004409,0.01755,0.01086,0,0,2.54E-04,1.11E-04,8.30E-04,0.9961,0.001042,4.17E-04,5.47E-04,6.35E-05,6.65E-04,0,7.64E-04,0.009317,0.009215,0.005869,0.2349,0.01352,0.001636,6.61E-04,0.005396,9.76E-04
0,1565,192.1,166.9,134,1.08,5.122,0.2546,0.1985,0.9646,0.404,0,343.7,0.1072,0.7663,0.7023,0.06635,0.1397,0.05572,0.1086,2.848,12.67,0,343.7,0.1072,0.7663,0.7023,0.06635,0.1397,0.05572,0.1086,2.848,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,331.5,111.5,29.17,621.5,183.9,3.919,3.972,28.84,3.852,0,59.67,1.056,15.23,72.3,36.83,0.02056,0.01249,0.02608,0.02616,2.92,7.97E-14,0,4762000,34190,209.2,2.545,0,0,0,0,0,0,1.16E-14,0,6.61E-16,1.24E-11,5.94E-11,4.59E-13,1.58E-14,2.93E-14,1.46E-14,2.90E-14,4.41E-13,1.42E-12,0,2.46E-22,6.00E-18,1.22E-16,2.79E-18,2.39E-22,2.78E-22,3.66E-24,2.90E-22,3.55E-22,2.30E-20,6.78E-04,0,2395,83910,64520,44960,2.15E+07,40730,19520,22330,13050,24160,0,3.45E-36,1.53E-36,1.52E-35,1.37E-35,1.14E-36,4.37E-37,1.08E-38,3.37E-38,7.39E-38,6.10E-38,2.08E-35,0,0.4664,1.37,2.936,1.462,0.1623,0.03978,0.003754,0.004373,0.01767,0.02462,0,0,2.54E-04,1.11E-04,8.30E-04,0.9961,0.001042,4.17E-04,5.47E-04,6.35E-05,6.65E-04,0,7.63E-04,0.006918,0.007051,0.004799,0.2344,0.01911,0.001664,6.62E-04,0.005416,0.001012
