RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4726000.0,2402000.0,1403000.0,7334000.0,4009000.0,1065000.0,372600.0,4892000.0,1477000.0,9856000.0,9733000.0,
4658000.0,2396000.0,1402000.0,7199000.0,4009000.0,1065000.0,372600.0,4892000.0,1477000.0,9905000.0,9763000.0,
4816000.0,2379000.0,1386000.0,7156000.0,3967000.0,1065000.0,372600.0,4892000.0,1689000.0,9743000.0,9658000.0,
4796000.0,2351000.0,1369000.0,7084000.0,3944000.0,1065000.0,372500.0,4892000.0,1689000.0,9743000.0,9696000.0,
4745000.0,2351000.0,1353000.0,6986000.0,3915000.0,1065000.0,372400.0,4892000.0,1688000.0,9792000.0,9740000.0,
4919000.0,2349000.0,1353000.0,6934000.0,3886000.0,1065000.0,372300.0,4892000.0,1745000.0,9735000.0,9564000.0,
4830000.0,2348000.0,1353000.0,6929000.0,3867000.0,1065000.0,372300.0,4892000.0,1745000.0,9783000.0,9603000.0,
4823000.0,2348000.0,1352000.0,6890000.0,3852000.0,1065000.0,372200.0,4892000.0,1745000.0,9832000.0,9626000.0,
5002000.0,2326000.0,1350000.0,6815000.0,3852000.0,1065000.0,372200.0,4892000.0,1854000.0,9822000.0,9400000.0,
4942000.0,2319000.0,1348000.0,6787000.0,3852000.0,1065000.0,372100.0,4892000.0,1932000.0,9744000.0,9400000.0,
4913000.0,2318000.0,1334000.0,6787000.0,3827000.0,1065000.0,372100.0,4892000.0,2099000.0,9625000.0,9440000.0,
4887000.0,2316000.0,1333000.0,6783000.0,3827000.0,1065000.0,372100.0,4892000.0,2128000.0,9596000.0,9447000.0,
4879000.0,2315000.0,1333000.0,6783000.0,3765000.0,1065000.0,372100.0,4892000.0,2128000.0,9596000.0,9509000.0,
4860000.0,2310000.0,1333000.0,6778000.0,3736000.0,1065000.0,372100.0,4892000.0,2128000.0,9692000.0,9538000.0,
4846000.0,2308000.0,1332000.0,6768000.0,3724000.0,1065000.0,372100.0,4892000.0,2182000.0,9686000.0,9550000.0,
4828000.0,2307000.0,1332000.0,6758000.0,3724000.0,1065000.0,372100.0,4892000.0,2258000.0,9610000.0,9550000.0,
4816000.0,2303000.0,1327000.0,6752000.0,3711000.0,1065000.0,372100.0,4892000.0,2258000.0,9658000.0,9578000.0,
