R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.4E-5,0.031,0.031,0.0,490.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.8E-5,0.031,0.031,0.0,450.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
2.0E-37,0.016,2200.0,3100.0,3800.0,5300000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,5300000.0,2.1E-5,0.048,0.048,0.0,440.0,11.0,0.0,0.0,0.0,1.9E7,1.0,7.2E8,
1.9E-37,0.016,2200.0,3000.0,3700.0,4800000.0,3800.0,1500.0,2000.0,230.0,2500.0,0.19,4800000.0,5.5E-5,0.045,0.045,0.0,420.0,10.0,0.0,0.0,0.0,1.8E7,1.0,7.2E8,
1.8E-37,0.015,2100.0,3000.0,3700.0,4400000.0,3800.0,1500.0,2000.0,230.0,2400.0,0.18,4400000.0,5.7E-5,0.043,0.043,0.0,400.0,9.5,0.0,0.0,0.0,1.7E7,1.0,7.1E8,
1.7E-37,0.014,2100.0,3000.0,3600.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3899999.9999999995,5.6E-5,0.04,0.04,0.0,370.0,8.8,0.0,0.0,0.0,1.6E7,1.0,7.1E8,
1.7E-37,0.014,2100.0,3000.0,3600.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3899999.9999999995,5.8E-5,0.04,0.04,0.0,360.0,8.8,0.0,0.0,0.0,1.6E7,1.0,7.1E8,
1.7E-37,0.014,2100.0,3000.0,3600.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,5.3E-5,0.039,0.039,0.0,340.0,8.8,0.0,0.0,0.0,1.7E7,1.0,7.0E8,
1.7E-37,0.014,2100.0,3000.0,3600.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,5.6E-5,0.039,0.039,0.0,310.0,8.7,0.0,6.1E-19,9.400000000000001E-30,1.6E7,1.0,6.9E8,
1.7E-37,0.014,2100.0,3000.0,3600.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,5.4E-5,0.039,0.039,0.0,290.0,8.7,0.0,4.5E-18,1.5000000000000002E-28,1.6E7,1.0,6.9E8,
1.6E-37,0.012,2900.0,780.0,3600.0,4600000.0,3700.0,1500.0,2000.0,230.0,2400.0,0.18,4600000.0,6.5E-5,0.049,0.049,0.0,350.0,10.0,0.0,6.1E-17,1.2E-27,1.6E7,1.0,7.1E8,
1.5E-37,0.012,2900.0,780.0,3600.0,4200000.0,3700.0,1500.0,2000.0,230.0,2400.0,0.18,4300000.0,6.4E-5,0.046,0.046,0.0,350.0,9.6,0.0,9.8E-17,3.1000000000000002E-27,1.6E7,1.0,7.1E8,
1.5E-37,0.011,2900.0,780.0,3600.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,6.2E-5,0.043,0.043,0.0,350.0,9.0,0.0,1.6E-16,5.7000000000000004E-27,1.6E7,1.0,7.0E8,
1.5E-37,0.011,2900.0,780.0,3600.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,6.1E-5,0.043,0.043,0.0,350.0,9.0,0.0,4.1E-16,2.0E-26,1.6E7,1.0,7.0E8,
1.5E-37,0.011,2900.0,780.0,3600.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,5.4E-5,0.043,0.043,0.0,340.0,9.0,0.0,7.4E-16,4.0E-26,1.7E7,1.0,7.0E8,
1.5E-37,0.011,2900.0,780.0,3600.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,4.6E-5,0.043,0.043,0.0,340.0,9.0,0.0,1.2E-15,6.0E-26,1.8E7,1.0,7.0E8,
1.5E-37,0.011,2900.0,780.0,3600.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,3.8E-5,0.043,0.043,0.0,330.0,9.0,0.0,1.6E-15,7.6E-26,1.9E7,1.0,7.0E8,
1.5E-37,0.011,2900.0,780.0,3600.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,3.1E-5,0.043,0.043,0.0,330.0,9.0,0.0,2.2E-15,8.8E-26,2.1E7,1.0,7.0E8,
1.5E-37,0.011,2900.0,780.0,3600.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,2.5E-5,0.043,0.043,0.0,330.0,9.0,0.0,2.8E-15,9.5E-26,2.2E7,1.0,7.0E8,
