cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83370,89590,47810,2.24E+07,45540,21470,24240,13490,24790,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1606,161.4,177,147.4,0.04934,4.876,0.2293,0.1664,0.9948,0.413,0,343.6,0.09532,0.6267,0.6117,0.1088,0.1809,0.05918,0.06862,4.776,11.06,0,343.6,0.09532,0.6267,0.6117,0.1088,0.1809,0.05918,0.06862,4.776,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,297.2,109.7,38.89,778.7,165,3.195,3.398,30.72,4.305,0,48.1,5.976,12.79,73.3,40.73,0.1211,0.01271,0.01441,0.01169,0.01273,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E-04,0,313,79630,330800,45980,2.11E+07,37320,18020,19960,12870,20080,0,4.89E-36,2.31E-36,1.35E-35,1.66E-35,2.80E-36,3.49E-37,1.16E-38,7.99E-39,4.78E-38,2.22E-38,2.08E-35,0,0.6873,1.162,2.877,1.584,0.3433,0.03131,0.003736,0.002657,0.01636,0.009768,0,0,3.62E-04,0.01277,7.21E-04,0.9842,7.30E-04,2.92E-04,3.83E-04,4.45E-05,4.66E-04,0,1.44E-04,0.009408,0.01243,0.006396,0.2399,0.01374,0.001615,6.58E-04,0.005397,9.44E-04
0,1607,160.3,176.3,147.4,0.04944,4.889,0.2284,0.1624,0.9948,0.413,0,343.6,0.08973,0.6591,0.6093,0.07081,0.1805,0.05947,0.06776,4.774,11.06,0,343.6,0.08973,0.6591,0.6093,0.07081,0.1805,0.05947,0.06776,4.774,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,298,106.6,38.81,749.6,164.9,3.094,3.325,30.82,3.943,0,48.1,5.614,12.68,73.52,40.75,0.1128,0.01261,0.01433,0.01165,0.01266,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,363.5,76260,99680,44110,2.05E+07,36020,17660,19600,12780,19760,0,4.92E-36,2.28E-36,1.41E-35,1.64E-35,1.99E-36,3.48E-37,1.12E-38,7.66E-39,4.68E-38,2.18E-38,2.08E-35,0,0.702,1.143,2.992,1.563,0.223,0.03123,0.003688,0.002609,0.01636,0.00971,0,0,3.76E-04,5.83E-05,7.50E-04,0.9968,7.59E-04,3.04E-04,3.99E-04,4.62E-05,4.84E-04,0,1.64E-04,0.009403,0.01018,0.006359,0.2406,0.01376,0.001608,6.59E-04,0.005397,9.46E-04
0,1589,185.3,176.4,137.9,0.05192,4.853,0.2327,0.1661,0.9802,0.8146,0,343.6,0.09066,0.6524,0.5965,0.0714,0.1747,0.06349,0.0733,4.778,11.07,0,343.6,0.09066,0.6524,0.5965,0.0714,0.1747,0.06349,0.0733,4.778,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,298.9,109.2,39.05,738.8,164.9,3.138,3.382,29.96,3.892,0,46.1,5.846,11.89,77.28,40.49,0.07219,0.01263,0.02701,0.05332,0.2419,0,0,4783000,16080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14E-04,0,757.8,76050,92970,42910,2.00E+07,35740,17830,19870,12950,20730,0,3.70E-36,2.59E-36,1.40E-35,1.62E-35,1.98E-36,3.48E-37,1.13E-38,1.40E-38,6.54E-38,7.07E-38,2.08E-35,0,0.5566,1.345,2.948,1.529,0.2217,0.03141,0.003721,0.003547,0.01904,0.01804,0,0,3.94E-04,6.11E-05,7.86E-04,0.9967,7.95E-04,3.18E-04,4.18E-04,4.84E-05,5.07E-04,0,3.52E-04,0.009304,0.01014,0.0063,0.2383,0.01366,0.00161,6.86E-04,0.005425,9.69E-04
0,1584,187.6,176.4,129.2,0.05246,6.203,0.237,0.1639,0.9823,0.8408,0,343.6,0.08826,0.6396,0.6125,0.07981,0.1553,0.06323,0.073,4.594,11.25,0,343.6,0.08826,0.6396,0.6125,0.07981,0.1553,0.06323,0.073,4.594,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,298.1,116.6,35.13,756.9,177.1,2.545,2.308,27.67,2.784,0,45.6,5.543,11.76,80.11,41.02,1.445,0.01278,0.02579,0.04876,0.2167,0,0,4779000,20080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E-04,0,950.3,79320,86530,45820,1.95E+07,38460,18630,20850,12970,21680,0,3.53E-36,2.34E-36,1.39E-35,1.54E-35,2.19E-36,6.54E-37,1.08E-38,1.35E-38,6.39E-38,7.01E-38,2.08E-35,0,0.5338,1.34,2.891,1.49,0.2531,0.05984,0.003726,0.003532,0.01898,0.01801,0,0,4.46E-04,6.92E-05,8.90E-04,0.9962,9.00E-04,3.61E-04,4.73E-04,5.48E-05,5.75E-04,0,5.28E-04,0.009252,0.01019,0.006207,0.2334,0.01364,0.001612,6.93E-04,0.005408,9.64E-04
0,1585,186.1,162.6,129.8,0.05547,6.092,0.2481,0.1715,1.001,0.8709,0,343.6,0.08749,0.631,0.6147,0.05428,0.143,0.06328,0.07765,4.667,11.2,0,343.6,0.08749,0.631,0.6147,0.05428,0.143,0.06328,0.07765,4.667,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,300.4,119.2,36.43,754,170.2,3.665,3.179,30.04,3.039,0,46.71,5.468,20.76,83.41,41.01,0.08529,0.01278,0.01858,0.02451,0.1497,0,0,4779000,20080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05E-04,0,1227,98750,93750,43600,1.90E+07,38060,18210,26840,34400,19130,0,3.58E-36,2.43E-36,1.40E-35,1.54E-35,1.98E-36,3.42E-37,1.11E-38,8.01E-39,4.50E-38,4.79E-38,2.08E-35,0,0.5429,1.364,2.854,1.526,0.216,0.03607,0.003771,0.002718,0.01631,0.01467,0,0,0.001521,7.60E-05,8.04E-04,0.9938,8.92E-04,3.26E-04,8.21E-04,0.001347,3.68E-04,0,6.21E-04,0.009444,0.01015,0.006222,0.2293,0.01349,0.001616,7.81E-04,0.005594,9.45E-04
0,1596,181.8,164.7,118.2,0.1341,6.047,0.2603,0.1919,1.001,0.9058,0,343.6,0.09024,0.6128,0.5612,0.06133,0.1401,0.0637,0.07204,4.006,11.87,0,343.6,0.09024,0.6128,0.5612,0.06133,0.1401,0.0637,0.07204,4.006,11.87,0,0,0,0,0,0,0,0,0,0,0,0,0,303,122.9,37.93,739.7,164.9,4.677,4.409,30.19,3.473,0,46.71,6.828,20.5,82.06,40.77,0.06928,0.0129,0.01869,0.0157,0.1184,0,0,4779000,20080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1478,104400,91630,48150,1.86E+07,37970,18530,27540,35580,19280,0,4.01E-36,2.48E-36,1.33E-35,1.48E-35,2.48E-36,3.39E-37,1.13E-38,8.83E-39,4.42E-38,4.81E-38,2.08E-35,0,0.6276,1.336,2.788,1.477,0.2371,0.03571,0.00385,0.002985,0.01605,0.01466,0,0,0.001651,8.25E-05,8.73E-04,0.9933,9.68E-04,3.54E-04,8.91E-04,0.001462,3.99E-04,0,7.69E-04,0.009364,0.01018,0.006165,0.2253,0.01331,0.001619,7.77E-04,0.005655,9.46E-04
0,1588,196.9,159.9,128.7,0.07499,7.893,0.2752,0.1929,1.019,0.9381,0,343.6,0.1005,0.6026,0.5453,0.05694,0.1381,0.06365,0.07184,3.847,12.03,0,343.6,0.1005,0.6026,0.5453,0.05694,0.1381,0.06365,0.07184,3.847,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,321.6,121.2,39.01,733.4,165.8,4.504,4.146,30.25,3.34,0,45.78,7.732,10.14,73.51,40.57,0.06895,0.01293,0.0189,0.01602,0.09638,0,0,4771000,28150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1811,107400,90530,48290,1.82E+07,37680,18080,27390,36230,18910,0,3.58E-36,3.36E-36,1.31E-35,1.44E-35,2.24E-36,2.94E-37,9.68E-39,8.18E-39,4.26E-38,4.69E-38,2.08E-35,0,0.5909,1.474,2.697,1.41,0.2259,0.04314,0.003818,0.002916,0.01608,0.01464,0,0,0.001756,8.78E-05,9.28E-04,0.9929,0.00103,3.76E-04,9.48E-04,0.001555,4.24E-04,0,8.58E-04,0.009443,0.01003,0.006084,0.2223,0.01332,0.00161,7.78E-04,0.005654,9.42E-04
0,1581,200.7,162.4,125.2,0.09641,7.697,0.2995,0.2003,1.041,0.9693,0,343.6,0.09226,0.6146,0.5419,0.05687,0.1372,0.06362,0.07191,3.847,12.03,0,343.6,0.09226,0.6146,0.5419,0.05687,0.1372,0.06362,0.07191,3.847,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,321.7,121.4,39.05,708.8,164.7,4.589,4.135,30.32,3.397,0,45.21,6.889,13.03,75.87,40.54,0.06418,0.01276,0.01867,0.01605,0.08275,0,0,4766000,33120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-04,0,1862,111200,90250,49910,1.86E+07,36970,17750,27250,36670,18640,0,3.28E-36,2.58E-36,1.32E-35,1.45E-35,2.24E-36,2.90E-37,9.92E-39,8.29E-39,4.26E-38,4.72E-38,2.08E-35,0,0.5417,1.48,2.728,1.423,0.2259,0.04169,0.00399,0.002971,0.01624,0.01477,0,0,0.001756,8.78E-05,9.28E-04,0.9929,0.00103,3.76E-04,9.48E-04,0.001555,4.24E-04,0,8.82E-04,0.009449,0.01006,0.006059,0.221,0.0132,0.001611,7.73E-04,0.005662,9.40E-04
0,1581,207.7,153,125.7,0.09655,7.877,0.2995,0.2001,1.041,0.9775,0,343.6,0.09662,0.6077,0.5416,0.05665,0.1385,0.06354,0.07197,3.847,12.03,0,343.6,0.09662,0.6077,0.5416,0.05665,0.1385,0.06354,0.07197,3.847,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,323.8,121.4,41.8,673.2,164.7,4.539,4.069,30.26,3.352,0,45.21,6.775,11.76,77.32,40.44,0.1655,0.01258,0.0185,0.01601,0.07463,0,0,4766000,33120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1914,109700,86160,49230,1.90E+07,37020,17860,27630,37300,18770,0,3.28E-36,2.73E-36,1.30E-35,1.44E-35,2.23E-36,3.30E-37,9.74E-39,8.25E-39,4.22E-38,4.72E-38,2.08E-35,0,0.5417,1.543,2.613,1.454,0.2251,0.04461,0.003989,0.002966,0.01624,0.01477,0,0,0.001766,8.83E-05,9.34E-04,0.9929,0.001036,3.78E-04,9.53E-04,0.001565,4.27E-04,0,8.82E-04,0.009555,0.009901,0.006087,0.2193,0.01319,0.001603,7.63E-04,0.005664,9.36E-04
