R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
9.4E-37,0.14,1900.0,69000.0,3900.0,5300000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,5400000.0,4.4E-5,0.085,0.085,0.0,490.0,9.9,0.0,0.0,0.0,1.9E7,1.0,7.2E8,
1.1E-37,0.017,1900.0,300.0,3800.0,5100000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.19,5100000.0,4.8E-5,0.045,0.045,0.0,470.0,9.5,0.0,0.0,0.0,1.8E7,1.0,7.2E8,
1.1E-37,0.016,1900.0,290.0,3800.0,4800000.0,3800.0,1500.0,2000.0,230.0,2400.0,0.19,4800000.0,5.0E-5,0.043,0.043,0.0,450.0,9.2,0.0,0.0,0.0,1.8E7,1.0,7.2E8,
9.9E-38,0.015,1900.0,290.0,3700.0,4200000.0,3800.0,1500.0,2000.0,230.0,2400.0,0.18,4200000.0,5.0E-5,0.039,0.039,0.0,440.0,8.5,0.0,0.0,0.0,1.7E7,1.0,7.1E8,
1.2E-37,0.013,6900.0,350.0,3700.0,4500000.0,4100.0,1500.0,3700.0,6100.0,1700.0,0.18,4600000.0,6.5E-5,0.028,0.028,0.0,460.0,10.0,0.0,0.0,0.0,1.7E7,1.0,7.2E8,
1.1E-37,0.012,6800.0,340.0,3600.0,4099999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.18,4099999.9999999995,6.6E-5,0.026,0.026,0.0,440.0,9.4,0.0,0.0,0.0,1.6E7,1.0,7.2E8,
1.1E-37,0.012,6800.0,340.0,3600.0,3799999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.17,3899999.9999999995,6.7E-5,0.025,0.025,0.0,420.0,9.1,0.0,0.0,0.0,1.6E7,1.0,7.1E8,
1.1E-37,0.012,6800.0,340.0,3600.0,3799999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.17,3899999.9999999995,6.3E-5,0.025,0.025,0.0,400.0,9.1,0.0,0.0,0.0,1.6E7,1.0,7.1E8,
1.1E-37,0.012,6800.0,340.0,3600.0,3799999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.17,3799999.9999999995,5.7E-5,0.025,0.025,0.0,370.0,9.0,0.0,0.0,0.0,1.7E7,1.0,7.1E8,
1.1E-37,0.012,6800.0,340.0,3600.0,3799999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.17,3799999.9999999995,5.7E-5,0.025,0.025,0.0,350.0,9.0,0.0,0.0,0.0,1.7E7,1.0,7.1E8,
1.1E-37,0.012,6800.0,340.0,3600.0,3799999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.17,3799999.9999999995,5.1E-5,0.025,0.025,0.0,340.0,9.0,0.0,0.0,0.0,1.7E7,1.0,7.0E8,
1.1E-37,0.012,6800.0,340.0,3600.0,3799999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.17,3799999.9999999995,5.3E-5,0.025,0.025,0.0,340.0,9.0,0.0,0.0,0.0,1.7E7,1.0,7.0E8,
1.1E-37,0.012,6800.0,340.0,3600.0,3799999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.17,3799999.9999999995,4.9E-5,0.025,0.025,0.0,340.0,9.0,0.0,0.0,0.0,1.7E7,1.0,7.0E8,
1.1E-37,0.012,6800.0,340.0,3600.0,3799999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.17,3799999.9999999995,4.3E-5,0.025,0.025,0.0,340.0,9.0,0.0,0.0,0.0,1.8E7,1.0,7.0E8,
1.1E-37,0.012,6800.0,340.0,3600.0,3799999.9999999995,4000.0,1500.0,3700.0,6000.0,1600.0,0.17,3799999.9999999995,3.6E-5,0.025,0.025,0.0,340.0,9.0,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
