cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83360,89590,47800,2.24E+07,45530,21460,24230,13490,24780,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006468,0.2457,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1601,172.5,183.6,151.3,0.04928,5.449,0.2892,0.1636,0.984,0.4029,0,343.6,0.1395,0.6362,0.5824,0.07233,0.1867,0.05969,0.08083,4.77,11.01,0,343.6,0.1395,0.6362,0.5824,0.07233,0.1867,0.05969,0.08083,4.77,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,295.9,105,39.23,793.4,165.2,3.261,3.581,30.6,4.105,0,48.01,5.851,8.173,59.39,41.43,0.1216,0.01343,0.01535,0.0118,0.01383,0,0,4792000,7510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95E-04,0,1006,76670,80860,44750,2.15E+07,42620,20260,22870,13150,23730,0,4.98E-36,2.42E-36,1.37E-35,1.62E-35,2.16E-36,3.85E-37,1.58E-38,7.74E-39,4.79E-38,2.18E-38,2.08E-35,0,0.6817,1.25,2.98,1.511,0.2256,0.04047,0.004805,0.002608,0.01635,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.61E-04,0.009436,0.01017,0.00633,0.2451,0.01386,0.001643,6.89E-04,0.005392,9.74E-04
0,1605,175.1,179,149.4,0.04937,4.906,0.2235,0.1636,0.9839,0.403,0,343.6,0.1445,0.6301,0.5838,0.07046,0.1828,0.0593,0.08084,4.77,11.01,0,343.6,0.1445,0.6301,0.5838,0.07046,0.1828,0.0593,0.08084,4.77,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,300.5,106.6,39.32,770.2,165.1,3.215,3.528,30.59,4.056,0,48.01,5.599,9.25,58.96,41.26,0.1154,0.01309,0.015,0.01172,0.01355,0,0,4792000,7264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25E-04,0,1072,74080,79650,43480,2.14E+07,41330,19530,22100,12980,23170,0,5.03E-36,2.49E-36,1.36E-35,1.61E-35,2.13E-36,3.48E-37,1.13E-38,7.71E-39,4.73E-38,2.18E-38,2.08E-35,0,0.7085,1.281,2.938,1.498,0.2232,0.03122,0.003696,0.002607,0.01635,0.009704,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,3.14E-04,0.009393,0.01015,0.006317,0.2422,0.01381,0.001626,6.74E-04,0.005389,9.62E-04
0,1606,170.8,180.1,149.5,0.05195,5.226,0.228,0.1662,0.9663,0.4067,0,343.6,0.1409,0.629,0.5813,0.07176,0.1842,0.05978,0.08248,4.76,11.02,0,343.6,0.1409,0.629,0.5813,0.07176,0.1842,0.05978,0.08248,4.76,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,306.6,108.5,40.36,754.6,164.7,2.812,3.106,29.64,3.83,0,48.01,5.482,6.691,60.97,41.87,0.124,0.03154,0.03516,0.0152,0.02883,0,0,4792000,7264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1185,76270,71910,51710,2.24E+07,38090,15480,17800,12210,20150,0,5.12E-36,2.36E-36,1.37E-35,1.57E-35,2.13E-36,3.65E-37,1.13E-38,7.95E-39,4.59E-38,2.20E-38,2.08E-35,0,0.732,1.236,2.957,1.488,0.2236,0.0342,0.003737,0.002653,0.01606,0.009771,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.24E-04,0.00949,0.01012,0.006355,0.2431,0.01365,0.001515,5.55E-04,0.005382,8.60E-04
0,1603,177,172.3,147.6,0.04914,6.073,0.2249,0.1653,0.9778,0.4111,0,343.6,0.1459,0.643,0.5757,0.07416,0.4373,0.06236,0.08328,4.55,10.95,0,343.6,0.1459,0.643,0.5757,0.07416,0.4373,0.06236,0.08328,4.55,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,319,118.7,40.26,729.5,164.9,2.958,3.356,30.08,4.439,0,47.58,5.458,8.789,60.84,41.71,0.1144,0.03817,0.04239,0.01704,0.03489,0,0,4789000,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23E-04,0,1391,79130,74240,53590,2.31E+07,39570,17080,19650,12620,22550,0,4.85E-36,2.51E-36,1.34E-35,1.55E-35,2.12E-36,5.43E-37,1.03E-38,7.73E-39,4.87E-38,2.74E-38,2.08E-35,0,0.713,1.308,2.864,1.477,0.2269,0.04205,0.003657,0.002642,0.01639,0.0102,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.58E-04,0.009484,0.01008,0.006355,0.2415,0.01354,0.001542,5.93E-04,0.005437,0.001008
0,1592,180.3,170.7,146.1,0.05206,4.769,0.2303,0.1664,0.9743,0.4071,0,343.6,0.1437,0.646,0.5769,0.07292,0.2698,0.06154,0.08312,4.183,11.47,0,343.6,0.1437,0.646,0.5769,0.07292,0.2698,0.06154,0.08312,4.183,11.47,0,0,0,0,0,0,0,0,0,0,0,0,0,335.7,118,41.07,716,164.7,3.381,3.733,30.02,4.533,0,46.43,5.531,11.69,65.86,41.25,0.371,0.0458,0.0508,0.01786,0.04068,0,0,4779000,17950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1535,82550,76490,56430,2.44E+07,42030,19040,21920,12900,24440,0,4.19E-36,2.49E-36,1.34E-35,1.55E-35,2.11E-36,3.22E-37,1.11E-38,8.07E-39,4.74E-38,2.62E-38,2.08E-35,0,0.6163,1.364,2.869,1.489,0.2248,0.02957,0.003759,0.002689,0.01628,0.01009,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,7.42E-04,0.009548,0.01011,0.006336,0.2406,0.01343,0.001595,6.41E-04,0.005427,0.001028
0,1582,196,167.4,150.2,0.3006,4.863,0.2308,0.1664,0.9741,0.4072,0,343.6,0.1603,0.6278,0.5725,0.07895,0.2673,0.06163,0.08312,3.542,12.11,0,343.6,0.1603,0.6278,0.5725,0.07895,0.2673,0.06163,0.08312,3.542,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,336.7,118,40.97,698.3,164.7,3.345,3.693,29.99,4.502,0,45.57,5.515,9.688,61.48,41.22,0.2214,0.04549,0.05047,0.01779,0.04042,0,0,4772000,25070,20.45,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1653,85070,82730,57670,2.52E+07,42200,18950,21900,12820,24610,0,3.67E-36,2.92E-36,1.30E-35,1.53E-35,2.11E-36,3.20E-37,1.10E-38,8.04E-39,4.70E-38,2.62E-38,2.08E-35,0,0.5402,1.499,2.81,1.482,0.23,0.02946,0.00376,0.002687,0.01627,0.01009,0,0,2.53E-04,1.10E-04,8.26E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,8.93E-04,0.009596,0.01006,0.006307,0.2397,0.01326,0.001602,6.38E-04,0.005433,0.001026
0,1582,189,172.3,156.8,0.04929,4.9,0.2291,0.1678,0.9855,0.4062,0,343.6,0.1434,0.6436,0.5718,0.07583,0.2661,0.06087,0.08528,3.19,12.47,0,343.6,0.1434,0.6436,0.5718,0.07583,0.2661,0.06087,0.08528,3.19,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,341.2,115.2,40.61,683.8,164.6,3.165,3.638,30.62,4.311,0,45.57,5.545,10.26,55.54,41.71,0.1554,0.04526,0.05023,0.01775,0.04024,1.26E-15,0,4772000,25080,10.74,1.358,0,0,0,0,0,0,1.98E-17,0,0,7.48E-17,1.88E-14,1.67E-18,5.70E-18,1.92E-18,2.03E-18,4.64E-19,1.63E-17,7.54E-16,0,0,1.38E-24,1.31E-20,1.07E-25,4.41E-26,1.94E-29,1.83E-30,1.12E-30,1.24E-29,2.55E-26,1.00E-04,0,1705,87640,83520,56250,2.37E+07,40310,18110,20900,12620,23420,0,3.67E-36,2.51E-36,1.33E-35,1.53E-35,2.13E-36,3.18E-37,1.09E-38,8.12E-39,4.71E-38,2.62E-38,2.08E-35,0,0.5402,1.428,2.875,1.484,0.2291,0.02939,0.003729,0.002707,0.01646,0.01008,0,0,2.54E-04,1.10E-04,8.29E-04,0.9961,0.00104,4.17E-04,5.47E-04,6.34E-05,6.64E-04,0,9.63E-04,0.009585,0.01005,0.006339,0.2384,0.01314,0.001609,6.59E-04,0.00538,0.001046
0,1568,201.7,171.6,164.8,0.04914,4.789,0.2313,0.1643,0.9909,0.4043,0,343.6,0.1452,0.6286,0.583,0.07511,0.2584,0.06043,0.08188,2.819,12.85,0,343.6,0.1452,0.6286,0.583,0.07511,0.2584,0.06043,0.08188,2.819,12.85,0,0,0,0,0,0,0,0,0,0,0,0,0,355.2,114,40.55,651.5,164.5,3.075,3.364,30.87,4.134,0,44.13,5.636,10.04,48.13,41.57,0.1241,0.04463,0.04953,0.01764,0.03973,2.58E-15,0,4759000,36930,10.74,1.358,0,0,0,0,0,0,1.10E-16,0,1.43E-18,1.03E-15,2.90E-13,1.62E-16,3.80E-17,2.06E-17,1.86E-17,4.98E-18,3.02E-16,7.53E-15,0,3.41E-25,5.86E-23,3.21E-19,5.16E-21,2.79E-25,2.02E-27,4.31E-29,1.94E-29,6.28E-28,3.13E-25,1.01E-04,0,1805,90420,85060,56080,2.26E+07,38960,17450,20070,12600,22490,0,2.97E-36,2.61E-36,1.30E-35,1.52E-35,2.13E-36,3.14E-37,1.07E-38,7.94E-39,4.69E-38,2.61E-38,2.08E-35,0,0.4552,1.5,2.851,1.483,0.2288,0.02898,0.003726,0.002647,0.01655,0.01004,0,0,2.56E-04,1.11E-04,8.35E-04,0.996,0.001048,4.20E-04,5.51E-04,6.38E-05,6.69E-04,0,0.001103,0.009539,0.01002,0.00635,0.2364,0.01303,0.001601,6.39E-04,0.005404,0.001031
0,1571,199.7,171.9,169,0.04925,4.789,0.2357,0.1646,0.9911,0.4041,0,343.7,0.1406,0.6316,0.5583,0.07485,0.2587,0.06011,0.08146,2.66,13,0,343.7,0.1406,0.6316,0.5583,0.07485,0.2587,0.06011,0.08146,2.66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,357,114,40.46,638,164.4,3.011,3.293,30.85,4.077,0,45.92,5.529,9.89,39.79,41.32,0.1107,0.04365,0.04845,0.01746,0.03892,3.83E-15,0,4759000,36930,10.74,1.358,0,0,0,0,0,0,2.85E-16,0,5.43E-17,6.55E-15,1.17E-12,1.37E-15,1.90E-16,4.46E-16,1.69E-16,2.39E-16,8.94E-15,3.10E-14,0,3.17E-21,6.45E-22,1.49E-18,3.89E-20,7.35E-24,6.95E-25,1.40E-26,2.04E-25,3.45E-26,1.69E-24,6.76E-04,0,2189,88620,80820,54030,2.21E+07,38000,17210,19750,12530,22110,0,3.50E-36,2.50E-36,1.30E-35,1.46E-35,2.12E-36,3.12E-37,1.06E-38,7.94E-39,4.64E-38,2.60E-38,2.08E-35,0,0.4944,1.483,2.846,1.463,0.2278,0.02896,0.00373,0.002646,0.01656,0.01004,0,0,2.56E-04,1.11E-04,8.35E-04,0.996,0.001048,4.20E-04,5.51E-04,6.38E-05,6.69E-04,0,0.001237,0.009488,0.01,0.006261,0.2355,0.01299,0.001614,6.33E-04,0.005405,0.001024
