cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83360.0,89590.0,47800.0,2.238E7,45530.0,21460.0,24230.0,13490.0,24780.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006468,0.2457,0.01391,0.001641,6.992E-4,0.005386,9.758E-4,
0.0,1601.0,172.5,183.6,151.3,0.04928,5.449,0.2892,0.1636,0.984,0.4029,0.0,343.6,0.1395,0.6362,0.5824,0.07233,0.1867,0.05969,0.08083,4.77,11.01,0.0,343.6,0.1395,0.6362,0.5824,0.07233,0.1867,0.05969,0.08083,4.77,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.9,105.0,39.23,793.4,165.2,3.261,3.581,30.6,4.105,0.0,48.01,5.851,8.173,59.39,41.43,0.1216,0.01343,0.01535,0.0118,0.01383,0.0,0.0,4792000.0,7510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.951E-4,0.0,1006.0,76670.0,80860.0,44750.0,2.151E7,42620.0,20260.0,22870.0,13150.0,23730.0,0.0,4.9790000000000005E-36,2.4210000000000002E-36,1.367E-35,1.617E-35,2.162E-36,3.848E-37,1.576E-38,7.735E-39,4.793E-38,2.181E-38,2.08E-35,0.0,0.6817,1.25,2.98,1.511,0.2256,0.04047,0.004805,0.002608,0.01635,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,2.613E-4,0.009436,0.01017,0.00633,0.2451,0.01386,0.001643,6.89E-4,0.005392,9.736E-4,
0.0,1605.0,175.1,179.0,149.4,0.04937,4.906,0.2235,0.1636,0.9839,0.403,0.0,343.6,0.1445,0.6301,0.5838,0.07046,0.1828,0.0593,0.08084,4.77,11.01,0.0,343.6,0.1445,0.6301,0.5838,0.07046,0.1828,0.0593,0.08084,4.77,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.5,106.6,39.32,770.2,165.1,3.215,3.528,30.59,4.056,0.0,48.01,5.599,9.25,58.96,41.26,0.1154,0.01309,0.015,0.01172,0.01355,0.0,0.0,4792000.0,7264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.251E-4,0.0,1072.0,74080.0,79650.0,43480.0,2.143E7,41330.0,19530.0,22100.0,12980.0,23170.0,0.0,5.028E-36,2.488E-36,1.355E-35,1.609E-35,2.133E-36,3.475E-37,1.128E-38,7.706999999999999E-39,4.733E-38,2.179E-38,2.08E-35,0.0,0.7085,1.281,2.938,1.498,0.2232,0.03122,0.003696,0.002607,0.01635,0.009704,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,3.144E-4,0.009393,0.01015,0.006317,0.2422,0.01381,0.001626,6.738E-4,0.005389,9.619E-4,
0.0,1606.0,170.8,180.1,149.5,0.05195,5.226,0.228,0.1662,0.9663,0.4067,0.0,343.6,0.1409,0.629,0.5813,0.07176,0.1842,0.05978,0.08248,4.76,11.02,0.0,343.6,0.1409,0.629,0.5813,0.07176,0.1842,0.05978,0.08248,4.76,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.6,108.5,40.36,754.6,164.7,2.812,3.106,29.64,3.83,0.0,48.01,5.482,6.691,60.97,41.87,0.124,0.03154,0.03516,0.0152,0.02883,0.0,0.0,4792000.0,7264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1185.0,76270.0,71910.0,51710.0,2.238E7,38090.0,15480.0,17800.0,12210.0,20150.0,0.0,5.1210000000000006E-36,2.362E-36,1.372E-35,1.569E-35,2.134E-36,3.65E-37,1.128E-38,7.946E-39,4.59E-38,2.198E-38,2.08E-35,0.0,0.732,1.236,2.957,1.488,0.2236,0.0342,0.003737,0.002653,0.01606,0.009771,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,4.243E-4,0.00949,0.01012,0.006355,0.2431,0.01365,0.001515,5.551E-4,0.005382,8.604E-4,
0.0,1603.0,177.0,172.3,147.6,0.04914,6.073,0.2249,0.1653,0.9778,0.4111,0.0,343.6,0.1459,0.643,0.5757,0.07416,0.4373,0.06236,0.08328,4.55,10.95,0.0,343.6,0.1459,0.643,0.5757,0.07416,0.4373,0.06236,0.08328,4.55,10.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,118.7,40.26,729.5,164.9,2.958,3.356,30.08,4.439,0.0,47.58,5.458,8.789,60.84,41.71,0.1144,0.03817,0.04239,0.01704,0.03489,0.0,0.0,4789000.0,10350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.229E-4,0.0,1391.0,79130.0,74240.0,53590.0,2.311E7,39570.0,17080.0,19650.0,12620.0,22550.0,0.0,4.853E-36,2.511E-36,1.338E-35,1.5470000000000001E-35,2.1220000000000002E-36,5.427E-37,1.0319999999999999E-38,7.726999999999999E-39,4.874E-38,2.744E-38,2.08E-35,0.0,0.713,1.308,2.864,1.477,0.2269,0.04205,0.003657,0.002642,0.01639,0.0102,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,5.578E-4,0.009484,0.01008,0.006355,0.2415,0.01354,0.001542,5.932E-4,0.005437,0.001008,
0.0,1592.0,180.3,170.7,146.1,0.05206,4.769,0.2303,0.1664,0.9743,0.4071,0.0,343.6,0.1437,0.646,0.5769,0.07292,0.2698,0.06154,0.08312,4.183,11.47,0.0,343.6,0.1437,0.646,0.5769,0.07292,0.2698,0.06154,0.08312,4.183,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.7,118.0,41.07,716.0,164.7,3.381,3.733,30.02,4.533,0.0,46.43,5.531,11.69,65.86,41.25,0.371,0.0458,0.0508,0.01786,0.04068,0.0,0.0,4779000.0,17950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1535.0,82550.0,76490.0,56430.0,2.438E7,42030.0,19040.0,21920.0,12900.0,24440.0,0.0,4.185E-36,2.487E-36,1.342E-35,1.545E-35,2.108E-36,3.2159999999999998E-37,1.113E-38,8.072E-39,4.736E-38,2.622E-38,2.08E-35,0.0,0.6163,1.364,2.869,1.489,0.2248,0.02957,0.003759,0.002689,0.01628,0.01009,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,7.42E-4,0.009548,0.01011,0.006336,0.2406,0.01343,0.001595,6.414E-4,0.005427,0.001028,
0.0,1582.0,196.0,167.4,150.2,0.3006,4.863,0.2308,0.1664,0.9741,0.4072,0.0,343.6,0.1603,0.6278,0.5725,0.07895,0.2673,0.06163,0.08312,3.542,12.11,0.0,343.6,0.1603,0.6278,0.5725,0.07895,0.2673,0.06163,0.08312,3.542,12.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.7,118.0,40.97,698.3,164.7,3.345,3.693,29.99,4.502,0.0,45.57,5.515,9.688,61.48,41.22,0.2214,0.04549,0.05047,0.01779,0.04042,0.0,0.0,4772000.0,25070.0,20.45,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1653.0,85070.0,82730.0,57670.0,2.52E7,42200.0,18950.0,21900.0,12820.0,24610.0,0.0,3.668E-36,2.9230000000000002E-36,1.297E-35,1.533E-35,2.1100000000000003E-36,3.197E-37,1.103E-38,8.044E-39,4.699E-38,2.621E-38,2.08E-35,0.0,0.5402,1.499,2.81,1.482,0.23,0.02946,0.00376,0.002687,0.01627,0.01009,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,8.928E-4,0.009596,0.01006,0.006307,0.2397,0.01326,0.001602,6.375E-4,0.005433,0.001026,
0.0,1582.0,189.0,172.3,156.8,0.04929,4.9,0.2291,0.1678,0.9855,0.4062,0.0,343.6,0.1434,0.6436,0.5718,0.07583,0.2661,0.06087,0.08528,3.19,12.47,0.0,343.6,0.1434,0.6436,0.5718,0.07583,0.2661,0.06087,0.08528,3.19,12.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.2,115.2,40.61,683.8,164.6,3.165,3.638,30.62,4.311,0.0,45.57,5.545,10.26,55.54,41.71,0.1554,0.04526,0.05023,0.01775,0.04024,1.256E-15,0.0,4772000.0,25080.0,10.74,1.358,0.0,0.0,0.0,0.0,0.0,0.0,1.977E-17,0.0,0.0,7.48E-17,1.884E-14,1.666E-18,5.695E-18,1.922E-18,2.025E-18,4.644E-19,1.632E-17,7.535E-16,0.0,0.0,1.381E-24,1.309E-20,1.071E-25,4.4130000000000004E-26,1.944E-29,1.8260000000000002E-30,1.117E-30,1.241E-29,2.5500000000000002E-26,1.0E-4,0.0,1705.0,87640.0,83520.0,56250.0,2.369E7,40310.0,18110.0,20900.0,12620.0,23420.0,0.0,3.668E-36,2.5050000000000002E-36,1.33E-35,1.526E-35,2.1320000000000002E-36,3.179E-37,1.085E-38,8.120999999999999E-39,4.714E-38,2.617E-38,2.08E-35,0.0,0.5402,1.428,2.875,1.484,0.2291,0.02939,0.003729,0.002707,0.01646,0.01008,0.0,0.0,2.539E-4,1.104E-4,8.292E-4,0.9961,0.00104,4.166E-4,5.466E-4,6.337E-5,6.639E-4,0.0,9.633E-4,0.009585,0.01005,0.006339,0.2384,0.01314,0.001609,6.591E-4,0.00538,0.001046,
0.0,1568.0,201.7,171.6,164.8,0.04914,4.789,0.2313,0.1643,0.9909,0.4043,0.0,343.6,0.1452,0.6286,0.583,0.07511,0.2584,0.06043,0.08188,2.819,12.85,0.0,343.6,0.1452,0.6286,0.583,0.07511,0.2584,0.06043,0.08188,2.819,12.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.2,114.0,40.55,651.5,164.5,3.075,3.364,30.87,4.134,0.0,44.13,5.636,10.04,48.13,41.57,0.1241,0.04463,0.04953,0.01764,0.03973,2.578E-15,0.0,4759000.0,36930.0,10.74,1.358,0.0,0.0,0.0,0.0,0.0,0.0,1.102E-16,0.0,1.432E-18,1.026E-15,2.899E-13,1.616E-16,3.798E-17,2.064E-17,1.855E-17,4.977E-18,3.018E-16,7.525E-15,0.0,3.412E-25,5.857E-23,3.213E-19,5.155E-21,2.791E-25,2.019E-27,4.3099999999999995E-29,1.94E-29,6.279E-28,3.1290000000000003E-25,1.014E-4,0.0,1805.0,90420.0,85060.0,56080.0,2.262E7,38960.0,17450.0,20070.0,12600.0,22490.0,0.0,2.971E-36,2.6110000000000002E-36,1.301E-35,1.523E-35,2.13E-36,3.135E-37,1.07E-38,7.937E-39,4.689E-38,2.607E-38,2.08E-35,0.0,0.4552,1.5,2.851,1.483,0.2288,0.02898,0.003726,0.002647,0.01655,0.01004,0.0,0.0,2.558E-4,1.113E-4,8.354E-4,0.996,0.001048,4.197E-4,5.506E-4,6.383E-5,6.688E-4,0.0,0.001103,0.009539,0.01002,0.00635,0.2364,0.01303,0.001601,6.386E-4,0.005404,0.001031,
0.0,1571.0,199.7,171.9,169.0,0.04925,4.789,0.2357,0.1646,0.9911,0.4041,0.0,343.7,0.1406,0.6316,0.5583,0.07485,0.2587,0.06011,0.08146,2.66,13.0,0.0,343.7,0.1406,0.6316,0.5583,0.07485,0.2587,0.06011,0.08146,2.66,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,114.0,40.46,638.0,164.4,3.011,3.293,30.85,4.077,0.0,45.92,5.529,9.89,39.79,41.32,0.1107,0.04365,0.04845,0.01746,0.03892,3.826E-15,0.0,4759000.0,36930.0,10.74,1.358,0.0,0.0,0.0,0.0,0.0,0.0,2.854E-16,0.0,5.426E-17,6.554E-15,1.171E-12,1.37E-15,1.899E-16,4.455E-16,1.694E-16,2.386E-16,8.935E-15,3.099E-14,0.0,3.1650000000000002E-21,6.446999999999999E-22,1.486E-18,3.89E-20,7.347E-24,6.9470000000000005E-25,1.403E-26,2.0400000000000002E-25,3.448E-26,1.6929999999999998E-24,6.755E-4,0.0,2189.0,88620.0,80820.0,54030.0,2.214E7,38000.0,17210.0,19750.0,12530.0,22110.0,0.0,3.496E-36,2.4950000000000002E-36,1.302E-35,1.462E-35,2.1220000000000002E-36,3.115E-37,1.057E-38,7.940999999999999E-39,4.643E-38,2.604E-38,2.08E-35,0.0,0.4944,1.483,2.846,1.463,0.2278,0.02896,0.00373,0.002646,0.01656,0.01004,0.0,0.0,2.558E-4,1.113E-4,8.354E-4,0.996,0.001048,4.197E-4,5.506E-4,6.383E-5,6.688E-4,0.0,0.001237,0.009488,0.01,0.006261,0.2355,0.01299,0.001614,6.334E-4,0.005405,0.001024,
