entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.099,0.1683,0.09806,0.05136,0.02968,0.1564,0.08511,0.02249,0.007866,0.1032,0.02924,0.2079,0.2087,
2.109,0.1654,0.09911,0.05125,0.02978,0.1545,0.08488,0.02263,0.007914,0.1039,0.03401,0.2046,0.2075,
2.108,0.1689,0.09892,0.05124,0.02949,0.1525,0.08473,0.0227,0.007936,0.1042,0.03412,0.2052,0.2089,
2.107,0.1715,0.09791,0.05114,0.02951,0.152,0.08455,0.02273,0.007947,0.1044,0.03418,0.2056,0.2101,
2.109,0.1702,0.09791,0.05104,0.02906,0.1504,0.08343,0.02283,0.007979,0.1049,0.03617,0.2047,0.2116,
2.111,0.1677,0.1009,0.0512,0.02914,0.149,0.08252,0.02288,0.008005,0.1053,0.0363,0.2055,0.2093,
2.112,0.1728,0.104,0.05122,0.02916,0.1487,0.08073,0.02289,0.007976,0.1053,0.03631,0.2056,0.2081,
2.111,0.1743,0.1039,0.05126,0.02919,0.1478,0.08018,0.02292,0.007985,0.1055,0.03636,0.2058,0.2091,
2.113,0.1605,0.1087,0.05092,0.02926,0.147,0.07943,0.02295,0.008004,0.1057,0.03645,0.2064,0.2052,
2.113,0.1635,0.1081,0.05098,0.02929,0.1461,0.07938,0.02298,0.008013,0.1059,0.0365,0.2067,0.2061,
2.112,0.1598,0.1073,0.05093,0.02898,0.1459,0.07931,0.02296,0.008006,0.1058,0.03647,0.2075,0.2068,
2.11,0.162,0.1069,0.05081,0.02892,0.1457,0.07917,0.02292,0.007992,0.1056,0.03641,0.2092,0.2064,
2.112,0.1694,0.1064,0.05081,0.02892,0.1457,0.07723,0.02292,0.007992,0.1056,0.03864,0.207,0.2088,
2.113,0.1653,0.1096,0.05077,0.0289,0.1455,0.07591,0.02289,0.007984,0.1055,0.03911,0.2073,0.2065,
2.114,0.1643,0.1095,0.05072,0.02887,0.1454,0.0749,0.02287,0.007976,0.1054,0.04026,0.207,0.2072,
2.115,0.1558,0.1104,0.05073,0.02887,0.1454,0.07492,0.02288,0.007978,0.1054,0.04062,0.2067,0.2061,
2.114,0.1613,0.11,0.05069,0.02881,0.1453,0.07392,0.02288,0.00798,0.1055,0.04063,0.2067,0.2076,
2.115,0.1604,0.1119,0.05069,0.02879,0.1454,0.07364,0.02289,0.007982,0.1055,0.04064,0.2068,0.2058,
2.113,0.1707,0.1118,0.05061,0.0288,0.1451,0.07197,0.0229,0.007987,0.1055,0.04067,0.2069,0.2077,
2.112,0.1611,0.1117,0.05057,0.02877,0.1447,0.07154,0.02289,0.007981,0.1055,0.04064,0.2078,0.2079,
2.112,0.1549,0.1136,0.04987,0.02873,0.1445,0.07042,0.02283,0.007973,0.1054,0.04184,0.2084,0.2065,
2.11,0.1444,0.1136,0.04967,0.02822,0.1445,0.06957,0.02284,0.007975,0.1054,0.04185,0.2085,0.2079,
2.109,0.1509,0.1136,0.04968,0.02823,0.1442,0.06849,0.02285,0.007978,0.1054,0.04187,0.2085,0.2091,
2.108,0.146,0.113,0.04961,0.02818,0.1434,0.0684,0.02282,0.007967,0.1053,0.04181,0.2104,0.2092,
2.107,0.1457,0.1125,0.04947,0.02816,0.1431,0.06823,0.02281,0.007967,0.1053,0.04181,0.2114,0.2094,
2.106,0.1461,0.1122,0.04926,0.0279,0.143,0.068,0.02283,0.007971,0.1053,0.04183,0.2115,0.2101,
2.116,0.1485,0.1192,0.04925,0.02788,0.1431,0.06804,0.02284,0.007976,0.1054,0.04571,0.2078,0.2028,
2.115,0.1537,0.1185,0.04925,0.0279,0.143,0.06764,0.02287,0.007986,0.1055,0.04577,0.208,0.2035,
2.114,0.1546,0.1178,0.04922,0.02788,0.1429,0.06729,0.0227,0.007984,0.1055,0.04575,0.209,0.204,
2.118,0.1526,0.1174,0.04923,0.0279,0.1426,0.06685,0.02272,0.00799,0.1056,0.04887,0.2061,0.2048,
2.118,0.1544,0.1168,0.04926,0.0279,0.1422,0.0669,0.02273,0.007996,0.1057,0.04891,0.2062,0.2053,
2.118,0.1707,0.1159,0.04953,0.02798,0.1423,0.06644,0.02289,0.008124,0.106,0.04845,0.2064,0.206,
2.114,0.1713,0.1124,0.04944,0.02814,0.1449,0.06676,0.02465,0.00627,0.1068,0.0477,0.2067,0.2063,
2.112,0.1578,0.1113,0.04962,0.02821,0.1454,0.06569,0.02468,0.006536,0.108,0.04613,0.2068,0.2076,
2.111,0.1644,0.1108,0.04962,0.02777,0.1452,0.06473,0.0247,0.007196,0.1084,0.04523,0.207,0.2093,
2.11,0.1725,0.1095,0.04989,0.02782,0.1458,0.06445,0.02464,0.00706,0.1087,0.04504,0.2071,0.21,
2.11,0.1641,0.1092,0.0499,0.0279,0.1458,0.0641,0.02487,0.007239,0.109,0.04441,0.2072,0.2104,
2.159,0.2097,0.1088,0.05003,0.02799,0.1456,0.06301,0.02472,0.04825,0.06929,0.04319,0.2073,0.2118,
2.156,0.213,0.1085,0.04999,0.02806,0.1455,0.06131,0.02469,0.04873,0.07001,0.04185,0.2081,0.2133,
2.155,0.2142,0.1074,0.05037,0.02762,0.1456,0.06106,0.02471,0.04903,0.07027,0.04128,0.2083,0.2143,
2.154,0.23,0.1071,0.05049,0.02769,0.1456,0.06065,0.02459,0.04904,0.07058,0.04098,0.2083,0.2149,
2.153,0.1942,0.1065,0.0506,0.02775,0.1455,0.06061,0.0247,0.04887,0.07206,0.03942,0.2092,0.2148,
2.152,0.1974,0.1058,0.05078,0.02782,0.1456,0.06064,0.02471,0.04922,0.07332,0.0379,0.2093,0.2149,
2.151,0.1908,0.1047,0.05076,0.02786,0.146,0.06032,0.02474,0.04977,0.07391,0.03692,0.2095,0.2155,
2.148,0.2223,0.1045,0.05075,0.02794,0.1458,0.05816,0.02475,0.05006,0.07448,0.03613,0.2096,0.2177,
2.147,0.2123,0.1042,0.05056,0.02803,0.1457,0.05773,0.0249,0.04997,0.07498,0.03572,0.2098,0.2184,
2.146,0.2082,0.1037,0.05058,0.02806,0.1457,0.05727,0.02492,0.05,0.07529,0.03548,0.2099,0.219,
2.145,0.1987,0.1028,0.05027,0.02822,0.1462,0.05732,0.02493,0.05004,0.07625,0.03461,0.2101,0.2192,
2.143,0.2095,0.09708,0.05047,0.0283,0.1515,0.05734,0.02494,0.05006,0.07697,0.03393,0.2102,0.2193,
2.143,0.2094,0.09688,0.05044,0.02838,0.151,0.05739,0.02527,0.04993,0.07692,0.03396,0.2104,0.2195,
2.138,0.2102,0.09343,0.05052,0.02839,0.1535,0.05607,0.02523,0.04984,0.07808,0.03259,0.2121,0.2203,
2.135,0.2014,0.09286,0.05038,0.02845,0.1535,0.05503,0.02521,0.04998,0.07834,0.03209,0.213,0.2212,
2.135,0.2127,0.09249,0.05031,0.02858,0.1535,0.05478,0.02522,0.05,0.07861,0.03186,0.2131,0.2215,
2.133,0.1856,0.09249,0.05027,0.02809,0.1534,0.05479,0.02523,0.05001,0.07932,0.03116,0.2131,0.2221,
2.132,0.1975,0.09191,0.0503,0.02819,0.1536,0.05425,0.02523,0.05028,0.07951,0.03075,0.2132,0.2227,
2.13,0.1829,0.09152,0.05032,0.02779,0.1534,0.05421,0.02518,0.05035,0.07935,0.03073,0.2141,0.223,
2.133,0.189,0.09252,0.0504,0.02786,0.1536,0.05384,0.02513,0.05025,0.08171,0.03056,0.2134,0.2208,
2.131,0.1939,0.09214,0.05052,0.02794,0.1532,0.05401,0.02502,0.05029,0.08327,0.0291,0.2136,0.221,
2.128,0.1931,0.09168,0.05043,0.02801,0.1522,0.05343,0.02483,0.05024,0.08422,0.02802,0.2155,0.2214,
2.133,0.1859,0.09412,0.05044,0.02766,0.152,0.05348,0.02486,0.05042,0.08591,0.02903,0.213,0.2191,
2.135,0.1847,0.09538,0.05051,0.02774,0.1514,0.05302,0.02488,0.05047,0.08667,0.02927,0.2123,0.2184,
