RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4667000.0,2413000.0,1402000.0,7274000.0,3997000.0,1065000.0,372700.0,4892000.0,1602000.0,9633000.0,9770000.0,
4643000.0,2405000.0,1384000.0,7156000.0,3977000.0,1065000.0,372500.0,4892000.0,1601000.0,9633000.0,9807000.0,
4587000.0,2396000.0,1383000.0,7122000.0,3962000.0,1065000.0,372400.0,4892000.0,1601000.0,9633000.0,9842000.0,
4566000.0,2380000.0,1355000.0,7013000.0,3891000.0,1065000.0,372100.0,4892000.0,1687000.0,9548000.0,9865000.0,
4687000.0,2379000.0,1354000.0,6925000.0,3835000.0,1063000.0,372000.0,4892000.0,1687000.0,9548000.0,9728000.0,
4830000.0,2379000.0,1354000.0,6905000.0,3749000.0,1063000.0,370400.0,4892000.0,1687000.0,9548000.0,9667000.0,
4820000.0,2377000.0,1354000.0,6856000.0,3719000.0,1063000.0,370400.0,4892000.0,1686000.0,9548000.0,9697000.0,
5028000.0,2356000.0,1354000.0,6801000.0,3675000.0,1062000.0,370300.0,4892000.0,1686000.0,9548000.0,9491000.0,
4995000.0,2355000.0,1353000.0,6747000.0,3667000.0,1061000.0,370200.0,4892000.0,1686000.0,9548000.0,9522000.0,
4960000.0,2355000.0,1340000.0,6747000.0,3667000.0,1061000.0,370200.0,4892000.0,1686000.0,9595000.0,9560000.0,
4952000.0,2354000.0,1340000.0,6747000.0,3667000.0,1061000.0,370200.0,4892000.0,1686000.0,9692000.0,9560000.0,
4931000.0,2354000.0,1340000.0,6747000.0,3577000.0,1061000.0,370200.0,4892000.0,1790000.0,9588000.0,9671000.0,
5080000.0,2354000.0,1340000.0,6747000.0,3519000.0,1061000.0,370200.0,4892000.0,1814000.0,9612000.0,9574000.0,
5080000.0,2354000.0,1340000.0,6747000.0,3476000.0,1061000.0,370200.0,4892000.0,1868000.0,9605000.0,9617000.0,
5124000.0,2354000.0,1340000.0,6747000.0,3476000.0,1061000.0,370200.0,4892000.0,1885000.0,9589000.0,9563000.0,
5101000.0,2351000.0,1337000.0,6742000.0,3429000.0,1061000.0,370200.0,4892000.0,1885000.0,9589000.0,9630000.0,
5191000.0,2351000.0,1335000.0,6742000.0,3415000.0,1061000.0,370200.0,4892000.0,1885000.0,9589000.0,9546000.0,
