cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07118,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07118,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,272.1,100.1,37.73,822.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.58,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83360,89580,47800,2.24E+07,45530,21460,24230,13490,24780,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006468,0.2456,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1606,168.9,178,157.5,0.04925,5.941,0.2239,0.1635,0.9841,0.4029,0,343.6,0.1312,0.6699,0.6059,0.07095,0.1964,0.05949,0.08116,4.77,11.01,0,343.6,0.1312,0.6699,0.6059,0.07095,0.1964,0.05949,0.08116,4.77,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,290.4,104.3,38.9,772.1,165.1,3.223,3.54,30.6,4.075,0,45.19,5.948,10.51,57.74,41.5,0.3499,0.01357,0.01548,0.01183,0.01394,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56E-04,0,77,76360,81250,44020,2.15E+07,42950,20400,23010,13210,23660,0,4.71E-36,2.35E-36,1.39E-35,1.68E-35,2.13E-36,4.59E-37,1.15E-38,7.75E-39,4.80E-38,2.18E-38,2.08E-35,0,0.678,1.153,3.014,1.572,0.2228,0.04265,0.0037,0.00261,0.01635,0.009707,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,6.73E-05,0.009332,0.01028,0.006439,0.2436,0.0139,0.001643,6.93E-04,0.005392,9.74E-04
0,1600,177.2,168.6,153.1,0.0501,4.637,0.2258,0.1641,0.9615,0.4043,0,343.6,0.1309,0.7098,0.5746,0.07191,0.1913,0.05903,0.08222,4.76,11.01,0,343.6,0.1309,0.7098,0.5746,0.07191,0.1913,0.05903,0.08222,4.76,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,296.3,103,33.96,748.8,175.1,2.373,2.634,27.82,3.218,0,44.66,8.855,17.9,61.31,39.78,0.08822,0.01353,0.01547,0.0118,0.01391,0,0,4793000,6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,406.2,73490,75820,35240,2.14E+07,41430,19630,22230,13000,23080,0,4.45E-36,2.37E-36,1.39E-35,1.67E-35,1.98E-36,3.28E-37,1.05E-38,7.69E-39,4.59E-38,2.15E-38,2.08E-35,0,0.6317,1.217,3.02,1.57,0.2056,0.02777,0.003702,0.002615,0.016,0.009732,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.31E-04,0.009422,0.01011,0.006104,0.2434,0.01384,0.001637,6.88E-04,0.005404,9.59E-04
0,1602,174.9,166.4,146.1,0.438,4.62,0.2262,0.1646,0.9622,0.405,0,343.6,0.1282,0.7156,0.5183,0.0794,0.2225,0.05937,0.08213,4.76,11.01,0,343.6,0.1282,0.7156,0.5183,0.0794,0.2225,0.05937,0.08213,4.76,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,308.9,105.5,34.05,718.9,174.2,2.455,2.721,28.1,3.319,0,44.71,7.037,17.47,69.67,35.47,0.2753,0.01338,0.0153,0.01176,0.01378,0,0,4793000,6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,717,70590,79880,36300,2.21E+07,42420,19630,22300,12890,23300,0,4.60E-36,2.29E-36,1.36E-35,1.65E-35,2.04E-36,3.57E-37,1.05E-38,7.73E-39,4.54E-38,2.16E-38,2.08E-35,0,0.6479,1.191,2.968,1.578,0.2139,0.0308,0.003706,0.00262,0.01601,0.009738,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,3.63E-04,0.009336,0.009998,0.006167,0.2423,0.01379,0.001634,6.82E-04,0.005407,9.56E-04
0,1604,178.7,156.2,142.5,0.06307,6.204,0.2286,0.166,0.9666,0.4135,0,343.6,0.1047,0.7028,0.5079,0.08052,0.227,0.06095,0.07172,4.761,11.06,0,343.6,0.1047,0.7028,0.5079,0.08052,0.227,0.06095,0.07172,4.761,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,314.6,106.6,36.93,685,165.8,3.058,3.312,29.63,4.278,0,44.71,6.9,21.81,69.63,35.59,0.2885,0.01322,0.01513,0.01175,0.01366,0,0,4793000,6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69E-04,0,906,70520,82310,36180,2.31E+07,45930,20020,22830,12940,23970,0,4.67E-36,2.48E-36,1.34E-35,1.61E-35,2.03E-36,5.71E-37,1.07E-38,8.05E-39,4.58E-38,2.20E-38,2.08E-35,0,0.6712,1.246,2.897,1.541,0.2135,0.04539,0.003733,0.00265,0.01606,0.009775,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.72E-04,0.009338,0.00996,0.006162,0.2411,0.01352,0.001635,6.78E-04,0.005424,9.66E-04
0,1594,187.1,156.7,145.6,0.05746,4.633,0.2338,0.1648,0.9726,0.4063,0,343.6,0.09723,0.7081,0.5037,0.078,0.2321,0.06053,0.0737,4.497,11.32,0,343.6,0.09723,0.7081,0.5037,0.078,0.2321,0.06053,0.0737,4.497,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,316.6,106,33.14,675.4,173.8,3.613,2.897,28.14,3.635,0,43.87,6.708,21.21,69.33,36.39,0.2808,0.01318,0.01505,0.01176,0.01362,0,0,4785000,13770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,983.6,72900,86610,37330,2.49E+07,46790,21090,24190,13060,25380,0,4.08E-36,2.31E-36,1.35E-35,1.63E-35,2.03E-36,3.55E-37,1.08E-38,8.04E-39,4.46E-38,2.17E-38,2.08E-35,0,0.5866,1.257,2.947,1.572,0.2132,0.0309,0.003728,0.002702,0.01617,0.009683,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,6.20E-04,0.009335,0.009942,0.006158,0.2419,0.01344,0.001652,7.08E-04,0.005347,9.84E-04
0,1594,196.7,159,143,0.2388,4.511,0.2276,0.197,0.9401,0.4169,0,343.6,0.1125,0.7443,0.4607,0.07462,0.2224,0.06018,0.0929,2.308,13.49,0,343.6,0.1125,0.7443,0.4607,0.07462,0.2224,0.06018,0.0929,2.308,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,320.8,105.6,36.03,677.1,163.7,1.865,5.785,28.43,5.915,0,43.87,6.344,15.49,62.08,37.87,0.3203,0.01314,0.01498,0.01178,0.01358,0,0,4785000,13770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05E-04,0,1176,75770,89310,43140,2.65E+07,47920,22140,25480,13400,26760,0,4.08E-36,2.64E-36,1.38E-35,1.55E-35,2.03E-36,3.48E-37,9.82E-39,9.87E-39,4.34E-38,2.28E-38,2.08E-35,0,0.5868,1.245,2.967,1.544,0.2218,0.03036,0.003682,0.003169,0.01564,0.009809,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,8.72E-04,0.009384,0.009892,0.006154,0.2415,0.0131,0.001627,6.94E-04,0.005409,0.001005
0,1601,194.6,160.7,122.6,0.01499,4.205,0.2276,0.1973,0.9405,0.4173,0,343.6,0.09932,0.865,0.3531,0.07414,0.2211,0.06018,0.09295,2.308,13.49,0,343.6,0.09932,0.865,0.3531,0.07414,0.2211,0.06018,0.09295,2.308,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,319.6,105.6,36.54,661.3,163,1.824,5.821,28.53,5.984,0,44.11,6.871,17.53,72.79,37.93,0.6194,0.01318,0.01499,0.01183,0.01362,0,0,4786000,13160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1495,77120,86920,45750,2.53E+07,46460,22330,25600,13420,26550,0,4.38E-36,2.28E-36,1.40E-35,1.52E-35,2.03E-36,3.47E-37,9.66E-39,9.88E-39,4.30E-38,2.28E-38,2.08E-35,0,0.6484,1.174,3.007,1.512,0.222,0.03029,0.003683,0.003172,0.01565,0.009814,0,0,2.52E-04,1.10E-04,8.24E-04,0.9961,0.001034,4.14E-04,5.43E-04,6.30E-05,6.60E-04,0,0.00103,0.009343,0.009905,0.006109,0.2386,0.01291,0.001627,6.93E-04,0.005409,0.001004
0,1603,193.5,162,124.3,0.01483,4.633,0.2292,0.1995,0.9431,0.4173,0,343.6,0.1123,0.7933,0.3318,0.1352,0.2185,0.06053,0.09254,2.308,13.49,0,343.6,0.1123,0.7933,0.3318,0.1352,0.2185,0.06053,0.09254,2.308,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,322.2,102.6,36.59,671.2,162.6,1.764,5.754,28.52,5.93,0,44.2,4.923,14.31,71.84,38.93,0.436,0.01317,0.01493,0.01189,0.01361,0,0,4786000,13160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,2152,85860,97970,56020,2.48E+07,49030,22640,25890,13480,26600,0,4.38E-36,2.38E-36,1.34E-35,1.49E-35,2.52E-36,3.50E-37,9.53E-39,9.85E-39,4.27E-38,2.28E-38,2.08E-35,0,0.6485,1.176,2.957,1.509,0.2514,0.03285,0.003683,0.003173,0.01565,0.009813,0,0,2.52E-04,1.10E-04,8.24E-04,0.9961,0.001034,4.14E-04,5.43E-04,6.30E-05,6.60E-04,0,0.001276,0.009276,0.009751,0.00609,0.2384,0.01275,0.00163,6.87E-04,0.005412,0.001002
0,1604,194.6,155,124.5,0.2991,4.68,0.2292,0.1948,0.9473,0.4177,0,343.6,0.1043,0.8602,0.334,0.06281,0.214,0.05543,0.09785,2.31,13.49,0,343.6,0.1043,0.8602,0.334,0.06281,0.214,0.05543,0.09785,2.31,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,328.8,99.38,36.79,660.1,163.2,1.735,5.508,28.71,5.899,0,44.28,6.682,17.46,70.98,36.47,0.2346,0.01298,0.01478,0.01179,0.01345,0,0,4786000,13160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87E-04,0,2729,80690,89090,54060,2.50E+07,48450,22860,26160,13400,26860,0,4.41E-36,2.36E-36,1.39E-35,1.46E-35,1.90E-36,3.37E-37,9.37E-39,9.63E-39,4.23E-38,2.28E-38,2.08E-35,0,0.661,1.2,2.952,1.501,0.2036,0.03231,0.003681,0.003101,0.01571,0.009815,0,0,2.52E-04,1.10E-04,8.24E-04,0.9961,0.001034,4.14E-04,5.43E-04,6.30E-05,6.60E-04,0,0.001565,0.009225,0.0096,0.00608,0.2376,0.01251,0.001625,6.81E-04,0.005413,9.98E-04
