cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83370,89590,47810,2.24E+07,45540,21470,24240,13490,24790,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1609,167.3,172.4,150.5,3.639,4.87,0.2259,0.1624,0.9673,0.4065,0,343.6,0.1394,0.66,0.5797,0.0814,0.1884,0.05984,0.08224,4.762,11.02,0,343.6,0.1394,0.66,0.5797,0.0814,0.1884,0.05984,0.08224,4.762,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,292.9,108.2,39.05,780.8,165.2,3.34,3.686,29.86,4.27,0,53.08,5.868,10.22,57.07,41.39,0.1216,0.01349,0.01541,0.01181,0.01387,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88E-04,0,1451,74760,82860,46690,2.13E+07,42360,20120,22710,13140,23390,0,5.17E-36,2.51E-36,1.37E-35,1.63E-35,2.25E-36,3.48E-37,1.14E-38,7.84E-39,4.73E-38,2.20E-38,2.08E-35,0,0.7561,1.196,2.903,1.523,0.2575,0.03124,0.003724,0.002643,0.0161,0.009761,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,3.10E-04,0.009257,0.0103,0.006315,0.2418,0.01382,0.001639,6.85E-04,0.005407,9.66E-04
0,1606,180.4,162.7,145,0.05211,5.283,0.2274,0.1627,0.9656,0.407,0,343.6,0.1422,0.6432,0.5434,0.07592,0.2135,0.05983,0.08214,4.761,11.01,0,343.6,0.1422,0.6432,0.5434,0.07592,0.2135,0.05983,0.08214,4.761,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,299.3,110.6,39.35,778.9,165.1,3.28,3.619,29.78,4.221,0,53.27,5.827,9.047,60.9,43.89,0.1145,0.01339,0.01532,0.01177,0.01378,0,0,4796000,4101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1939,71900,78350,45360,2.14E+07,41190,19520,22090,12880,22970,0,5.30E-36,2.57E-36,1.33E-35,1.61E-35,2.17E-36,4.17E-37,1.14E-38,7.83E-39,4.68E-38,2.20E-38,2.08E-35,0,0.7731,1.268,2.819,1.511,0.2394,0.03771,0.003727,0.002646,0.01608,0.009765,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.27E-04,0.009138,0.01023,0.006314,0.2413,0.01378,0.001654,6.81E-04,0.005408,9.62E-04
0,1601,190.9,154.7,130.2,0.05357,4.355,0.23,0.1632,0.9662,0.4071,0,343.6,0.1465,0.7764,0.4092,0.074,0.2054,0.06108,0.08295,4.725,11.05,0,343.6,0.1465,0.7764,0.4092,0.074,0.2054,0.06108,0.08295,4.725,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,310.6,109.1,39.48,734.4,165,3.179,3.504,29.75,4.122,0,52.53,6.482,9.716,77.05,44.02,0.1102,0.01338,0.01532,0.01177,0.01378,0,0,4790000,9387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56E-04,0,2130,71880,80820,46470,2.19E+07,41260,19690,22370,12890,23400,0,4.85E-36,2.60E-36,1.32E-35,1.60E-35,2.20E-36,2.43E-37,1.09E-38,8.12E-39,4.68E-38,2.20E-38,2.08E-35,0,0.7183,1.322,2.793,1.515,0.254,0.02893,0.003725,0.002647,0.01607,0.009766,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.44E-04,0.009161,0.01019,0.006313,0.2401,0.01366,0.001644,6.98E-04,0.005424,9.63E-04
0,1601,195.7,150,121.2,0.05035,7.641,0.2264,0.166,0.9833,0.403,0,343.6,0.135,0.8577,0.3328,0.06903,0.2091,0.05376,0.08612,2.828,12.96,0,343.6,0.135,0.8577,0.3328,0.06903,0.2091,0.05376,0.08612,2.828,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,315.5,110.9,39.37,716.5,165,3.101,3.675,30.26,3.901,0,52.53,7.435,10.69,79.25,43.73,0.1094,0.01324,0.01515,0.002461,0.01366,0,0,4790000,9387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06E-04,0,2284,72710,76420,51310,2.30E+07,42140,20200,23100,12880,24170,0,4.87E-36,2.46E-36,1.36E-35,1.51E-35,2.13E-36,8.24E-37,1.07E-38,8.41E-39,4.69E-38,2.18E-38,2.08E-35,0,0.7254,1.285,2.814,1.487,0.2485,0.06054,0.003706,0.002729,0.01623,0.009702,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,6.51E-04,0.009101,0.01013,0.006347,0.239,0.01358,0.001647,7.40E-04,0.005371,9.57E-04
0,1606,197.3,149.6,120.6,0.04988,3.9,0.2251,0.164,0.9859,0.4033,0,343.6,0.1363,0.8759,0.3103,0.06812,0.2093,0.05418,0.05461,1.648,14.17,0,343.6,0.1363,0.8759,0.3103,0.06812,0.2093,0.05418,0.05461,1.648,14.17,0,0,0,0,0,0,0,0,0,0,0,0,0,315.5,110.9,39.36,717.7,164.9,3.003,3.526,30.39,3.854,0,52.53,7.461,10.56,77.34,43.49,0.1061,0.01311,0.01498,0.002461,0.01355,0,0,4790000,9387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47E-04,0,2546,75110,77920,52530,2.47E+07,43820,21010,24120,13050,25350,0,5.14E-36,2.55E-36,1.37E-35,1.51E-35,2.13E-36,2.16E-37,1.05E-38,8.29E-39,4.66E-38,2.17E-38,2.08E-35,0,0.7846,1.328,2.773,1.461,0.2475,0.02414,0.003688,0.002698,0.01627,0.009712,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,8.57E-04,0.009078,0.01013,0.006286,0.2388,0.01342,0.001642,7.19E-04,0.005383,9.49E-04
0,1607,195.5,151.6,120.6,0.04971,3.853,0.2249,0.1601,0.9898,0.4032,0,343.6,0.1354,0.8269,0.3457,0.08204,0.2087,0.05372,0.05375,1.627,14.19,0,343.6,0.1354,0.8269,0.3457,0.08204,0.2087,0.05372,0.05375,1.627,14.19,0,0,0,0,0,0,0,0,0,0,0,0,0,311.4,116.3,39.35,702.7,164.9,2.964,3.3,30.56,3.817,0,52.53,7.507,15.06,71.29,43.35,0.1058,0.01298,0.01481,0.002463,0.01344,0,0,4790000,9387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06E-04,0,2695,76990,83880,52480,2.58E+07,45180,21730,24970,13200,26300,0,5.16E-36,2.54E-36,1.34E-35,1.50E-35,2.40E-36,2.15E-37,1.04E-38,8.09E-39,4.64E-38,2.17E-38,2.08E-35,0,0.7975,1.305,2.768,1.448,0.272,0.02411,0.003687,0.002636,0.01633,0.009711,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,9.69E-04,0.009026,0.01012,0.006253,0.2369,0.01334,0.00164,6.90E-04,0.005403,9.43E-04
0,1608,196.8,147.2,121.5,0.04924,3.864,0.225,0.1582,0.9907,0.4076,0,343.6,0.1041,0.961,0.2223,0.06704,0.2065,0.05416,0.04059,1.627,14.24,0,343.6,0.1041,0.961,0.2223,0.06704,0.2065,0.05416,0.04059,1.627,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,312.2,116,39.44,696,164.8,2.963,3.201,30.6,4.013,0,52.53,7.595,8.506,79.06,43.02,0.09328,0.01292,0.01471,0.002494,0.01339,0,0,4790000,9387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,2737,79740,85280,53050,2.73E+07,46830,22400,25810,13310,27320,0,5.19E-36,2.60E-36,1.35E-35,1.49E-35,2.11E-36,2.14E-37,1.03E-38,8.01E-39,4.60E-38,2.17E-38,2.08E-35,0,0.8102,1.339,2.72,1.473,0.2453,0.02411,0.003687,0.002619,0.01634,0.009717,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,9.98E-04,0.0089,0.01015,0.006297,0.2353,0.01332,0.001642,6.76E-04,0.005402,9.52E-04
0,1611,193.7,145.3,120.2,0.04894,3.867,0.2251,0.1585,0.9905,0.4075,0,343.6,0.1011,0.9646,0.2186,0.06687,0.2061,0.04742,0.04702,1.629,14.24,0,343.6,0.1011,0.9646,0.2186,0.06687,0.2061,0.04742,0.04702,1.629,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,317,117.3,39.5,681.1,164.8,2.898,3.129,30.59,3.954,0,52.53,7.919,9.518,79.03,42.9,0.08988,0.01301,0.01473,0.002578,0.01346,0,0,4790000,9387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,3038,83110,86470,54470,2.93E+07,48280,22380,25990,13280,27940,0,5.23E-36,2.56E-36,1.35E-35,1.47E-35,2.10E-36,2.14E-37,1.01E-38,7.99E-39,4.57E-38,2.17E-38,2.08E-35,0,0.8342,1.305,2.711,1.469,0.2446,0.0241,0.003686,0.002622,0.01634,0.009717,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,0.001124,0.008822,0.01017,0.006227,0.2359,0.0133,0.001628,6.90E-04,0.005397,9.50E-04
0,1603,199.4,144.7,124.8,0.0457,4.915,0.2217,0.1543,0.9819,0.4056,0,343.6,0.1002,0.9902,0.2197,0.06603,0.4243,0.05829,0.04959,1.631,13.98,0,343.6,0.1002,0.9902,0.2197,0.06603,0.4243,0.05829,0.04959,1.631,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,326,118.8,35.28,685.5,172.3,2.37,2.072,28.42,6.356,0,51.72,7.752,9.365,72.65,42.71,0.0973,0.01286,0.01458,0.002583,0.01376,0,0,4784000,15240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62E-04,0,3149,79510,81310,51980,2.80E+07,47250,21580,25010,13100,27120,0,4.71E-36,2.57E-36,1.34E-35,1.44E-35,2.10E-36,4.21E-37,9.87E-39,7.52E-39,4.44E-38,2.39E-38,2.08E-35,0,0.7588,1.366,2.694,1.452,0.2443,0.03844,0.003685,0.002592,0.01628,0.009889,0,0,2.52E-04,1.10E-04,8.24E-04,0.9961,0.001034,4.14E-04,5.43E-04,6.30E-05,6.60E-04,0,0.001233,0.008779,0.01015,0.006168,0.2324,0.01318,0.001627,6.75E-04,0.005382,0.001067
