cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83370,89590,47810,2.24E+07,45540,21470,24240,13490,24790,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1593,171.3,182.9,152.1,0.04925,7.524,0.6663,0.2427,0.9814,0.4036,0,343.6,0.1291,0.6551,0.5982,0.08615,0.1901,0.0605,0.0835,4.138,11.64,0,343.6,0.1291,0.6551,0.5982,0.08615,0.1901,0.0605,0.0835,4.138,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,311.7,107.5,38.79,781.5,165.2,3.233,3.665,30.48,4.121,0,46.69,5.94,9.74,59.65,42.6,0.1227,0.01337,0.01528,0.01179,0.01378,0,0,4789000,9274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,342.7,77270,82920,44720,2.13E+07,42680,20150,22780,13190,23500,0,4.07E-36,2.29E-36,1.38E-35,1.65E-35,2.40E-36,3.74E-37,2.09E-38,8.09E-39,4.74E-38,2.18E-38,2.08E-35,0,0.5804,1.226,3.004,1.518,0.2425,0.0611,0.009207,0.003466,0.01631,0.00972,0,0,2.54E-04,1.10E-04,8.29E-04,0.9961,0.00104,4.16E-04,5.46E-04,6.33E-05,6.64E-04,0,1.35E-04,0.00935,0.01028,0.006402,0.2422,0.01388,0.001654,6.89E-04,0.005388,9.73E-04
0,1596,167.4,181.6,155.3,0.04765,5.097,0.3807,0.1672,0.9796,0.4006,0,343.6,0.1297,0.6476,0.593,0.07526,0.1895,0.05981,0.08087,3.823,11.96,0,343.6,0.1297,0.6476,0.593,0.07526,0.1895,0.05981,0.08087,3.823,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,331.3,107.9,36.09,762.9,172.7,3.19,2.778,29.02,3.249,0,46.74,5.609,8.826,56.43,42.77,0.1155,0.01328,0.0152,0.01175,0.01371,0,0,4789000,9024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,749.6,74210,79720,42490,2.06E+07,40560,19220,21690,12930,22530,0,4.33E-36,2.30E-36,1.37E-35,1.63E-35,2.20E-36,3.71E-37,2.02E-38,7.45E-39,4.64E-38,2.14E-38,2.08E-35,0,0.6141,1.205,2.978,1.537,0.2282,0.03611,0.006155,0.002644,0.0163,0.009675,0,0,2.54E-04,1.10E-04,8.29E-04,0.9961,0.00104,4.16E-04,5.46E-04,6.33E-05,6.64E-04,0,3.99E-04,0.009301,0.01023,0.006328,0.2409,0.01381,0.001657,6.69E-04,0.005388,9.55E-04
0,1596,160.3,181.7,154.6,0.04961,5.058,0.389,0.1677,0.9916,0.4109,0,343.6,0.1294,0.6477,0.5944,0.07541,0.1868,0.06109,0.08479,3.84,11.94,0,343.6,0.1294,0.6477,0.5944,0.07541,0.1868,0.06109,0.08479,3.84,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,349.6,108.5,38.97,736.7,163.7,4.547,3.518,30.59,4.026,0,46.74,5.629,8.004,57.26,43.08,0.11,0.01321,0.01513,0.002445,0.01365,0,0,4789000,9024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82E-04,0,853.9,71600,76960,42490,2.08E+07,39660,18970,21420,12840,22390,0,4.33E-36,2.28E-36,1.37E-35,1.62E-35,2.20E-36,3.65E-37,2.08E-38,7.82E-39,4.67E-38,2.18E-38,2.08E-35,0,0.6142,1.169,2.971,1.542,0.2282,0.03568,0.00622,0.00268,0.01634,0.00972,0,0,2.54E-04,1.10E-04,8.29E-04,0.9961,0.00104,4.16E-04,5.46E-04,6.33E-05,6.64E-04,0,5.30E-04,0.009235,0.01022,0.00635,0.2404,0.01352,0.0017,6.76E-04,0.005395,9.90E-04
0,1585,182.6,164,155.5,0.0605,5.38,0.3901,0.1745,0.9947,0.4212,0,343.6,0.1344,0.6363,0.601,0.07502,0.1802,0.06139,0.08616,3.841,11.94,0,343.6,0.1344,0.6363,0.601,0.07502,0.1802,0.06139,0.08616,3.841,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,355,109,38.97,717.9,163.7,4.515,3.48,30.59,3.993,0,45.56,5.745,10.3,59.5,42.19,0.1064,0.01298,0.01487,0.002414,0.01347,0,0,4779000,18970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03E-04,0,985.1,72220,80750,45930,2.15E+07,39480,18580,21090,12760,22400,0,3.64E-36,2.58E-36,1.33E-35,1.61E-35,2.19E-36,3.95E-37,2.06E-38,7.79E-39,4.62E-38,2.18E-38,2.08E-35,0,0.5369,1.358,2.819,1.569,0.2263,0.0405,0.006209,0.002679,0.01634,0.009722,0,0,2.54E-04,1.10E-04,8.29E-04,0.9961,0.00104,4.16E-04,5.46E-04,6.33E-05,6.64E-04,0,6.24E-04,0.009196,0.0102,0.006365,0.2389,0.01336,0.001699,6.72E-04,0.005397,9.94E-04
0,1565,198,167,164.4,0.04952,5.309,0.3855,0.1745,0.9721,0.4203,0,343.6,0.138,0.6333,0.6453,0.07682,0.1389,0.06069,0.08679,2.503,13.27,0,343.6,0.138,0.6333,0.6453,0.07682,0.1389,0.06069,0.08679,2.503,13.27,0,0,0,0,0,0,0,0,0,0,0,0,0,360.9,108.8,33.99,700.5,176.8,2.754,2.617,27.75,3.085,0,43.83,5.758,9.787,50.96,42.62,0.09322,0.01293,0.01479,0.002425,0.01342,0,0,4764000,32790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53E-04,0,1040,74580,81870,46930,2.27E+07,40960,18920,21570,12810,23100,0,2.72E-36,2.60E-36,1.32E-35,1.61E-35,2.20E-36,3.79E-37,1.91E-38,7.22E-39,4.36E-38,2.12E-38,2.08E-35,0,0.4013,1.446,2.842,1.57,0.2342,0.03273,0.006125,0.002677,0.01595,0.009719,0,0,2.54E-04,1.10E-04,8.29E-04,0.9961,0.00104,4.16E-04,5.46E-04,6.33E-05,6.64E-04,0,6.42E-04,0.009136,0.01021,0.006245,0.2378,0.01353,0.001664,6.52E-04,0.005388,9.75E-04
0,1567,178.6,182.7,160.9,0.05056,6.439,0.3075,0.2033,0.9748,0.422,0,343.6,0.137,0.6357,0.6289,0.07691,0.1492,0.06105,0.08711,2.503,13.27,0,343.6,0.137,0.6357,0.6289,0.07691,0.1492,0.06105,0.08711,2.503,13.27,0,0,0,0,0,0,0,0,0,0,0,0,0,373.1,109.8,34.66,675.5,171.8,3.728,3.12,28.93,3.621,0,43.83,5.867,9.75,51.32,41.89,0.09344,0.01281,0.01463,0.002427,0.01332,1.47E-16,0,4764000,29920,123.8,47.32,0,0,0,0,0,0,3.07E-18,0,0,4.85E-19,7.21E-20,4.29E-19,4.21E-19,4.17E-19,7.62E-20,3.18E-20,3.56E-18,2.34E-17,0,0,1.43E-26,4.73E-27,1.23E-26,1.08E-28,4.37E-27,6.85E-31,7.05E-31,4.86E-29,2.23E-29,4.97E-04,0,1169,76780,83550,47250,2.28E+07,40700,19070,21740,12740,23280,0,2.73E-36,2.45E-36,1.33E-35,1.58E-35,2.19E-36,5.21E-37,1.34E-38,9.18E-39,4.35E-38,2.12E-38,2.08E-35,0,0.4152,1.328,2.938,1.535,0.2314,0.04794,0.004659,0.003181,0.01596,0.009724,0,0,2.55E-04,1.11E-04,8.33E-04,0.9961,0.001045,4.18E-04,5.49E-04,6.36E-05,6.67E-04,0,6.83E-04,0.009172,0.01016,0.006215,0.2355,0.01345,0.00167,6.51E-04,0.005397,9.78E-04
0,1570,177.3,180.7,158.9,0.0512,4.132,0.2628,0.1729,0.977,0.4232,0,343.6,0.1493,0.6109,0.6578,0.07514,0.1303,0.06098,0.08705,2.503,13.27,0,343.6,0.1493,0.6109,0.6578,0.07514,0.1303,0.06098,0.08705,2.503,13.27,0,0,0,0,0,0,0,0,0,0,0,0,0,388.2,110.1,35.05,655,167.8,4.516,3.534,29.87,4.056,0,43.83,5.818,9.051,52.01,41.6,0.09473,0.0127,0.01447,0.002449,0.01323,3.15E-14,0,4764000,26510,843.1,61.63,0,0,0,0,0,0,6.01E-16,0,0,1.08E-14,3.07E-13,4.13E-16,1.01E-17,9.81E-17,4.81E-18,3.50E-18,4.48E-16,8.94E-15,0,0,3.39E-22,1.21E-18,3.08E-22,2.20E-26,2.45E-26,4.59E-28,3.01E-28,8.10E-27,1.04E-26,6.78E-04,0,1244,77990,85010,47730,2.22E+07,39810,19020,21630,12730,23090,0,2.76E-36,2.60E-36,1.31E-35,1.60E-35,2.17E-36,2.30E-37,1.05E-38,7.28E-39,4.33E-38,2.12E-38,2.08E-35,0,0.4399,1.349,2.884,1.546,0.2238,0.0208,0.003922,0.002684,0.01596,0.009727,0,0,2.55E-04,1.11E-04,8.33E-04,0.9961,0.001045,4.18E-04,5.49E-04,6.36E-05,6.67E-04,0,7.20E-04,0.00918,0.01008,0.00623,0.2344,0.01326,0.00167,6.48E-04,0.005404,9.76E-04
0,1573,168.7,184.9,141,0.05102,8.497,0.2628,0.1707,0.9766,0.4324,0,343.6,0.1083,0.6181,0.6192,0.07577,0.1533,0.06091,0.08341,2.509,13.3,0,343.6,0.1083,0.6181,0.6192,0.07577,0.1533,0.06091,0.08341,2.509,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,395,110,35.53,639.8,167.8,4.484,3.455,29.85,4.205,0,43.83,5.921,9.049,64.3,41.16,0.07304,0.01271,0.01441,0.002518,0.01323,9.38E-14,0,4764000,26600,563.6,62.77,0,0,0,0,0,0,2.84E-15,0,4.77E-17,8.79E-14,4.44E-12,5.37E-15,2.23E-16,1.52E-15,3.41E-16,6.15E-16,7.59E-15,2.55E-13,0,9.66E-26,4.11E-21,2.58E-17,1.37E-20,3.65E-25,1.03E-24,8.64E-27,1.59E-26,5.02E-25,9.68E-25,1.02E-04,0,1347,80540,88200,53680,2.26E+07,40300,19580,22260,12720,23650,0,3.30E-36,2.48E-36,1.31E-35,1.51E-35,2.29E-36,3.33E-37,1.04E-38,7.24E-39,4.30E-38,2.13E-38,2.08E-35,0,0.4695,1.272,2.924,1.528,0.2273,0.02788,0.003922,0.002682,0.01595,0.009736,0,0,2.55E-04,1.11E-04,8.33E-04,0.9961,0.001045,4.18E-04,5.49E-04,6.36E-05,6.67E-04,0,8.38E-04,0.009142,0.01006,0.006165,0.2337,0.01323,0.001666,6.42E-04,0.005402,9.90E-04
0,1575,163.9,191.1,144.8,0.05122,4.455,0.2643,0.1726,0.9791,0.9294,0,343.6,0.1045,0.6191,0.6271,0.07496,0.137,0.06041,0.08382,2.51,13.3,0,343.6,0.1045,0.6191,0.6271,0.07496,0.137,0.06041,0.08382,2.51,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,395,110.8,35.87,620.8,167.7,4.394,3.354,29.83,4.445,0,43.83,5.778,9.026,60.82,40.94,0.06499,0.01253,0.01429,0.002416,0.01309,1.54E-13,0,4764000,26630,540.4,61.98,0,0,0,0,0,0,6.78E-15,0,1.07E-15,6.53E-13,1.66E-11,4.78E-14,2.37E-15,8.57E-15,4.59E-15,8.04E-15,2.17E-13,1.27E-12,0,2.10E-21,3.81E-20,9.97E-17,5.05E-19,1.92E-22,4.69E-23,1.05E-24,7.33E-25,7.61E-24,9.77E-24,1.00E-04,0,1518,78750,84780,51920,2.33E+07,40900,20300,23160,12810,24520,0,3.60E-36,2.37E-36,1.31E-35,1.49E-35,2.27E-36,3.55E-37,9.75E-39,7.44E-39,4.32E-38,3.20E-38,2.08E-35,0,0.4861,1.246,2.935,1.514,0.2257,0.02925,0.00393,0.002689,0.01596,0.01582,0,0,2.55E-04,1.11E-04,8.33E-04,0.9961,0.001045,4.18E-04,5.49E-04,6.36E-05,6.67E-04,0,0.001061,0.009123,0.01006,0.006116,0.2331,0.01301,0.00164,6.67E-04,0.005415,0.001003
