R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.7E-5,0.031,0.031,0.0,450.0,8.5,0.0,0.0,0.0,1.9E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,4.0E-5,0.031,0.031,0.0,420.0,8.5,0.0,0.0,0.0,1.8E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.8E-5,0.031,0.031,0.0,390.0,8.5,0.0,0.0,0.0,1.8E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.4E-5,0.031,0.031,0.0,370.0,8.5,0.0,0.0,0.0,1.9E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,2.9E-5,0.031,0.031,0.0,360.0,8.5,0.0,0.0,0.0,2.0E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,2.8E-5,0.031,0.031,0.0,330.0,8.5,0.0,3.0E-19,1.8E-30,2.0E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,3.0E-5,0.031,0.031,0.0,300.0,8.5,0.0,2.9E-18,5.2E-29,2.0E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,2.9E-5,0.031,0.031,0.0,290.0,8.5,0.0,8.0E-18,1.9000000000000003E-28,2.0E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,2.7E-5,0.031,0.031,0.0,260.0,8.5,0.0,1.5E-17,4.1E-28,2.1E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,2.3E-5,0.031,0.031,0.0,250.0,8.5,0.0,2.5E-17,6.5E-28,2.2E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,2.0E-5,0.031,0.031,0.0,240.0,8.5,0.0,3.7E-17,8.800000000000002E-28,2.3E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,1.7E-5,0.031,0.031,0.0,240.0,8.5,0.0,5.1E-17,1.1000000000000001E-27,2.4E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,1.4E-5,0.031,0.031,0.0,240.0,8.5,0.0,6.6E-17,1.2E-27,2.6E7,1.0,6.8E8,
