entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.099,0.1683,0.09806,0.05136,0.02968,0.1564,0.08511,0.02249,0.007866,0.1032,0.02924,0.2079,0.2087,
2.102,0.1667,0.09851,0.05067,0.02976,0.1562,0.08556,0.0226,0.007905,0.1038,0.0304,0.209,0.2056,
2.101,0.1623,0.09643,0.0508,0.02989,0.1538,0.08476,0.02273,0.007949,0.1044,0.03057,0.2102,0.2086,
2.099,0.1647,0.09473,0.0509,0.02995,0.1538,0.08352,0.02278,0.007966,0.1046,0.03064,0.2107,0.2105,
2.106,0.1697,0.09853,0.05094,0.02999,0.1532,0.08273,0.02278,0.007975,0.1048,0.03332,0.2083,0.2075,
2.113,0.1612,0.1043,0.0508,0.02999,0.1525,0.08238,0.02279,0.007978,0.1048,0.03535,0.2075,0.2016,
2.112,0.1604,0.1032,0.05085,0.02977,0.1514,0.08214,0.02282,0.007989,0.105,0.03541,0.2088,0.2025,
2.114,0.1588,0.1018,0.05093,0.0298,0.1504,0.08195,0.02287,0.008002,0.1052,0.03694,0.2088,0.2033,
2.112,0.1609,0.1011,0.05095,0.02977,0.1497,0.08149,0.02288,0.008006,0.1052,0.03696,0.21,0.2039,
2.111,0.1618,0.1012,0.0509,0.02977,0.1483,0.07999,0.02289,0.00801,0.1053,0.03695,0.2111,0.2056,
2.113,0.1693,0.1055,0.05081,0.02971,0.148,0.07823,0.02285,0.007995,0.1051,0.03769,0.2121,0.2021,
2.111,0.1658,0.1052,0.05072,0.02966,0.1475,0.07747,0.02281,0.007981,0.1049,0.03762,0.2138,0.2023,
2.11,0.1622,0.105,0.05073,0.02966,0.1473,0.0767,0.02275,0.007984,0.105,0.03764,0.2139,0.2033,
2.108,0.1698,0.105,0.05079,0.0297,0.1465,0.07489,0.02265,0.00793,0.1051,0.03769,0.2142,0.2056,
2.11,0.1834,0.1049,0.05076,0.02972,0.1456,0.07499,0.02269,0.007941,0.1053,0.03923,0.213,0.2059,
