RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4643000.0,2388000.0,1403000.0,7363000.0,4033000.0,1065000.0,372600.0,4892000.0,1433000.0,9851000.0,9692000.0,
4519000.0,2381000.0,1401000.0,7207000.0,3973000.0,1065000.0,372600.0,4892000.0,1433000.0,9851000.0,9775000.0,
4430000.0,2380000.0,1400000.0,7192000.0,3905000.0,1065000.0,372500.0,4892000.0,1433000.0,9851000.0,9842000.0,
4601000.0,2378000.0,1400000.0,7153000.0,3863000.0,1064000.0,372400.0,4892000.0,1556000.0,9728000.0,9687000.0,
4870000.0,2371000.0,1400000.0,7119000.0,3845000.0,1064000.0,372300.0,4892000.0,1650000.0,9682000.0,9408000.0,
4809000.0,2369000.0,1387000.0,7056000.0,3827000.0,1064000.0,372300.0,4892000.0,1650000.0,9731000.0,9438000.0,
4735000.0,2369000.0,1386000.0,6997000.0,3811000.0,1063000.0,372200.0,4892000.0,1718000.0,9711000.0,9453000.0,
4700000.0,2368000.0,1384000.0,6959000.0,3788000.0,1063000.0,372100.0,4892000.0,1718000.0,9760000.0,9477000.0,
4699000.0,2365000.0,1383000.0,6890000.0,3716000.0,1063000.0,372100.0,4892000.0,1716000.0,9809000.0,9549000.0,
4910000.0,2365000.0,1383000.0,6886000.0,3641000.0,1063000.0,372100.0,4892000.0,1754000.0,9869000.0,9403000.0,
4905000.0,2365000.0,1383000.0,6876000.0,3612000.0,1063000.0,372100.0,4892000.0,1754000.0,9968000.0,9432000.0,
4895000.0,2364000.0,1382000.0,6866000.0,3574000.0,1060000.0,372100.0,4892000.0,1754000.0,9968000.0,9473000.0,
4885000.0,2364000.0,1382000.0,6816000.0,3485000.0,1054000.0,369100.0,4892000.0,1754000.0,9968000.0,9571000.0,
4874000.0,2359000.0,1381000.0,6767000.0,3485000.0,1054000.0,369100.0,4892000.0,1823000.0,9899000.0,9571000.0,
4858000.0,2352000.0,1379000.0,6763000.0,3485000.0,1054000.0,369100.0,4892000.0,1854000.0,9917000.0,9571000.0,
4851000.0,2349000.0,1376000.0,6751000.0,3485000.0,1054000.0,369100.0,4892000.0,1854000.0,9917000.0,9571000.0,
4806000.0,2343000.0,1375000.0,6738000.0,3472000.0,1054000.0,369000.0,4892000.0,1907000.0,9865000.0,9602000.0,
4926000.0,2340000.0,1375000.0,6733000.0,3423000.0,1054000.0,369000.0,4892000.0,2031000.0,9789000.0,9490000.0,
4901000.0,2340000.0,1375000.0,6728000.0,3410000.0,1054000.0,369000.0,4892000.0,2090000.0,9731000.0,9504000.0,
4848000.0,2340000.0,1375000.0,6704000.0,3410000.0,1054000.0,369000.0,4892000.0,2090000.0,9779000.0,9542000.0,
4845000.0,2320000.0,1375000.0,6696000.0,3410000.0,1054000.0,369000.0,4892000.0,2090000.0,9779000.0,9542000.0,
4791000.0,2303000.0,1375000.0,6691000.0,3377000.0,1054000.0,369000.0,4892000.0,2090000.0,9828000.0,9620000.0,
4786000.0,2303000.0,1351000.0,6686000.0,3377000.0,1054000.0,369000.0,4892000.0,2090000.0,9877000.0,9644000.0,
4776000.0,2303000.0,1338000.0,6676000.0,3377000.0,1054000.0,368900.0,4892000.0,2090000.0,9927000.0,9656000.0,
4771000.0,2303000.0,1338000.0,6666000.0,3377000.0,1054000.0,368900.0,4892000.0,2090000.0,9927000.0,9656000.0,
4799000.0,2297000.0,1336000.0,6638000.0,3355000.0,1054000.0,368900.0,4892000.0,2121000.0,9895000.0,9616000.0,
4785000.0,2286000.0,1336000.0,6623000.0,3355000.0,1054000.0,368900.0,4892000.0,2121000.0,9994000.0,9616000.0,
4771000.0,2278000.0,1328000.0,6618000.0,3334000.0,1054000.0,368900.0,4892000.0,2121000.0,9994000.0,9644000.0,
4751000.0,2278000.0,1315000.0,6598000.0,3312000.0,1054000.0,368900.0,4892000.0,2121000.0,9994000.0,9678000.0,
4933000.0,2277000.0,1314000.0,6583000.0,3312000.0,1054000.0,368900.0,4892000.0,2149000.0,9966000.0,9481000.0,
4893000.0,2291000.0,1317000.0,6557000.0,3295000.0,1054000.0,387000.0,4927000.0,2156000.0,9906000.0,9499000.0,
4869000.0,2290000.0,1321000.0,6538000.0,3294000.0,1060000.0,408000.0,4932000.0,2123000.0,9906000.0,9499000.0,
4854000.0,2286000.0,1325000.0,6533000.0,3283000.0,1067000.0,3664000.0,1751000.0,2035000.0,9906000.0,9516000.0,
4812000.0,2293000.0,1316000.0,6535000.0,3919000.0,382200.0,3704000.0,1773000.0,1973000.0,9955000.0,9577000.0,
