cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07121,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07121,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1,100.1,37.73,822.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.58,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83360,89580,47800,2.24E+07,45530,21460,24230,13490,24780,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1607,165.1,176.6,154.6,0.427,7.102,0.3549,0.1652,0.9843,0.401,0,343.6,0.1351,0.6632,0.592,0.07076,0.1965,0.05917,0.06857,3.224,12.57,0,343.6,0.1351,0.6632,0.592,0.07076,0.1965,0.05917,0.06857,3.224,12.57,0,0,0,0,0,0,0,0,0,0,0,0,0,293.5,113.3,38.3,788.3,165.2,3.265,3.633,30.58,4.092,0,47.72,5.972,10.25,59.7,41.04,0.1227,0.01328,0.01518,0.01178,0.01371,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,296.5,75950,82440,44150,2.14E+07,42500,19950,22540,13140,23310,0,4.92E-36,2.44E-36,1.39E-35,1.62E-35,2.13E-36,6.95E-37,2.02E-38,7.80E-39,4.77E-38,2.18E-38,2.08E-35,0,0.7021,1.198,2.944,1.541,0.2228,0.05393,0.005911,0.002623,0.01633,0.009711,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.03E-04,0.009209,0.01048,0.006363,0.2432,0.01388,0.00163,6.85E-04,0.005381,9.70E-04
0,1609,161.7,179.7,147,0.3911,13.72,0.3553,0.1642,0.9853,0.4011,0,343.6,0.1329,0.6638,0.5293,0.07057,0.2439,0.05907,0.06634,3.223,12.58,0,343.6,0.1329,0.6638,0.5293,0.07057,0.2439,0.05907,0.06634,3.223,12.58,0,0,0,0,0,0,0,0,0,0,0,0,0,300.1,115.2,38.34,747.9,165.1,3.229,3.544,30.62,4.052,0,50.05,5.633,9.557,56.53,40.96,0.115,0.01318,0.0151,0.01173,0.01363,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70E-04,0,713.2,72540,77040,41890,2.16E+07,41520,19650,22260,13040,23140,0,5.13E-36,2.38E-36,1.38E-35,1.60E-35,2.12E-36,6.75E-37,2.00E-38,7.74E-39,4.68E-38,2.18E-38,2.08E-35,0,0.7263,1.164,2.962,1.484,0.2216,0.08673,0.005912,0.002607,0.01635,0.009711,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.32E-04,0.009148,0.01042,0.006287,0.2431,0.01382,0.001634,6.84E-04,0.005387,9.70E-04
0,1609,157.6,179.6,148.7,1.438,6.592,0.3554,0.1642,0.985,0.4013,0,343.6,0.1334,0.6916,0.4664,0.08415,0.2639,0.05908,0.06756,1.896,13.9,0,343.6,0.1334,0.6916,0.4664,0.08415,0.2639,0.05908,0.06756,1.896,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,312.1,115.2,38.3,727.4,165,3.148,3.453,30.6,3.978,0,50.05,5.581,11.18,59.17,40.74,0.09686,0.0131,0.01501,0.01172,0.01356,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59E-04,0,832.8,71510,77090,43260,2.23E+07,41160,19290,21950,12940,23080,0,5.13E-36,2.38E-36,1.39E-35,1.57E-35,2.32E-36,6.21E-37,1.99E-38,7.71E-39,4.63E-38,2.18E-38,2.08E-35,0,0.7264,1.143,2.89,1.575,0.2353,0.05149,0.005912,0.002607,0.01635,0.009705,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.01E-04,0.009114,0.01037,0.006307,0.2424,0.01365,0.001639,6.82E-04,0.005387,9.64E-04
0,1612,155.3,177.6,147.5,0.3803,6.586,0.3662,0.1664,0.9892,0.4013,0,343.6,0.133,0.7042,0.4441,0.06958,0.2739,0.05938,0.06805,1.897,13.9,0,343.6,0.133,0.7042,0.4441,0.06958,0.2739,0.05938,0.06805,1.897,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,318.1,115.2,38.28,718.5,165,3.153,3.457,30.6,3.974,0,50.05,5.64,12.5,59.65,40.52,0.07185,0.01297,0.01486,0.002411,0.01346,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1026,71710,77210,43660,2.29E+07,41350,19790,22240,12470,23420,0,5.58E-36,2.37E-36,1.40E-35,1.52E-35,2.11E-36,6.19E-37,1.95E-38,8.02E-39,4.60E-38,2.18E-38,2.08E-35,0,0.7497,1.132,2.883,1.573,0.2199,0.05146,0.005919,0.00261,0.01636,0.009705,0,0,2.53E-04,1.10E-04,8.26E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,5.32E-04,0.009048,0.01034,0.006242,0.2388,0.01355,0.001642,6.98E-04,0.005412,9.60E-04
0,1606,161.3,179.8,137.5,0.3712,6.232,0.2363,0.1687,0.973,0.4035,0,343.6,0.1343,0.7437,0.4081,0.06999,0.2702,0.06048,0.06845,1.892,13.9,0,343.6,0.1343,0.7437,0.4081,0.06999,0.2702,0.06048,0.06845,1.892,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,329.3,115.1,38.42,697,165,3.161,3.483,29.8,4.009,0,49.51,5.795,12.69,65.55,40.16,0.06926,0.013,0.01487,0.002438,0.01348,0,0,4796000,4334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-04,0,1081,72360,77560,44030,2.21E+07,40480,19580,21960,12430,23090,0,5.18E-36,2.72E-36,1.42E-35,1.46E-35,2.10E-36,5.97E-37,1.09E-38,8.10E-39,4.49E-38,2.18E-38,2.08E-35,0,0.6956,1.194,2.901,1.536,0.2188,0.04642,0.003734,0.002649,0.01609,0.009741,0,0,2.53E-04,1.10E-04,8.26E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,6.17E-04,0.009037,0.01036,0.006195,0.2382,0.01345,0.001647,6.89E-04,0.005422,9.56E-04
0,1609,161.3,177.2,132.5,0.3562,6.177,0.2376,0.1707,0.9752,0.4035,0,343.6,0.1434,0.7609,0.3507,0.07568,0.2694,0.06067,0.06818,1.892,13.9,0,343.6,0.1434,0.7609,0.3507,0.07568,0.2694,0.06067,0.06818,1.892,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,332.5,122.7,35.71,679.1,164.9,3.127,3.444,29.78,3.973,0,49.51,2.441,12.88,77.47,35.3,0.06874,0.01287,0.01471,0.002441,0.01338,0,0,4796000,4334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95E-04,0,1257,74100,81230,44930,2.22E+07,40730,19920,22390,12550,23480,0,5.45E-36,2.44E-36,1.38E-35,1.45E-35,2.10E-36,5.96E-37,1.08E-38,8.09E-39,4.45E-38,2.18E-38,2.08E-35,0,0.7289,1.188,2.845,1.545,0.2168,0.04636,0.003731,0.00265,0.01609,0.00974,0,0,2.53E-04,1.10E-04,8.26E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,7.81E-04,0.009021,0.01047,0.006062,0.2372,0.01334,0.001647,6.86E-04,0.005422,9.54E-04
0,1608,160.6,179.5,125.5,0.327,6.03,0.3432,0.181,0.9776,0.4007,0,343.6,0.1432,0.7608,0.3337,0.07516,0.2812,0.06105,0.06821,1.891,13.9,0,343.6,0.1432,0.7608,0.3337,0.07516,0.2812,0.06105,0.06821,1.891,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,340.7,123.8,36.28,662.4,164.9,3.071,3.382,29.75,3.92,0,49.1,2.016,14.4,79.47,35.57,0.06574,0.01279,0.01456,0.002475,0.01329,0,0,4792000,7594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01E-04,0,1424,76360,84050,45000,2.30E+07,41710,20350,22980,12680,24120,0,5.47E-36,2.45E-36,1.34E-35,1.43E-35,2.09E-36,5.95E-37,1.92E-38,8.27E-39,4.44E-38,2.17E-38,2.08E-35,0,0.7321,1.201,2.801,1.553,0.216,0.04523,0.005312,0.00276,0.01608,0.009739,0,0,2.53E-04,1.10E-04,8.26E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,9.48E-04,0.008938,0.01039,0.00606,0.2362,0.01331,0.001658,6.80E-04,0.005437,9.30E-04
0,1610,157.7,179.8,126.4,0.2944,4.238,0.3577,0.181,0.9775,0.4007,0,343.6,0.1433,0.8031,0.2973,0.07481,0.2736,0.06103,0.06824,1.859,13.93,0,343.6,0.1433,0.8031,0.2973,0.07481,0.2736,0.06103,0.06824,1.859,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,345.7,123.7,36.26,631.8,164.8,3.005,3.307,29.74,3.857,0,49.1,2.452,14.55,78.51,35.42,0.06906,0.01279,0.01451,0.002536,0.01331,0,0,4792000,7594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01E-04,0,1620,77630,83760,44670,2.29E+07,41900,20690,23380,12750,24410,0,5.63E-36,2.44E-36,1.34E-35,1.44E-35,2.08E-36,2.80E-37,1.83E-38,8.25E-39,4.41E-38,2.17E-38,2.08E-35,0,0.7557,1.189,2.794,1.555,0.2146,0.02851,0.005328,0.002759,0.01608,0.009739,0,0,2.55E-04,1.11E-04,8.31E-04,0.9961,0.001043,4.18E-04,5.48E-04,6.35E-05,6.66E-04,0,0.001084,0.008932,0.01036,0.005994,0.2349,0.01323,0.001655,6.76E-04,0.005434,9.26E-04
0,1612,157.7,176.7,123.4,0.2575,7.482,0.8141,0.2991,0.9776,0.4007,0,343.6,0.159,0.7753,0.2781,0.08061,0.2794,0.06268,0.06801,1.859,13.93,0,343.6,0.159,0.7753,0.2781,0.08061,0.2794,0.06268,0.06801,1.859,13.93,0,0,0,0,0,0,0,0,0,0,0,0,0,347.5,123.2,38.11,615.8,164.7,2.968,3.264,29.74,3.818,0,49.1,3.074,13.01,77.1,36.08,0.4071,0.07638,0.03027,0.002424,0.01312,0,0,4792000,7594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64E-04,0,1796,75840,85470,43760,2.25E+07,41430,20890,23540,12790,24430,0,5.99E-36,2.56E-36,1.31E-35,1.37E-35,2.10E-36,4.67E-37,2.88E-38,1.15E-38,4.38E-38,2.17E-38,2.08E-35,0,0.783,1.209,2.688,1.528,0.2196,0.08569,0.01475,0.005111,0.01608,0.009739,0,0,2.55E-04,1.11E-04,8.31E-04,0.9961,0.001043,4.18E-04,5.48E-04,6.35E-05,6.66E-04,0,0.001229,0.008998,0.01018,0.005954,0.2334,0.01316,0.001664,6.67E-04,0.005432,9.21E-04
