RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7407000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4506000.0,2394000.0,1401000.0,7372000.0,4009000.0,1065000.0,372600.0,4892000.0,1386000.0,9948000.0,9910000.0,
4446000.0,2384000.0,1368000.0,7362000.0,3962000.0,1065000.0,372500.0,4892000.0,1386000.0,1.005E7,1.002E7,
4385000.0,2384000.0,1368000.0,7277000.0,3904000.0,1065000.0,372500.0,4892000.0,1386000.0,1.005E7,1.007E7,
4318000.0,2384000.0,1368000.0,7178000.0,3881000.0,1065000.0,372400.0,4892000.0,1385000.0,1.01E7,1.013E7,
4359000.0,2378000.0,1367000.0,7138000.0,3849000.0,1065000.0,372400.0,4892000.0,1537000.0,1.01E7,1.007E7,
4343000.0,2362000.0,1367000.0,7061000.0,3795000.0,1062000.0,372300.0,4892000.0,1537000.0,1.01E7,1.013E7,
4368000.0,2357000.0,1364000.0,6981000.0,3760000.0,1062000.0,372200.0,4892000.0,1554000.0,1.008E7,1.01E7,
4343000.0,2357000.0,1364000.0,6952000.0,3706000.0,1062000.0,372200.0,4892000.0,1554000.0,1.013E7,1.015E7,
4313000.0,2352000.0,1362000.0,6858000.0,3671000.0,1062000.0,372100.0,4892000.0,1554000.0,1.013E7,1.021E7,
4373000.0,2352000.0,1362000.0,6839000.0,3643000.0,1062000.0,372000.0,4892000.0,1579000.0,1.011E7,1.014E7,
4447000.0,2351000.0,1362000.0,6834000.0,3629000.0,1062000.0,372000.0,4892000.0,1612000.0,1.012E7,1.007E7,
4447000.0,2345000.0,1362000.0,6824000.0,3587000.0,1062000.0,372000.0,4892000.0,1612000.0,1.012E7,1.012E7,
4754000.0,2345000.0,1362000.0,6815000.0,3587000.0,1062000.0,372000.0,4892000.0,1706000.0,1.003E7,9814000.0,
4873000.0,2344000.0,1362000.0,6810000.0,3561000.0,1062000.0,372000.0,4892000.0,1833000.0,9903000.0,9703000.0,
4873000.0,2334000.0,1362000.0,6810000.0,3547000.0,1062000.0,372000.0,4892000.0,1833000.0,9903000.0,9717000.0,
4859000.0,2328000.0,1362000.0,6785000.0,3547000.0,1061000.0,372000.0,4892000.0,1833000.0,9952000.0,9717000.0,
4858000.0,2324000.0,1361000.0,6780000.0,3547000.0,1061000.0,372000.0,4892000.0,1833000.0,9952000.0,9717000.0,
4850000.0,2322000.0,1361000.0,6761000.0,3547000.0,1061000.0,372000.0,4892000.0,1833000.0,9952000.0,9717000.0,
4806000.0,2321000.0,1360000.0,6732000.0,3547000.0,1061000.0,372000.0,4892000.0,1833000.0,1.0E7,9755000.0,
4806000.0,2321000.0,1360000.0,6723000.0,3493000.0,1060000.0,371900.0,4892000.0,1833000.0,1.0E7,9811000.0,
4912000.0,2321000.0,1360000.0,6698000.0,3436000.0,1060000.0,371900.0,4892000.0,1862000.0,1.002E7,9747000.0,
4893000.0,2320000.0,1360000.0,6683000.0,3392000.0,1060000.0,371900.0,4892000.0,1862000.0,1.017E7,9790000.0,
4873000.0,2320000.0,1359000.0,6673000.0,3359000.0,1060000.0,371900.0,4892000.0,1862000.0,1.017E7,9845000.0,
5144000.0,2320000.0,1343000.0,6648000.0,3339000.0,1060000.0,371900.0,4892000.0,1925000.0,1.011E7,9595000.0,
5119000.0,2320000.0,1343000.0,6648000.0,3339000.0,1060000.0,371900.0,4892000.0,1963000.0,1.012E7,9595000.0,
5104000.0,2320000.0,1343000.0,6648000.0,3339000.0,1060000.0,371900.0,4892000.0,1963000.0,1.012E7,9595000.0,
5152000.0,2320000.0,1343000.0,6628000.0,3298000.0,1060000.0,371800.0,4892000.0,2012000.0,1.007E7,9587000.0,
5142000.0,2320000.0,1327000.0,6628000.0,3244000.0,1060000.0,371800.0,4892000.0,2083000.0,1.005E7,9657000.0,
5365000.0,2305000.0,1327000.0,6628000.0,3244000.0,1060000.0,371800.0,4892000.0,2154000.0,9982000.0,9419000.0,
5365000.0,2305000.0,1327000.0,6628000.0,3222000.0,1060000.0,371800.0,4892000.0,2154000.0,1.008E7,9442000.0,
5308000.0,2305000.0,1321000.0,6647000.0,3134000.0,1072000.0,392200.0,4876000.0,2329000.0,9879000.0,9548000.0,
5277000.0,2313000.0,1322000.0,6644000.0,3134000.0,1078000.0,1425000.0,3856000.0,2325000.0,9913000.0,9548000.0,
5167000.0,2329000.0,1328000.0,6687000.0,3091000.0,1072000.0,1473000.0,3818000.0,2382000.0,9895000.0,9596000.0,
5149000.0,2325000.0,1331000.0,6667000.0,3069000.0,1072000.0,1473000.0,3818000.0,2382000.0,9994000.0,9618000.0,
