cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1605,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,83370,89590,47810,2.24E+07,45540,21470,24240,13490,24790,0,4.68E-36,2.44E-36,1.41E-35,1.68E-35,2.15E-36,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,1607,159.7,185.2,155.4,0.05161,4.896,0.2257,0.1658,0.9679,0.4104,0,343.6,0.1378,0.6657,0.5836,0.07175,0.2121,0.06028,0.08209,4.725,11.05,0,343.6,0.1378,0.6657,0.5836,0.07175,0.2121,0.06028,0.08209,4.725,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,296.1,102.6,38.97,809.1,165.2,3.342,3.689,29.82,4.281,0,48.45,5.942,10.77,59.69,41.42,0.1229,0.01353,0.01545,0.01182,0.01392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57E-04,0,272.1,76600,84900,44390,2.15E+07,42840,20290,22900,13190,23600,0,4.92E-36,2.42E-36,1.40E-35,1.66E-35,2.13E-36,3.49E-37,1.15E-38,7.85E-39,4.72E-38,2.22E-38,2.08E-35,0,0.702,1.145,3.041,1.555,0.2234,0.03127,0.003728,0.002645,0.01609,0.009778,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,7.73E-05,0.009405,0.01023,0.006382,0.2443,0.01385,0.001649,6.89E-04,0.00541,0.001021
0,1607,160.5,182.1,156.2,0.05175,5.607,0.3199,0.1658,0.9674,0.4116,0,343.6,0.1419,0.6915,0.5711,0.07126,0.2201,0.06071,0.1221,2.905,12.8,0,343.6,0.1419,0.6915,0.5711,0.07126,0.2201,0.06071,0.1221,2.905,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,305.1,102.6,38.94,781.5,165.1,3.291,3.631,29.81,4.23,0,48.45,5.574,10.23,57.9,41.28,0.1145,0.01326,0.01518,0.01175,0.04694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08E-04,0,285.5,73130,78680,42720,2.16E+07,41530,19670,22280,12970,23500,0,4.92E-36,2.51E-36,1.39E-35,1.65E-35,2.12E-36,3.58E-37,1.30E-38,7.82E-39,4.66E-38,2.22E-38,2.08E-35,0,0.702,1.169,3.003,1.55,0.2226,0.03503,0.004242,0.002645,0.01608,0.009827,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,7.73E-05,0.009387,0.0102,0.006346,0.2436,0.01385,0.001645,6.83E-04,0.005404,0.001057
0,1603,166.7,177.3,157.6,0.05173,5.571,0.3479,0.1659,0.9675,1.86,0,343.6,0.1472,0.7233,0.5492,0.07112,0.2195,0.06088,0.1173,2.904,12.79,0,343.6,0.1472,0.7233,0.5492,0.07112,0.2195,0.06088,0.1173,2.904,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,310,102.2,38.84,752.5,165.1,3.287,3.624,29.81,4.779,0,48.6,5.508,9.87,55.41,42.05,0.1091,0.0132,0.01512,0.01174,0.04443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16E-04,0,449.9,71980,77020,42870,2.24E+07,41740,19860,22570,12920,23920,0,4.72E-36,2.59E-36,1.38E-35,1.61E-35,2.13E-36,3.57E-37,1.34E-38,7.81E-39,4.60E-38,1.20E-37,2.08E-35,0,0.6735,1.229,2.947,1.549,0.2232,0.03481,0.004394,0.002645,0.01608,0.02503,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.48E-04,0.009334,0.01016,0.006299,0.2423,0.01379,0.001646,6.79E-04,0.005405,0.001092
0,1597,165.7,181.6,154.5,0.6971,5.569,0.3503,0.1661,0.9673,1.864,0,343.6,0.1429,0.7277,0.5463,0.07139,0.2194,0.06063,0.1173,2.904,12.79,0,343.6,0.1429,0.7277,0.5463,0.07139,0.2194,0.06063,0.1173,2.904,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,321.4,106.2,39.34,719.6,165.1,3.297,3.633,29.8,4.778,0,47.75,5.713,8.647,56.03,41.61,0.1054,0.01315,0.01505,0.01174,0.04057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-04,0,576.9,72710,78670,44200,2.34E+07,42150,19730,22530,12820,24330,0,4.38E-36,2.39E-36,1.38E-35,1.59E-35,2.13E-36,3.56E-37,1.32E-38,7.80E-39,4.55E-38,1.19E-37,2.08E-35,0,0.6261,1.205,2.97,1.541,0.2246,0.03479,0.004397,0.002646,0.01607,0.02503,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.08E-04,0.009271,0.01013,0.0063,0.2416,0.01376,0.001652,6.80E-04,0.005404,0.001091
0,1600,163.6,179.3,153.4,1.215,5.168,0.3495,0.1641,0.9829,0.6886,0,343.6,0.1226,0.7958,0.3995,0.07924,0.2216,0.06011,0.1165,2.642,13.13,0,343.6,0.1226,0.7958,0.3995,0.07924,0.2216,0.06011,0.1165,2.642,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,322.4,118.3,36.61,704.3,168.5,3.149,3.416,30.54,3.967,0,47.75,5.872,9.744,55.9,40.85,0.1866,0.01319,0.01508,0.01177,0.03667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87E-04,0,765.1,75260,84060,45970,2.47E+07,44460,19820,22760,12850,24840,0,4.51E-36,1.93E-36,1.39E-35,1.56E-35,2.32E-36,4.13E-37,1.31E-38,7.73E-39,4.56E-38,6.35E-38,2.08E-35,0,0.6462,1.176,2.856,1.592,0.2484,0.05108,0.004389,0.002615,0.01633,0.01237,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.38E-04,0.007258,0.01128,0.005602,0.2416,0.01431,0.001658,6.80E-04,0.005386,0.00116
0,1600,166.4,171.6,154.3,0.4114,4.526,0.3805,0.1784,0.9991,0.6804,0,343.6,0.1263,0.7906,0.3945,0.07787,0.2202,0.05959,0.1158,2.641,13.14,0,343.6,0.1263,0.7906,0.3945,0.07787,0.2202,0.05959,0.1158,2.641,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,325.7,118.9,32.55,679,180.1,2.551,2.274,28.3,2.795,0,47.75,5.989,14.16,55.08,41.5,0.7355,0.01325,0.01506,0.01185,0.03351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72E-04,0,976.8,77160,86040,47220,2.58E+07,45230,19790,22820,12890,25170,0,4.51E-36,2.01E-36,1.37E-35,1.55E-35,2.30E-36,4.04E-37,1.27E-38,7.19E-39,4.37E-38,6.16E-38,2.08E-35,0,0.6463,1.211,2.813,1.592,0.2461,0.04981,0.004356,0.002577,0.01626,0.01225,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.23E-04,0.007328,0.01126,0.005547,0.2401,0.01434,0.001647,6.69E-04,0.005378,0.00115
0,1602,163.8,171.5,153.4,0.2548,6.12,0.3843,0.1803,0.9872,0.6952,0,343.6,0.08855,0.7907,0.3733,0.08022,0.2252,0.06054,0.06443,2.47,13.39,0,343.6,0.08855,0.7907,0.3733,0.08022,0.2252,0.06054,0.06443,2.47,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,325.8,121.6,32.79,662.1,176.3,3.269,2.654,28.22,3.486,0,47.75,6.078,15.47,52.59,41.6,0.7564,0.01317,0.01496,0.01185,0.03136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-04,0,1101,80110,90830,49570,2.73E+07,46350,20010,23180,12930,25830,0,4.96E-36,1.94E-36,1.37E-35,1.49E-35,2.31E-36,4.26E-37,1.31E-38,7.46E-39,4.29E-38,6.19E-38,2.08E-35,0,0.6699,1.185,2.821,1.564,0.2471,0.06013,0.004405,0.002642,0.01602,0.01231,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,7.50E-04,0.007325,0.01118,0.005581,0.239,0.0141,0.001656,6.62E-04,0.005398,0.001168
0,1600,165.6,170.6,148.7,0.1578,9.386,0.3851,0.1807,0.9875,0.6327,0,343.6,0.09236,0.8163,0.319,0.07991,0.2475,0.0608,0.06251,1.473,14.39,0,343.6,0.09236,0.8163,0.319,0.07991,0.2475,0.0608,0.06251,1.473,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,329.6,119.9,34.95,658.5,175.1,3.436,2.695,28.43,3.516,0,47.54,6.223,17.78,52.27,41.64,0.7758,0.01317,0.01491,0.0119,0.03033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31E-04,0,1180,83260,92300,51650,2.63E+07,45690,19560,22600,12910,25320,0,4.87E-36,1.94E-36,1.36E-35,1.43E-35,2.31E-36,1.04E-36,1.31E-38,7.49E-39,4.26E-38,5.80E-38,2.08E-35,0,0.6675,1.203,2.813,1.516,0.247,0.09923,0.004414,0.002647,0.01601,0.01214,0,0,2.53E-04,1.10E-04,8.26E-04,0.9961,0.001036,4.15E-04,5.44E-04,6.31E-05,6.61E-04,0,8.57E-04,0.007329,0.01117,0.005534,0.2366,0.01401,0.001658,6.59E-04,0.005399,0.001169
0.0,1565.0,217.8,179.0,145.2,0.01455,5.754,0.3837,0.1711,0.9879,1.065,0.0,343.6,0.08666,0.9984,0.1316,0.08395,0.1924,0.05606,0.1148,0.7635,15.06,0.0,343.6,0.08666,0.9984,0.1316,0.08395,0.1924,0.05606,0.1148,0.7635,15.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.2,101.8,26.49,665.1,167.5,5.169,4.437,29.87,4.515,0.0,62.24,1.312,12.69,32.05,25.12,0.7353,0.03576,0.09134,0.03258,0.03986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24E-4,0.0,8626.0,114600.0,86490.0,46150.0,2.205E7,74890.0,30460.0,32640.0,13840.0,25800.0,0.0,2.8630000000000003E-36,2.0060000000000002E-36,1.274E-35,1.13E-35,1.738E-36,1.905E-37,9.693E-39,9.181999999999999E-39,3.699E-38,6.544E-38,2.08E-35,0.0,0.4507,1.606,2.71,1.432,0.1668,0.03484,0.004372,0.003367,0.01613,0.01312,0.0,0.0,0.001089,3.189E-4,0.001192,0.9938,0.001176,8.701E-4,8.873E-4,6.165E-5,6.459E-4,0.0,0.002886,0.007337,0.008042,0.004758,0.2344,0.01122,0.001661,7.581E-4,0.005401,0.001213,
0.0,1565.0,222.7,173.8,144.6,0.0143,5.744,0.3821,0.166,0.994,1.065,0.0,343.6,0.09399,0.9868,0.1304,0.09002,0.191,0.05679,0.1118,0.7664,15.06,0.0,343.6,0.09399,0.9868,0.1304,0.09002,0.191,0.05679,0.1118,0.7664,15.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.2,100.3,25.76,662.4,167.5,5.167,4.193,30.09,4.515,0.0,62.24,1.97,11.02,30.99,27.02,0.7246,0.03574,0.09132,0.03258,0.03985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,8754.0,116100.0,88440.0,47200.0,2.252E7,74220.0,30160.0,32440.0,13810.0,25570.0,0.0,2.8630000000000003E-36,2.108E-36,1.246E-35,1.117E-35,1.88E-36,1.893E-37,9.553E-39,8.987999999999999E-39,3.686E-38,6.529E-38,2.08E-35,0.0,0.4507,1.687,2.617,1.41,0.1929,0.03482,0.004375,0.003286,0.0162,0.01312,0.0,0.0,0.001089,3.189E-4,0.001192,0.9938,0.001176,8.701E-4,8.873E-4,6.165E-5,6.459E-4,0.0,0.002941,0.007632,0.007846,0.00463,0.2344,0.01119,0.001663,7.521E-4,0.005406,0.001212,
0.0,1583.0,122.6,232.2,147.5,0.08008,9.094,0.3231,0.5985,0.5949,0.9779,0.0,343.6,0.06395,0.9255,0.168,0.08795,0.172,0.05497,0.1563,4.823,10.97,0.0,343.6,0.06395,0.9255,0.168,0.08795,0.172,0.05497,0.1563,4.823,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.994,465.9,81.8,37.65,691.9,172.0,5.685,22.63,11.19,4.343,0.0,63.89,1.06,9.588,20.45,31.42,0.5024,0.03093,0.09146,0.0326,0.04388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.843E-4,0.0,11400.0,134700.0,73350.0,62060.0,2.805E7,78470.0,35690.0,40820.0,13480.0,29830.0,0.0,2.8440000000000003E-36,1.763E-36,1.089E-35,8.654E-36,1.532E-36,2.778E-37,9.311999999999999E-39,2.317E-38,1.732E-38,5.362E-38,2.08E-35,0.0,0.6525,0.9975,2.798,1.457,0.1824,0.0622,0.003927,0.01033,0.009133,0.01295,0.0,0.0,0.001107,3.242E-4,0.001211,0.9937,0.001196,8.845E-4,9.02E-4,6.267E-5,6.566E-4,0.0,0.004155,0.007178,0.005968,0.004637,0.2301,0.01085,0.001629,0.001278,0.00515,9.792E-4,
0.0,1585.0,123.7,230.5,148.8,0.0577,6.93,0.3073,0.5946,0.5998,0.9713,0.0,343.6,0.09091,0.98,0.1178,0.1224,0.2837,0.05554,0.1558,3.836,11.78,0.0,343.6,0.09091,0.98,0.1178,0.1224,0.2837,0.05554,0.1558,3.836,11.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.994,465.4,84.58,37.5,682.2,173.3,5.663,22.61,11.18,4.639,0.0,63.89,1.002,7.902,20.88,31.47,0.5641,0.03093,0.09147,0.0326,0.04805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,11460.0,134500.0,74980.0,60330.0,2.79E7,82620.0,36070.0,41440.0,13650.0,31110.0,0.0,2.9010000000000002E-36,1.7880000000000003E-36,1.0740000000000001E-35,8.547000000000001E-36,1.5270000000000002E-36,2.193E-37,8.804999999999999E-39,2.301E-38,1.712E-38,5.517E-38,2.08E-35,0.0,0.6769,1.005,2.763,1.471,0.1819,0.04647,0.003804,0.0103,0.009138,0.01319,0.0,0.0,0.001107,3.242E-4,0.001211,0.9937,0.001196,8.845E-4,9.02E-4,6.267E-5,6.566E-4,0.0,0.004184,0.007065,0.005926,0.004623,0.23,0.01094,0.001629,0.001293,0.005157,0.001009,
0.0,1578.0,129.3,222.7,149.0,0.1715,6.933,0.3043,0.5982,0.602,0.9692,0.0,343.6,0.0733,0.9565,0.1394,0.1028,0.3119,0.05533,0.1558,3.837,11.79,0.0,343.6,0.0733,0.9565,0.1394,0.1028,0.3119,0.05533,0.1558,3.837,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993,468.4,89.7,37.82,684.0,174.7,5.498,22.72,11.23,5.086,0.0,62.95,0.9711,12.21,22.03,34.47,0.5811,0.03094,0.09147,0.0326,0.0539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,11510.0,135600.0,82600.0,60670.0,2.846E7,84470.0,37130.0,42750.0,14110.0,31940.0,0.0,2.6370000000000002E-36,1.8070000000000002E-36,1.055E-35,8.341000000000001E-36,1.635E-36,2.273E-37,8.668E-39,2.306E-38,1.689E-38,5.743E-38,2.08E-35,0.0,0.6176,1.051,2.709,1.508,0.1977,0.04755,0.003756,0.01035,0.009146,0.01353,0.0,0.0,0.001107,3.242E-4,0.001211,0.9937,0.001196,8.845E-4,9.02E-4,6.267E-5,6.566E-4,0.0,0.004197,0.006957,0.00594,0.004637,0.2299,0.011,0.001631,0.001287,0.005186,0.001007,
0.0,1579.0,133.8,215.8,151.1,0.0257,6.922,0.3083,0.6005,0.6049,0.9715,0.0,343.6,0.0944,0.9522,0.1201,0.1045,0.3107,0.05621,0.1519,3.456,12.18,0.0,343.6,0.0944,0.9522,0.1201,0.1045,0.3107,0.05621,0.1519,3.456,12.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993,474.3,91.45,35.09,686.1,174.7,5.501,22.67,11.27,5.086,0.0,62.95,0.9528,8.395,25.13,33.65,0.5799,0.03094,0.0915,0.03281,0.05332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,11570.0,137600.0,83740.0,61150.0,2.939E7,83020.0,37830.0,43360.0,14230.0,32130.0,0.0,2.671E-36,2.037E-36,1.024E-35,8.118000000000001E-36,1.596E-36,2.273E-37,8.652E-39,2.302E-38,1.669E-38,5.702E-38,2.08E-35,0.0,0.6298,1.095,2.625,1.53,0.1918,0.04753,0.003764,0.01033,0.00916,0.01354,0.0,0.0,0.001107,3.242E-4,0.001211,0.9937,0.001196,8.845E-4,9.02E-4,6.267E-5,6.566E-4,0.0,0.004206,0.007041,0.005862,0.004627,0.2299,0.01097,0.001649,0.001289,0.005203,0.001003,
0.0,1579.0,126.8,217.3,160.9,0.01638,6.916,0.3072,0.597,0.6113,0.9717,0.0,343.6,0.0729,0.9672,0.1214,0.1065,0.3105,0.05557,0.0973,2.379,13.31,0.0,343.6,0.0729,0.9672,0.1214,0.1065,0.3105,0.05557,0.0973,2.379,13.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993,476.3,94.51,35.26,684.8,174.7,5.444,22.48,11.68,4.982,0.0,62.95,0.9534,7.874,19.74,34.03,0.5845,0.03094,0.09147,0.03261,0.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,11600.0,138800.0,82610.0,62380.0,3.044E7,81200.0,37850.0,43070.0,14000.0,31920.0,0.0,2.6790000000000002E-36,1.7460000000000002E-36,1.043E-35,7.833E-36,1.706E-36,2.2689999999999998E-37,8.576E-39,2.285E-38,1.6679999999999999E-38,5.656E-38,2.08E-35,0.0,0.634,1.029,2.641,1.556,0.2034,0.04752,0.003746,0.01028,0.009284,0.01351,0.0,0.0,0.001107,3.242E-4,0.001211,0.9937,0.001196,8.845E-4,9.02E-4,6.267E-5,6.566E-4,0.0,0.00421,0.007042,0.005842,0.004625,0.2297,0.01097,0.001653,0.001285,0.005202,0.001004,
0.0,1582.0,124.0,217.4,162.0,0.05145,9.252,0.3088,0.5992,0.6147,0.9679,0.0,343.6,0.07576,0.9597,0.1281,0.09977,0.3137,0.0562,0.09768,2.385,13.3,0.0,343.6,0.07576,0.9597,0.1281,0.09977,0.3137,0.0562,0.09768,2.385,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993,468.7,99.05,39.49,678.9,178.5,5.43,22.51,11.61,4.967,0.0,62.95,1.122,7.796,14.13,34.1,0.5855,0.03094,0.09147,0.0326,0.05272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.248E-4,0.0,11660.0,139800.0,80820.0,63300.0,3.179E7,81700.0,38730.0,43880.0,14180.0,32280.0,0.0,2.87E-36,1.687E-36,1.045E-35,7.48E-36,1.573E-36,3.105E-37,8.544E-39,2.2869999999999999E-38,1.639E-38,5.615E-38,2.08E-35,0.0,0.6702,0.9993,2.638,1.533,0.1867,0.07435,0.003754,0.0103,0.009292,0.01348,0.0,0.0,0.001107,3.242E-4,0.001211,0.9937,0.001196,8.845E-4,9.02E-4,6.267E-5,6.566E-4,0.0,0.00424,0.006855,0.00588,0.004662,0.2299,0.01101,0.001655,0.001286,0.005217,9.847E-4,
0.0,1585.0,121.6,217.1,161.1,0.05567,7.794,0.259,0.6,0.6184,0.9662,0.0,343.6,0.07141,0.9671,0.1207,0.1041,0.3105,0.04946,0.1011,2.715,12.98,0.0,343.6,0.07141,0.9671,0.1207,0.1041,0.3105,0.04946,0.1011,2.715,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993,474.7,102.5,36.48,674.9,179.0,5.278,22.57,11.7,4.964,0.0,62.95,0.9957,8.792,13.91,34.59,0.5854,0.03094,0.09147,0.0326,0.05268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.018E-4,0.0,11740.0,142500.0,82580.0,66130.0,3.328E7,83960.0,40090.0,45280.0,14290.0,33230.0,0.0,2.8940000000000002E-36,2.0520000000000003E-36,9.873000000000001E-36,7.356000000000001E-36,1.6240000000000003E-36,3.1509999999999997E-37,8.297E-39,2.289E-38,1.624E-38,5.575E-38,2.08E-35,0.0,0.6901,1.007,2.582,1.539,0.2007,0.06717,0.003512,0.01031,0.009336,0.01346,0.0,0.0,0.001107,3.242E-4,0.001211,0.9937,0.001196,8.845E-4,9.02E-4,6.267E-5,6.566E-4,0.0,0.004255,0.006822,0.005937,0.004599,0.2299,0.01103,0.001655,0.001279,0.005231,9.734E-4,
