cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83360.0,89570.0,47810.0,2.239E7,45540.0,21460.0,24230.0,13490.0,24790.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.991E-4,0.005386,9.757E-4,
0.0,1606.0,160.4,184.7,157.0,0.04925,4.912,0.2234,0.1635,0.9838,0.4031,0.0,343.6,0.1293,0.673,0.614,0.07008,0.1889,0.05928,0.08113,4.733,11.05,0.0,343.6,0.1293,0.673,0.614,0.07008,0.1889,0.05928,0.08113,4.733,11.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.6,104.3,38.85,793.2,165.1,3.142,3.452,30.58,4.01,0.0,45.19,5.943,10.77,62.22,41.32,0.1129,0.01326,0.01515,0.01177,0.01367,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.519E-4,0.0,67.08,76780.0,81130.0,44450.0,2.13E7,42620.0,20180.0,22770.0,13170.0,23440.0,0.0,4.711E-36,2.272E-36,1.419E-35,1.676E-35,2.127E-36,3.4829999999999998E-37,1.14E-38,7.742999999999999E-39,4.793E-38,2.182E-38,2.08E-35,0.0,0.6779,1.14,3.048,1.58,0.2231,0.03127,0.003698,0.002608,0.01635,0.009705,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,5.27E-5,0.009381,0.01029,0.006438,0.2424,0.01388,0.001636,6.866E-4,0.005392,9.695E-4,
0.0,1608.0,161.7,183.6,156.6,0.397,4.908,0.2253,0.1662,0.968,0.4069,0.0,343.6,0.1288,0.6664,0.6093,0.07767,0.1951,0.05387,0.07751,4.46,11.33,0.0,343.6,0.1288,0.6664,0.6093,0.07767,0.1951,0.05387,0.07751,4.46,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.9,107.3,39.47,761.0,165.0,3.158,3.485,29.79,4.115,0.0,45.19,5.604,10.3,58.32,41.79,0.09653,0.01322,0.01514,0.01174,0.01364,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.009E-4,0.0,146.2,73960.0,81710.0,43170.0,2.145E7,41500.0,19750.0,22380.0,13040.0,23160.0,0.0,4.724E-36,2.239E-36,1.3940000000000002E-35,1.661E-35,2.247E-36,3.484E-37,1.094E-38,8.166E-39,4.672E-38,2.197E-38,2.08E-35,0.0,0.6989,1.153,2.984,1.553,0.2495,0.03122,0.003725,0.002643,0.01608,0.009768,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.309E-4,0.009375,0.01031,0.006426,0.2421,0.01378,0.001618,6.956E-4,0.005411,9.65E-4,
0.0,1598.0,172.8,182.0,154.7,0.05189,8.446,0.2278,0.1618,0.9686,0.4071,0.0,343.6,0.1404,0.651,0.5829,0.08612,0.2102,0.05797,0.07366,4.458,11.32,0.0,343.6,0.1404,0.651,0.5829,0.08612,0.2102,0.05797,0.07366,4.458,11.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.6,108.6,39.47,757.1,165.0,3.139,3.463,29.79,4.097,0.0,44.35,6.508,15.98,50.32,42.77,0.0862,0.01316,0.01507,0.01173,0.01359,0.0,0.0,4795000.0,5348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,268.8,74970.0,80910.0,44820.0,2.215E7,41300.0,19580.0,22270.0,12950.0,23340.0,0.0,4.139E-36,2.5890000000000002E-36,1.356E-35,1.555E-35,2.4090000000000003E-36,9.73E-37,1.07E-38,8.211999999999999E-39,4.628E-38,2.196E-38,2.08E-35,0.0,0.6124,1.266,2.907,1.55,0.2579,0.0668,0.003727,0.002659,0.01609,0.009771,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,2.755E-4,0.009339,0.01025,0.00647,0.2411,0.01361,0.001611,7.064E-4,0.005417,9.649E-4,
0.0,1600.0,168.8,184.1,158.4,0.05167,5.099,0.2626,0.1619,0.9684,0.4071,0.0,343.6,0.1337,0.749,0.5079,0.07853,0.1882,0.06332,0.07643,4.459,11.33,0.0,343.6,0.1337,0.749,0.5079,0.07853,0.1882,0.06332,0.07643,4.459,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.3,107.5,39.91,746.2,165.0,3.122,3.443,29.78,4.077,0.0,44.35,5.513,9.555,57.5,42.07,0.08224,0.01294,0.01482,0.0117,0.01341,0.0,0.0,4795000.0,5348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.161E-4,0.0,347.7,75880.0,79360.0,45010.0,2.294E7,41420.0,19350.0,22100.0,12850.0,23430.0,0.0,4.151E-36,2.4220000000000003E-36,1.373E-35,1.611E-35,2.234E-36,3.715E-37,1.08E-38,8.167E-39,4.58E-38,2.194E-38,2.08E-35,0.0,0.6258,1.221,2.941,1.59,0.2374,0.03375,0.004057,0.002658,0.01609,0.00977,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,3.464E-4,0.009337,0.01019,0.006445,0.2391,0.01353,0.001607,6.986E-4,0.005415,9.588E-4,
0.0,1599.0,177.7,179.4,155.1,0.05172,5.097,0.2627,0.162,0.9671,0.4074,0.0,343.6,0.1342,0.7515,0.4968,0.07074,0.1879,0.06339,0.07652,4.458,11.33,0.0,343.6,0.1342,0.7515,0.4968,0.07074,0.1879,0.06339,0.07652,4.458,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.4,107.0,41.42,719.2,164.9,3.083,3.399,29.71,4.043,0.0,44.28,5.666,9.477,57.07,41.31,0.08085,0.01297,0.01483,0.01173,0.01343,0.0,0.0,4792000.0,7697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,589.6,78060.0,76590.0,46660.0,2.458E7,42970.0,20020.0,22980.0,12910.0,24530.0,0.0,4.0710000000000005E-36,2.4310000000000002E-36,1.374E-35,1.58E-35,2.1000000000000002E-36,3.701E-37,1.063E-38,8.13E-39,4.533E-38,2.194E-38,2.08E-35,0.0,0.6162,1.286,2.91,1.565,0.2207,0.03374,0.004059,0.002661,0.01606,0.009775,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,4.614E-4,0.009325,0.01015,0.006402,0.2393,0.01348,0.001604,6.959E-4,0.005415,9.569E-4,
0.0,1574.0,198.8,183.7,147.5,0.04906,7.716,0.2609,0.1597,0.9849,0.4031,0.0,343.6,0.1285,0.8349,0.4089,0.07078,0.1852,0.06245,0.07492,3.971,11.82,0.0,343.6,0.1285,0.8349,0.4089,0.07078,0.1852,0.06245,0.07492,3.971,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.6,111.3,45.9,691.1,164.8,2.947,3.228,30.57,3.775,0.0,42.25,5.831,8.3,57.52,41.55,0.08187,0.01292,0.01475,0.01174,0.01339,7.976E-19,0.0,4780000.0,19290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.995E-21,0.0,0.0,4.888E-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5379999999999998E-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616E-4,0.0,652.8,80610.0,77090.0,47980.0,2.571E7,44320.0,20740.0,23880.0,13090.0,25640.0,0.0,2.909E-36,2.385E-36,1.357E-35,1.587E-35,2.1160000000000002E-36,3.126E-37,1.039E-38,7.993E-39,4.556E-38,2.174E-38,2.08E-35,0.0,0.4404,1.415,2.884,1.562,0.221,0.04446,0.004028,0.002622,0.01636,0.009703,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,5.51E-4,0.009311,0.01009,0.006443,0.2375,0.0134,0.001604,6.929E-4,0.005401,9.548E-4,
0.0,1576.0,183.4,193.9,147.9,0.5117,6.151,0.2603,0.1537,0.9707,0.4255,0.0,343.6,0.09851,0.8427,0.3962,0.07396,0.1866,0.06351,0.06706,3.969,11.86,0.0,343.6,0.09851,0.8427,0.3962,0.07396,0.1866,0.06351,0.06706,3.969,11.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.1,112.2,46.17,674.7,164.8,3.018,3.261,29.85,4.052,0.0,42.26,5.889,7.613,58.14,41.5,0.07891,0.01274,0.01451,0.01175,0.01324,8.349E-16,0.0,4780000.0,17450.0,239.0,15.92,0.0,0.0,0.0,0.0,0.0,0.0,1.006E-17,0.0,0.0,9.212E-18,4.417E-15,2.938E-18,6.422E-20,8.567E-19,8.857E-19,6.621E-19,4.305E-19,1.446E-17,0.0,0.0,2.853E-26,7.000999999999999E-22,3.2660000000000004E-26,1.743E-30,5.564E-29,1.5450000000000002E-30,1.4099999999999998E-29,3.668E-30,3.253E-28,1.0E-4,0.0,851.6,83580.0,81300.0,49870.0,2.731E7,46150.0,21500.0,24850.0,13310.0,26810.0,0.0,3.126E-36,2.334E-36,1.37E-35,1.539E-35,2.163E-36,2.889E-37,1.0319999999999999E-38,8.028E-39,4.446E-38,2.179E-38,2.08E-35,0.0,0.4644,1.299,2.969,1.542,0.2239,0.04495,0.004055,0.002649,0.01612,0.009732,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,6.55E-4,0.009328,0.01005,0.006351,0.2363,0.01334,0.001592,6.672E-4,0.005408,9.813E-4,
0.0,1576.0,184.5,189.5,148.8,0.03973,6.164,0.2309,0.1537,0.9705,0.4254,0.0,343.6,0.1028,0.8433,0.3883,0.07237,0.1886,0.06413,0.06688,3.969,11.86,0.0,343.6,0.1028,0.8433,0.3883,0.07237,0.1886,0.06413,0.06688,3.969,11.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.3,114.8,42.96,667.5,167.5,2.995,3.235,29.84,4.028,0.0,42.26,5.997,7.767,58.49,41.69,0.08699,0.01273,0.01445,0.01181,0.01323,2.057E-15,0.0,4780000.0,16010.0,239.0,15.92,0.0,0.0,0.0,0.0,0.0,0.0,8.422E-17,0.0,0.0,9.007E-17,1.175E-13,3.156E-17,7.197E-18,1.197E-17,1.734E-17,5.91E-18,1.022E-16,1.674E-16,0.0,0.0,6.339E-25,3.957E-20,2.156E-23,6.772E-27,2.151E-27,4.0649999999999996E-29,2.534E-28,4.511E-28,6.622E-27,1.0E-4,0.0,989.6,86710.0,80490.0,53480.0,2.897E7,48860.0,22650.0,26230.0,13450.0,28260.0,0.0,3.126E-36,2.4030000000000003E-36,1.307E-35,1.573E-35,2.1390000000000003E-36,3.2959999999999997E-37,1.009E-38,7.99E-39,4.397E-38,2.177E-38,2.08E-35,0.0,0.4645,1.311,2.89,1.588,0.2219,0.05067,0.003769,0.002649,0.01612,0.009731,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,7.148E-4,0.009268,0.009882,0.006485,0.2357,0.01336,0.0016,6.627E-4,0.005406,9.794E-4,
0.0,1581.0,183.9,186.7,144.9,0.02627,5.708,0.2308,0.153,0.9737,0.4265,0.0,343.6,0.1099,0.8352,0.3769,0.07203,0.2423,0.07899,0.04421,3.646,12.14,0.0,343.6,0.1099,0.8352,0.3769,0.07203,0.2423,0.07899,0.04421,3.646,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.9,121.8,42.78,664.5,165.1,2.998,3.239,29.83,4.029,0.0,42.26,5.976,7.839,58.61,41.57,0.1058,0.0126,0.01436,0.01172,0.01312,3.32E-15,0.0,4780000.0,15600.0,362.9,102.2,0.0,0.0,0.0,0.0,0.0,0.0,2.457E-16,0.0,1.288E-19,6.047E-16,5.367E-13,8.206E-16,1.596E-16,4.962E-16,1.716E-16,1.18E-16,8.387E-15,1.556E-14,0.0,2.4040000000000002E-26,1.3049999999999998E-22,2.349E-19,1.841E-21,7.426E-24,6.741E-24,3.4850000000000005E-26,2.1480000000000002E-26,8.068E-26,1.0210000000000001E-25,1.002E-4,0.0,1142.0,84000.0,79470.0,49150.0,2.7E7,45840.0,21390.0,24710.0,13160.0,26690.0,0.0,3.377E-36,2.5350000000000003E-36,1.279E-35,1.5380000000000001E-35,2.1320000000000002E-36,3.228E-37,1.002E-38,7.960999999999999E-39,4.358E-38,2.175E-38,2.08E-35,0.0,0.5023,1.314,2.862,1.551,0.2211,0.04245,0.003762,0.002659,0.01611,0.009737,0.0,0.0,2.519E-4,1.096E-4,8.227E-4,0.9961,0.001032,4.133E-4,5.423E-4,6.287E-5,6.587E-4,0.0,7.63E-4,0.009249,0.009893,0.006425,0.232,0.01328,0.001588,6.709E-4,0.005414,9.817E-4,
