RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4515000.0,2417000.0,1403000.0,7268000.0,4020000.0,1065000.0,372600.0,4892000.0,1386000.0,9898000.0,9899000.0,
4495000.0,2402000.0,1402000.0,7183000.0,3985000.0,1065000.0,372600.0,4892000.0,1386000.0,9898000.0,9935000.0,
4645000.0,2395000.0,1401000.0,7153000.0,3895000.0,1065000.0,372500.0,4892000.0,1496000.0,9788000.0,9872000.0,
4613000.0,2386000.0,1400000.0,7064000.0,3874000.0,1065000.0,372400.0,4892000.0,1496000.0,9788000.0,9893000.0,
4702000.0,2378000.0,1398000.0,7015000.0,3849000.0,1065000.0,372400.0,4892000.0,1538000.0,9746000.0,9823000.0,
5036000.0,2340000.0,1396000.0,6971000.0,3807000.0,1064000.0,372300.0,4892000.0,1731000.0,9600000.0,9498000.0,
4972000.0,2339000.0,1368000.0,6937000.0,3771000.0,1063000.0,372200.0,4892000.0,1731000.0,9745000.0,9561000.0,
4917000.0,2336000.0,1365000.0,6862000.0,3763000.0,1063000.0,372200.0,4892000.0,1731000.0,9745000.0,9598000.0,
4869000.0,2323000.0,1356000.0,6823000.0,3762000.0,1063000.0,372100.0,4892000.0,1731000.0,9745000.0,9598000.0,
4824000.0,2287000.0,1351000.0,6784000.0,3740000.0,1063000.0,372000.0,4892000.0,1731000.0,9794000.0,9619000.0,
4949000.0,2282000.0,1351000.0,6779000.0,3719000.0,1063000.0,372000.0,4892000.0,1788000.0,9737000.0,9516000.0,
4943000.0,2278000.0,1350000.0,6749000.0,3697000.0,1063000.0,372000.0,4892000.0,1991000.0,9581000.0,9538000.0,
4940000.0,2276000.0,1350000.0,6744000.0,3697000.0,1063000.0,372000.0,4892000.0,1991000.0,9581000.0,9538000.0,
4929000.0,2274000.0,1332000.0,6734000.0,3672000.0,1063000.0,372000.0,4892000.0,1991000.0,9581000.0,9588000.0,
4919000.0,2274000.0,1332000.0,6720000.0,3638000.0,1063000.0,372000.0,4892000.0,1991000.0,9581000.0,9623000.0,
4899000.0,2271000.0,1332000.0,6690000.0,3581000.0,1063000.0,372000.0,4892000.0,1991000.0,9581000.0,9693000.0,
4884000.0,2270000.0,1332000.0,6660000.0,3541000.0,1063000.0,372000.0,4892000.0,1991000.0,9629000.0,9733000.0,
4869000.0,2270000.0,1331000.0,6650000.0,3541000.0,1063000.0,372000.0,4892000.0,1991000.0,9629000.0,9733000.0,
4854000.0,2270000.0,1331000.0,6635000.0,3541000.0,1063000.0,372000.0,4892000.0,1991000.0,9629000.0,9733000.0,
4849000.0,2269000.0,1331000.0,6631000.0,3519000.0,1063000.0,372000.0,4892000.0,1991000.0,9629000.0,9754000.0,
4839000.0,2269000.0,1331000.0,6627000.0,3456000.0,1063000.0,372000.0,4892000.0,1991000.0,9629000.0,9818000.0,
4849000.0,2269000.0,1331000.0,6627000.0,3456000.0,1063000.0,372000.0,4892000.0,2045000.0,9576000.0,9777000.0,
4939000.0,2268000.0,1331000.0,6587000.0,3433000.0,1063000.0,372000.0,4892000.0,2045000.0,9576000.0,9686000.0,
4929000.0,2268000.0,1331000.0,6577000.0,3413000.0,1063000.0,372000.0,4892000.0,2045000.0,9624000.0,9705000.0,
4897000.0,2261000.0,1331000.0,6557000.0,3413000.0,1063000.0,372000.0,4892000.0,2045000.0,9624000.0,9725000.0,
4891000.0,2257000.0,1330000.0,6552000.0,3413000.0,1063000.0,371900.0,4892000.0,2045000.0,9624000.0,9725000.0,
4891000.0,2256000.0,1330000.0,6498000.0,3406000.0,1063000.0,371900.0,4892000.0,2045000.0,9624000.0,9732000.0,
5003000.0,2253000.0,1328000.0,6493000.0,3406000.0,1063000.0,371900.0,4892000.0,2181000.0,9535000.0,9610000.0,
5109000.0,2248000.0,1328000.0,6488000.0,3406000.0,1063000.0,371900.0,4892000.0,2181000.0,9535000.0,9474000.0,
5094000.0,2248000.0,1328000.0,6488000.0,3383000.0,1063000.0,371900.0,4892000.0,2181000.0,9535000.0,9496000.0,
5058000.0,2252000.0,1334000.0,6484000.0,3383000.0,1068000.0,373100.0,4896000.0,2170000.0,9535000.0,9496000.0,
5029000.0,2249000.0,1345000.0,6476000.0,3388000.0,1068000.0,373100.0,4967000.0,2093000.0,9535000.0,9496000.0,
5009000.0,2245000.0,1340000.0,6476000.0,3353000.0,1068000.0,379200.0,4967000.0,2087000.0,9535000.0,9544000.0,
4989000.0,2239000.0,1341000.0,6471000.0,3342000.0,1065000.0,385200.0,5036000.0,2012000.0,9535000.0,9560000.0,
4928000.0,2239000.0,1344000.0,6520000.0,3319000.0,1065000.0,429800.0,5096000.0,1907000.0,9631000.0,9583000.0,
5005000.0,2242000.0,1349000.0,6515000.0,3300000.0,1071000.0,429800.0,5245000.0,1770000.0,9613000.0,9516000.0,
4996000.0,2241000.0,1354000.0,6515000.0,3306000.0,1071000.0,429800.0,5273000.0,1736000.0,9613000.0,9516000.0,
4848000.0,2238000.0,1336000.0,6625000.0,3260000.0,1059000.0,434300.0,5300000.0,1818000.0,9594000.0,9594000.0,
4886000.0,2249000.0,1317000.0,6625000.0,3260000.0,1059000.0,2286000.0,3465000.0,1801000.0,9594000.0,9543000.0,
4856000.0,2249000.0,1319000.0,6650000.0,3259000.0,1059000.0,2303000.0,3517000.0,1726000.0,9642000.0,9550000.0,
4852000.0,2246000.0,1324000.0,6630000.0,3223000.0,1059000.0,2303000.0,3517000.0,1726000.0,9642000.0,9586000.0,
4959000.0,2241000.0,1312000.0,6615000.0,3223000.0,1065000.0,2303000.0,3552000.0,1757000.0,9617000.0,9481000.0,
4919000.0,2240000.0,1318000.0,6610000.0,3229000.0,1059000.0,2338000.0,3561000.0,1714000.0,9617000.0,9481000.0,
4901000.0,2235000.0,1322000.0,6619000.0,3188000.0,1053000.0,2338000.0,3592000.0,1709000.0,9590000.0,9528000.0,
4877000.0,2243000.0,1323000.0,6614000.0,3194000.0,1047000.0,2350000.0,3602000.0,1687000.0,9590000.0,9528000.0,
4842000.0,2264000.0,1324000.0,6609000.0,3199000.0,1041000.0,2350000.0,3640000.0,1649000.0,9590000.0,9528000.0,
4820000.0,2267000.0,1327000.0,6604000.0,3158000.0,1149000.0,2254000.0,3648000.0,1629000.0,9590000.0,9569000.0,
4955000.0,2276000.0,1317000.0,6599000.0,3137000.0,1149000.0,2260000.0,3678000.0,1593000.0,9590000.0,9434000.0,
4897000.0,2278000.0,1319000.0,6645000.0,3093000.0,1156000.0,2289000.0,3719000.0,1623000.0,9532000.0,9479000.0,
4867000.0,2274000.0,1319000.0,6663000.0,3069000.0,1156000.0,2289000.0,3818000.0,1524000.0,9532000.0,9502000.0,
4841000.0,2277000.0,1321000.0,6685000.0,3028000.0,1156000.0,2289000.0,3936000.0,1406000.0,9532000.0,9544000.0,
4827000.0,2278000.0,1324000.0,6685000.0,2985000.0,1156000.0,2307000.0,3939000.0,1385000.0,9579000.0,9587000.0,
4817000.0,2275000.0,1327000.0,6655000.0,2970000.0,1150000.0,2322000.0,3924000.0,1385000.0,9627000.0,9607000.0,
4947000.0,2279000.0,1332000.0,6630000.0,2970000.0,1150000.0,2331000.0,3942000.0,1391000.0,9595000.0,9463000.0,
4898000.0,2291000.0,1335000.0,6630000.0,2954000.0,1144000.0,2337000.0,3953000.0,1373000.0,9595000.0,9498000.0,
4875000.0,2300000.0,1340000.0,6610000.0,2954000.0,1144000.0,2337000.0,4001000.0,1325000.0,9595000.0,9498000.0,
4853000.0,2301000.0,1343000.0,6617000.0,2954000.0,1144000.0,2337000.0,4001000.0,1388000.0,9627000.0,9498000.0,
4825000.0,2302000.0,1345000.0,6612000.0,2933000.0,1161000.0,2338000.0,4003000.0,1368000.0,9676000.0,9519000.0,
4709000.0,2316000.0,1348000.0,6666000.0,2939000.0,1155000.0,2349000.0,4035000.0,1325000.0,9724000.0,9519000.0,
4587000.0,2307000.0,1354000.0,6751000.0,2939000.0,1155000.0,2349000.0,4035000.0,1325000.0,9724000.0,9519000.0,
4567000.0,2309000.0,1356000.0,6751000.0,2904000.0,1159000.0,2344000.0,4062000.0,1459000.0,9564000.0,9554000.0,
4520000.0,2307000.0,1347000.0,6783000.0,2859000.0,1159000.0,2366000.0,4058000.0,1441000.0,9611000.0,9612000.0,
4650000.0,2315000.0,1354000.0,6768000.0,2859000.0,1159000.0,2381000.0,4092000.0,1531000.0,9473000.0,9446000.0,
4639000.0,2305000.0,1351000.0,6753000.0,2857000.0,1171000.0,2375000.0,4086000.0,1530000.0,9473000.0,9446000.0,
4596000.0,2308000.0,1355000.0,6760000.0,2857000.0,1177000.0,2386000.0,4138000.0,1460000.0,9473000.0,9446000.0,
4580000.0,2303000.0,1359000.0,6762000.0,2857000.0,1177000.0,2386000.0,4144000.0,1454000.0,9473000.0,9446000.0,
4562000.0,2301000.0,1365000.0,6762000.0,2835000.0,1183000.0,2386000.0,4164000.0,1429000.0,9473000.0,9469000.0,
4545000.0,2299000.0,1367000.0,6753000.0,2812000.0,1177000.0,2404000.0,4140000.0,1429000.0,9568000.0,9504000.0,
4532000.0,2299000.0,1369000.0,6738000.0,2812000.0,1183000.0,2410000.0,4154000.0,1402000.0,9568000.0,9504000.0,
4495000.0,2301000.0,1371000.0,6757000.0,2797000.0,1177000.0,2422000.0,4152000.0,1392000.0,9616000.0,9525000.0,
4481000.0,2304000.0,1371000.0,6768000.0,2797000.0,1183000.0,2428000.0,4215000.0,1317000.0,9616000.0,9525000.0,
4451000.0,2310000.0,1377000.0,6775000.0,2797000.0,1190000.0,2450000.0,4208000.0,1374000.0,9586000.0,9525000.0,
4158000.0,2313000.0,1380000.0,7058000.0,2783000.0,1202000.0,2444000.0,4196000.0,1374000.0,9634000.0,9545000.0,
4025000.0,2310000.0,1388000.0,7186000.0,2768000.0,1208000.0,2444000.0,4190000.0,1374000.0,9682000.0,9560000.0,
4017000.0,2306000.0,1394000.0,7181000.0,2752000.0,1208000.0,2467000.0,4167000.0,1429000.0,9627000.0,9575000.0,
3990000.0,2304000.0,1398000.0,7187000.0,2758000.0,1202000.0,2467000.0,4173000.0,1423000.0,9675000.0,9575000.0,
3962000.0,2302000.0,1382000.0,7198000.0,2758000.0,1202000.0,2467000.0,4200000.0,1396000.0,9675000.0,9599000.0,
3940000.0,2307000.0,1381000.0,7196000.0,2752000.0,1207000.0,2461000.0,4210000.0,1385000.0,9675000.0,9616000.0,
3914000.0,2324000.0,1385000.0,7176000.0,2739000.0,1225000.0,2443000.0,4234000.0,1361000.0,9723000.0,9629000.0,
3995000.0,2310000.0,1367000.0,7178000.0,2696000.0,1225000.0,2451000.0,4263000.0,1488000.0,9559000.0,9591000.0,
3968000.0,2317000.0,1369000.0,7157000.0,2696000.0,1225000.0,2451000.0,4263000.0,1488000.0,9559000.0,9591000.0,
3952000.0,2323000.0,1373000.0,7122000.0,2702000.0,1219000.0,2451000.0,4371000.0,1379000.0,9559000.0,9591000.0,
3893000.0,2319000.0,1376000.0,7158000.0,2679000.0,1226000.0,2444000.0,4388000.0,1362000.0,9559000.0,9614000.0,
3888000.0,2322000.0,1377000.0,7158000.0,2679000.0,1232000.0,2438000.0,4402000.0,1348000.0,9607000.0,9614000.0,
3867000.0,2323000.0,1378000.0,7235000.0,2685000.0,1226000.0,2449000.0,4427000.0,1486000.0,9433000.0,9531000.0,
3850000.0,2322000.0,1377000.0,7208000.0,2633000.0,1208000.0,2448000.0,4427000.0,1486000.0,9433000.0,9604000.0,
3846000.0,2324000.0,1377000.0,7191000.0,2633000.0,1214000.0,2448000.0,4449000.0,1459000.0,9433000.0,9604000.0,
3843000.0,2319000.0,1380000.0,7186000.0,2618000.0,1208000.0,2448000.0,4463000.0,1444000.0,9433000.0,9624000.0,
3961000.0,2309000.0,1386000.0,7192000.0,2618000.0,1208000.0,2448000.0,4463000.0,1444000.0,9480000.0,9484000.0,
3952000.0,2303000.0,1389000.0,7178000.0,3379000.0,432800.0,2442000.0,4474000.0,1434000.0,9480000.0,9505000.0,
3950000.0,2294000.0,1392000.0,7147000.0,3378000.0,444800.0,2429000.0,4473000.0,1434000.0,9480000.0,9505000.0,
3942000.0,2300000.0,1394000.0,7143000.0,3378000.0,444800.0,2429000.0,4486000.0,1422000.0,9575000.0,9505000.0,
3900000.0,2310000.0,1396000.0,7153000.0,3378000.0,450800.0,2423000.0,4486000.0,1422000.0,9623000.0,9505000.0,
3892000.0,2310000.0,1398000.0,7143000.0,3378000.0,450800.0,2429000.0,4499000.0,1402000.0,9623000.0,9505000.0,
3874000.0,2314000.0,1400000.0,7131000.0,3366000.0,450800.0,2429000.0,4505000.0,1443000.0,9576000.0,9517000.0,
3856000.0,2326000.0,1401000.0,7126000.0,3372000.0,444800.0,2435000.0,4499000.0,1443000.0,9576000.0,9517000.0,
3833000.0,2330000.0,1405000.0,7116000.0,3359000.0,444800.0,2435000.0,4519000.0,1422000.0,9576000.0,9530000.0,
3800000.0,2339000.0,1406000.0,7118000.0,3335000.0,457900.0,2422000.0,4552000.0,1389000.0,9576000.0,9554000.0,
3784000.0,2345000.0,1409000.0,7075000.0,3335000.0,469800.0,2415000.0,4548000.0,1389000.0,9624000.0,9554000.0,
3766000.0,2352000.0,1414000.0,7051000.0,3341000.0,475900.0,2403000.0,4592000.0,1344000.0,9624000.0,9554000.0,
3737000.0,2352000.0,1416000.0,7043000.0,3341000.0,492700.0,2394000.0,4595000.0,1333000.0,9721000.0,9554000.0,
3707000.0,2359000.0,1417000.0,7036000.0,3347000.0,504300.0,2383000.0,4600000.0,1320000.0,9769000.0,9554000.0,
3694000.0,2364000.0,1420000.0,7036000.0,3347000.0,504300.0,2389000.0,4618000.0,1408000.0,9658000.0,9554000.0,
3679000.0,2364000.0,1383000.0,7041000.0,3359000.0,504300.0,2377000.0,4631000.0,1493000.0,9560000.0,9592000.0,
3720000.0,2371000.0,1385000.0,7041000.0,3323000.0,495300.0,2426000.0,4580000.0,1493000.0,9560000.0,9582000.0,
3714000.0,2370000.0,1387000.0,7041000.0,3300000.0,495300.0,2426000.0,4600000.0,1473000.0,9560000.0,9605000.0,
3789000.0,2346000.0,1391000.0,7041000.0,3300000.0,501300.0,2420000.0,4667000.0,1406000.0,9608000.0,9521000.0,
3780000.0,2346000.0,1394000.0,7037000.0,3300000.0,507300.0,2420000.0,4667000.0,1400000.0,9608000.0,9521000.0,
3763000.0,2344000.0,1396000.0,7038000.0,3277000.0,495300.0,2426000.0,4711000.0,1350000.0,9656000.0,9556000.0,
3741000.0,2343000.0,1402000.0,7040000.0,3277000.0,495300.0,2438000.0,4699000.0,1416000.0,9589000.0,9556000.0,
3714000.0,2352000.0,1405000.0,7035000.0,3258000.0,721500.0,2218000.0,4721000.0,1388000.0,9589000.0,9575000.0,
3686000.0,2356000.0,1405000.0,7055000.0,3200000.0,727600.0,2218000.0,4757000.0,1346000.0,9589000.0,9633000.0,
3835000.0,2364000.0,1407000.0,7050000.0,3177000.0,733600.0,2217000.0,4764000.0,1374000.0,9597000.0,9486000.0,
3830000.0,2367000.0,1400000.0,7041000.0,3102000.0,728700.0,2223000.0,4758000.0,1373000.0,9645000.0,9574000.0,
3742000.0,2365000.0,1409000.0,7113000.0,3102000.0,728700.0,2229000.0,4764000.0,1452000.0,9602000.0,9574000.0,
3737000.0,2365000.0,1413000.0,7108000.0,2948000.0,722700.0,2235000.0,4784000.0,1426000.0,9602000.0,9734000.0,
3815000.0,2371000.0,1417000.0,7098000.0,2948000.0,734800.0,2223000.0,4801000.0,1431000.0,9628000.0,9635000.0,
3812000.0,2374000.0,1419000.0,7083000.0,2920000.0,740800.0,2223000.0,4831000.0,1395000.0,9628000.0,9663000.0,
3789000.0,2378000.0,1421000.0,7079000.0,2920000.0,746800.0,2223000.0,4966000.0,1254000.0,9676000.0,9663000.0,
3765000.0,2375000.0,1425000.0,7068000.0,2926000.0,740800.0,2223000.0,5042000.0,1177000.0,9676000.0,9663000.0,
3917000.0,2381000.0,1427000.0,7063000.0,2906000.0,740800.0,2239000.0,5049000.0,1195000.0,9636000.0,9523000.0,
3806000.0,2386000.0,1431000.0,7109000.0,2897000.0,742000.0,2233000.0,5043000.0,1367000.0,9512000.0,9543000.0,
3793000.0,2384000.0,1430000.0,7094000.0,2867000.0,755700.0,2244000.0,5048000.0,1339000.0,9512000.0,9573000.0,
3779000.0,2389000.0,1434000.0,7084000.0,2867000.0,755700.0,2244000.0,5054000.0,1333000.0,9512000.0,9573000.0,
3748000.0,2396000.0,1437000.0,7081000.0,2867000.0,761800.0,2238000.0,5075000.0,1311000.0,9559000.0,9573000.0,
3724000.0,2405000.0,1441000.0,7081000.0,2856000.0,761800.0,2242000.0,5064000.0,1311000.0,9559000.0,9590000.0,
3673000.0,2408000.0,1442000.0,7113000.0,2835000.0,1546000.0,1468000.0,5073000.0,1294000.0,9559000.0,9611000.0,
3660000.0,2419000.0,1421000.0,7099000.0,2813000.0,1546000.0,1474000.0,5066000.0,1294000.0,9607000.0,9655000.0,
3721000.0,2419000.0,1411000.0,7096000.0,2788000.0,1552000.0,1468000.0,5073000.0,1325000.0,9570000.0,9613000.0,
3696000.0,2420000.0,1414000.0,7096000.0,2788000.0,1558000.0,1510000.0,5050000.0,1299000.0,9570000.0,9613000.0,
3745000.0,2417000.0,1398000.0,7087000.0,2788000.0,1558000.0,1538000.0,5022000.0,1299000.0,9570000.0,9571000.0,
3729000.0,2421000.0,1399000.0,7093000.0,2788000.0,1558000.0,1550000.0,5010000.0,1299000.0,9570000.0,9571000.0,
3677000.0,2426000.0,1398000.0,7112000.0,2753000.0,1564000.0,1560000.0,5027000.0,1265000.0,9570000.0,9606000.0,
3590000.0,2428000.0,1397000.0,7178000.0,2727000.0,1569000.0,1572000.0,5027000.0,1247000.0,9570000.0,9632000.0,
3577000.0,2422000.0,1401000.0,7168000.0,2684000.0,1569000.0,1594000.0,5038000.0,1214000.0,9618000.0,9675000.0,
3485000.0,2415000.0,1404000.0,7245000.0,2670000.0,1560000.0,1612000.0,5030000.0,1204000.0,9666000.0,9698000.0,
3469000.0,2414000.0,1406000.0,7240000.0,2607000.0,1552000.0,1624000.0,5030000.0,1191000.0,9714000.0,9769000.0,
3451000.0,2419000.0,1408000.0,7230000.0,2584000.0,1558000.0,1618000.0,5043000.0,1178000.0,9714000.0,9793000.0,
3435000.0,2415000.0,1413000.0,7221000.0,2533000.0,1558000.0,1624000.0,5055000.0,1160000.0,9714000.0,9844000.0,
3407000.0,2410000.0,1417000.0,7219000.0,2533000.0,1558000.0,1638000.0,5054000.0,1147000.0,9714000.0,9844000.0,
3412000.0,2405000.0,1419000.0,7292000.0,2533000.0,1558000.0,2772000.0,4028000.0,1195000.0,9560000.0,9739000.0,
3431000.0,2404000.0,1424000.0,7317000.0,2533000.0,1558000.0,2778000.0,4033000.0,1361000.0,9524000.0,9687000.0,
3591000.0,2404000.0,1425000.0,7317000.0,2520000.0,1564000.0,2795000.0,4021000.0,1350000.0,9524000.0,9533000.0,
3573000.0,2406000.0,1430000.0,7323000.0,2471000.0,1564000.0,2804000.0,4033000.0,1328000.0,9524000.0,9582000.0,
3569000.0,2405000.0,1433000.0,7304000.0,2421000.0,1564000.0,2816000.0,4036000.0,1313000.0,9524000.0,9633000.0,
3469000.0,2402000.0,1441000.0,7388000.0,2397000.0,1570000.0,2816000.0,4030000.0,1313000.0,9524000.0,9656000.0,
3353000.0,2395000.0,1447000.0,7461000.0,2397000.0,1570000.0,2833000.0,4053000.0,1274000.0,9572000.0,9656000.0,
3411000.0,2387000.0,1455000.0,7474000.0,2360000.0,1570000.0,2893000.0,4020000.0,1247000.0,9572000.0,9608000.0,
3391000.0,2387000.0,1458000.0,7481000.0,2360000.0,1585000.0,2896000.0,4012000.0,1237000.0,9572000.0,9608000.0,
3379000.0,2388000.0,1463000.0,7476000.0,2313000.0,1585000.0,5483000.0,1443000.0,1219000.0,9572000.0,9654000.0,
3342000.0,2385000.0,1466000.0,7478000.0,2313000.0,1591000.0,5507000.0,1426000.0,1205000.0,9668000.0,9654000.0,
3396000.0,2385000.0,1468000.0,7469000.0,2293000.0,1597000.0,5513000.0,1414000.0,1319000.0,9553000.0,9597000.0,
3564000.0,2371000.0,1445000.0,7475000.0,2299000.0,1591000.0,5513000.0,1414000.0,1432000.0,9488000.0,9411000.0,
3536000.0,2367000.0,1446000.0,7461000.0,2274000.0,1597000.0,5507000.0,1414000.0,1432000.0,9584000.0,9437000.0,
3520000.0,2357000.0,1447000.0,7451000.0,2261000.0,1603000.0,5508000.0,1402000.0,1432000.0,9584000.0,9454000.0,
3499000.0,2364000.0,1446000.0,7436000.0,2543000.0,1340000.0,5489000.0,1413000.0,1462000.0,9590000.0,9454000.0,
3467000.0,2363000.0,1426000.0,7431000.0,2519000.0,1345000.0,5475000.0,1419000.0,1456000.0,9590000.0,9509000.0,
3427000.0,2362000.0,1428000.0,7446000.0,2497000.0,1351000.0,5469000.0,1453000.0,1422000.0,9590000.0,9531000.0,
3414000.0,2363000.0,1431000.0,7441000.0,2484000.0,1351000.0,5469000.0,1453000.0,1422000.0,9590000.0,9544000.0,
3387000.0,2368000.0,1432000.0,7426000.0,3467000.0,373900.0,5463000.0,1453000.0,1422000.0,9590000.0,9544000.0,
3380000.0,2367000.0,1436000.0,7416000.0,3467000.0,386000.0,5451000.0,1453000.0,1422000.0,9590000.0,9544000.0,
3349000.0,2371000.0,1441000.0,7401000.0,3449000.0,390800.0,5465000.0,1428000.0,1422000.0,9590000.0,9568000.0,
3315000.0,2376000.0,1446000.0,7410000.0,3412000.0,396800.0,5469000.0,1434000.0,1407000.0,9590000.0,9604000.0,
3363000.0,2363000.0,1443000.0,7380000.0,3323000.0,414900.0,5451000.0,1444000.0,1513000.0,9619000.0,9642000.0,
3461000.0,2365000.0,1443000.0,7326000.0,3328000.0,425600.0,5452000.0,1440000.0,1549000.0,9568000.0,9531000.0,
3455000.0,2363000.0,1446000.0,7306000.0,3298000.0,329100.0,5446000.0,1451000.0,1538000.0,9616000.0,9664000.0,
3550000.0,2362000.0,1449000.0,7301000.0,3195000.0,329100.0,5455000.0,1481000.0,1583000.0,9628000.0,9669000.0,
3543000.0,2355000.0,1453000.0,7266000.0,3145000.0,334900.0,5459000.0,1500000.0,1554000.0,9628000.0,9719000.0,
3672000.0,2358000.0,1460000.0,7236000.0,3120000.0,341000.0,5460000.0,1522000.0,1579000.0,9574000.0,9600000.0,
3841000.0,2345000.0,1467000.0,7219000.0,3079000.0,401300.0,5404000.0,1529000.0,1567000.0,9574000.0,9465000.0,
3818000.0,2344000.0,1470000.0,7215000.0,3079000.0,406100.0,5412000.0,1615000.0,1469000.0,9622000.0,9465000.0,
3754000.0,2338000.0,1469000.0,7248000.0,3025000.0,414100.0,5404000.0,1635000.0,1495000.0,9576000.0,9532000.0,
3742000.0,2336000.0,1471000.0,7241000.0,3008000.0,427600.0,5396000.0,1635000.0,1483000.0,9576000.0,9554000.0,
3722000.0,2342000.0,1475000.0,7241000.0,2955000.0,427600.0,5402000.0,1640000.0,1472000.0,9576000.0,9608000.0,
3690000.0,2348000.0,1477000.0,7254000.0,2895000.0,427500.0,5402000.0,1640000.0,1472000.0,9576000.0,9668000.0,
3779000.0,2353000.0,1480000.0,7249000.0,2877000.0,998400.0,4837000.0,1634000.0,1472000.0,9576000.0,9584000.0,
3656000.0,2352000.0,1482000.0,7347000.0,2828000.0,998200.0,4831000.0,1737000.0,1368000.0,9624000.0,9639000.0,
3903000.0,2355000.0,1483000.0,7331000.0,2815000.0,1010000.0,4825000.0,1731000.0,1427000.0,9565000.0,9392000.0,
3900000.0,2352000.0,1488000.0,7321000.0,2799000.0,1022000.0,4826000.0,1729000.0,1417000.0,9565000.0,9408000.0,
3885000.0,2361000.0,1472000.0,7312000.0,2758000.0,2549000.0,3309000.0,1713000.0,1417000.0,9565000.0,9472000.0,
3839000.0,2367000.0,1477000.0,7326000.0,2689000.0,2555000.0,3297000.0,1739000.0,1390000.0,9565000.0,9547000.0,
3712000.0,2378000.0,1467000.0,7427000.0,2617000.0,2561000.0,3291000.0,1739000.0,1390000.0,9661000.0,9635000.0,
3833000.0,2374000.0,1466000.0,7427000.0,2562000.0,2561000.0,3309000.0,1720000.0,1460000.0,9639000.0,9559000.0,
3821000.0,2365000.0,1476000.0,7417000.0,2552000.0,2862000.0,3001000.0,1808000.0,1372000.0,9639000.0,9577000.0,
3817000.0,2367000.0,1455000.0,7399000.0,2518000.0,2868000.0,2995000.0,1832000.0,1349000.0,9639000.0,9632000.0,
3788000.0,2366000.0,1457000.0,7392000.0,2500000.0,2868000.0,2995000.0,1851000.0,1329000.0,9736000.0,9649000.0,
3842000.0,2356000.0,1459000.0,7379000.0,2459000.0,4158000.0,1705000.0,1858000.0,1452000.0,9599000.0,9639000.0,
3835000.0,2348000.0,1454000.0,7359000.0,2465000.0,4159000.0,1698000.0,1858000.0,1449000.0,9599000.0,9657000.0,
3817000.0,2350000.0,1455000.0,7344000.0,2465000.0,4159000.0,1698000.0,1887000.0,1420000.0,9647000.0,9657000.0,
4022000.0,2358000.0,1432000.0,7314000.0,2452000.0,4179000.0,1691000.0,1951000.0,1416000.0,9574000.0,9469000.0,
4010000.0,2358000.0,1433000.0,7290000.0,2415000.0,4649000.0,1221000.0,1945000.0,1416000.0,9574000.0,9512000.0,
3976000.0,2350000.0,1438000.0,7282000.0,2390000.0,4655000.0,1215000.0,1961000.0,1401000.0,9574000.0,9537000.0,
3964000.0,2350000.0,1439000.0,7268000.0,2402000.0,4653000.0,1213000.0,1972000.0,1381000.0,9574000.0,9537000.0,
3948000.0,2336000.0,1449000.0,7248000.0,2389000.0,4646000.0,1475000.0,1739000.0,1353000.0,9574000.0,9557000.0,
3772000.0,2326000.0,1452000.0,7376000.0,2395000.0,4646000.0,1474000.0,1770000.0,1317000.0,9574000.0,9557000.0,
3754000.0,2317000.0,1453000.0,7361000.0,2395000.0,4646000.0,1474000.0,1820000.0,1266000.0,9622000.0,9557000.0,
