cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnPm,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.0,37.73,819.4,165.2,3.301,3.676,30.56,4.15,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83360.0,89580.0,47800.0,2.239E7,45540.0,21460.0,24230.0,13490.0,24790.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006468,0.2457,0.01391,0.001641,6.991E-4,0.005386,9.757E-4,
0.0,1603.0,164.3,185.5,154.6,0.06005,6.35,0.2358,0.177,1.012,0.4168,0.0,343.6,0.1653,0.6358,0.587,0.07386,0.2014,0.05932,0.08115,4.77,11.01,0.0,343.6,0.1653,0.6358,0.587,0.07386,0.2014,0.05932,0.08115,4.77,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.6,102.1,36.1,775.9,168.0,3.236,3.555,30.59,4.085,0.0,48.04,6.101,10.58,58.57,42.36,0.1217,0.01353,0.01545,0.01182,0.01391,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,323.7,75820.0,85040.0,44290.0,2.149E7,42710.0,20320.0,22950.0,13160.0,23710.0,0.0,4.726E-36,2.503E-36,1.4120000000000002E-35,1.657E-35,2.1770000000000002E-36,3.186E-37,1.11E-38,7.448E-39,4.73E-38,2.15E-38,2.08E-35,0.0,0.6644,1.18,3.046,1.555,0.2274,0.03661,0.003744,0.002658,0.01645,0.009756,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.092E-4,0.009369,0.01026,0.006374,0.2449,0.01388,0.001644,6.937E-4,0.005391,9.748E-4,
0.0,1606.0,163.9,185.5,141.4,0.06063,6.354,0.2348,0.1776,1.012,0.4185,0.0,343.6,0.1454,0.754,0.4885,0.073,0.2009,0.05944,0.114,3.527,12.22,0.0,343.6,0.1454,0.754,0.4885,0.073,0.2009,0.05944,0.114,3.527,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.6,102.0,36.11,733.6,167.4,3.2,3.511,30.68,4.059,0.0,48.04,5.595,8.962,71.44,42.46,0.1147,0.01342,0.01536,0.01178,0.01382,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.084E-4,0.0,386.3,73290.0,79150.0,44630.0,2.162E7,41500.0,19940.0,22590.0,13040.0,23480.0,0.0,4.739E-36,2.392E-36,1.413E-35,1.639E-35,2.152E-36,3.18E-37,1.103E-38,7.439999999999999E-39,4.673E-38,2.151E-38,2.08E-35,0.0,0.6853,1.178,3.049,1.535,0.2247,0.03659,0.003739,0.002661,0.01643,0.009787,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.099E-4,0.009364,0.01027,0.006346,0.2443,0.01377,0.001637,6.902E-4,0.005377,9.858E-4,
0.0,1606.0,160.6,187.7,134.8,0.06092,6.006,0.2367,0.178,1.012,0.4185,0.0,343.6,0.1394,0.8796,0.368,0.07274,0.199,0.05827,0.1195,3.159,12.59,0.0,343.6,0.1394,0.8796,0.368,0.07274,0.199,0.05827,0.1195,3.159,12.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.3,92.34,36.9,713.0,167.4,3.144,3.449,30.67,4.007,0.0,48.04,5.508,8.69,78.71,42.33,0.1096,0.01342,0.01536,0.01178,0.01382,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.587E-4,0.0,504.3,74000.0,76780.0,46570.0,2.241E7,41780.0,20390.0,23180.0,13120.0,24120.0,0.0,4.739E-36,2.337E-36,1.465E-35,1.578E-35,2.146E-36,2.9279999999999998E-37,1.026E-38,7.706E-39,4.642E-38,2.15E-38,2.08E-35,0.0,0.6855,1.169,3.026,1.558,0.224,0.03273,0.003746,0.002662,0.01643,0.009787,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.858E-4,0.009569,0.01008,0.006326,0.2439,0.01365,0.001631,7.033E-4,0.005384,9.877E-4,
0.0,1608.0,155.6,189.1,134.8,0.06054,6.0,0.2377,0.1784,1.013,0.4184,0.0,343.6,0.1341,0.9035,0.3482,0.07237,0.1973,0.05826,0.1195,2.004,13.74,0.0,343.6,0.1341,0.9035,0.3482,0.07237,0.1973,0.05826,0.1195,2.004,13.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.1,92.55,36.98,688.9,167.4,3.141,3.443,30.67,3.996,0.0,48.06,5.506,9.001,76.61,43.09,0.1066,0.01312,0.01502,0.01173,0.01357,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,750.2,74420.0,76520.0,46990.0,2.354E7,42470.0,20690.0,23600.0,13150.0,24720.0,0.0,4.956E-36,2.176E-36,1.454E-35,1.568E-35,2.1480000000000002E-36,2.916E-37,1.012E-38,7.663E-39,4.606E-38,2.146E-38,2.08E-35,0.0,0.7095,1.112,3.034,1.567,0.2244,0.03266,0.003745,0.002661,0.01643,0.009788,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,3.167E-4,0.009567,0.01003,0.006308,0.2419,0.01354,0.001629,6.92E-4,0.005381,9.77E-4,
0.0,1615.0,155.4,187.1,127.3,0.06485,6.41,0.2407,0.1823,0.9827,0.4248,0.0,343.6,0.1386,0.9054,0.3469,0.06993,0.1987,0.06019,0.1214,1.984,13.75,0.0,343.6,0.1386,0.9054,0.3469,0.06993,0.1987,0.06019,0.1214,1.984,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,91.51,38.67,675.4,167.3,3.245,3.587,29.21,4.263,0.0,48.06,5.877,8.909,76.47,41.98,0.1055,0.01307,0.01494,0.01174,0.01353,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,975.1,74740.0,78700.0,54010.0,2.496E7,43930.0,21650.0,24790.0,13320.0,25930.0,0.0,5.1280000000000006E-36,2.262E-36,1.468E-35,1.5200000000000002E-35,2.098E-36,2.951E-37,1.0139999999999999E-38,7.806E-39,4.439E-38,2.1719999999999999E-38,2.08E-35,0.0,0.7495,1.129,3.013,1.52,0.2195,0.03428,0.003794,0.002725,0.01594,0.009892,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,6.592E-4,0.009526,0.01,0.006237,0.2416,0.01328,0.001623,6.855E-4,0.005395,9.717E-4,
0.0,1615.0,152.3,185.0,127.6,0.06472,6.375,0.2505,0.1945,0.9985,0.424,0.0,343.6,0.1362,0.9076,0.3434,0.06921,0.1961,0.06325,0.1219,1.226,14.5,0.0,343.6,0.1362,0.9076,0.3434,0.06921,0.1961,0.06325,0.1219,1.226,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.5,93.9,38.76,672.6,167.3,3.199,3.536,29.21,4.22,0.0,48.06,5.921,8.943,76.22,41.88,0.08538,0.01311,0.01495,0.01179,0.01356,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1132.0,76770.0,79660.0,54620.0,2.656E7,45800.0,22890.0,26270.0,13530.0,27410.0,0.0,5.1280000000000006E-36,2.2220000000000002E-36,1.4570000000000002E-35,1.5110000000000002E-35,2.096E-36,2.934E-37,1.004E-38,7.780999999999999E-39,4.4049999999999997E-38,2.161E-38,2.08E-35,0.0,0.7496,1.101,2.991,1.52,0.2194,0.03413,0.003797,0.002727,0.01593,0.009896,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,8.583E-4,0.009537,0.009998,0.006234,0.2416,0.01307,0.001635,6.905E-4,0.005399,9.657E-4,
0.0,1618.0,148.4,178.9,120.3,0.06762,9.114,0.2504,0.4918,1.37,0.6235,0.0,343.6,0.1374,0.9257,0.3275,0.06784,0.1955,0.06342,0.1193,1.223,14.5,0.0,343.6,0.1374,0.9257,0.3275,0.06784,0.1955,0.06342,0.1193,1.223,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.8,95.74,38.75,688.5,167.3,3.191,3.526,29.2,4.208,0.0,48.06,7.735,20.84,72.69,41.48,0.07796,0.01308,0.01495,0.0119,0.01358,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.473E-4,0.0,1426.0,79200.0,82360.0,55450.0,2.786E7,47520.0,23830.0,27420.0,13710.0,28580.0,0.0,5.399E-36,2.265E-36,1.4930000000000002E-35,1.405E-35,2.073E-36,5.096E-37,9.894E-39,3.159E-38,7.352E-38,3.756E-38,2.08E-35,0.0,0.7887,1.109,2.946,1.497,0.2191,0.04748,0.003796,0.004197,0.01777,0.01088,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,0.00102,0.009532,0.009986,0.006148,0.2403,0.01299,0.001632,6.816E-4,0.005398,9.607E-4,
0.0,1621.0,163.5,176.0,109.4,0.06475,6.173,0.2503,0.6538,1.573,0.7321,0.0,343.6,0.1472,0.9195,0.322,0.07086,0.1831,0.06342,0.1215,1.499,14.23,0.0,343.6,0.1472,0.9195,0.322,0.07086,0.1831,0.06342,0.1215,1.499,14.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,96.19,38.76,674.6,167.2,3.163,3.493,29.2,4.181,0.0,46.91,7.401,20.03,72.72,41.47,0.07648,0.01309,0.01487,0.01195,0.01357,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.418E-4,0.0,1630.0,83300.0,84810.0,56880.0,2.992E7,49850.0,25080.0,28970.0,13960.0,30300.0,0.0,4.9280000000000006E-36,2.468E-36,1.446E-35,1.396E-35,2.0840000000000003E-36,3.1089999999999997E-37,9.743999999999999E-39,4.439E-38,8.924E-38,4.611E-38,2.08E-35,0.0,0.744,1.245,2.905,1.449,0.2216,0.03376,0.003796,0.004987,0.01876,0.01141,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,0.001275,0.009581,0.009838,0.006025,0.2399,0.01288,0.001627,6.774E-4,0.005398,9.578E-4,
0.0,1621.0,164.4,176.0,109.7,0.06047,6.179,0.2474,0.65,1.599,0.7254,0.0,343.6,0.1754,0.884,0.3195,0.06707,0.1812,0.06158,0.1199,0.8382,14.9,0.0,343.6,0.1754,0.884,0.3195,0.06707,0.1812,0.06158,0.1199,0.8382,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.7,96.56,38.59,674.5,167.2,2.985,3.458,30.49,3.803,0.0,46.91,7.075,20.0,71.75,40.96,0.06717,0.01292,0.01474,0.01182,0.01342,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1706.0,81240.0,81020.0,54360.0,2.879E7,48360.0,24620.0,28410.0,13810.0,29560.0,0.0,4.9280000000000006E-36,2.664E-36,1.416E-35,1.384E-35,2.0680000000000003E-36,3.095E-37,9.467E-39,4.439E-38,8.974E-38,4.575E-38,2.08E-35,0.0,0.744,1.274,2.879,1.442,0.2198,0.03368,0.003746,0.004985,0.0192,0.0113,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,0.001399,0.0096,0.009815,0.005995,0.2395,0.01276,0.001629,6.98E-4,0.005368,9.594E-4,
