cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnPm,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83370.0,89590.0,47810.0,2.239E7,45540.0,21470.0,24240.0,13490.0,24790.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.993E-4,0.005386,9.758E-4,
0.0,1609.0,166.9,175.8,139.4,1.885,6.211,0.2236,0.1642,0.9607,0.4034,0.0,343.6,0.136,0.7607,0.4574,0.1002,0.1888,0.06264,0.08637,4.76,11.02,0.0,343.6,0.136,0.7607,0.4574,0.1002,0.1888,0.06264,0.08637,4.76,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.1,106.1,38.33,793.8,165.0,3.231,3.779,29.6,4.152,0.0,51.0,1.275,10.13,59.5,57.14,0.1374,0.01933,0.02306,0.0127,0.02315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,710.6,116600.0,211300.0,122600.0,2.123E7,37480.0,18260.0,20230.0,12860.0,20270.0,0.0,5.1660000000000006E-36,2.4790000000000002E-36,1.405E-35,1.552E-35,2.536E-36,6.122E-37,1.162E-38,8.307E-39,4.72E-38,2.227E-38,2.08E-35,0.0,0.7323,1.204,2.924,1.507,0.282,0.04305,0.003748,0.002748,0.01602,0.009798,0.0,0.0,0.002452,0.007184,0.004949,0.9835,7.268E-4,2.91E-4,3.818E-4,4.426E-5,4.638E-4,0.0,3.427E-4,0.009619,0.01156,0.006992,0.2421,0.01371,0.00162,6.674E-4,0.005403,9.395E-4,
0.0,1609.0,161.0,179.1,142.4,0.05117,5.001,0.2233,0.1637,0.9603,0.4026,0.0,343.6,0.1313,0.7905,0.4572,0.07288,0.1882,0.06263,0.08634,4.759,11.02,0.0,343.6,0.1313,0.7905,0.4572,0.07288,0.1882,0.06263,0.08634,4.759,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.6,101.7,37.37,791.0,165.0,3.177,3.728,29.56,4.123,0.0,51.0,1.028,10.96,80.95,34.64,0.1017,0.01294,0.01472,0.01171,0.01304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.618E-4,0.0,844.5,71000.0,80680.0,46260.0,2.059E7,37160.0,18000.0,20080.0,12710.0,20430.0,0.0,5.1660000000000006E-36,2.311E-36,1.458E-35,1.591E-35,1.811E-36,3.954E-37,1.135E-38,8.019E-39,4.67E-38,2.193E-38,2.08E-35,0.0,0.7324,1.141,3.017,1.546,0.2022,0.03143,0.003726,0.002721,0.01601,0.009763,0.0,0.0,1.339E-4,2.058E-4,8.512E-4,0.9966,8.282E-4,3.316E-4,4.351E-4,5.044E-5,5.284E-4,0.0,4.268E-4,0.00918,0.01029,0.006231,0.2401,0.01366,0.001621,6.728E-4,0.005403,9.454E-4,
0.0,1610.0,161.3,180.9,142.3,0.05122,4.969,0.2248,0.1599,0.9673,0.3983,0.0,343.6,0.1314,0.8102,0.4373,0.07182,0.1878,0.08957,0.1071,4.67,11.06,0.0,343.6,0.1314,0.8102,0.4373,0.07182,0.1878,0.08957,0.1071,4.67,11.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.5,101.6,37.35,774.2,165.0,3.152,3.475,29.78,4.102,0.0,51.0,0.9182,9.289,79.34,34.35,0.08358,0.01271,0.01448,0.01166,0.01286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1014.0,69720.0,76900.0,44460.0,2.0E7,35870.0,17170.0,19170.0,12470.0,19740.0,0.0,5.2420000000000004E-36,2.3120000000000002E-36,1.451E-35,1.576E-35,1.803E-36,3.939E-37,1.124E-38,7.76E-39,4.645E-38,2.194E-38,2.08E-35,0.0,0.7448,1.143,3.023,1.527,0.2011,0.03139,0.003722,0.00264,0.01608,0.009771,0.0,0.0,1.382E-4,2.123E-4,8.784E-4,0.9965,8.546E-4,3.422E-4,4.49E-4,5.205E-5,5.453E-4,0.0,5.555E-4,0.009174,0.01028,0.006186,0.2377,0.01354,0.001616,6.527E-4,0.005402,9.605E-4,
0.0,1610.0,160.6,178.1,140.7,0.01314,5.038,0.2248,0.1599,0.9679,0.3977,0.0,343.6,0.1309,0.9167,0.3201,0.07183,0.1937,0.06,0.08124,4.601,11.18,0.0,343.6,0.1309,0.9167,0.3201,0.07183,0.1937,0.06,0.08124,4.601,11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.8,100.2,28.57,797.9,165.1,3.158,3.488,29.78,4.126,0.0,59.96,0.8234,10.97,75.26,32.0,0.1416,0.01277,0.01457,0.01168,0.01304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.282E-4,0.0,2367.0,71820.0,79750.0,46820.0,1.929E7,39430.0,17180.0,19330.0,12420.0,20240.0,0.0,6.052E-36,2.2870000000000003E-36,1.432E-35,1.498E-35,1.783E-36,4.238E-37,1.115E-38,7.744999999999999E-39,4.594E-38,2.191E-38,2.08E-35,0.0,0.8034,1.136,3.004,1.482,0.2042,0.0342,0.003723,0.002641,0.01608,0.009771,0.0,0.0,1.596E-4,2.452E-4,0.001014,0.996,9.868E-4,3.951E-4,5.184E-4,6.01E-5,6.297E-4,0.0,7.932E-4,0.009173,0.01013,0.006011,0.2323,0.01343,0.00162,6.563E-4,0.005405,9.637E-4,
0.0,1610.0,159.1,177.7,141.7,0.0131,5.319,0.2259,0.1571,0.9682,0.4063,0.0,343.6,0.09769,0.919,0.2913,0.07138,0.2145,0.06925,0.07198,4.604,11.22,0.0,343.6,0.09769,0.919,0.2913,0.07138,0.2145,0.06925,0.07198,4.604,11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.2,100.3,28.71,784.2,165.0,3.216,3.353,29.8,4.369,0.0,59.96,1.64,10.07,73.76,31.93,1.382,0.01263,0.0144,0.01167,0.01292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34E-4,0.0,2444.0,72840.0,79180.0,46110.0,1.92E7,38340.0,16580.0,18670.0,12330.0,19740.0,0.0,6.052E-36,2.295E-36,1.432E-35,1.463E-35,1.782E-36,6.469E-37,1.11E-38,7.714E-39,4.544E-38,2.25E-38,2.08E-35,0.0,0.8034,1.146,2.976,1.479,0.204,0.04872,0.003725,0.002639,0.01608,0.009798,0.0,0.0,1.596E-4,2.452E-4,0.001014,0.996,9.868E-4,3.951E-4,5.184E-4,6.01E-5,6.297E-4,0.0,8.314E-4,0.009273,0.009969,0.006024,0.2316,0.01332,0.001623,6.509E-4,0.005403,0.001053,
0.0,1610.0,157.4,176.1,150.0,0.01065,4.421,0.2237,0.1592,0.9821,0.4026,0.0,343.6,0.09469,0.9226,0.2836,0.07008,0.214,0.06707,0.07265,4.066,11.76,0.0,343.6,0.09469,0.9226,0.2836,0.07008,0.214,0.06707,0.07265,4.066,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.1,100.5,28.58,792.0,165.0,3.109,3.419,30.42,4.029,0.0,59.96,1.656,8.011,70.53,32.74,0.1393,0.01242,0.01414,0.01166,0.01275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016E-4,0.0,2464.0,74410.0,82960.0,47420.0,1.981E7,38340.0,16530.0,18700.0,12350.0,19850.0,0.0,6.052E-36,2.2740000000000003E-36,1.423E-35,1.4840000000000002E-35,1.782E-36,3.745E-37,1.079E-38,7.86E-39,4.52E-38,2.23E-38,2.08E-35,0.0,0.8034,1.135,2.938,1.534,0.2058,0.03079,0.003694,0.002682,0.01628,0.009733,0.0,0.0,1.596E-4,2.452E-4,0.001014,0.996,9.868E-4,3.951E-4,5.184E-4,6.01E-5,6.297E-4,0.0,8.314E-4,0.009245,0.009943,0.006073,0.2305,0.01331,0.001608,6.687E-4,0.005373,0.001042,
0.0,1601.0,169.0,175.3,144.3,0.01058,10.66,0.2233,0.1587,0.9832,0.4027,0.0,343.6,0.09444,0.9244,0.2722,0.06951,0.2196,0.06645,0.07297,2.603,13.23,0.0,343.6,0.09444,0.9244,0.2722,0.06951,0.2196,0.06645,0.07297,2.603,13.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.5,103.2,28.72,769.0,164.9,3.072,3.328,30.46,3.988,0.0,58.67,2.998,7.647,68.15,32.4,0.1028,0.01232,0.01397,0.01169,0.01266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.015E-4,0.0,2589.0,76930.0,84820.0,48190.0,2.088E7,39260.0,17050.0,19380.0,12530.0,20630.0,0.0,5.2540000000000004E-36,3.0920000000000004E-36,1.415E-35,1.451E-35,1.773E-36,4.735E-37,1.011E-38,8.057E-39,4.485E-38,2.226E-38,2.08E-35,0.0,0.7083,1.257,2.926,1.475,0.2043,0.06455,0.003688,0.002669,0.01629,0.009734,0.0,0.0,1.596E-4,2.452E-4,0.001014,0.996,9.868E-4,3.951E-4,5.184E-4,6.01E-5,6.297E-4,0.0,8.945E-4,0.009259,0.009918,0.006012,0.2297,0.0133,0.001585,6.699E-4,0.005384,0.001041,
0.0,1604.0,170.9,171.8,146.5,0.01049,4.472,0.2233,0.1577,0.9841,0.4026,0.0,343.6,0.09513,0.9327,0.2632,0.06748,0.2192,0.06673,0.07249,2.604,13.23,0.0,343.6,0.09513,0.9327,0.2632,0.06748,0.2192,0.06673,0.07249,2.604,13.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.7,100.7,28.95,758.2,164.9,3.025,3.227,30.5,3.946,0.0,82.85,2.293,9.483,44.11,32.26,0.08913,0.01232,0.01392,0.01175,0.01267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,5767.0,74120.0,84000.0,46820.0,2.055E7,39150.0,17140.0,19450.0,12620.0,20630.0,0.0,5.74E-36,2.2900000000000003E-36,1.393E-35,1.4120000000000002E-35,1.748E-36,3.6869999999999998E-37,9.972E-39,7.978999999999999E-39,4.43E-38,2.221E-38,2.08E-35,0.0,0.7831,1.269,2.865,1.474,0.1966,0.03075,0.003687,0.002653,0.01631,0.009733,0.0,0.0,1.607E-4,2.469E-4,0.001022,0.996,9.939E-4,3.98E-4,5.221E-4,6.053E-5,6.342E-4,0.0,0.00111,0.009206,0.009767,0.005966,0.2277,0.0132,0.001582,6.559E-4,0.005386,0.001036,
0.0,1604.0,170.1,179.7,138.7,0.0132,4.462,0.2235,0.159,0.9706,0.4044,0.0,343.6,0.09582,0.9554,0.2338,0.06789,0.2268,0.06746,0.0728,2.716,13.11,0.0,343.6,0.09582,0.9554,0.2338,0.06789,0.2268,0.06746,0.0728,2.716,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.6,100.9,29.51,746.1,164.9,3.038,3.273,29.84,4.01,0.0,82.85,1.893,7.969,46.05,31.76,0.2474,0.01214,0.0138,0.01164,0.01253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,5859.0,73320.0,79760.0,45180.0,2.062E7,39210.0,17590.0,19930.0,12730.0,21020.0,0.0,5.7900000000000006E-36,2.278E-36,1.397E-35,1.382E-35,1.7390000000000002E-36,4.169E-37,9.907E-39,8.011999999999999E-39,4.322E-38,2.221E-38,2.08E-35,0.0,0.7921,1.262,2.847,1.474,0.1948,0.04738,0.003695,0.002675,0.01609,0.009762,0.0,0.0,1.607E-4,2.469E-4,0.001022,0.996,9.939E-4,3.98E-4,5.221E-4,6.053E-5,6.342E-4,0.0,0.001192,0.009213,0.009705,0.005998,0.2271,0.01315,0.001578,6.364E-4,0.005403,0.001034,
