R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
8.5E-37,0.093,13000.0,39000.0,27000.0,5300000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,5400000.0,1.9,0.084,0.084,0.0,510.0,32.0,0.0,0.0,1.9E7,1.0,7.2E8,
1.2E-37,0.013,630.0,970.0,4000.0,4700000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.19,4700000.0,2.2E-5,0.052,0.052,0.0,500.0,9.2,0.0,0.0,1.8E7,1.0,7.2E8,
1.1E-37,0.012,620.0,960.0,4000.0,4500000.0,3900.0,1500.0,2000.0,240.0,2500.0,0.19,4500000.0,4.7E-5,0.05,0.05,0.0,480.0,8.9,0.0,0.0,1.8E7,1.0,7.1E8,
1.0E-37,0.011,610.0,940.0,3900.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,4.8E-5,0.045,0.045,0.0,480.0,8.2,0.0,0.0,1.7E7,1.0,7.1E8,
1.0E-37,0.011,610.0,940.0,3900.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,4.8E-5,0.045,0.045,0.0,460.0,8.2,0.0,0.0,1.7E7,1.0,7.1E8,
1.0E-37,0.011,610.0,940.0,3900.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,4.4E-5,0.045,0.045,0.0,440.0,8.2,0.0,0.0,1.8E7,1.0,7.1E8,
1.0E-37,0.011,610.0,940.0,3900.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,3.8E-5,0.045,0.045,0.0,410.0,8.2,0.0,0.0,1.9E7,1.0,7.1E8,
1.0E-37,0.011,610.0,940.0,3900.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,3.9E-5,0.045,0.045,0.0,390.0,8.1,0.0,0.0,1.8E7,1.0,7.0E8,
1.0E-37,0.011,610.0,940.0,3900.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,3.8E-5,0.045,0.045,0.0,370.0,8.1,0.0,0.0,1.8E7,1.0,7.0E8,
1.0E-37,0.011,610.0,940.0,3900.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,3.5E-5,0.045,0.045,0.0,340.0,8.1,0.0,0.0,1.9E7,1.0,7.0E8,
1.0E-37,0.011,610.0,940.0,3900.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,3.0E-5,0.045,0.045,0.0,340.0,8.1,0.0,0.0,2.0E7,1.0,7.0E8,
1.0E-37,0.011,610.0,940.0,3900.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,2.5E-5,0.045,0.045,0.0,340.0,8.1,0.0,0.0,2.1E7,1.0,7.0E8,
