cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEn Pm,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1283.0,120.0,184.2,85.85,0.9339,5.236,0.7499,0.5719,0.9905,1.013,0.0,344.2,0.3208,1.561,0.1159,0.2112,0.1813,0.1243,0.184,1.494,11.5,0.0,344.2,0.3208,1.561,0.1159,0.2112,0.1813,0.1243,0.184,1.494,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.2,153.7,31.08,829.3,78.26,26.72,61.75,15.67,5.4,0.0,85.18,2.847,6.175,47.1,13.95,1.552,0.05023,0.07205,0.06815,0.2196,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,149500.0,89360.0,72520.0,3.085E7,35260.0,30110.0,32720.0,36600.0,31890.0,0.0,1.05E-37,3.182E-38,2.158E-37,1.4E-37,1.271E-38,7.578E-39,1.282E-39,1.3189999999999999E-39,5.403E-40,8.848E-40,2.08E-35,0.0,0.4273,0.6797,1.634,0.7225,0.04699,0.03741,0.005521,0.005837,0.005713,0.007496,0.0,0.0,0.001794,9.346E-4,8.609E-4,0.9937,1.824E-4,5.067E-4,7.667E-4,7.159E-4,4.932E-4,0.0,1.0E-5,0.001603,0.001512,0.001132,0.1669,0.003334,7.913E-4,3.399E-4,4.793E-4,2.908E-4,
0.0,1285.0,118.3,175.4,95.19,0.1465,5.551,0.6037,0.5725,0.9914,0.9978,0.0,344.2,0.3041,1.473,0.1198,0.2087,0.1806,0.1243,0.1841,1.494,11.59,0.0,344.2,0.3041,1.473,0.1198,0.2087,0.1806,0.1243,0.1841,1.494,11.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.7,157.7,29.73,796.8,78.7,26.73,61.7,15.61,5.361,0.0,85.18,2.547,5.731,38.46,14.59,1.489,0.04745,0.0704,0.06666,0.2088,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,88.85,138000.0,81380.0,64900.0,2.845E7,35190.0,27830.0,30330.0,33790.0,29150.0,0.0,1.069E-37,3.727E-38,2.033E-37,1.4E-37,1.264E-38,7.882E-39,1.0399999999999999E-39,1.316E-39,5.385E-40,8.811E-40,2.08E-35,0.0,0.4394,0.6789,1.565,0.7263,0.04669,0.03846,0.00487,0.005837,0.005712,0.007443,0.0,0.0,0.001805,9.401E-4,8.659E-4,0.9937,1.835E-4,5.096E-4,7.712E-4,7.201E-4,4.961E-4,0.0,1.569E-5,0.001569,0.001495,0.001129,0.1659,0.003305,7.901E-4,3.432E-4,4.778E-4,2.896E-4,
0.0,1287.0,112.2,181.1,96.2,0.1368,5.569,0.6044,0.573,0.936,0.9887,0.0,344.2,0.2553,1.541,0.1163,0.2854,0.1808,0.1249,0.1843,1.382,11.57,0.0,344.2,0.2553,1.541,0.1163,0.2854,0.1808,0.1249,0.1843,1.382,11.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.1,153.9,31.68,782.7,78.58,26.56,61.62,17.29,5.626,0.0,85.18,2.232,4.884,34.3,15.91,1.478,0.05686,0.07319,0.1569,0.2366,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091E-4,0.0,187.0,133200.0,77510.0,66320.0,2.734E7,32640.0,26010.0,28840.0,37180.0,28280.0,0.0,1.085E-37,3.052E-38,2.068E-37,1.356E-37,1.349E-38,7.780999999999999E-39,1.036E-39,1.315E-39,5.996E-40,9.003E-40,2.08E-35,0.0,0.45,0.6312,1.603,0.7079,0.05096,0.03847,0.00489,0.005844,0.006026,0.007542,0.0,0.0,0.001805,9.401E-4,8.659E-4,0.9937,1.835E-4,5.096E-4,7.712E-4,7.201E-4,4.961E-4,0.0,2.245E-5,0.001567,0.001481,0.001129,0.1654,0.003301,7.873E-4,3.401E-4,4.836E-4,2.886E-4,
0.0,1287.0,115.6,176.7,92.01,1.177,5.735,0.6197,0.5986,0.9681,0.9844,0.0,344.2,0.3015,1.435,0.1271,0.3211,0.1787,0.101,0.1217,1.294,11.74,0.0,344.2,0.3015,1.435,0.1271,0.3211,0.1787,0.101,0.1217,1.294,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.2,157.8,29.71,751.1,77.37,26.02,59.42,19.35,5.071,0.0,85.18,2.529,4.799,39.1,13.59,1.764,0.0431,0.03732,0.04492,0.2061,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,320.8,225500.0,367100.0,45410.0,2.7E7,31410.0,23870.0,25490.0,29350.0,26010.0,0.0,1.085E-37,3.607E-38,1.9199999999999998E-37,1.3509999999999999E-37,1.798E-38,9.272999999999999E-39,1.075E-39,1.32E-39,5.305E-40,8.728E-40,2.08E-35,0.0,0.45,0.6635,1.527,0.7214,0.07024,0.04456,0.005079,0.005841,0.005735,0.007408,0.0,0.0,0.005488,0.01268,1.574E-4,0.9795,1.499E-4,4.164E-4,6.301E-4,5.884E-4,4.053E-4,0.0,2.801E-5,0.002144,0.003241,0.001012,0.163,0.003283,7.781E-4,3.181E-4,4.509E-4,2.748E-4,
0.0,1288.0,109.1,183.6,93.4,0.1336,4.78,0.6094,0.6026,0.9596,0.9807,0.0,344.2,0.2473,1.574,0.09859,0.2596,0.178,0.1012,0.1225,1.292,11.74,0.0,344.2,0.2473,1.574,0.09859,0.2596,0.178,0.1012,0.1225,1.292,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.9,153.1,30.17,735.8,77.34,26.3,59.99,18.4,5.003,0.0,85.18,2.428,4.605,38.03,13.64,1.523,0.04353,0.03805,0.04557,0.209,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.184E-4,0.0,440.0,111700.0,87010.0,43820.0,2.602E7,31190.0,23470.0,24890.0,28510.0,25630.0,0.0,1.1039999999999999E-37,2.959E-38,2.038E-37,1.346E-37,9.97E-39,7.174E-39,1.0469999999999999E-39,1.324E-39,5.077E-40,8.685E-40,2.08E-35,0.0,0.4624,0.6155,1.606,0.7206,0.03742,0.03536,0.005028,0.005871,0.005641,0.007394,0.0,0.0,7.176E-4,9.931E-4,1.634E-4,0.9959,1.557E-4,4.324E-4,6.543E-4,6.11E-4,4.209E-4,0.0,4.659E-5,0.001444,0.001531,0.001009,0.1618,0.00327,7.789E-4,3.198E-4,4.506E-4,2.752E-4,
0.0,1284.0,112.8,168.6,79.96,0.1164,3.498,0.4601,0.2563,0.897,0.9222,0.0,344.2,0.1849,1.54,0.1035,0.1918,0.1638,0.09836,0.1225,1.109,12.02,0.0,344.2,0.1849,1.54,0.1035,0.1918,0.1638,0.09836,0.1225,1.109,12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.4,189.6,33.98,604.4,78.94,25.54,59.7,18.91,3.584,0.0,83.75,2.196,10.04,58.72,11.22,1.615,0.02905,0.02921,0.04664,0.1047,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.996E-4,0.0,1079.0,106600.0,68700.0,32830.0,2.03E7,34180.0,19680.0,22040.0,25020.0,22870.0,0.0,1.014E-37,3.324E-38,1.788E-37,1.291E-37,9.441E-39,4.83E-39,5.465E-40,3.76E-40,4.79E-40,6.577E-40,2.08E-35,0.0,0.4318,0.6713,1.543,0.7236,0.03269,0.02814,0.003396,0.002032,0.005621,0.00596,0.0,0.0,8.218E-4,0.001137,1.872E-4,0.9952,1.782E-4,4.951E-4,7.493E-4,6.997E-4,4.82E-4,0.0,1.551E-4,0.001451,0.001457,9.984E-4,0.1538,0.003186,7.855E-4,3.32E-4,4.584E-4,2.631E-4,
0.0,1281.0,109.6,161.9,71.47,0.02744,5.026,0.4378,0.2897,0.8911,0.9748,0.0,344.2,0.1618,1.446,0.0907,0.2937,0.1634,0.09389,0.2265,1.003,12.03,0.0,344.2,0.1618,1.446,0.0907,0.2937,0.1634,0.09389,0.2265,1.003,12.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.8,203.7,32.1,622.1,80.77,25.54,61.57,18.57,4.881,0.0,83.08,1.951,11.24,73.03,13.35,2.063,0.04688,0.04028,0.06593,0.05507,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1688.0,213200.0,386000.0,57100.0,1.985E7,52360.0,19830.0,20700.0,23850.0,23500.0,0.0,9.687E-38,3.503E-38,1.6279999999999999E-37,1.2569999999999999E-37,1.803E-38,6.259E-39,5.967E-40,4.163E-40,4.77E-40,6.662E-40,2.08E-35,0.0,0.4173,0.6687,1.491,0.7273,0.07401,0.03759,0.003618,0.002345,0.005713,0.005954,0.0,0.0,0.006749,0.01844,0.001098,0.9709,7.448E-4,4.156E-4,6.288E-4,5.872E-4,4.045E-4,0.0,1.98E-4,0.002346,0.003943,0.001153,0.15,0.003241,7.889E-4,3.232E-4,4.44E-4,2.616E-4,
0.0,1282.0,110.7,161.8,74.54,0.02705,3.102,0.4377,0.2906,0.8923,0.9752,0.0,344.2,0.1609,1.54,0.09518,0.1943,0.163,0.09365,0.2263,1.003,12.03,0.0,344.2,0.1609,1.54,0.09518,0.1943,0.163,0.09365,0.2263,1.003,12.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.3,202.9,35.1,624.9,80.36,24.69,61.29,18.04,3.463,0.0,85.5,1.284,10.65,66.98,15.22,2.052,0.04517,0.03902,0.06384,0.05214,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.324E-4,0.0,2152.0,93840.0,75300.0,67100.0,1.983E7,54260.0,17840.0,20440.0,22830.0,19820.0,0.0,9.942E-38,2.985E-38,1.6999999999999999E-37,1.21E-37,1.144E-38,5.174E-39,5.9099999999999996E-40,4.119E-40,4.7469999999999996E-40,6.761E-40,2.08E-35,0.0,0.4311,0.6707,1.526,0.7098,0.04576,0.02928,0.003647,0.002331,0.005716,0.006017,0.0,0.0,8.433E-5,1.06E-4,0.00118,0.9956,8.004E-4,4.466E-4,6.758E-4,6.311E-4,4.347E-4,0.0,2.148E-4,0.001423,0.001467,0.001166,0.1533,0.003235,7.919E-4,3.283E-4,4.477E-4,2.596E-4,
0.0,1282.0,88.56,176.0,82.28,0.05327,6.021,0.8188,0.2918,1.072,0.6643,0.0,344.2,0.165,1.532,0.09742,0.178,0.1612,0.09164,0.2258,0.9972,12.05,0.0,344.2,0.165,1.532,0.09742,0.178,0.1612,0.09164,0.2258,0.9972,12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.5,199.5,31.54,633.3,81.71,24.64,61.07,17.89,3.96,0.0,85.5,1.35,11.68,67.46,11.51,0.581,0.02824,0.03335,0.05175,0.03016,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.737E-4,0.0,2322.0,95220.0,60610.0,55940.0,1.947E7,43190.0,19200.0,20990.0,23720.0,22110.0,0.0,9.942E-38,2.891E-38,1.7199999999999999E-37,1.198E-37,7.101E-39,6.579E-39,1.025E-39,4.053E-40,7.069E-40,4.974E-41,2.08E-35,0.0,0.4312,0.5521,1.611,0.7527,0.02337,0.03607,0.005708,0.002302,0.006788,0.003706,0.0,0.0,8.546E-5,1.074E-4,0.001195,0.9956,8.11E-4,4.525E-4,6.848E-4,6.395E-4,4.405E-4,0.0,2.281E-4,0.001425,0.001431,0.001159,0.1532,0.003243,7.918E-4,3.292E-4,4.466E-4,2.608E-4,
0.0,1283.0,99.42,152.4,91.62,0.0219,2.302,1.106,0.292,1.085,1.066,0.0,344.2,0.1977,1.431,0.1009,0.1762,0.1586,0.09055,0.2276,0.9273,12.17,0.0,344.2,0.1977,1.431,0.1009,0.1762,0.1586,0.09055,0.2276,0.9273,12.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.4,218.6,34.02,629.3,80.29,24.62,62.03,18.56,5.206,0.0,87.57,2.193,18.21,61.08,11.85,0.3644,0.02784,0.03344,0.04972,0.03006,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.918E-4,0.0,2825.0,94130.0,57280.0,55210.0,1.899E7,41660.0,20040.0,21880.0,24710.0,23270.0,0.0,1.02E-37,3.613E-38,1.6169999999999999E-37,1.205E-37,7.052E-39,2.6699999999999998E-39,1.36E-39,4.0409999999999996E-40,7.054E-40,2.629E-40,2.08E-35,0.0,0.4451,0.6296,1.503,0.7679,0.0231,0.01708,0.007289,0.00234,0.006802,0.006316,0.0,0.0,9.241E-5,1.162E-4,0.001293,0.9952,8.77E-4,4.894E-4,7.405E-4,6.915E-4,4.763E-4,0.0,2.945E-4,0.001414,0.001438,0.001165,0.1532,0.003188,8.022E-4,3.409E-4,4.532E-4,2.736E-4,
