cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83360.0,89590.0,47790.0,2.238E7,45530.0,21460.0,24230.0,13490.0,24780.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006468,0.2456,0.01391,0.001641,6.992E-4,0.005386,9.758E-4,
0.0,1606.0,158.7,180.3,155.8,0.05257,4.863,0.2288,0.1797,0.9961,0.4085,0.0,343.6,0.136,0.6811,0.5536,0.08618,0.1904,0.05923,0.08181,4.768,11.01,0.0,343.6,0.136,0.6811,0.5536,0.08618,0.1904,0.05923,0.08181,4.768,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.1,108.7,38.85,787.8,165.2,3.244,3.564,30.6,4.095,0.0,48.1,6.461,12.43,61.52,41.57,0.1228,0.01351,0.01544,0.01182,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,260.0,76830.0,86800.0,45540.0,2.145E7,42870.0,20370.0,23000.0,13180.0,23650.0,0.0,4.8880000000000004E-36,2.337E-36,1.357E-35,1.661E-35,2.413E-36,3.484E-37,1.136E-38,7.742E-39,4.814E-38,2.181E-38,2.08E-35,0.0,0.6872,1.135,2.968,1.593,0.2491,0.03129,0.00369,0.002611,0.01635,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,5.7E-5,0.00939,0.01025,0.006432,0.2443,0.0139,0.001642,6.964E-4,0.005396,9.746E-4,
0.0,1589.0,178.1,176.3,151.2,0.05186,6.112,0.2348,0.182,0.9793,0.4121,0.0,343.6,0.1465,0.698,0.5324,0.06933,0.1995,0.06052,0.08392,4.76,11.02,0.0,343.6,0.1465,0.698,0.5324,0.06933,0.1995,0.06052,0.08392,4.76,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.3,107.5,39.13,733.5,165.0,3.205,3.536,29.76,4.155,0.0,46.58,7.601,12.03,62.19,41.44,0.1146,0.0134,0.01534,0.01177,0.01381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.007E-4,0.0,470.4,73690.0,78330.0,43800.0,2.166E7,41860.0,20160.0,22820.0,13050.0,23590.0,0.0,3.889E-36,3.6150000000000005E-36,1.378E-35,1.589E-35,2.0520000000000003E-36,6.153E-37,1.134E-38,7.819E-39,4.659E-38,2.196E-38,2.08E-35,0.0,0.5443,1.307,2.954,1.556,0.2162,0.04258,0.003718,0.002647,0.01608,0.009765,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,2.133E-4,0.009432,0.01023,0.006361,0.2448,0.01374,0.001642,6.932E-4,0.005412,9.706E-4,
0.0,1592.0,171.4,175.6,145.4,0.05184,4.406,0.2363,0.1756,0.9811,0.4227,0.0,343.6,0.1043,0.7238,0.5034,0.07228,0.1957,0.05993,0.07138,4.534,11.29,0.0,343.6,0.1043,0.7238,0.5034,0.07228,0.1957,0.05993,0.07138,4.534,11.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.3,112.0,37.85,719.4,165.0,3.165,3.434,30.02,4.07,0.0,46.58,5.817,11.7,72.02,39.43,0.1226,0.01646,0.01527,0.01176,0.01376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547E-4,0.0,705.2,73530.0,75590.0,37060.0,2.213E7,41590.0,19910.0,22560.0,12990.0,23540.0,0.0,3.995E-36,2.3510000000000002E-36,1.366E-35,1.635E-35,1.948E-36,3.428E-37,1.658E-38,7.807E-39,4.6209999999999997E-38,2.207E-38,2.08E-35,0.0,0.5713,1.254,2.914,1.59,0.2019,0.03186,0.004875,0.002647,0.01607,0.009779,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,5.888E-4,0.009415,0.01021,0.006032,0.2422,0.01338,0.001645,6.815E-4,0.005418,9.856E-4,
0.0,1597.0,167.7,175.7,141.0,0.05177,4.423,0.234,0.1694,0.9767,0.4202,0.0,343.6,0.1041,0.7108,0.5157,0.07149,0.1968,0.05965,0.08676,4.266,11.54,0.0,343.6,0.1041,0.7108,0.5157,0.07149,0.1968,0.05965,0.08676,4.266,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.3,112.2,37.89,700.2,165.0,3.148,3.413,30.01,4.049,0.0,46.6,5.792,11.61,71.34,39.33,0.1183,0.01601,0.01493,0.01172,0.01351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.755E-4,0.0,1058.0,74050.0,75140.0,37420.0,2.342E7,42030.0,19690.0,22450.0,12860.0,23800.0,0.0,4.144E-36,2.3350000000000003E-36,1.36E-35,1.611E-35,1.9420000000000002E-36,3.416E-37,1.648E-38,7.783E-39,4.576E-38,2.205E-38,2.08E-35,0.0,0.6103,1.226,2.913,1.555,0.2014,0.03182,0.00487,0.002644,0.01607,0.009778,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,7.355E-4,0.009388,0.01021,0.005986,0.2417,0.01328,0.001649,6.719E-4,0.005418,9.808E-4,
0.0,1597.0,167.9,172.3,142.2,0.4027,4.238,0.2325,0.1826,0.9853,0.4189,0.0,343.6,0.1083,0.7649,0.4436,0.06792,0.2081,0.0601,0.1114,3.12,12.66,0.0,343.6,0.1083,0.7649,0.4436,0.06792,0.2081,0.0601,0.1114,3.12,12.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.8,112.0,38.28,689.3,164.9,3.003,3.857,30.18,3.859,0.0,46.6,5.871,11.31,70.71,38.55,1.496,0.01579,0.01496,0.002455,0.01354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1083.0,76660.0,76720.0,39010.0,2.479E7,43050.0,20210.0,23290.0,12780.0,24660.0,0.0,4.144E-36,2.4470000000000002E-36,1.339E-35,1.588E-35,1.895E-36,4.818E-37,1.63E-38,8.432E-39,4.539E-38,2.202E-38,2.08E-35,0.0,0.6103,1.242,2.845,1.575,0.1976,0.04312,0.004841,0.002855,0.01607,0.009753,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,7.478E-4,0.009415,0.01013,0.006046,0.2413,0.01326,0.001653,7.586E-4,0.005311,9.966E-4,
0.0,1604.0,165.8,172.7,135.8,0.3244,9.388,0.2424,0.1914,1.089,0.4477,0.0,343.6,0.1035,0.9494,0.3913,0.06612,0.2683,0.05902,0.07993,1.884,13.74,0.0,343.6,0.1035,0.9494,0.3913,0.06612,0.2683,0.05902,0.07993,1.884,13.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.6,103.5,42.81,670.8,168.5,2.114,2.806,31.47,3.562,0.0,48.33,6.185,11.5,65.85,38.6,0.08415,0.01536,0.01479,0.002473,0.01344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.441E-4,0.0,1426.0,77900.0,74530.0,37930.0,2.368E7,41960.0,19050.0,21910.0,12650.0,23400.0,0.0,4.4630000000000004E-36,1.938E-36,1.358E-35,1.505E-35,1.896E-36,1.162E-36,1.773E-38,9.974999999999999E-39,6.093E-38,2.6739999999999997E-38,2.08E-35,0.0,0.6678,1.211,2.858,1.488,0.1976,0.08823,0.004957,0.002952,0.01734,0.01009,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,8.859E-4,0.007443,0.007792,0.005348,0.2374,0.01787,0.001653,7.451E-4,0.005488,0.001026,
0.0,1606.0,163.0,172.3,139.0,0.1891,4.559,0.2319,0.2734,1.289,0.4155,0.0,343.6,0.09459,0.84,0.3875,0.0714,0.2762,0.0586,0.07871,1.875,13.83,0.0,343.6,0.09459,0.84,0.3875,0.0714,0.2762,0.0586,0.07871,1.875,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.8,107.5,31.82,653.5,178.6,2.823,3.579,28.59,4.992,0.0,48.33,6.679,12.66,63.83,39.77,0.696,0.1692,0.01474,0.002506,0.01343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.748E-4,0.0,1466.0,80680.0,73860.0,38560.0,2.323E7,41740.0,18610.0,21190.0,12460.0,22760.0,0.0,4.499E-36,1.898E-36,1.326E-35,1.576E-35,1.924E-36,3.612E-37,1.562E-38,2.491E-38,9.868E-38,2.406E-38,2.08E-35,0.0,0.6865,1.192,2.848,1.524,0.2041,0.03307,0.00475,0.003691,0.01893,0.009846,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,9.135E-4,0.007412,0.00782,0.004967,0.2364,0.01821,0.001673,7.668E-4,0.005388,0.001091,
0.0,1606.0,166.2,165.6,127.8,0.1106,6.25,0.2324,0.2731,1.291,0.4168,0.0,343.6,0.104,0.7863,0.361,0.1198,0.2741,0.05892,0.07839,1.876,13.83,0.0,343.6,0.104,0.7863,0.361,0.1198,0.2741,0.05892,0.07839,1.876,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.6,110.5,30.66,636.0,175.7,2.937,3.658,28.8,5.347,0.0,48.33,2.43,17.18,79.12,35.45,0.07577,0.01356,0.0146,0.002537,0.01336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1530.0,81250.0,77520.0,42240.0,2.359E7,40990.0,18290.0,20880.0,12410.0,22630.0,0.0,4.5E-36,2.0230000000000003E-36,1.281E-35,1.537E-35,2.085E-36,6.2029999999999995E-37,1.374E-38,2.483E-38,9.781E-38,2.423E-38,2.08E-35,0.0,0.6867,1.23,2.744,1.535,0.2116,0.05196,0.004332,0.003683,0.01895,0.009861,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,9.511E-4,0.007354,0.007805,0.004952,0.2352,0.01743,0.001666,7.55E-4,0.005391,0.001085,
0.0,1606.0,164.4,166.5,126.8,0.07672,5.762,0.2329,0.2727,1.292,0.418,0.0,343.6,0.1005,0.8085,0.3199,0.1212,0.2804,0.05971,0.07803,1.876,13.83,0.0,343.6,0.1005,0.8085,0.3199,0.1212,0.2804,0.05971,0.07803,1.876,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.6,111.4,31.66,626.2,179.0,2.67,3.321,28.93,5.368,0.0,56.63,2.713,15.81,71.77,36.48,0.09687,0.02998,0.0326,0.005579,0.02696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.959E-4,0.0,1807.0,81140.0,75970.0,46170.0,2.442E7,41720.0,15110.0,17510.0,11810.0,20280.0,0.0,4.8750000000000004E-36,2.0360000000000003E-36,1.255E-35,1.483E-35,2.324E-36,5.552E-37,1.596E-38,2.479E-38,9.726E-38,2.438E-38,2.08E-35,0.0,0.7137,1.22,2.733,1.503,0.2286,0.04717,0.004844,0.003675,0.01897,0.009876,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,0.001036,0.007142,0.007731,0.005012,0.2354,0.01708,0.001546,6.192E-4,0.005373,9.869E-4,
