cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83370.0,89590.0,47810.0,2.239E7,45540.0,21470.0,24240.0,13490.0,24790.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.993E-4,0.005386,9.758E-4,
0.0,1605.0,172.4,169.0,159.4,0.04928,4.892,0.2241,0.1635,0.9868,0.8874,0.0,343.6,0.15,0.6498,0.6072,0.07104,0.1937,0.05877,0.08159,4.611,11.17,0.0,343.6,0.15,0.6498,0.6072,0.07104,0.1937,0.05877,0.08159,4.611,11.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.5,108.3,38.78,756.1,165.1,3.193,3.506,30.59,4.045,0.0,45.19,5.891,10.64,61.72,41.42,0.1216,0.01343,0.01535,0.0118,0.01385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,98.87,75120.0,81860.0,44140.0,2.149E7,42550.0,20230.0,22880.0,13160.0,23580.0,0.0,4.68E-36,2.726E-36,1.361E-35,1.6810000000000002E-35,2.118E-36,3.4799999999999997E-37,1.065E-38,8.015999999999999E-39,4.837E-38,3.325E-38,2.08E-35,0.0,0.6632,1.282,2.858,1.604,0.2223,0.03119,0.003699,0.002608,0.01635,0.01427,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.136E-4,0.009309,0.01035,0.006462,0.2448,0.01379,0.001629,6.961E-4,0.0054,9.878E-4,
0.0,1591.0,176.3,173.5,159.2,0.04938,6.542,0.2255,0.1649,0.9879,1.221,0.0,343.6,0.132,0.7341,0.5801,0.07146,0.2073,0.05821,0.08216,4.611,11.11,0.0,343.6,0.132,0.7341,0.5801,0.07146,0.2073,0.05821,0.08216,4.611,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.1,107.0,38.49,728.6,164.9,3.101,3.396,30.57,3.934,0.0,43.93,5.647,12.39,59.6,42.17,0.1153,0.01316,0.01506,0.01173,0.04057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.557E-4,0.0,176.7,72710.0,81120.0,40330.0,2.06E7,36160.0,17610.0,19580.0,12730.0,21170.0,0.0,3.838E-36,2.3800000000000003E-36,1.398E-35,1.669E-35,1.953E-36,3.671E-37,1.097E-38,8.09E-39,4.771999999999999E-38,5.961E-38,2.08E-35,0.0,0.5525,1.27,2.942,1.591,0.2143,0.03746,0.003695,0.002615,0.01635,0.01845,0.0,0.0,1.877E-4,9.901E-5,7.412E-4,0.997,7.693E-4,3.08E-4,4.041E-4,4.685E-5,4.909E-4,0.0,1.588E-4,0.009312,0.0102,0.006366,0.2402,0.01368,0.001608,6.804E-4,0.005406,0.001041,
0.0,1594.0,171.4,174.2,157.3,0.05046,6.49,0.222,0.1671,0.9905,1.22,0.0,343.6,0.1307,0.7322,0.555,0.0698,0.2003,0.06184,0.083,4.613,11.11,0.0,343.6,0.1307,0.7322,0.555,0.0698,0.2003,0.06184,0.083,4.613,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.4,108.5,38.42,711.1,164.8,2.984,3.6,30.55,3.883,0.0,45.29,5.499,10.86,64.07,38.12,0.1061,0.01189,0.0137,0.01169,0.03867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.359E-4,0.0,456.9,74030.0,94970.0,26990.0,1.995E7,34950.0,17280.0,19230.0,12620.0,20520.0,0.0,4.0460000000000005E-36,2.327E-36,1.346E-35,1.657E-35,1.928E-36,3.639E-37,1.037E-38,1.013E-38,4.727E-38,5.815E-38,2.08E-35,0.0,0.5767,1.228,2.927,1.583,0.2067,0.03729,0.003629,0.002825,0.01636,0.01843,0.0,0.0,2.744E-4,4.51E-4,2.844E-5,0.9973,7.589E-4,3.038E-4,3.987E-4,4.622E-5,4.842E-4,0.0,3.059E-4,0.009354,0.01022,0.006174,0.2363,0.01357,0.001596,6.906E-4,0.005403,0.001029,
0.0,1599.0,171.4,174.9,150.5,0.05369,6.284,0.2333,0.1816,0.9873,1.224,0.0,343.6,0.1356,0.7353,0.5474,0.0703,0.202,0.06282,0.09835,4.429,11.28,0.0,343.6,0.1356,0.7353,0.5474,0.0703,0.202,0.06282,0.09835,4.429,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.5,108.6,38.59,709.3,164.7,3.065,3.719,29.7,4.065,0.0,45.38,5.482,10.73,64.28,37.36,0.09188,0.0115,0.01309,0.01141,0.03828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,817.6,74810.0,91950.0,26780.0,1.945E7,34230.0,17240.0,19180.0,12650.0,20300.0,0.0,4.377E-36,2.445E-36,1.344E-35,1.608E-35,1.914E-36,2.992E-37,1.034E-38,1.035E-38,4.589E-38,5.693E-38,2.08E-35,0.0,0.6329,1.235,2.924,1.519,0.205,0.0374,0.003663,0.002882,0.01608,0.0185,0.0,0.0,2.763E-4,4.542E-4,2.864E-5,0.9972,7.642E-4,3.06E-4,4.015E-4,4.654E-5,4.876E-4,0.0,4.57E-4,0.009371,0.0102,0.006087,0.2336,0.01341,0.001596,6.86E-4,0.00542,0.001021,
0.0,1600.0,170.7,172.2,148.5,0.05365,7.164,0.2333,0.1816,0.9871,1.225,0.0,343.6,0.1325,0.7504,0.5267,0.06923,0.2083,0.06276,0.0984,4.347,11.36,0.0,343.6,0.1325,0.7504,0.5267,0.06923,0.2083,0.06276,0.0984,4.347,11.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.3,109.7,38.69,705.4,164.7,3.043,3.696,29.69,4.054,0.0,45.38,5.487,9.992,66.09,37.1,0.09109,0.01141,0.01298,0.01139,0.03816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.102E-4,0.0,890.4,76050.0,91060.0,27310.0,1.902E7,34910.0,17730.0,19790.0,12770.0,20880.0,0.0,4.4120000000000005E-36,2.3450000000000003E-36,1.34E-35,1.5920000000000001E-35,1.905E-36,4.518E-37,1.017E-38,1.031E-38,4.54E-38,5.545E-38,2.08E-35,0.0,0.6388,1.225,2.9,1.523,0.2041,0.04615,0.003663,0.002882,0.01607,0.0185,0.0,0.0,3.026E-4,4.974E-4,3.136E-5,0.997,8.369E-4,3.351E-4,4.396E-4,5.097E-5,5.34E-4,0.0,5.435E-4,0.009346,0.01019,0.006095,0.2291,0.01333,0.001593,6.85E-4,0.005419,0.001023,
0.0,1600.0,169.8,169.1,149.9,0.05355,6.157,0.2329,0.1816,0.9871,1.225,0.0,343.6,0.1333,0.7518,0.5269,0.06842,0.2029,0.06316,0.09846,4.347,11.36,0.0,343.6,0.1333,0.7518,0.5269,0.06842,0.2029,0.06316,0.09846,4.347,11.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.4,130.3,38.84,683.7,164.6,3.02,3.671,29.68,4.035,0.0,45.38,5.509,9.835,65.46,36.9,0.09056,0.01132,0.01288,0.01138,0.03807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8E-4,0.0,906.6,77270.0,92840.0,27470.0,1.868E7,35910.0,18490.0,20690.0,12930.0,21670.0,0.0,4.4120000000000005E-36,2.387E-36,1.326E-35,1.59E-35,1.8970000000000002E-36,3.035E-37,1.0E-38,1.027E-38,4.506E-38,5.399E-38,2.08E-35,0.0,0.6388,1.231,2.856,1.531,0.2032,0.035,0.003662,0.002881,0.01607,0.0185,0.0,0.0,3.266E-4,5.369E-4,3.385E-5,0.9967,9.033E-4,3.617E-4,4.745E-4,5.501E-5,5.764E-4,0.0,5.435E-4,0.009275,0.01028,0.00607,0.2276,0.01334,0.001597,6.888E-4,0.005415,0.001028,
0.0,1601.0,170.6,164.1,153.9,0.1784,6.155,0.2334,0.1817,0.9872,1.225,0.0,343.6,0.134,0.8446,0.4306,0.06712,0.2147,0.05391,0.09787,4.346,11.36,0.0,343.6,0.134,0.8446,0.4306,0.06712,0.2147,0.05391,0.09787,4.346,11.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,131.8,38.9,690.6,164.6,2.99,3.639,29.68,4.012,0.0,45.4,5.538,13.1,60.72,36.82,0.09042,0.01128,0.01284,0.01139,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.317E-4,0.0,1613.0,79270.0,94270.0,27930.0,1.867E7,36790.0,19280.0,21590.0,13080.0,22390.0,0.0,4.4450000000000005E-36,2.4190000000000003E-36,1.3140000000000001E-35,1.577E-35,1.8910000000000003E-36,2.984E-37,9.917E-39,1.025E-38,4.472E-38,5.258E-38,2.08E-35,0.0,0.6447,1.24,2.839,1.526,0.2034,0.03498,0.003668,0.002883,0.01607,0.0185,0.0,0.0,3.366E-4,5.534E-4,3.489E-5,0.9966,9.311E-4,3.728E-4,4.891E-4,5.671E-5,5.941E-4,0.0,6.574E-4,0.009176,0.0103,0.006027,0.2264,0.01331,0.001605,6.938E-4,0.005416,0.001034,
0.0,1601.0,172.4,155.5,157.4,0.2785,5.985,0.2332,0.1829,0.9997,1.235,0.0,343.6,0.1325,0.7653,0.3997,0.1578,0.2155,0.05278,0.09894,3.436,12.27,0.0,343.6,0.1325,0.7653,0.3997,0.1578,0.2155,0.05278,0.09894,3.436,12.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.3,139.1,36.18,695.3,164.6,2.876,3.746,30.32,3.775,0.0,45.4,0.9204,8.318,70.52,33.59,0.08404,0.01204,0.01388,0.01151,0.02566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.551E-4,0.0,1711.0,88190.0,106300.0,41650.0,1.849E7,35280.0,18950.0,21130.0,12980.0,21470.0,0.0,4.4840000000000006E-36,2.424E-36,1.259E-35,1.59E-35,1.863E-36,2.996E-37,9.684E-39,1.045E-38,4.474E-38,5.11E-38,2.08E-35,0.0,0.6508,1.264,2.713,1.548,0.2006,0.03243,0.003635,0.002943,0.01628,0.01844,0.0,0.0,5.881E-4,9.0E-4,8.542E-4,0.9955,8.128E-4,3.255E-4,4.27E-4,4.95E-5,5.187E-4,0.0,7.513E-4,0.00921,0.01028,0.00607,0.2239,0.01321,0.001589,7.11E-4,0.00537,0.001022,
0.0,1601.0,171.0,153.8,156.8,0.1876,8.004,0.5351,0.1799,1.003,1.235,0.0,343.6,0.1477,0.7212,0.3931,0.1533,0.2259,0.05299,0.09812,3.436,12.27,0.0,343.6,0.1477,0.7212,0.3931,0.1533,0.2259,0.05299,0.09812,3.436,12.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.6,144.4,38.02,716.3,166.0,2.879,3.608,30.46,3.79,0.0,53.71,1.88,9.017,60.03,33.21,0.1399,0.01201,0.01388,0.01151,0.02524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1909.0,87320.0,99760.0,41380.0,1.791E7,35620.0,18540.0,20750.0,12870.0,21320.0,0.0,4.859E-36,2.3990000000000002E-36,1.21E-35,1.507E-35,1.847E-36,6.568E-37,1.16E-38,1.028E-38,4.44E-38,4.977E-38,2.08E-35,0.0,0.6779,1.286,2.624,1.502,0.1979,0.06084,0.004687,0.002893,0.01633,0.01844,0.0,0.0,6.576E-4,0.001006,9.551E-4,0.995,9.088E-4,3.639E-4,4.774E-4,5.535E-5,5.799E-4,0.0,8.352E-4,0.008307,0.01116,0.00593,0.2189,0.01349,0.001585,6.951E-4,0.005386,0.001025,
