R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.8E-5,0.031,0.031,0.0,440.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.1E-37,0.012,950.0,500.0,3700.0,5000000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.19,5100000.0,5.5E-5,0.046,0.046,0.0,440.0,11.0,0.0,0.0,0.0,1.8E7,1.0,7.2E8,
1.5E-37,0.01,1400.0,2300.0,140.0,5100000.0,3900.0,1500.0,2000.0,230.0,2500.0,0.19,5100000.0,4.2E-5,0.049,0.049,0.0,430.0,7.6,0.0,0.0,0.0,1.8E7,1.0,7.2E8,
1.5E-37,0.0098,1400.0,2300.0,140.0,5000000.0,3800.0,1500.0,2000.0,230.0,2400.0,0.19,5000000.0,4.4E-5,0.048,0.048,0.0,430.0,7.4,0.0,0.0,0.0,1.7E7,1.0,7.2E8,
1.4E-37,0.0091,1400.0,2200.0,140.0,4500000.0,3800.0,1500.0,2000.0,230.0,2400.0,0.18,4500000.0,4.3E-5,0.045,0.045,0.0,420.0,6.7,0.0,0.0,0.0,1.7E7,1.0,7.2E8,
1.3000000000000001E-37,0.0086,1300.0,2200.0,140.0,4099999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.18,4099999.9999999995,4.3E-5,0.042,0.042,0.0,390.0,6.2,0.0,0.0,0.0,1.6E7,1.0,7.1E8,
1.2E-37,0.0083,1300.0,2200.0,140.0,3899999.9999999995,3700.0,1500.0,1900.0,220.0,2300.0,0.18,3899999.9999999995,4.2E-5,0.041,0.041,0.0,380.0,5.9,0.0,0.0,0.0,1.6E7,1.0,7.1E8,
2.1E-37,0.017,2600.0,4000.0,3800.0,4400000.0,3600.0,1400.0,1900.0,220.0,2300.0,0.18,4400000.0,7.0E-5,0.14,0.14,0.0,430.0,9.5,0.0,0.0,0.0,1.6E7,1.0,7.2E8,
2.0E-37,0.016,2500.0,3900.0,3700.0,3899999.9999999995,3500.0,1400.0,1900.0,210.0,2200.0,0.17,3899999.9999999995,6.9E-5,0.13,0.13,0.0,430.0,8.8,0.0,0.0,0.0,1.5E7,1.0,7.2E8,
2.0E-37,0.016,2500.0,3900.0,3700.0,3899999.9999999995,3500.0,1400.0,1900.0,210.0,2200.0,0.17,3899999.9999999995,6.9E-5,0.13,0.13,0.0,420.0,8.8,0.0,0.0,0.0,1.6E7,1.0,7.2E8,
2.0E-37,0.016,2500.0,3900.0,3700.0,3899999.9999999995,3500.0,1400.0,1900.0,210.0,2200.0,0.17,3899999.9999999995,6.1E-5,0.13,0.13,0.0,420.0,8.8,0.0,0.0,0.0,1.6E7,1.0,7.2E8,
2.0E-37,0.016,2500.0,3900.0,3700.0,3899999.9999999995,3500.0,1400.0,1900.0,210.0,2200.0,0.17,3899999.9999999995,5.0E-5,0.13,0.13,0.0,420.0,8.8,0.0,0.0,0.0,1.7E7,1.0,7.2E8,
