entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.174,0.1683,0.1432,0.075,0.04334,0.2284,0.1243,0.03284,0.01149,0.1508,0.04271,0.07397,0.07397,
2.096,0.1798,0.09573,0.05078,0.02933,0.1565,0.08422,0.02258,0.007898,0.1037,0.02937,0.2087,0.2112,
2.104,0.1889,0.09935,0.05048,0.02942,0.1545,0.084,0.02265,0.007922,0.104,0.03251,0.2074,0.2077,
2.103,0.1674,0.09817,0.05011,0.0295,0.1533,0.08322,0.02274,0.007951,0.1044,0.03263,0.2083,0.2097,
2.102,0.1679,0.09772,0.05021,0.0293,0.1516,0.08283,0.02276,0.007967,0.1047,0.03271,0.2088,0.2115,
2.101,0.1672,0.09726,0.05035,0.0294,0.1494,0.08251,0.02284,0.007995,0.1051,0.03283,0.2095,0.2128,
2.1,0.1665,0.09593,0.04994,0.02943,0.1476,0.08268,0.02289,0.00801,0.1053,0.03289,0.212,0.2133,
2.098,0.169,0.09547,0.04996,0.02909,0.1441,0.08251,0.02293,0.008025,0.1055,0.03296,0.2146,0.2149,
2.095,0.179,0.09545,0.04884,0.02906,0.1425,0.082,0.02298,0.008052,0.1059,0.03308,0.2154,0.2167,
2.095,0.1803,0.09556,0.04841,0.02905,0.1392,0.08214,0.02311,0.008093,0.1065,0.03325,0.2166,0.2182,
2.093,0.1732,0.09494,0.04783,0.02872,0.1388,0.08204,0.02313,0.008101,0.1066,0.03327,0.2179,0.2187,
2.091,0.1731,0.09467,0.04771,0.02835,0.1387,0.08193,0.02315,0.008107,0.1066,0.03329,0.218,0.2194,
2.091,0.1769,0.09455,0.04762,0.02837,0.1383,0.08153,0.02316,0.008113,0.1067,0.03331,0.2182,0.2201,
2.089,0.1741,0.09441,0.04752,0.02819,0.1383,0.08077,0.02317,0.008116,0.1068,0.03333,0.2183,0.2211,
2.094,0.1828,0.09895,0.04727,0.02819,0.1382,0.07981,0.02319,0.008122,0.1068,0.0343,0.2175,0.2176,
2.093,0.1818,0.1007,0.04644,0.02817,0.138,0.07924,0.02318,0.008118,0.1068,0.03448,0.2183,0.2166,
2.092,0.1833,0.1002,0.04619,0.02818,0.1381,0.07855,0.02319,0.008121,0.1068,0.03449,0.2183,0.2179,
2.089,0.183,0.09893,0.04599,0.02816,0.138,0.07764,0.02314,0.008078,0.1067,0.03447,0.2193,0.2195,
2.086,0.1771,0.09874,0.04586,0.02813,0.1378,0.07512,0.02313,0.008072,0.1066,0.03445,0.2202,0.2218,
2.09,0.1784,0.1026,0.04587,0.02784,0.1376,0.07514,0.02313,0.008074,0.1067,0.03528,0.2195,0.2183,
2.089,0.1799,0.1027,0.04578,0.02785,0.1374,0.07478,0.02314,0.008076,0.1067,0.03529,0.2195,0.2188,
2.092,0.1754,0.1048,0.0456,0.02785,0.1374,0.07454,0.02315,0.00808,0.1068,0.03623,0.2187,0.2169,
2.092,0.1832,0.1047,0.04557,0.02783,0.1369,0.07448,0.02313,0.008074,0.1067,0.0362,0.2196,0.2168,
2.095,0.1616,0.1091,0.04558,0.02784,0.1368,0.07152,0.02314,0.008076,0.1067,0.03812,0.2178,0.2153,
2.094,0.1545,0.1087,0.04545,0.02781,0.1366,0.07146,0.02311,0.008067,0.1066,0.03809,0.2187,0.2153,
2.092,0.1625,0.1084,0.0452,0.0278,0.1365,0.07028,0.0231,0.008063,0.1066,0.03807,0.2197,0.2163,
2.091,0.1804,0.1083,0.04512,0.02781,0.1362,0.06927,0.02311,0.008068,0.1066,0.0381,0.2198,0.2175,
2.09,0.176,0.108,0.04505,0.02782,0.1362,0.06931,0.02312,0.008073,0.1067,0.03812,0.22,0.2177,
2.093,0.1714,0.1099,0.04506,0.02782,0.1361,0.06933,0.02313,0.008074,0.1067,0.03906,0.2191,0.2158,
2.099,0.1816,0.1135,0.04505,0.02783,0.136,0.06886,0.02314,0.008078,0.1068,0.0411,0.2172,0.2125,
2.097,0.1625,0.1131,0.04499,0.02781,0.1357,0.06833,0.02312,0.008072,0.1067,0.04107,0.2181,0.213,
2.096,0.1603,0.1127,0.04474,0.02782,0.1355,0.06766,0.02321,0.008581,0.1074,0.03945,0.2199,0.2131,
2.094,0.1654,0.1125,0.04432,0.02787,0.1354,0.06708,0.02319,0.008821,0.1076,0.03883,0.2208,0.2135,
2.093,0.1679,0.1116,0.04458,0.02793,0.1353,0.06685,0.023,0.009532,0.1083,0.03721,0.2218,0.2139,
2.097,0.1617,0.1129,0.04466,0.02796,0.1353,0.06685,0.02327,0.009663,0.1086,0.03802,0.2202,0.2125,
2.095,0.175,0.1104,0.04467,0.02804,0.1373,0.06637,0.02341,0.009933,0.1101,0.03632,0.2204,0.2131,
2.065,0.1962,0.1073,0.04475,0.02807,0.1396,0.08346,0.006862,0.009759,0.1113,0.03496,0.2206,0.2134,
2.065,0.1831,0.1065,0.04493,0.02816,0.1393,0.08301,0.006869,0.01003,0.1113,0.03487,0.2209,0.2141,
2.064,0.1588,0.1061,0.04509,0.0282,0.1387,0.08245,0.006996,0.01003,0.1111,0.03485,0.2219,0.2146,
