RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,2400000.0,2400000.0,
4517000.0,2396000.0,1384000.0,7383000.0,3974000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9964000.0,
4672000.0,2374000.0,1383000.0,7263000.0,3950000.0,1065000.0,372500.0,4892000.0,1529000.0,9755000.0,9769000.0,
4598000.0,2347000.0,1382000.0,7180000.0,3898000.0,1065000.0,372400.0,4892000.0,1528000.0,9755000.0,9822000.0,
4566000.0,2346000.0,1369000.0,7085000.0,3870000.0,1064000.0,372300.0,4892000.0,1528000.0,9755000.0,9881000.0,
4528000.0,2344000.0,1369000.0,6955000.0,3842000.0,1063000.0,372200.0,4892000.0,1528000.0,9755000.0,9910000.0,
4457000.0,2320000.0,1367000.0,6860000.0,3841000.0,1063000.0,372200.0,4892000.0,1528000.0,9852000.0,9910000.0,
4427000.0,2317000.0,1349000.0,6681000.0,3826000.0,1063000.0,372100.0,4892000.0,1528000.0,9951000.0,9965000.0,
4410000.0,2256000.0,1343000.0,6586000.0,3789000.0,1062000.0,372000.0,4892000.0,1528000.0,9951000.0,1.001E7,
4391000.0,2224000.0,1335000.0,6395000.0,3774000.0,1062000.0,371900.0,4892000.0,1528000.0,9951000.0,1.003E7,
4357000.0,2195000.0,1318000.0,6369000.0,3765000.0,1062000.0,371800.0,4892000.0,1527000.0,1.0E7,1.004E7,
4342000.0,2189000.0,1300000.0,6361000.0,3758000.0,1062000.0,371800.0,4892000.0,1527000.0,1.0E7,1.007E7,
4333000.0,2183000.0,1300000.0,6341000.0,3737000.0,1062000.0,371800.0,4892000.0,1527000.0,1.0E7,1.009E7,
4325000.0,2177000.0,1291000.0,6336000.0,3700000.0,1062000.0,371800.0,4892000.0,1527000.0,1.0E7,1.013E7,
4530000.0,2164000.0,1291000.0,6328000.0,3654000.0,1062000.0,371800.0,4892000.0,1571000.0,9957000.0,9964000.0,
4612000.0,2127000.0,1290000.0,6322000.0,3630000.0,1062000.0,371800.0,4892000.0,1579000.0,9998000.0,9920000.0,
4587000.0,2115000.0,1290000.0,6322000.0,3597000.0,1062000.0,371800.0,4892000.0,1579000.0,9998000.0,9975000.0,
4532000.0,2107000.0,1290000.0,6321000.0,3557000.0,1060000.0,370100.0,4889000.0,1579000.0,1.005E7,1.006E7,
4527000.0,2103000.0,1290000.0,6316000.0,3444000.0,1060000.0,370100.0,4889000.0,1579000.0,1.01E7,1.017E7,
4705000.0,2103000.0,1276000.0,6306000.0,3444000.0,1060000.0,370100.0,4889000.0,1617000.0,1.006E7,1.001E7,
4705000.0,2098000.0,1276000.0,6296000.0,3426000.0,1060000.0,370100.0,4889000.0,1617000.0,1.006E7,1.002E7,
4799000.0,2089000.0,1275000.0,6291000.0,3414000.0,1060000.0,370100.0,4889000.0,1659000.0,1.002E7,9936000.0,
4799000.0,2089000.0,1275000.0,6276000.0,3414000.0,1060000.0,370100.0,4889000.0,1659000.0,1.007E7,9936000.0,
5001000.0,2089000.0,1275000.0,6266000.0,3277000.0,1060000.0,370100.0,4889000.0,1747000.0,9980000.0,9866000.0,
4984000.0,2084000.0,1275000.0,6266000.0,3277000.0,1060000.0,369900.0,4889000.0,1747000.0,1.003E7,9874000.0,
4974000.0,2074000.0,1275000.0,6261000.0,3224000.0,1060000.0,369900.0,4889000.0,1747000.0,1.008E7,9926000.0,
4965000.0,2069000.0,1275000.0,6246000.0,3176000.0,1060000.0,369900.0,4889000.0,1747000.0,1.008E7,9975000.0,
4950000.0,2065000.0,1275000.0,6240000.0,3176000.0,1060000.0,369900.0,4889000.0,1747000.0,1.008E7,9975000.0,
5033000.0,2064000.0,1275000.0,6235000.0,3176000.0,1060000.0,369900.0,4889000.0,1789000.0,1.004E7,9886000.0,
5197000.0,2063000.0,1274000.0,6226000.0,3153000.0,1060000.0,369900.0,4889000.0,1882000.0,9945000.0,9732000.0,
5181000.0,2062000.0,1274000.0,6221000.0,3131000.0,1060000.0,369900.0,4889000.0,1882000.0,9995000.0,9762000.0,
5175000.0,2054000.0,1278000.0,6221000.0,3107000.0,1066000.0,394000.0,4930000.0,1811000.0,1.01E7,9786000.0,
5170000.0,2036000.0,1280000.0,6221000.0,3082000.0,1066000.0,405300.0,4946000.0,1784000.0,1.015E7,9811000.0,
5133000.0,2050000.0,1284000.0,6221000.0,3074000.0,1058000.0,438300.0,4980000.0,1711000.0,1.02E7,9833000.0,
5193000.0,2053000.0,1286000.0,6221000.0,3074000.0,1070000.0,444300.0,4995000.0,1748000.0,1.013E7,9768000.0,
5071000.0,2052000.0,1288000.0,6306000.0,3049000.0,1076000.0,456400.0,5056000.0,1669000.0,1.013E7,9792000.0,
4923000.0,2054000.0,1288000.0,6406000.0,3830000.0,314900.0,447900.0,5108000.0,1605000.0,1.013E7,9792000.0,
4884000.0,2060000.0,1291000.0,6387000.0,3806000.0,314900.0,459900.0,5102000.0,1599000.0,1.013E7,9817000.0,
4868000.0,2068000.0,1294000.0,6362000.0,3782000.0,320900.0,459900.0,5096000.0,1599000.0,1.018E7,9841000.0,
5101000.0,2079000.0,1296000.0,6347000.0,3782000.0,320900.0,465900.0,5102000.0,1758000.0,1.006E7,9590000.0,
5051000.0,2079000.0,1282000.0,6323000.0,3766000.0,320900.0,474700.0,5114000.0,1737000.0,1.021E7,9623000.0,
5017000.0,2084000.0,1282000.0,6301000.0,3747000.0,326900.0,467200.0,5148000.0,1703000.0,1.026E7,9643000.0,
4983000.0,2084000.0,1286000.0,6307000.0,3747000.0,326900.0,467200.0,5190000.0,1661000.0,1.026E7,9643000.0,
4960000.0,2058000.0,1287000.0,6299000.0,3753000.0,320900.0,477600.0,5192000.0,1648000.0,1.036E7,9643000.0,
4900000.0,2058000.0,1289000.0,6303000.0,3753000.0,320900.0,483700.0,5226000.0,1608000.0,1.036E7,9643000.0,
4883000.0,2051000.0,1290000.0,6299000.0,3753000.0,320900.0,483700.0,5262000.0,1572000.0,1.041E7,9643000.0,
4831000.0,2051000.0,1293000.0,6397000.0,3753000.0,319500.0,483700.0,5285000.0,1740000.0,1.022E7,9567000.0,
4801000.0,2029000.0,1300000.0,6392000.0,3753000.0,319500.0,548700.0,5244000.0,1717000.0,1.027E7,9567000.0,
4601000.0,2024000.0,1302000.0,6553000.0,3753000.0,319500.0,557600.0,5247000.0,1705000.0,1.027E7,9588000.0,
4585000.0,2024000.0,1303000.0,6528000.0,3735000.0,319500.0,563600.0,5265000.0,1681000.0,1.032E7,9606000.0,
4559000.0,2021000.0,1305000.0,6535000.0,3735000.0,325500.0,557600.0,5271000.0,1675000.0,1.038E7,9606000.0,
4522000.0,2016000.0,1312000.0,6530000.0,3735000.0,325500.0,557600.0,5302000.0,1644000.0,1.038E7,9606000.0,
4490000.0,2025000.0,1314000.0,6522000.0,3721000.0,325500.0,564100.0,5295000.0,1644000.0,1.038E7,9620000.0,
4472000.0,2021000.0,1315000.0,6507000.0,3694000.0,325500.0,564100.0,5307000.0,1632000.0,1.043E7,9647000.0,
4433000.0,2023000.0,1316000.0,6507000.0,3694000.0,325500.0,574100.0,5297000.0,1632000.0,1.043E7,9647000.0,
4420000.0,2018000.0,1320000.0,6492000.0,3669000.0,325500.0,574100.0,5309000.0,1620000.0,1.048E7,9672000.0,
4524000.0,2020000.0,1300000.0,6502000.0,3669000.0,325500.0,618400.0,5285000.0,1699000.0,1.038E7,9555000.0,
