cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEn Pm,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1270.0,197.8,384.6,231.9,1.68,15.84,1.077,1.033,1.059,0.9027,0.0,344.4,0.1472,2.608,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0.0,344.4,0.1472,2.608,0.1909,0.341,0.4815,0.4939,0.5958,7.216,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.4,303.2,113.4,1830.0,1024.0,48.44,9.478,13.27,15.51,0.0,114.5,7.187,16.54,71.87,54.9,6.19,0.5438,0.09746,0.1679,0.408,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,187100.0,215600.0,101700.0,6.982E7,64170.0,90720.0,20710.0,75570.0,128500.0,0.0,1.12E-37,4.127E-38,4.595E-37,2.78E-37,2.711E-38,1.241E-38,2.515E-39,6.871E-40,1.3749999999999999E-39,7.651E-40,2.08E-35,0.0,0.5089,1.114,3.055,1.385,0.1723,0.07425,0.01204,0.009683,0.009485,0.008439,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,1.0E-5,0.002833,0.003784,0.002586,0.3478,0.007434,0.001079,0.001292,0.001404,0.001255,
0.0,1271.0,195.2,382.4,254.6,0.05228,20.13,1.062,0.999,1.015,1.039,0.0,344.4,0.1708,2.584,0.1711,0.3437,0.5621,0.4949,0.58,7.195,18.16,0.0,344.4,0.1708,2.584,0.1711,0.3437,0.5621,0.4949,0.58,7.195,18.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.2,308.6,117.3,1740.0,1024.0,48.23,9.432,13.06,15.19,0.0,114.5,5.463,13.46,48.79,56.46,4.611,0.5434,0.09674,0.1685,0.3943,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001798,0.0,416.6,175000.0,204800.0,94380.0,6.441E7,58720.0,83970.0,19420.0,69690.0,118300.0,0.0,1.14E-37,4.712E-38,4.489E-37,2.736E-37,2.661E-38,1.669E-38,2.514E-39,6.455E-40,1.2989999999999999E-39,7.285E-40,2.08E-35,0.0,0.5195,1.101,3.02,1.376,0.1732,0.08366,0.01184,0.009425,0.009182,0.01014,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,1.173E-4,0.002798,0.00378,0.002578,0.3466,0.007324,0.001074,0.001293,0.0014,0.001282,
0.0,1276.0,191.4,370.7,224.4,0.1582,24.05,1.064,1.022,1.155,1.039,0.0,344.4,0.1447,2.545,0.1569,0.3437,0.4274,0.4391,0.6393,7.438,18.11,0.0,344.4,0.1447,2.545,0.1569,0.3437,0.4274,0.4391,0.6393,7.438,18.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.1,309.7,134.5,1677.0,1019.0,47.65,9.194,12.87,14.94,0.0,114.5,5.175,23.26,47.43,82.38,1.878,0.1505,0.07056,0.09486,0.2874,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,638.1,164800.0,188300.0,148500.0,6.184E7,60320.0,81310.0,18490.0,67040.0,112800.0,0.0,1.1859999999999999E-37,4.347E-38,4.438E-37,2.445E-37,5.584E-38,1.284E-38,2.275E-39,6.237E-40,2.0849999999999998E-39,5.811E-40,2.08E-35,0.0,0.5467,1.07,3.005,1.271,0.2626,0.08795,0.0111,0.009466,0.01258,0.008619,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,1.61E-4,0.002763,0.003727,0.002599,0.3475,0.007258,0.001071,0.001298,0.001419,0.001266,
0.0,1279.0,199.4,357.3,232.6,5.51,7.811,1.055,1.033,1.125,1.028,0.0,344.4,0.1877,2.448,0.1588,0.3804,0.4264,0.4289,0.6398,7.402,18.15,0.0,344.4,0.1877,2.448,0.1588,0.3804,0.4264,0.4289,0.6398,7.402,18.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.6,314.9,137.0,1642.0,1021.0,47.95,9.289,12.83,14.83,0.0,114.5,5.495,18.69,57.24,77.69,1.167,0.1589,0.07328,0.09654,0.2556,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,806.4,168900.0,203900.0,152000.0,6.207E7,59490.0,82330.0,18610.0,66820.0,112700.0,0.0,1.214E-37,5.389E-38,4.207E-37,2.4339999999999998E-37,5.768999999999999E-38,1.13E-38,2.2729999999999998E-39,6.292E-40,2.0929999999999998E-39,5.746E-40,2.08E-35,0.0,0.563,1.128,2.885,1.296,0.2749,0.05866,0.011,0.009577,0.01244,0.008394,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,1.837E-4,0.002813,0.003802,0.002609,0.3473,0.007251,0.001072,0.001303,0.001421,0.001266,
0.0,1270.0,193.3,354.7,205.8,0.075,6.865,0.9743,1.055,0.5078,0.9223,0.0,344.4,0.1738,2.561,0.1679,0.3393,0.4244,0.4168,0.61,6.381,19.11,0.0,344.4,0.1738,2.561,0.1679,0.3393,0.4244,0.4168,0.61,6.381,19.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,328.6,147.9,1580.0,1022.0,44.81,11.12,13.54,15.36,0.0,111.3,6.83,36.93,95.77,62.19,0.7695,0.1849,0.08154,0.1009,0.2443,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.823E-4,0.0,1177.0,196600.0,214500.0,167100.0,6.268E7,60800.0,84540.0,19110.0,67280.0,114000.0,0.0,1.046E-37,4.684E-38,4.2119999999999996E-37,2.571E-37,3.756E-38,9.808E-39,2.038E-39,7.063E-40,8.233999999999999E-40,4.587E-40,2.08E-35,0.0,0.4853,1.145,2.921,1.364,0.1817,0.05138,0.01028,0.009756,0.005372,0.007672,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,2.587E-4,0.002852,0.00377,0.002693,0.3432,0.007205,0.001068,0.001309,0.001425,0.001261,
0.0,1272.0,193.4,349.5,204.6,0.06709,7.666,0.9734,1.114,0.5375,0.7152,0.0,344.4,0.1999,2.561,0.135,0.3342,0.4185,0.4171,0.6295,3.012,22.46,0.0,344.4,0.1999,2.561,0.135,0.3342,0.4185,0.4171,0.6295,3.012,22.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,332.8,156.2,1541.0,1022.0,44.61,11.04,13.55,15.35,0.0,111.3,5.499,33.37,92.76,58.7,1.13,0.184,0.09502,0.1024,0.2599,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.088E-4,0.0,1480.0,184300.0,208300.0,164900.0,6.51E7,60510.0,87250.0,19590.0,69240.0,117000.0,0.0,1.067E-37,5.45E-38,4.1089999999999996E-37,2.524E-37,3.314E-38,1.045E-38,2.036E-39,6.898E-40,7.786E-40,4.247E-40,2.08E-35,0.0,0.4979,1.133,2.862,1.351,0.161,0.05712,0.01028,0.01018,0.00542,0.006291,0.0,0.0,5.418E-4,0.001832,0.001048,1.989,6.899E-4,0.002169,1.157E-4,0.001535,0.002925,0.0,2.99E-4,0.002807,0.00374,0.0027,0.3427,0.007181,0.001062,0.001324,0.001442,0.001229,
0.0,1282.0,183.2,340.5,203.4,0.1614,7.56,0.9721,1.122,0.5392,0.7462,0.0,344.4,0.239,2.521,0.1475,0.3326,0.4346,0.4244,0.5777,2.62,22.87,0.0,344.4,0.239,2.521,0.1475,0.3326,0.4346,0.4244,0.5777,2.62,22.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,332.5,159.8,1471.0,1022.0,44.4,10.99,13.44,15.18,0.0,111.4,6.47,40.49,89.23,59.12,1.503,0.2826,0.08912,0.1103,0.2186,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.342E-4,0.0,1944.0,187500.0,207900.0,161100.0,6.682E7,60160.0,90090.0,20020.0,71280.0,121400.0,0.0,1.184E-37,5.137E-38,4.036E-37,2.484E-37,3.37E-38,1.042E-38,1.951E-39,6.883E-40,7.839E-40,4.132E-40,2.08E-35,0.0,0.559,1.089,2.844,1.327,0.1604,0.05686,0.01008,0.01018,0.005444,0.006261,0.0,0.0,5.419E-4,0.00184,0.00105,1.989,6.937E-4,0.002181,1.163E-4,0.001544,0.002941,0.0,3.447E-4,0.002776,0.003696,0.002696,0.3402,0.007152,0.001061,0.00132,0.001447,0.00124,
0.0,1283.0,171.3,338.4,213.5,0.05518,8.81,0.9817,1.17,0.5729,0.7155,0.0,344.4,0.1351,2.61,0.1247,0.3427,0.4763,0.3505,0.5631,3.456,22.09,0.0,344.4,0.1351,2.61,0.1247,0.3427,0.4763,0.3505,0.5631,3.456,22.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.0,342.7,158.5,1394.0,1022.0,44.25,10.93,13.32,14.99,0.0,111.4,5.6,47.0,81.38,61.16,0.7851,0.2518,0.03685,0.0703,0.09189,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,2415.0,199900.0,240500.0,164000.0,6.644E7,59340.0,90060.0,20210.0,70590.0,120700.0,0.0,1.1859999999999999E-37,3.622E-38,4.123E-37,2.499E-37,3.437E-38,1.0769999999999999E-38,1.939E-39,7.065E-40,7.714E-40,3.765E-40,2.08E-35,0.0,0.5603,0.9988,2.892,1.334,0.1705,0.06053,0.01012,0.009962,0.005414,0.005576,0.0,0.0,5.419E-4,0.00184,0.00105,1.989,6.937E-4,0.002181,1.163E-4,0.001544,0.002941,0.0,4.068E-4,0.002753,0.003737,0.002697,0.3399,0.007094,0.001065,0.001314,0.00144,0.001249,
0.0,1295.0,177.9,337.1,207.2,0.04111,9.293,0.5334,1.112,0.6074,0.7536,0.0,344.4,0.1404,2.585,0.1434,0.3303,0.4255,0.2812,1.127,4.225,20.88,0.0,344.4,0.1404,2.585,0.1434,0.3303,0.4255,0.2812,1.127,4.225,20.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,337.9,158.2,1378.0,1022.0,45.41,12.35,13.4,14.01,0.0,110.3,5.741,43.41,70.82,62.37,0.9555,0.2494,0.03606,0.05494,0.08942,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,4269.0,203300.0,225300.0,166300.0,6.643E7,59010.0,89960.0,20110.0,70130.0,120400.0,0.0,1.157E-37,3.915E-38,4.076E-37,2.449E-37,3.257E-38,1.197E-38,1.003E-39,6.374E-40,7.399E-40,3.136E-40,2.08E-35,0.0,0.5568,1.048,2.868,1.306,0.1608,0.06497,0.005755,0.009299,0.00544,0.005712,0.0,0.0,5.42E-4,0.00185,0.001052,1.989,6.987E-4,0.002197,1.172E-4,0.001555,0.002962,0.0,4.681E-4,0.00273,0.003656,0.002723,0.3364,0.007062,0.001052,0.001336,0.001447,0.001235,
0.0,1301.0,182.3,322.3,210.7,0.6948,12.53,0.7656,1.163,0.6086,0.7578,0.0,344.4,0.1861,2.517,0.1279,0.3595,0.4245,0.2811,0.5469,2.485,23.2,0.0,344.4,0.1861,2.517,0.1279,0.3595,0.4245,0.2811,0.5469,2.485,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,340.0,151.7,1323.0,1022.0,45.08,11.87,12.92,13.34,0.0,110.5,6.483,37.45,80.77,53.84,0.8504,0.267,0.02611,0.03066,0.05887,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001585,0.0,4879.0,181700.0,336200.0,159800.0,6.268E7,58190.0,80550.0,16430.0,61350.0,106100.0,0.0,1.226E-37,4.324E-38,3.9239999999999996E-37,2.379E-37,3.61E-38,1.654E-38,1.3319999999999999E-39,6.912E-40,7.5E-40,3.292E-40,2.08E-35,0.0,0.5947,1.074,2.759,1.289,0.1943,0.08587,0.007059,0.009541,0.005538,0.005844,0.0,0.0,5.42E-4,0.00185,0.001052,1.989,6.987E-4,0.002197,1.172E-4,0.001555,0.002962,0.0,5.384E-4,0.002669,0.00449,0.00268,0.3347,0.007041,0.001013,0.001308,0.001402,0.001166,
