entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.202,0.1866,0.1311,0.08179,0.04151,0.2172,0.08579,0.01698,0.04639,0.0526,0.04348,0.1427,0.1405,
2.203,0.1914,0.1291,0.08194,0.04165,0.2163,0.08436,0.01706,0.04662,0.05286,0.04369,0.1434,0.143,
2.203,0.2029,0.1283,0.08169,0.04156,0.2159,0.08403,0.01711,0.04676,0.05302,0.04382,0.1438,0.144,
2.204,0.2065,0.1281,0.08163,0.04143,0.2139,0.08406,0.01718,0.04698,0.05327,0.04403,0.1445,0.145,
2.207,0.1841,0.1305,0.08147,0.04129,0.2111,0.08394,0.01729,0.0473,0.05363,0.04432,0.1455,0.1437,
2.207,0.1788,0.1287,0.08138,0.04092,0.2099,0.08389,0.01734,0.04751,0.05388,0.04453,0.1462,0.1457,
2.207,0.176,0.1283,0.08138,0.0407,0.2091,0.08378,0.01731,0.04756,0.05393,0.04457,0.147,0.1464,
2.207,0.1819,0.1274,0.08121,0.04074,0.209,0.08261,0.01734,0.04763,0.05401,0.04464,0.1473,0.1482,
2.207,0.1846,0.1279,0.08107,0.04083,0.2078,0.08233,0.01735,0.04774,0.05413,0.04473,0.1476,0.1485,
2.207,0.1925,0.1277,0.08099,0.04087,0.2072,0.08165,0.01732,0.04777,0.05418,0.04478,0.1478,0.1498,
2.206,0.178,0.1266,0.0807,0.04058,0.2063,0.08031,0.01736,0.04789,0.05432,0.04489,0.1489,0.1521,
2.209,0.2168,0.1306,0.08056,0.04056,0.2061,0.07903,0.01722,0.04785,0.0543,0.04717,0.1473,0.1493,
2.207,0.208,0.13,0.08037,0.04059,0.2061,0.07706,0.01719,0.04787,0.05435,0.04721,0.1474,0.1519,
2.207,0.1608,0.1304,0.08014,0.04064,0.2058,0.07683,0.01722,0.04794,0.05443,0.04728,0.1476,0.1517,
2.208,0.1611,0.1341,0.0801,0.04069,0.2054,0.07596,0.01721,0.048,0.0545,0.04734,0.1478,0.1489,
2.208,0.1472,0.1343,0.07999,0.04071,0.205,0.07581,0.01722,0.04803,0.05453,0.04737,0.1486,0.1484,
2.208,0.1483,0.1341,0.0799,0.0405,0.2047,0.07583,0.01723,0.04806,0.0546,0.04742,0.1488,0.1489,
2.208,0.1422,0.1338,0.07998,0.04053,0.2042,0.0751,0.01725,0.04812,0.05466,0.04748,0.149,0.1499,
2.207,0.1464,0.1336,0.08002,0.04055,0.2041,0.07451,0.01726,0.04814,0.05469,0.0475,0.1491,0.1506,
2.208,0.1443,0.1377,0.07997,0.04029,0.2035,0.07412,0.01728,0.04822,0.05477,0.04758,0.1493,0.1473,
2.207,0.1399,0.1362,0.07992,0.04034,0.203,0.07298,0.01731,0.04829,0.05486,0.04765,0.1495,0.1499,
2.207,0.1311,0.1357,0.07981,0.04037,0.2021,0.07207,0.01733,0.04834,0.05491,0.0477,0.1504,0.1513,
2.206,0.1384,0.1351,0.07965,0.04036,0.2013,0.0714,0.01732,0.04834,0.05491,0.0477,0.1519,0.1519,
2.207,0.126,0.134,0.07962,0.04041,0.2009,0.07152,0.01735,0.04841,0.05499,0.04777,0.1522,0.1529,
2.209,0.1215,0.1383,0.07887,0.04,0.1986,0.0699,0.0173,0.04861,0.05522,0.05081,0.153,0.1494,
2.209,0.1283,0.138,0.07862,0.04,0.1982,0.06974,0.01719,0.04863,0.05524,0.05083,0.1538,0.1498,
2.211,0.1233,0.137,0.07835,0.03993,0.1976,0.06945,0.01717,0.04856,0.05517,0.05319,0.1535,0.1501,
2.21,0.1316,0.1368,0.07796,0.03989,0.197,0.06922,0.01716,0.04854,0.05514,0.05316,0.1549,0.1502,
2.21,0.1443,0.1354,0.07813,0.04001,0.1978,0.06908,0.01731,0.04857,0.05586,0.05226,0.155,0.1506,
