RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
8770000.0,5472000.0,2777000.0,1.453E7,5739000.0,1136000.0,3104000.0,3519000.0,2909000.0,9545000.0,9398000.0,
8596000.0,5455000.0,2773000.0,1.44E7,5616000.0,1136000.0,3104000.0,3519000.0,2909000.0,9545000.0,9520000.0,
8516000.0,5422000.0,2758000.0,1.433E7,5577000.0,1135000.0,3103000.0,3519000.0,2908000.0,9545000.0,9556000.0,
8460000.0,5392000.0,2737000.0,1.413E7,5553000.0,1135000.0,3103000.0,3519000.0,2908000.0,9545000.0,9576000.0,
8565000.0,5345000.0,2709000.0,1.385E7,5507000.0,1134000.0,3103000.0,3519000.0,2908000.0,9545000.0,9428000.0,
8407000.0,5315000.0,2673000.0,1.371E7,5479000.0,1133000.0,3103000.0,3519000.0,2908000.0,9545000.0,9519000.0,
8373000.0,5310000.0,2655000.0,1.364E7,5467000.0,1130000.0,3103000.0,3519000.0,2908000.0,9593000.0,9550000.0,
8300000.0,5290000.0,2654000.0,1.361E7,5382000.0,1129000.0,3103000.0,3519000.0,2908000.0,9593000.0,9656000.0,
8314000.0,5269000.0,2654000.0,1.351E7,5351000.0,1128000.0,3103000.0,3518000.0,2907000.0,9593000.0,9649000.0,
8289000.0,5258000.0,2653000.0,1.345E7,5301000.0,1125000.0,3101000.0,3518000.0,2907000.0,9593000.0,9726000.0,
8200000.0,5226000.0,2628000.0,1.336E7,5201000.0,1124000.0,3101000.0,3518000.0,2907000.0,9641000.0,9850000.0,
8462000.0,5219000.0,2627000.0,1.335E7,5120000.0,1115000.0,3100000.0,3518000.0,3056000.0,9540000.0,9675000.0,
8415000.0,5202000.0,2627000.0,1.334E7,4988000.0,1113000.0,3098000.0,3518000.0,3056000.0,9540000.0,9830000.0,
8427000.0,5179000.0,2627000.0,1.33E7,4965000.0,1113000.0,3098000.0,3518000.0,3056000.0,9540000.0,9804000.0,
8655000.0,5170000.0,2626000.0,1.326E7,4903000.0,1111000.0,3098000.0,3518000.0,3055000.0,9540000.0,9614000.0,
8664000.0,5160000.0,2626000.0,1.323E7,4890000.0,1111000.0,3098000.0,3518000.0,3055000.0,9587000.0,9570000.0,
8641000.0,5148000.0,2609000.0,1.319E7,4886000.0,1110000.0,3097000.0,3518000.0,3055000.0,9587000.0,9594000.0,
8612000.0,5147000.0,2608000.0,1.314E7,4833000.0,1110000.0,3097000.0,3518000.0,3055000.0,9587000.0,9647000.0,
8592000.0,5147000.0,2608000.0,1.313E7,4793000.0,1110000.0,3097000.0,3518000.0,3055000.0,9587000.0,9687000.0,
8846000.0,5136000.0,2587000.0,1.307E7,4760000.0,1110000.0,3097000.0,3518000.0,3055000.0,9587000.0,9459000.0,
8734000.0,5124000.0,2587000.0,1.302E7,4679000.0,1110000.0,3097000.0,3518000.0,3055000.0,9587000.0,9609000.0,
8692000.0,5113000.0,2586000.0,1.295E7,4617000.0,1110000.0,3097000.0,3518000.0,3055000.0,9635000.0,9691000.0,
8657000.0,5103000.0,2585000.0,1.29E7,4574000.0,1110000.0,3097000.0,3518000.0,3055000.0,9732000.0,9734000.0,
8571000.0,5092000.0,2584000.0,1.285E7,4574000.0,1110000.0,3097000.0,3518000.0,3055000.0,9732000.0,9777000.0,
8812000.0,5024000.0,2548000.0,1.265E7,4453000.0,1102000.0,3097000.0,3518000.0,3237000.0,9745000.0,9517000.0,
8790000.0,5007000.0,2547000.0,1.262E7,4441000.0,1095000.0,3097000.0,3518000.0,3237000.0,9793000.0,9537000.0,
8736000.0,4996000.0,2546000.0,1.26E7,4428000.0,1095000.0,3097000.0,3518000.0,3391000.0,9785000.0,9569000.0,
8726000.0,4974000.0,2545000.0,1.257E7,4416000.0,1095000.0,3097000.0,3518000.0,3391000.0,9884000.0,9582000.0,
8632000.0,4981000.0,2551000.0,1.261E7,4404000.0,1104000.0,3097000.0,3562000.0,3332000.0,9884000.0,9599000.0,
