entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.156,0.1872,0.1662,0.1037,0.05264,0.2755,0.1088,0.02153,0.05884,0.06671,0.05514,0.0455,0.0455,
2.203,0.2097,0.1296,0.08196,0.04125,0.2155,0.08549,0.01707,0.04664,0.05289,0.04371,0.1434,0.1424,
2.205,0.1904,0.1291,0.08207,0.04143,0.2132,0.08492,0.01715,0.04686,0.05313,0.04392,0.1441,0.1441,
2.205,0.1864,0.128,0.08177,0.04129,0.2126,0.08369,0.01719,0.04697,0.05326,0.04402,0.1445,0.1468,
2.205,0.1908,0.1278,0.0817,0.04133,0.2117,0.08383,0.01722,0.04705,0.05334,0.04409,0.1447,0.1473,
2.206,0.197,0.1326,0.08157,0.04132,0.2106,0.08277,0.01724,0.0471,0.05341,0.04414,0.1456,0.1437,
2.206,0.2121,0.132,0.08095,0.0408,0.2102,0.08195,0.01724,0.04712,0.05343,0.0456,0.1457,0.145,
2.207,0.175,0.1311,0.0803,0.04093,0.2094,0.08164,0.01731,0.04732,0.05365,0.04579,0.1463,0.1463,
2.208,0.1827,0.1293,0.08047,0.04109,0.2076,0.08082,0.01735,0.04751,0.05389,0.04599,0.1477,0.1482,
2.21,0.174,0.1279,0.08063,0.04125,0.2057,0.08031,0.01743,0.04773,0.05414,0.04681,0.1485,0.1496,
2.212,0.1763,0.127,0.08052,0.04142,0.2038,0.07952,0.01749,0.04797,0.0544,0.04772,0.1493,0.1508,
2.211,0.189,0.1265,0.08046,0.04141,0.2035,0.07922,0.01747,0.04794,0.05439,0.04771,0.1501,0.1514,
2.212,0.1702,0.1274,0.08052,0.04143,0.2034,0.07799,0.01746,0.04798,0.05444,0.04893,0.149,0.1514,
2.212,0.1912,0.1272,0.08054,0.04121,0.2033,0.07741,0.01747,0.04801,0.05447,0.04896,0.1491,0.1524,
2.21,0.1761,0.127,0.08045,0.04117,0.203,0.07606,0.0173,0.04798,0.05446,0.04895,0.1498,0.1538,
2.209,0.1758,0.1269,0.08038,0.04116,0.203,0.07505,0.01726,0.04797,0.05448,0.04896,0.1499,0.155,
2.208,0.1754,0.1263,0.08037,0.04117,0.203,0.07361,0.01725,0.04794,0.05447,0.04894,0.1499,0.157,
2.208,0.1725,0.1254,0.08027,0.04116,0.2029,0.07362,0.01725,0.04794,0.05447,0.04894,0.1507,0.1574,
2.208,0.1706,0.1253,0.08028,0.04117,0.2025,0.07368,0.01727,0.04798,0.05451,0.04898,0.1508,0.1575,
2.209,0.1678,0.1266,0.08019,0.04086,0.2024,0.07225,0.01728,0.04802,0.05456,0.05031,0.1496,0.1578,
2.209,0.1652,0.1265,0.07985,0.04083,0.2023,0.07233,0.0173,0.04807,0.05462,0.05036,0.1498,0.158,
2.208,0.1836,0.1264,0.07981,0.04085,0.2022,0.07137,0.01731,0.0481,0.05464,0.05069,0.1496,0.1591,
2.209,0.1524,0.1271,0.07971,0.04086,0.202,0.07106,0.01732,0.04813,0.05469,0.05163,0.1488,0.1588,
2.208,0.1695,0.1266,0.07967,0.04051,0.2019,0.07077,0.0173,0.04815,0.05471,0.05165,0.1488,0.1599,
2.207,0.1695,0.126,0.07946,0.0405,0.2017,0.0695,0.0173,0.04817,0.05475,0.05169,0.149,0.162,
2.208,0.1663,0.13,0.07943,0.04053,0.2016,0.0687,0.01731,0.0482,0.05479,0.05173,0.1491,0.1587,
2.208,0.1676,0.1299,0.07928,0.04052,0.2015,0.06847,0.01732,0.04823,0.05482,0.05176,0.1492,0.159,
2.207,0.175,0.1299,0.07924,0.04013,0.2013,0.06824,0.01731,0.04821,0.05479,0.05238,0.1492,0.1593,
2.207,0.153,0.1295,0.07924,0.03978,0.2014,0.06824,0.01731,0.04821,0.0548,0.05238,0.1492,0.16,
2.206,0.1311,0.1301,0.07925,0.03978,0.2012,0.06727,0.01733,0.04825,0.05484,0.05242,0.1493,0.1603,
2.206,0.1374,0.1299,0.07924,0.03979,0.2011,0.0671,0.01734,0.04827,0.05486,0.05244,0.1494,0.1605,
2.207,0.1392,0.1298,0.07903,0.03984,0.2016,0.06722,0.01775,0.04806,0.05818,0.04926,0.1498,0.1594,
2.205,0.1376,0.1291,0.07894,0.03943,0.2014,0.0671,0.01775,0.04787,0.06018,0.04726,0.1505,0.1604,
2.2,0.1562,0.1286,0.07883,0.03962,0.201,0.06982,0.01468,0.04806,0.06146,0.04581,0.1513,0.1607,
2.2,0.148,0.1271,0.07892,0.03976,0.202,0.06986,0.01478,0.04828,0.06277,0.04427,0.1514,0.1608,
2.203,0.1554,0.1285,0.07924,0.03989,0.2018,0.06991,0.01479,0.0485,0.06375,0.0449,0.1498,0.1589,
2.203,0.1502,0.1282,0.07913,0.03998,0.2012,0.07004,0.0148,0.04853,0.06396,0.04465,0.1506,0.1589,
2.205,0.1434,0.1302,0.07959,0.04013,0.201,0.07007,0.0149,0.04855,0.06748,0.04281,0.149,0.1563,
2.185,0.1648,0.1295,0.07969,0.04022,0.2006,0.0796,0.005256,0.04869,0.06878,0.04152,0.1491,0.157,
2.185,0.1517,0.129,0.07967,0.04036,0.2003,0.07959,0.005444,0.0485,0.06913,0.04116,0.1498,0.157,
2.185,0.1576,0.1292,0.07987,0.04048,0.2005,0.07967,0.005449,0.04876,0.07008,0.04009,0.15,0.1559,
2.185,0.1512,0.1287,0.07975,0.04067,0.2004,0.07939,0.00566,0.0487,0.07114,0.03904,0.1501,0.1564,
2.185,0.1438,0.1285,0.07979,0.04082,0.1998,0.07948,0.005761,0.04866,0.0725,0.0378,0.1503,0.1566,
2.186,0.1376,0.1359,0.0799,0.04105,0.1992,0.07957,0.005958,0.04862,0.07384,0.0365,0.1505,0.149,
2.186,0.1561,0.1343,0.07987,0.04099,0.1997,0.0797,0.005967,0.04884,0.07431,0.03605,0.1507,0.1495,
2.188,0.159,0.1338,0.0798,0.04114,0.1997,0.07948,0.007033,0.04791,0.07444,0.0359,0.1508,0.1499,
2.188,0.1527,0.1327,0.07981,0.04123,0.2002,0.07955,0.007362,0.04764,0.0753,0.03516,0.151,0.1501,
2.188,0.1486,0.1322,0.07997,0.04137,0.1997,0.07965,0.007657,0.04769,0.07666,0.03366,0.1512,0.1503,
2.189,0.1527,0.1316,0.07989,0.04135,0.1996,0.07973,0.007761,0.04764,0.07696,0.03348,0.1513,0.1507,
2.202,0.1574,0.1312,0.07982,0.04123,0.1995,0.07979,0.02052,0.03502,0.07739,0.03304,0.1514,0.1511,
2.203,0.1575,0.1305,0.07967,0.0414,0.1997,0.07986,0.02073,0.03486,0.07746,0.03307,0.1516,0.1512,
2.202,0.1533,0.1292,0.07958,0.0416,0.2002,0.07969,0.02081,0.0347,0.07771,0.03294,0.1517,0.1518,
2.202,0.1583,0.1284,0.0798,0.0417,0.1994,0.07916,0.0208,0.0346,0.07817,0.03244,0.1532,0.1523,
2.201,0.1506,0.13,0.07983,0.04179,0.1994,0.07812,0.0208,0.03476,0.07872,0.03196,0.153,0.1516,
2.201,0.1514,0.1296,0.07994,0.04191,0.199,0.07801,0.02083,0.03502,0.07915,0.03143,0.1531,0.152,
