bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.0,164.5,183.8,154.6,0.04902,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6699,0.6161,0.06901,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6699,0.6161,0.06901,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.6,90.88,37.71,794.2,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.712,11.05,64.07,39.95,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,81620.0,58200.0,47750.0,2.23E7,45540.0,21470.0,24240.0,13490.0,24790.0,0.0,4.68E-36,2.4150000000000002E-36,1.37E-35,1.6810000000000002E-35,8.848E-37,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.194,3.006,1.58,0.1345,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.009344,0.008912,0.006466,0.2417,0.01391,0.001641,6.993E-4,0.005386,9.758E-4,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.0,158.7,186.4,153.8,0.05153,4.822,0.2322,0.1747,0.9799,0.4062,0.0,343.6,0.13,0.674,0.5886,0.06946,0.1892,0.06004,0.08225,4.761,11.02,0.0,343.6,0.13,0.674,0.5886,0.06946,0.1892,0.06004,0.08225,4.761,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.7,95.24,38.99,768.1,165.2,3.303,3.646,29.84,4.242,0.0,50.44,5.895,9.873,57.33,38.66,0.1216,0.01353,0.01545,0.01182,0.01392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.571E-4,0.0,528.0,75260.0,51910.0,44270.0,2.137E7,42830.0,20290.0,22910.0,13190.0,23580.0,0.0,5.1270000000000005E-36,2.2380000000000002E-36,1.531E-35,1.635E-35,8.293E-37,3.4809999999999997E-37,1.144E-38,7.844E-39,4.723E-38,2.197E-38,2.08E-35,0.0,0.7262,1.124,3.141,1.531,0.1295,0.03121,0.003726,0.002645,0.0161,0.009761,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,2.239E-4,0.009303,0.008915,0.006341,0.2401,0.0138,0.00164,6.944E-4,0.005412,9.713E-4,
0.0,0.9997,3.317E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.0,164.3,187.4,152.9,0.05166,4.79,0.2322,0.175,0.9796,0.4067,0.0,343.6,0.1347,0.6678,0.5895,0.06887,0.1838,0.06155,0.09502,4.125,11.64,0.0,343.6,0.1347,0.6678,0.5895,0.06887,0.1838,0.06155,0.09502,4.125,11.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.3,95.48,38.96,721.7,165.1,3.216,3.548,29.82,4.159,0.0,50.03,5.771,9.273,56.42,38.49,0.09977,0.01318,0.0151,0.01173,0.01363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9997.0,3.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,689.3,71590.0,47160.0,42120.0,2.148E7,41270.0,19480.0,22090.0,12950.0,23030.0,0.0,4.8510000000000006E-36,2.2800000000000002E-36,1.5290000000000002E-35,1.617E-35,8.175E-37,3.466E-37,1.1E-38,8.13E-39,4.707E-38,2.196E-38,2.08E-35,0.0,0.6871,1.173,3.128,1.529,0.128,0.0311,0.003728,0.002645,0.01609,0.009769,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,3.958E-4,0.009285,0.008889,0.006307,0.2388,0.01361,0.001619,6.924E-4,0.005414,9.699E-4,
0.0,0.9971,0.00292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.0,189.8,183.6,142.7,0.04878,6.242,0.2286,0.1731,0.9936,0.4049,0.0,343.6,0.123,0.7285,0.5091,0.06616,0.2003,0.06139,0.09278,4.203,11.57,0.0,343.6,0.123,0.7285,0.5091,0.06616,0.2003,0.06139,0.09278,4.203,11.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.5,96.0,35.77,709.0,165.0,3.066,3.363,30.51,3.987,0.0,47.67,0.968,10.05,72.66,33.26,0.09936,0.0131,0.01501,0.01172,0.01356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9971.0,28.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.155E-4,0.0,845.2,74190.0,49790.0,46080.0,2.223E7,41430.0,19610.0,22330.0,12920.0,23530.0,0.0,3.494E-36,2.205E-36,1.534E-35,1.549E-35,7.611E-37,6.045E-37,1.065E-38,8.019E-39,4.698E-38,2.187E-38,2.08E-35,0.0,0.4975,1.342,3.116,1.505,0.1222,0.04928,0.003692,0.00261,0.01632,0.009738,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,5.138E-4,0.009282,0.008866,0.006156,0.2382,0.01355,0.001595,6.898E-4,0.005388,9.758E-4,
0.0,0.9949,0.00506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,211.4,176.1,142.4,0.04875,7.466,0.2287,0.1731,0.9951,0.4033,0.0,343.6,0.1312,0.7157,0.4867,0.06548,0.219,0.06133,0.09184,3.703,12.07,0.0,343.6,0.1312,0.7157,0.4867,0.06548,0.219,0.06133,0.09184,3.703,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.4,96.07,35.81,678.3,164.9,2.998,3.287,30.58,3.845,0.0,46.04,0.9552,9.915,72.51,33.14,0.08541,0.01313,0.01503,0.01173,0.01358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9949.0,48.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.076E-4,0.0,1020.0,76670.0,48330.0,45600.0,2.31E7,42250.0,20170.0,23020.0,13090.0,24350.0,0.0,2.758E-36,2.427E-36,1.509E-35,1.531E-35,7.553E-37,6.793E-37,1.053E-38,7.989E-39,4.617E-38,2.179E-38,2.08E-35,0.0,0.4084,1.482,3.053,1.489,0.1214,0.07302,0.003692,0.002611,0.01635,0.009712,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,6.013E-4,0.009282,0.008837,0.006162,0.2366,0.01346,0.001599,6.823E-4,0.005396,9.661E-4,
0.0,0.9949,0.00506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570.0,203.2,180.8,141.6,0.0487,4.764,0.2355,0.1694,0.9953,0.4036,0.0,343.6,0.12,0.7243,0.474,0.0674,0.2188,0.06154,0.09188,3.606,12.17,0.0,343.6,0.12,0.7243,0.474,0.0674,0.2188,0.06154,0.09188,3.606,12.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.3,97.83,35.83,662.7,164.9,2.992,3.279,30.57,3.835,0.0,46.04,1.339,8.949,72.35,33.5,0.06919,0.013,0.01487,0.01173,0.01348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9949.0,43.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475E-4,0.0,1432.0,80600.0,48690.0,46450.0,2.469E7,43070.0,20080.0,23060.0,13050.0,24830.0,0.0,3.226E-36,2.179E-36,1.516E-35,1.507E-35,7.707E-37,3.504E-37,1.061E-38,7.985E-39,4.587E-38,2.176E-38,2.08E-35,0.0,0.4477,1.43,3.062,1.492,0.1339,0.0327,0.003695,0.00261,0.01634,0.009717,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,8.267E-4,0.00914,0.008818,0.006054,0.2364,0.01341,0.001619,6.813E-4,0.005394,9.664E-4,
0.0,0.9949,0.00506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.0,200.1,180.2,133.1,0.04864,4.68,0.2354,0.1693,0.9952,0.4036,0.0,343.6,0.1203,0.7523,0.4405,0.06717,0.2184,0.063,0.09197,3.598,12.18,0.0,343.6,0.1203,0.7523,0.4405,0.06717,0.2184,0.063,0.09197,3.598,12.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.4,97.66,35.99,645.7,164.9,2.968,3.252,30.56,3.81,0.0,46.04,1.254,9.936,67.87,33.4,9.181,0.01287,0.0147,0.01173,0.01337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9949.0,41.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1550.0,82330.0,46920.0,46390.0,2.585E7,45370.0,20230.0,23340.0,13070.0,25350.0,0.0,3.2400000000000004E-36,2.175E-36,1.512E-35,1.479E-35,7.641999999999999E-37,5.1E-37,1.0499999999999999E-38,7.941999999999999E-39,4.553E-38,2.174E-38,2.08E-35,0.0,0.4687,1.413,3.044,1.468,0.1331,0.04304,0.003694,0.002607,0.01634,0.009716,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,9.494E-4,0.009185,0.008737,0.006037,0.2347,0.01328,0.001612,6.726E-4,0.005391,9.606E-4,
0.0,0.9949,0.00506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.0,200.4,177.1,143.5,0.04852,5.026,0.2367,0.1712,0.992,0.4048,0.0,343.6,0.1228,0.7503,0.4352,0.07032,0.2182,0.06257,0.0926,1.189,14.58,0.0,343.6,0.1228,0.7503,0.4352,0.07032,0.2182,0.06257,0.0926,1.189,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.4,99.84,36.01,635.8,164.8,2.907,3.279,30.46,3.755,0.0,46.04,1.249,9.814,67.6,33.32,0.0753,0.01285,0.01463,0.01177,0.01335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9949.0,41.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.964E-4,0.0,1582.0,85910.0,48630.0,48220.0,2.741E7,46800.0,21000.0,24340.0,13190.0,26490.0,0.0,3.2400000000000004E-36,2.1930000000000002E-36,1.495E-35,1.488E-35,8.11E-37,3.526E-37,1.031E-38,7.999E-39,4.496E-38,2.171E-38,2.08E-35,0.0,0.4687,1.422,3.002,1.492,0.1361,0.03328,0.003696,0.002638,0.01627,0.009754,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,9.734E-4,0.009216,0.008702,0.006032,0.2339,0.01325,0.001621,6.803E-4,0.005366,9.729E-4,
0.0,0.9947,0.005268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,207.5,167.1,135.4,0.04836,4.832,0.2377,0.1691,0.9938,0.4048,0.0,343.6,0.1271,0.736,0.4405,0.06817,0.2174,0.06281,0.09201,1.189,14.58,0.0,343.6,0.1271,0.736,0.4405,0.06817,0.2174,0.06281,0.09201,1.189,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.1,105.8,35.4,634.8,164.8,2.901,3.175,30.55,3.746,0.0,45.74,1.321,9.764,77.5,33.1,0.07444,0.01286,0.01458,0.01184,0.01335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9947.0,43.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1710.0,88880.0,51880.0,50610.0,2.945E7,48870.0,22070.0,25660.0,13430.0,28030.0,0.0,3.122E-36,2.371E-36,1.4390000000000002E-35,1.494E-35,7.816E-37,3.508E-37,1.019E-38,7.885E-39,4.443E-38,2.165E-38,2.08E-35,0.0,0.4588,1.49,2.863,1.524,0.1337,0.03327,0.003701,0.002606,0.0163,0.009754,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,0.001047,0.009172,0.00872,0.006031,0.2338,0.01318,0.001619,6.648E-4,0.005371,9.696E-4,
0.0,0.9947,0.005268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,207.5,163.4,141.8,0.0108,4.7,0.2378,0.1692,0.9939,0.4048,0.0,343.6,0.1282,0.756,0.4185,0.06862,0.2159,0.06281,0.09201,1.189,14.58,0.0,343.6,0.1282,0.756,0.4185,0.06862,0.2159,0.06281,0.09201,1.189,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,104.4,30.97,629.8,164.7,2.864,3.134,30.55,3.711,0.0,45.75,0.9382,12.04,72.77,31.79,0.07373,0.0126,0.01437,0.01172,0.01315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9947.0,43.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001E-4,0.0,1789.0,87080.0,52220.0,50150.0,2.832E7,47980.0,21940.0,25420.0,13380.0,27590.0,0.0,3.229E-36,2.3770000000000003E-36,1.432E-35,1.469E-35,7.897E-37,3.494E-37,1.0E-38,7.844E-39,4.397E-38,2.16E-38,2.08E-35,0.0,0.4704,1.488,2.846,1.508,0.1437,0.03329,0.0037,0.002605,0.0163,0.009753,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,0.001071,0.009186,0.008555,0.006002,0.2332,0.01316,0.001617,6.599E-4,0.00537,9.659E-4,
