R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.8E-5,0.031,0.031,0.0,460.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.8E-5,0.031,0.031,0.0,430.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,4.0E-5,0.031,0.031,0.0,420.0,8.6,0.0,0.0,0.0,1.8E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.8E-5,0.031,0.031,0.0,400.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.5E-37,0.048,2100.0,12000.0,3100.0,5100000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,5200000.0,0.0,6.7E-5,0.039,0.039,0.0,420.0,16.0,3.3E-32,2.3E-43,0.0,2.0E7,1.0,7.1E8,
9.0E-38,0.03,2100.0,4700.0,3100.0,4900000.0,3900.0,1600.0,2000.0,240.0,2500.0,0.19,4900000.0,0.0,7.2E-5,0.035,0.035,0.0,400.0,16.0,5.7000000000000005E-30,1.1E-40,0.0,1.9E7,1.0,7.1E8,
8.7E-38,0.028,2100.0,4700.0,3100.0,4400000.0,3800.0,1500.0,2000.0,230.0,2400.0,0.18,4500000.0,0.0,7.6E-5,0.033,0.033,0.0,380.0,15.0,3.7E-29,6.8E-40,0.0,1.8E7,1.0,7.1E8,
8.200000000000001E-38,0.027,2100.0,4600.0,3000.0,3899999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3899999.9999999995,0.0,7.7E-5,0.03,0.03,0.0,370.0,14.0,2.0000000000000002E-28,7.4E-39,0.0,1.7E7,1.0,7.0E8,
8.100000000000001E-38,0.027,2100.0,4600.0,3000.0,3799999.9999999995,3800.0,1500.0,2000.0,230.0,2400.0,0.18,3799999.9999999995,0.0,8.3E-5,0.03,0.03,0.0,350.0,13.0,5.200000000000001E-28,2.3E-38,0.0,1.7E7,1.0,7.0E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,8.8E-5,0.029,0.029,0.0,340.0,13.0,1.7000000000000002E-27,1.1E-37,0.0,1.6E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,8.4E-5,0.029,0.029,0.0,340.0,13.0,3.7E-27,2.8E-37,0.0,1.6E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,7.4E-5,0.029,0.029,0.0,340.0,13.0,6.4000000000000005E-27,5.0E-37,0.0,1.7E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,6.2E-5,0.029,0.029,0.0,330.0,13.0,9.6E-27,7.0E-37,0.0,1.8E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,5.1E-5,0.029,0.029,0.0,330.0,13.0,1.3E-26,8.7E-37,0.0,1.9E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,4.2E-5,0.029,0.029,0.0,330.0,13.0,1.8E-26,9.9E-37,0.0,2.1E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,3.4E-5,0.029,0.029,0.0,330.0,13.0,2.3E-26,1.1E-36,0.0,2.2E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,2.8E-5,0.029,0.029,0.0,330.0,13.0,2.8E-26,1.1E-36,0.0,2.4E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,2.6E-5,0.029,0.029,0.0,330.0,13.0,1.7E-24,6.8E-36,0.0,2.5E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,3.1E-5,0.029,0.029,0.0,330.0,13.0,1.5E-23,2.8E-34,0.0,2.3E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,3.2E-5,0.029,0.029,0.0,330.0,13.0,3.5E-23,9.5E-34,0.0,2.3E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,3.0E-5,0.029,0.029,0.0,330.0,13.0,6.1E-23,1.9E-33,0.0,2.3E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,2.7E-5,0.029,0.029,0.0,330.0,13.0,9.2E-23,2.9E-33,0.0,2.4E7,1.0,6.9E8,
8.000000000000001E-38,0.026,2000.0,4500.0,3000.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,2.4E-5,0.029,0.029,0.0,330.0,13.0,1.3E-22,3.8E-33,0.0,2.5E7,1.0,6.9E8,
