cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83360.0,89580.0,47810.0,2.239E7,45540.0,21460.0,24230.0,13490.0,24790.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.991E-4,0.005386,9.757E-4,
0.0,1607.0,164.1,176.0,136.4,0.04901,4.9,0.2234,0.1646,0.983,0.4029,0.0,343.6,0.1284,0.6354,0.4464,0.2613,0.189,0.05925,0.08175,4.769,11.01,0.0,343.6,0.1284,0.6354,0.4464,0.2613,0.189,0.05925,0.08175,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.3,110.8,51.08,758.8,164.9,3.174,3.524,30.54,3.996,0.0,48.1,1.694,10.25,41.93,86.01,0.1498,0.02766,0.03403,0.01396,0.03656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,399.9,249200.0,395500.0,621800.0,2.024E7,36550.0,17700.0,19560.0,12780.0,19580.0,0.0,4.9220000000000006E-36,2.31E-36,1.3230000000000001E-35,1.2960000000000001E-35,6.575E-36,3.504E-37,1.272E-38,9.580999999999999E-39,4.789E-38,2.4E-38,2.08E-35,0.0,0.7034,1.166,2.92,1.34,0.5215,0.03143,0.003791,0.002747,0.01635,0.009855,0.0,0.0,0.009478,0.01709,0.03132,0.9405,4.935E-4,2.779E-4,3.646E-4,4.227E-5,4.428E-4,0.0,1.352E-4,0.01092,0.01329,0.01169,0.2341,0.01376,0.001611,6.624E-4,0.005382,9.333E-4,
0.0,1609.0,160.2,181.0,134.4,0.04879,4.221,0.4617,0.2232,1.058,0.496,0.0,343.6,0.1289,0.6475,0.4047,0.2639,0.1923,0.06209,0.08191,4.771,11.01,0.0,343.6,0.1289,0.6475,0.4047,0.2639,0.1923,0.06209,0.08191,4.771,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.4,110.6,36.04,740.3,164.9,3.11,3.405,30.58,3.941,0.0,50.25,0.8409,8.613,97.99,28.47,0.1113,0.01066,0.01175,0.01135,0.009486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.524E-4,0.0,671.6,220800.0,389000.0,73320.0,2.003E7,34720.0,17480.0,19320.0,12740.0,19370.0,0.0,5.13E-36,2.3410000000000002E-36,1.312E-35,1.57E-35,3.5750000000000004E-36,2.157E-37,5.709E-38,1.969E-38,6.104E-38,4.029E-38,2.08E-35,0.0,0.7276,1.151,2.925,1.524,0.3175,0.02472,0.006242,0.00328,0.01714,0.01074,0.0,0.0,0.008403,0.01766,5.827E-4,0.9717,5.099E-4,2.871E-4,3.767E-4,4.367E-5,4.575E-4,0.0,2.141E-4,0.01067,0.01331,0.006122,0.2365,0.01373,0.001628,6.621E-4,0.005392,9.407E-4,
0.0,1610.0,160.8,179.4,131.8,0.04878,5.866,0.4631,0.2233,1.058,0.496,0.0,343.6,0.1276,0.7577,0.3991,0.1277,0.1918,0.06178,0.08183,4.771,11.01,0.0,343.6,0.1276,0.7577,0.3991,0.1277,0.1918,0.06178,0.08183,4.771,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.6,110.1,36.1,745.6,164.8,3.09,3.384,30.57,3.928,0.0,50.25,0.7792,8.741,96.8,29.04,0.099,0.01051,0.01159,0.01132,0.009365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328E-4,0.0,778.0,83220.0,87390.0,69370.0,1.98E7,33820.0,17450.0,19300.0,12760.0,19390.0,0.0,5.187E-36,2.317E-36,1.422E-35,1.545E-35,1.85E-36,5.129E-37,5.649E-38,1.9E-38,6.013E-38,3.946E-38,2.08E-35,0.0,0.7379,1.155,2.983,1.51,0.2008,0.04111,0.006209,0.003234,0.01714,0.01068,0.0,0.0,5.132E-4,4.752E-5,6.148E-4,0.9971,5.379E-4,3.029E-4,3.974E-4,4.607E-5,4.827E-4,0.0,3.04E-4,0.009257,0.01017,0.006089,0.2368,0.01368,0.001633,6.57E-4,0.005391,9.374E-4,
0.0,1610.0,159.6,178.9,132.4,0.04885,4.094,0.4751,0.2429,1.05,0.5039,0.0,343.6,0.1274,0.7815,0.374,0.1257,0.1965,0.06261,0.08199,4.76,11.02,0.0,343.6,0.1274,0.7815,0.374,0.1257,0.1965,0.06261,0.08199,4.76,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.1,117.0,33.28,753.1,175.5,3.148,2.443,27.52,3.013,0.0,56.41,0.8101,8.484,90.53,28.29,0.0893,0.01029,0.01135,0.01129,0.009197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3555.0,83670.0,84240.0,62970.0,1.921E7,33490.0,17500.0,19390.0,12720.0,19540.0,0.0,5.5120000000000004E-36,2.253E-36,1.425E-35,1.524E-35,1.831E-36,2.4539999999999998E-37,5.651E-38,1.856E-38,5.773E-38,3.906E-38,2.08E-35,0.0,0.76,1.135,2.971,1.501,0.1983,0.02399,0.006237,0.003233,0.01678,0.0107,0.0,0.0,5.502E-4,5.094E-5,6.591E-4,0.9968,5.767E-4,3.247E-4,4.261E-4,4.94E-5,5.175E-4,0.0,5.401E-4,0.009197,0.0102,0.00602,0.2321,0.01359,0.001632,6.419E-4,0.005386,9.192E-4,
0.0,1590.0,180.1,179.5,131.6,0.05092,4.057,1.018,0.5877,1.222,0.404,0.0,343.6,0.08893,0.7424,0.3844,0.1228,0.1867,0.05426,0.06706,4.758,11.12,0.0,343.6,0.08893,0.7424,0.3844,0.1228,0.1867,0.05426,0.06706,4.758,11.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.2,117.5,36.45,755.2,166.0,5.356,3.061,29.05,3.358,0.0,54.27,1.926,8.385,89.57,28.01,0.1102,0.01037,0.01142,0.01132,0.009283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3778.0,85380.0,83470.0,59450.0,1.873E7,35530.0,18530.0,20630.0,12870.0,20850.0,0.0,4.235E-36,3.0740000000000005E-36,1.415E-35,1.49E-35,1.8200000000000002E-36,2.483E-37,1.427E-37,7.593E-38,8.467E-38,2.18E-38,2.08E-35,0.0,0.5831,1.311,2.972,1.483,0.1972,0.02404,0.01139,0.006605,0.01841,0.009757,0.0,0.0,6.356E-4,5.885E-5,7.614E-4,0.9964,6.662E-4,3.751E-4,4.922E-4,5.706E-5,5.978E-4,0.0,7.175E-4,0.009136,0.01023,0.006008,0.2287,0.0134,0.001679,6.67E-4,0.005412,9.458E-4,
0.0,1591.0,178.9,178.0,130.4,0.0512,4.028,0.3648,0.2444,1.018,0.405,0.0,343.6,0.1026,0.7729,0.3387,0.1245,0.1861,0.1226,0.1373,4.652,11.08,0.0,343.6,0.1026,0.7729,0.3387,0.1245,0.1861,0.1226,0.1373,4.652,11.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.2,117.7,36.05,731.6,164.7,5.902,3.274,29.34,3.437,0.0,58.67,0.883,12.68,85.93,27.74,0.09918,0.0101,0.01109,0.0113,0.009067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,5244.0,85410.0,85230.0,55500.0,1.84E7,33800.0,17270.0,19270.0,12590.0,19870.0,0.0,4.5030000000000005E-36,2.604E-36,1.401E-35,1.459E-35,1.8710000000000002E-36,2.411E-37,3.213E-38,1.81E-38,4.995E-38,2.183E-38,2.08E-35,0.0,0.6121,1.314,2.958,1.472,0.2005,0.02364,0.004976,0.003248,0.01642,0.009761,0.0,0.0,6.521E-4,6.038E-5,7.812E-4,0.9963,6.836E-4,3.849E-4,5.05E-4,5.855E-5,6.134E-4,0.0,7.525E-4,0.009173,0.01018,0.005944,0.225,0.0132,0.001646,6.58E-4,0.005419,9.353E-4,
0.0,1594.0,182.5,172.8,127.8,0.04906,4.029,0.3651,0.2455,1.044,0.4016,0.0,343.6,0.09423,0.7715,0.3356,0.1233,0.1842,0.1219,0.1363,3.968,11.78,0.0,343.6,0.09423,0.7715,0.3356,0.1233,0.1842,0.1219,0.1363,3.968,11.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,120.6,36.72,697.4,161.8,6.38,3.382,30.59,3.372,0.0,58.68,0.9537,12.65,85.87,27.65,0.08798,0.01007,0.01103,0.002049,0.009046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.439E-4,0.0,6340.0,88230.0,85730.0,53840.0,1.903E7,33530.0,17460.0,19540.0,12560.0,20210.0,0.0,4.679E-36,2.471E-36,1.3940000000000002E-35,1.432E-35,1.8780000000000002E-36,2.39E-37,3.223E-38,1.819E-38,5.035E-38,2.174E-38,2.08E-35,0.0,0.6441,1.347,2.906,1.44,0.2008,0.02351,0.004971,0.00326,0.0167,0.009698,0.0,0.0,6.551E-4,6.066E-5,7.848E-4,0.9962,6.867E-4,3.867E-4,5.073E-4,5.882E-5,6.162E-4,0.0,7.823E-4,0.009184,0.01018,0.005917,0.2252,0.01301,0.001655,6.786E-4,0.005392,9.4E-4,
0.0,1580.0,190.1,167.1,126.9,0.2039,3.745,0.367,0.2444,1.046,0.4018,0.0,343.6,0.09204,0.7582,0.3283,0.1076,0.1821,0.1221,0.1531,3.454,12.27,0.0,343.6,0.09204,0.7582,0.3283,0.1076,0.1821,0.1221,0.1531,3.454,12.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.3,124.7,40.31,674.7,161.8,6.294,3.186,30.67,3.282,0.0,57.09,3.273,15.99,86.73,27.56,1.245,0.01012,0.011,0.002125,0.009046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012E-4,0.0,6468.0,90390.0,96930.0,53480.0,1.877E7,32630.0,16370.0,18050.0,12410.0,18320.0,0.0,3.892E-36,2.4540000000000003E-36,1.375E-35,1.383E-35,1.8330000000000002E-36,2.422E-37,3.215E-38,1.811E-38,5.007E-38,2.169E-38,2.08E-35,0.0,0.531,1.4,2.866,1.454,0.1973,0.02499,0.004973,0.003229,0.01673,0.009697,0.0,0.0,5.235E-4,2.42E-4,9.284E-4,0.9965,5.487E-4,3.09E-4,4.054E-4,4.7E-5,4.924E-4,0.0,8.87E-4,0.009179,0.01015,0.005951,0.2234,0.01286,0.001643,6.656E-4,0.005402,9.241E-4,
0.0,1580.0,191.8,163.4,127.5,0.04902,3.769,0.3644,0.2472,1.04,0.4033,0.0,343.6,0.09787,0.745,0.327,0.1057,0.2538,0.08612,0.1455,3.426,12.27,0.0,343.6,0.09787,0.745,0.327,0.1057,0.2538,0.08612,0.1455,3.426,12.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.2,128.7,40.34,666.7,161.9,6.269,3.307,30.46,3.336,0.0,57.09,2.817,15.53,86.55,27.66,1.083,0.01013,0.01111,0.002054,0.009141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001E-4,0.0,6567.0,88480.0,90650.0,52350.0,1.83E7,33380.0,17360.0,19310.0,12540.0,19610.0,0.0,3.932E-36,2.548E-36,1.347E-35,1.373E-35,1.831E-36,2.364E-37,3.212E-38,1.831E-38,4.97E-38,2.174E-38,2.08E-35,0.0,0.5375,1.416,2.815,1.455,0.1971,0.02455,0.004977,0.003278,0.01665,0.009728,0.0,0.0,6.068E-4,2.806E-4,0.001076,0.9959,6.361E-4,3.582E-4,4.699E-4,5.448E-5,5.708E-4,0.0,9.356E-4,0.009191,0.01017,0.005958,0.2201,0.0128,0.001653,7.016E-4,0.005403,9.459E-4,
