R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.4E-5,0.031,0.031,0.0,490.0,8.6,0.0,0.0,2.0E7,1.0,7.0E8,
5.2E-36,0.35,54000.0,97000.0,180000.0,5300000.0,2800.0,1600.0,2100.0,240.0,2500.0,0.19,5699999.999999999,2.9E-4,0.26,0.26,0.0,490.0,64.0,0.0,0.0,1.9E7,1.0,7.2E8,
1.9000000000000002E-36,0.13,46000.0,96000.0,3200.0,5300000.0,2800.0,1600.0,2000.0,240.0,2500.0,0.19,5400000.0,1.5E-5,0.25,0.25,0.0,470.0,3.0,0.0,0.0,1.8E7,1.0,7.2E8,
1.6E-37,0.011,2600.0,240.0,3100.0,5100000.0,2700.0,1500.0,2000.0,230.0,2500.0,0.19,5100000.0,1.6E-5,0.11,0.11,0.0,460.0,2.9,0.0,0.0,1.8E7,1.0,7.2E8,
1.5E-37,0.01,2600.0,240.0,3100.0,4700000.0,2700.0,1500.0,2000.0,230.0,2400.0,0.18,4700000.0,1.6E-5,0.1,0.1,0.0,450.0,2.7,0.0,0.0,1.7E7,1.0,7.2E8,
1.3000000000000001E-37,0.009,2500.0,230.0,3000.0,3899999.9999999995,2600.0,1500.0,1900.0,230.0,2400.0,0.18,3999999.9999999995,1.6E-5,0.092,0.092,0.0,450.0,2.4,0.0,0.0,1.6E7,1.0,7.1E8,
1.3000000000000001E-37,0.0089,2500.0,230.0,3000.0,3799999.9999999995,2600.0,1500.0,1900.0,230.0,2400.0,0.18,3899999.9999999995,1.7E-5,0.091,0.091,0.0,420.0,2.4,0.0,0.0,1.6E7,1.0,7.1E8,
1.3000000000000001E-37,0.0089,2500.0,230.0,3000.0,3799999.9999999995,2600.0,1500.0,1900.0,230.0,2400.0,0.18,3799999.9999999995,1.5E-5,0.091,0.091,0.0,400.0,2.4,0.0,0.0,1.7E7,1.0,7.0E8,
1.1E-37,0.0075,2500.0,1200.0,4400.0,4800000.0,2600.0,1500.0,1900.0,220.0,2400.0,0.18,4800000.0,0.15,0.089,0.089,0.0,420.0,2.9,0.0,0.0,1.7E7,1.0,7.2E8,
1.0E-37,0.0069,2500.0,1100.0,4400.0,4099999.9999999995,2600.0,1500.0,1900.0,220.0,2300.0,0.17,4099999.9999999995,2.0E-5,0.08,0.08,0.0,400.0,2.8,0.0,0.0,1.6E7,1.0,7.1E8,
9.9E-38,0.0067,2500.0,1100.0,4400.0,3799999.9999999995,2600.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,2.0E-5,0.077,0.077,0.0,380.0,2.7,0.0,0.0,1.6E7,1.0,7.1E8,
9.9E-38,0.0067,2500.0,1100.0,4400.0,3799999.9999999995,2600.0,1500.0,1900.0,220.0,2300.0,0.17,3799999.9999999995,1.8E-5,0.077,0.077,0.0,380.0,2.7,0.0,0.0,1.6E7,1.0,7.1E8,
1.4E-37,0.011,2500.0,2500.0,3400.0,4500000.0,2600.0,1500.0,1900.0,220.0,2300.0,0.17,4500000.0,1.7E-5,0.074,0.074,0.0,420.0,2.5,0.0,0.0,1.6E7,1.0,7.2E8,
1.4E-37,0.01,2500.0,2500.0,3400.0,4099999.9999999995,2600.0,1500.0,1900.0,220.0,2300.0,0.17,4200000.0,1.7E-5,0.071,0.071,0.0,410.0,2.4,0.0,0.0,1.6E7,1.0,7.1E8,
1.4E-37,0.01,2500.0,2500.0,3400.0,3899999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.6E-5,0.068,0.068,0.0,410.0,2.3,0.0,0.0,1.6E7,1.0,7.1E8,
1.3000000000000001E-37,0.01,2500.0,2500.0,3400.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.7E-5,0.068,0.068,0.0,410.0,2.3,0.0,0.0,1.6E7,1.0,7.1E8,
1.3000000000000001E-37,0.01,2500.0,2500.0,3400.0,3799999.9999999995,2600.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.6E-5,0.068,0.068,0.0,410.0,2.3,0.0,0.0,1.6E7,1.0,7.1E8,
