entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.099,0.1683,0.09806,0.05136,0.02968,0.1564,0.08511,0.02249,0.007866,0.1032,0.02924,0.2079,0.2087,
2.097,0.2174,0.09626,0.0509,0.02937,0.1561,0.08496,0.02255,0.007888,0.1036,0.02933,0.2085,0.2106,
2.095,0.1852,0.09595,0.05089,0.029,0.1548,0.08449,0.02257,0.007895,0.1036,0.02936,0.2097,0.2117,
2.095,0.1627,0.09624,0.05046,0.02909,0.1525,0.08399,0.02265,0.00792,0.104,0.02946,0.2105,0.2132,
2.093,0.1593,0.09637,0.05017,0.02917,0.1488,0.08286,0.02273,0.007947,0.1044,0.02957,0.2123,0.2156,
2.098,0.1586,0.1021,0.05031,0.0288,0.1457,0.08264,0.0228,0.007968,0.1047,0.03085,0.2128,0.2113,
2.098,0.1592,0.102,0.05038,0.02885,0.1442,0.0828,0.02284,0.00798,0.1049,0.03091,0.2132,0.2119,
2.097,0.163,0.1011,0.05017,0.02885,0.1439,0.08266,0.02284,0.007981,0.1049,0.03092,0.2143,0.2123,
2.098,0.1593,0.1037,0.04937,0.02873,0.1441,0.08174,0.02294,0.008014,0.1054,0.03136,0.2149,0.2097,
2.097,0.172,0.1039,0.04892,0.02858,0.142,0.08136,0.02295,0.00804,0.1057,0.03146,0.2156,0.2115,
2.101,0.1642,0.1062,0.04897,0.02861,0.14,0.08145,0.02297,0.008046,0.1058,0.03298,0.2154,0.2095,
2.1,0.1636,0.1057,0.04899,0.02862,0.1396,0.08054,0.02298,0.008049,0.1059,0.03299,0.2155,0.2111,
2.102,0.1637,0.1076,0.04844,0.02861,0.1393,0.07979,0.02297,0.008047,0.1058,0.0346,0.2149,0.2099,
2.105,0.1559,0.1106,0.04832,0.02858,0.1389,0.07974,0.02296,0.008041,0.1058,0.03547,0.215,0.2067,
2.105,0.1648,0.1106,0.04834,0.0286,0.1383,0.07918,0.02298,0.008047,0.1059,0.0355,0.2151,0.2075,
2.108,0.1669,0.1105,0.04826,0.02861,0.1382,0.07866,0.02298,0.00805,0.1059,0.03771,0.213,0.2081,
2.106,0.1623,0.11,0.04813,0.02855,0.1378,0.07817,0.02295,0.008038,0.1057,0.03765,0.2148,0.2081,
2.104,0.1623,0.1093,0.04809,0.02853,0.1375,0.07727,0.02293,0.008032,0.1057,0.03762,0.2157,0.2093,
2.103,0.1648,0.1086,0.04803,0.02849,0.1374,0.07655,0.02291,0.008024,0.1056,0.03759,0.2166,0.2102,
2.101,0.1577,0.1082,0.04798,0.02847,0.1373,0.07512,0.02289,0.008018,0.1055,0.03756,0.2175,0.2115,
2.099,0.1636,0.1078,0.04785,0.02841,0.1369,0.07455,0.02285,0.008001,0.1053,0.03748,0.2193,0.2116,
2.1,0.1575,0.1106,0.0478,0.02839,0.1367,0.07318,0.02283,0.007994,0.1052,0.03798,0.2196,0.2097,
2.097,0.1588,0.1099,0.04745,0.02837,0.1366,0.07208,0.02281,0.00799,0.1051,0.03796,0.2206,0.2111,
2.111,0.1517,0.1184,0.04744,0.02839,0.1364,0.07184,0.02283,0.007996,0.1052,0.04287,0.2159,0.2027,
2.109,0.1574,0.1181,0.04747,0.02841,0.1362,0.07028,0.02285,0.008002,0.1053,0.04317,0.2158,0.2045,
2.11,0.1546,0.1178,0.0474,0.02837,0.1353,0.06964,0.02282,0.007991,0.1051,0.04475,0.216,0.2048,
2.109,0.164,0.1174,0.04732,0.02831,0.135,0.06931,0.02281,0.007987,0.1051,0.04473,0.217,0.205,
2.113,0.1586,0.1172,0.04734,0.02832,0.1349,0.06934,0.02282,0.007991,0.1051,0.04734,0.2145,0.2051,
2.111,0.1572,0.1165,0.04736,0.02833,0.1348,0.0674,0.02283,0.007993,0.1052,0.04736,0.2146,0.2076,
2.111,0.1603,0.118,0.04728,0.02828,0.1344,0.06729,0.02279,0.007979,0.105,0.04754,0.2161,0.2053,
2.11,0.1605,0.1178,0.0471,0.02811,0.1345,0.06691,0.0228,0.007985,0.1052,0.04745,0.2163,0.2059,
2.106,0.1486,0.117,0.0468,0.02774,0.1342,0.0662,0.02287,0.008283,0.1059,0.0459,0.219,0.2062,
2.103,0.1609,0.116,0.04665,0.02772,0.134,0.06551,0.02272,0.008475,0.1063,0.0447,0.2216,0.2063,
2.131,0.1734,0.1184,0.04688,0.0275,0.1341,0.06561,0.02271,0.02175,0.09368,0.04472,0.2217,0.2029,
2.128,0.1755,0.1172,0.04669,0.02743,0.1343,0.06475,0.02281,0.02185,0.09439,0.04355,0.2236,0.2034,
2.128,0.177,0.1167,0.04694,0.02749,0.134,0.06493,0.0227,0.02225,0.09433,0.04332,0.2238,0.2035,
