RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9887000.0,
4547000.0,2405000.0,1387000.0,7373000.0,4013000.0,1065000.0,372600.0,4892000.0,1386000.0,9849000.0,9947000.0,
4528000.0,2402000.0,1369000.0,7306000.0,3988000.0,1065000.0,372600.0,4892000.0,1386000.0,9898000.0,9989000.0,
4526000.0,2373000.0,1368000.0,7173000.0,3950000.0,1065000.0,372500.0,4892000.0,1386000.0,9898000.0,1.003E7,
4515000.0,2351000.0,1367000.0,6974000.0,3882000.0,1065000.0,372300.0,4892000.0,1385000.0,9948000.0,1.01E7,
4771000.0,2351000.0,1346000.0,6809000.0,3861000.0,1065000.0,372300.0,4892000.0,1442000.0,9941000.0,9873000.0,
4755000.0,2349000.0,1345000.0,6725000.0,3861000.0,1065000.0,372100.0,4892000.0,1441000.0,9941000.0,9880000.0,
4713000.0,2339000.0,1345000.0,6709000.0,3853000.0,1065000.0,372100.0,4892000.0,1441000.0,9991000.0,9895000.0,
4816000.0,2292000.0,1334000.0,6690000.0,3795000.0,1065000.0,372100.0,4892000.0,1456000.0,9976000.0,9737000.0,
4807000.0,2264000.0,1323000.0,6570000.0,3765000.0,1062000.0,372000.0,4892000.0,1456000.0,9976000.0,9788000.0,
4910000.0,2264000.0,1322000.0,6470000.0,3765000.0,1062000.0,371900.0,4892000.0,1524000.0,9958000.0,9685000.0,
4884000.0,2264000.0,1322000.0,6451000.0,3721000.0,1062000.0,371900.0,4892000.0,1524000.0,9958000.0,9754000.0,
4974000.0,2238000.0,1322000.0,6436000.0,3688000.0,1062000.0,371900.0,4892000.0,1599000.0,9933000.0,9699000.0,
5114000.0,2234000.0,1322000.0,6421000.0,3688000.0,1062000.0,371800.0,4892000.0,1640000.0,9941000.0,9557000.0,
5110000.0,2233000.0,1322000.0,6391000.0,3659000.0,1062000.0,371800.0,4892000.0,1640000.0,9941000.0,9586000.0,
5104000.0,2229000.0,1322000.0,6386000.0,3634000.0,1062000.0,371800.0,4892000.0,1742000.0,9840000.0,9611000.0,
5087000.0,2227000.0,1321000.0,6376000.0,3616000.0,1062000.0,371800.0,4892000.0,1742000.0,9938000.0,9629000.0,
