cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1605.0,164.5,183.8,154.6,0.04903,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1339,0.6707,0.6161,0.07124,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1,100.1,37.73,821.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,6.762,11.94,64.07,42.59,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,83370.0,89590.0,47810.0,2.239E7,45540.0,21470.0,24240.0,13490.0,24790.0,0.0,4.68E-36,2.439E-36,1.4120000000000002E-35,1.6810000000000002E-35,2.147E-36,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.195,3.037,1.58,0.2256,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.00942,0.01029,0.006469,0.2457,0.01391,0.001641,6.993E-4,0.005386,9.758E-4,
0.0,1606.0,159.4,185.5,154.8,0.0472,4.866,0.2191,0.1614,0.9741,0.4046,0.0,343.6,0.13,0.664,0.5828,0.07641,0.1976,0.05777,0.0959,4.434,11.33,0.0,343.6,0.13,0.664,0.5828,0.07641,0.1976,0.05777,0.0959,4.434,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.7,105.7,35.62,798.0,175.0,2.846,2.911,28.07,3.309,0.0,51.86,5.913,10.63,57.47,41.35,0.1228,0.01351,0.01544,0.01182,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,618.6,78030.0,83760.0,48480.0,2.146E7,42960.0,20360.0,23020.0,13070.0,23660.0,0.0,5.096E-36,2.2640000000000002E-36,1.3850000000000002E-35,1.657E-35,2.192E-36,3.5409999999999997E-37,1.124E-38,7.691999999999999E-39,4.624E-38,2.162E-38,2.08E-35,0.0,0.7114,1.134,3.014,1.56,0.2339,0.03156,0.003707,0.002688,0.01608,0.009723,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,2.297E-4,0.009381,0.01017,0.006374,0.2443,0.01388,0.001643,7.183E-4,0.005309,9.803E-4,
0.0,1600.0,167.6,183.3,156.6,0.04999,5.055,0.2306,0.1746,0.9933,0.4103,0.0,343.6,0.1298,0.6654,0.5771,0.0726,0.1945,0.05625,0.09378,4.409,11.36,0.0,343.6,0.1298,0.6654,0.5771,0.0726,0.1945,0.05625,0.09378,4.409,11.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.2,107.5,39.37,785.9,163.9,4.164,3.72,30.14,4.22,0.0,51.05,5.582,9.571,56.75,41.0,0.07704,0.01333,0.01526,0.01177,0.01374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.186E-4,0.0,913.1,74900.0,79760.0,45700.0,2.079E7,40750.0,19810.0,22390.0,12990.0,23070.0,0.0,4.7270000000000004E-36,2.263E-36,1.353E-35,1.651E-35,2.136E-36,4.363E-37,1.185E-38,8.089E-39,4.633E-38,2.208E-38,2.08E-35,0.0,0.6712,1.198,2.964,1.58,0.2293,0.03312,0.00375,0.002711,0.01619,0.009761,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,5.209E-4,0.009361,0.01012,0.006407,0.2437,0.01344,0.001663,7.251E-4,0.005347,9.89E-4,
0.0,1604.0,163.3,187.4,153.3,0.04999,4.998,0.2312,0.1718,1.001,0.4058,0.0,343.6,0.1266,0.6664,0.5504,0.0708,0.2073,0.05199,0.07999,2.92,12.87,0.0,343.6,0.1266,0.6664,0.5504,0.0708,0.2073,0.05199,0.07999,2.92,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.3,100.2,39.69,774.2,163.9,4.073,3.486,30.48,3.914,0.0,51.05,5.481,9.418,55.66,41.57,0.04029,0.01325,0.01517,0.01175,0.01368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.959E-4,0.0,1195.0,74640.0,77560.0,44380.0,2.096E7,40240.0,19930.0,22520.0,13060.0,23190.0,0.0,5.355E-36,2.2480000000000002E-36,1.348E-35,1.576E-35,2.133E-36,4.327E-37,1.179E-38,7.934E-39,4.579E-38,2.185E-38,2.08E-35,0.0,0.7194,1.162,2.995,1.53,0.2291,0.03308,0.00375,0.002665,0.0163,0.009688,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,7.529E-4,0.00936,0.01011,0.006269,0.2427,0.01331,0.00167,7.058E-4,0.005378,9.694E-4,
0.0,1607.0,164.5,186.2,153.4,0.1454,9.328,0.23,0.1719,1.001,0.4058,0.0,343.6,0.1248,0.6732,0.5246,0.0705,0.2239,0.05115,0.07962,2.908,12.89,0.0,343.6,0.1248,0.6732,0.5246,0.0705,0.2239,0.05115,0.07962,2.908,12.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.1,104.2,39.43,755.8,163.8,3.993,3.446,30.52,3.876,0.0,51.37,5.507,10.78,42.44,40.54,0.03264,0.01302,0.01492,0.01171,0.01349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3690.0,74710.0,80380.0,42560.0,2.171E7,40490.0,20220.0,22910.0,13140.0,23660.0,0.0,5.633E-36,2.2030000000000002E-36,1.338E-35,1.477E-35,2.1160000000000002E-36,1.0550000000000001E-36,1.164E-38,7.904999999999999E-39,4.519E-38,2.183E-38,2.08E-35,0.0,0.766,1.154,2.987,1.427,0.2267,0.0728,0.003732,0.002664,0.01632,0.009687,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,9.005E-4,0.009429,0.01001,0.006194,0.2413,0.0132,0.001661,6.952E-4,0.005381,9.613E-4,
0.0,1596.0,174.9,183.8,153.7,0.1454,7.274,0.2333,0.1728,1.006,0.4061,0.0,343.6,0.1265,0.6826,0.4976,0.0704,0.2365,0.05088,0.07956,3.227,12.57,0.0,343.6,0.1265,0.6826,0.4976,0.0704,0.2365,0.05088,0.07956,3.227,12.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.7,102.7,40.23,729.2,163.7,3.93,3.283,30.6,3.817,0.0,50.3,5.516,10.76,42.39,40.42,0.03008,0.01305,0.01492,0.01173,0.01351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3800.0,76260.0,81650.0,43800.0,2.287E7,41600.0,21000.0,23850.0,13340.0,24660.0,0.0,4.852E-36,2.2420000000000003E-36,1.321E-35,1.5020000000000002E-35,2.1100000000000003E-36,7.714E-37,1.11E-38,8.039E-39,4.495E-38,2.185E-38,2.08E-35,0.0,0.6598,1.245,2.962,1.44,0.226,0.05408,0.003736,0.002633,0.01634,0.009691,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,9.613E-4,0.009479,0.01001,0.00613,0.2403,0.01313,0.001657,6.83E-4,0.005402,9.558E-4,
0.0,1578.0,182.4,192.8,155.0,0.1453,6.009,0.2393,0.177,0.9929,0.4126,0.0,343.6,0.1277,0.6835,0.4996,0.07184,0.2337,0.05397,0.1171,2.927,12.82,0.0,343.6,0.1277,0.6835,0.4996,0.07184,0.2337,0.05397,0.1171,2.927,12.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.2,98.04,40.33,696.4,163.7,3.899,3.564,30.01,4.063,0.0,48.58,5.552,10.75,42.36,40.33,0.03015,0.01294,0.01489,0.01147,0.01351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3921.0,80020.0,83660.0,45600.0,2.433E7,43230.0,22070.0,25220.0,13410.0,26060.0,0.0,3.746E-36,2.249E-36,1.319E-35,1.513E-35,2.104E-36,5.605E-37,1.096E-38,8.371E-39,4.384E-38,2.213E-38,2.08E-35,0.0,0.5093,1.312,3.019,1.451,0.2252,0.04227,0.003735,0.002744,0.01614,0.009789,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,0.001112,0.00951,0.009986,0.006116,0.2399,0.01297,0.001657,7.139E-4,0.005337,9.844E-4,
0.0,1580.0,182.4,189.8,153.5,0.1501,5.99,0.2392,0.1763,1.007,0.4081,0.0,343.6,0.1301,0.6817,0.4953,0.07017,0.2324,0.05235,0.09499,1.739,14.04,0.0,343.6,0.1301,0.6817,0.4953,0.07017,0.2324,0.05235,0.09499,1.739,14.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.3,101.6,38.57,675.4,163.5,3.646,3.244,30.22,3.626,0.0,48.58,5.563,10.74,42.07,40.53,0.04614,0.03008,0.03346,0.005741,0.02761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.976E-4,0.0,4086.0,86040.0,85030.0,54950.0,2.588E7,41120.0,18280.0,21210.0,12660.0,23340.0,0.0,3.785E-36,2.292E-36,1.2960000000000001E-35,1.507E-35,2.108E-36,5.54E-37,1.088E-38,8.37E-39,4.362E-38,2.197E-38,2.08E-35,0.0,0.5306,1.317,2.98,1.442,0.2261,0.04223,0.003747,0.002742,0.01622,0.009723,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,0.00126,0.009584,0.009897,0.006223,0.2394,0.01277,0.00154,5.896E-4,0.005339,8.74E-4,
0.0,1580.0,174.9,189.8,142.4,0.1451,5.176,0.2396,0.1746,1.01,0.4071,0.0,343.6,0.1254,0.719,0.4798,0.06891,0.2114,0.05256,0.0916,1.51,14.27,0.0,343.6,0.1254,0.719,0.4798,0.06891,0.2114,0.05256,0.0916,1.51,14.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.9,97.02,38.95,644.7,163.5,3.758,3.275,30.37,3.663,0.0,48.58,9.246,16.92,50.63,40.52,0.05037,0.03159,0.03504,0.006084,0.02886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,4297.0,89470.0,86060.0,57450.0,2.734E7,42850.0,19090.0,22210.0,12780.0,24500.0,0.0,3.785E-36,2.272E-36,1.308E-35,1.4930000000000002E-35,2.075E-36,4.284E-37,1.078E-38,8.309E-39,4.335E-38,2.192E-38,2.08E-35,0.0,0.5307,1.283,3.025,1.439,0.2188,0.0347,0.003752,0.002718,0.01627,0.009711,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,0.001453,0.009593,0.009769,0.006291,0.2387,0.0126,0.001556,5.951E-4,0.005352,8.812E-4,
0.0,1580.0,176.0,189.3,145.6,0.1604,5.061,0.2509,0.1738,1.0,0.4084,0.0,343.6,0.1255,0.729,0.4575,0.08003,0.2111,0.05332,0.09147,1.501,14.28,0.0,343.6,0.1255,0.729,0.4575,0.08003,0.2111,0.05332,0.09147,1.501,14.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.2,100.5,37.2,632.4,163.9,4.288,3.693,29.99,4.064,0.0,48.58,3.807,15.44,59.69,34.26,0.05332,0.04303,0.04762,0.008177,0.03834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75E-4,0.0,4459.0,93830.0,87830.0,64690.0,2.882E7,46630.0,22650.0,26200.0,13480.0,27950.0,0.0,3.785E-36,2.404E-36,1.275E-35,1.501E-35,1.9970000000000002E-36,4.224E-37,1.093E-38,8.419E-39,4.279E-38,2.207E-38,2.08E-35,0.0,0.5308,1.341,2.945,1.462,0.2163,0.03469,0.003819,0.002738,0.01612,0.009756,0.0,0.0,2.522E-4,1.097E-4,8.238E-4,0.9961,0.001034,4.138E-4,5.43E-4,6.295E-5,6.595E-4,0.0,0.001538,0.009791,0.009729,0.00622,0.2374,0.01257,0.001612,6.365E-4,0.005397,9.284E-4,
