entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.174,0.1683,0.1432,0.075,0.04334,0.2284,0.1243,0.03284,0.01149,0.1508,0.04271,0.07397,0.07397,
2.097,0.1796,0.09665,0.05093,0.02973,0.1555,0.08417,0.02258,0.007898,0.1037,0.02936,0.2087,0.2108,
2.1,0.1766,0.0994,0.05103,0.02972,0.1526,0.08266,0.02266,0.007926,0.1041,0.03051,0.2085,0.211,
2.099,0.1622,0.09907,0.05105,0.02973,0.1512,0.08183,0.02268,0.007932,0.1041,0.03054,0.2097,0.2121,
2.098,0.1633,0.09837,0.05096,0.02979,0.1498,0.08133,0.02275,0.007955,0.1045,0.03063,0.2104,0.2135,
2.1,0.1726,0.09985,0.05075,0.0298,0.1499,0.08079,0.02279,0.00797,0.1047,0.03158,0.2109,0.211,
2.105,0.174,0.1039,0.05082,0.02985,0.15,0.07964,0.02285,0.007988,0.1049,0.03274,0.2104,0.207,
2.104,0.1687,0.1024,0.05085,0.02988,0.1501,0.07883,0.02289,0.008003,0.1051,0.0328,0.2108,0.2083,
2.1,0.162,0.1011,0.0509,0.02954,0.149,0.07716,0.02293,0.008013,0.1053,0.03286,0.2122,0.2109,
2.1,0.156,0.1007,0.05097,0.02959,0.1476,0.07671,0.02297,0.008025,0.1055,0.03292,0.2126,0.2124,
2.099,0.1554,0.09999,0.05096,0.02962,0.1466,0.07625,0.02303,0.008045,0.1058,0.033,0.2132,0.2136,
2.098,0.1462,0.09939,0.05089,0.02959,0.1464,0.07605,0.02297,0.008037,0.1057,0.03297,0.214,0.214,
2.097,0.1548,0.09946,0.05092,0.02961,0.1459,0.07548,0.02296,0.008042,0.1058,0.03299,0.2142,0.2148,
2.108,0.1636,0.107,0.05092,0.02961,0.1457,0.0755,0.02296,0.008045,0.1058,0.03603,0.2112,0.2072,
2.114,0.1633,0.113,0.05089,0.02962,0.1457,0.07464,0.02297,0.008048,0.1059,0.03781,0.2095,0.202,
2.114,0.173,0.1128,0.05084,0.02962,0.1456,0.07467,0.02298,0.008051,0.1059,0.03783,0.2096,0.2021,
2.119,0.1526,0.1103,0.05079,0.02957,0.145,0.07466,0.02298,0.008049,0.1059,0.04196,0.2065,0.2043,
2.118,0.1545,0.1094,0.05076,0.02956,0.1445,0.07466,0.02298,0.008049,0.1059,0.04196,0.2075,0.2048,
2.118,0.1532,0.1093,0.05078,0.02958,0.1441,0.07424,0.02296,0.008054,0.1059,0.04198,0.2076,0.2054,
2.118,0.1565,0.1093,0.0508,0.02958,0.144,0.07427,0.02297,0.008056,0.106,0.042,0.2077,0.2054,
2.117,0.1624,0.1089,0.05077,0.02957,0.1435,0.07395,0.02295,0.008051,0.1059,0.04197,0.2086,0.2059,
2.118,0.1419,0.1089,0.0508,0.02959,0.1428,0.07388,0.02294,0.008058,0.106,0.04279,0.208,0.2062,
2.118,0.1444,0.1084,0.05076,0.02957,0.1426,0.07385,0.02293,0.008055,0.106,0.04321,0.2085,0.2062,
2.117,0.1358,0.1078,0.05056,0.02956,0.1422,0.07384,0.02293,0.008053,0.1059,0.0432,0.2095,0.2064,
2.117,0.1413,0.1078,0.05049,0.02956,0.1421,0.0735,0.02293,0.008055,0.106,0.04321,0.2096,0.2068,
2.116,0.1357,0.1075,0.05044,0.02954,0.1418,0.0731,0.02292,0.00805,0.1059,0.04318,0.2105,0.207,
2.114,0.1372,0.1085,0.05046,0.02955,0.1416,0.07041,0.02293,0.008054,0.1059,0.0436,0.2102,0.2088,
2.112,0.1427,0.1081,0.05048,0.02929,0.1415,0.06947,0.02294,0.008058,0.106,0.04362,0.2103,0.2102,
2.108,0.1472,0.1072,0.05037,0.02882,0.1413,0.06754,0.0229,0.008043,0.1058,0.04354,0.212,0.2125,
2.119,0.1371,0.1128,0.05035,0.02881,0.1412,0.06699,0.02291,0.008049,0.1059,0.04854,0.2072,0.2073,
2.118,0.1348,0.1125,0.05029,0.0288,0.141,0.06666,0.0229,0.008044,0.1058,0.04851,0.2081,0.2074,
2.121,0.1464,0.112,0.05031,0.02884,0.1405,0.06664,0.02289,0.008824,0.1063,0.04883,0.2075,0.2074,
2.12,0.1325,0.111,0.05027,0.02889,0.1408,0.06682,0.02293,0.008818,0.1066,0.04814,0.2084,0.2073,
