RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4647000.0,2434000.0,1406000.0,7412000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,2400000.0,2400000.0,
4561000.0,2404000.0,1403000.0,7340000.0,3972000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9947000.0,
4673000.0,2399000.0,1397000.0,7173000.0,3886000.0,1065000.0,372600.0,4892000.0,1434000.0,9800000.0,9919000.0,
4653000.0,2398000.0,1396000.0,7103000.0,3844000.0,1065000.0,372600.0,4892000.0,1434000.0,9849000.0,9962000.0,
4606000.0,2386000.0,1395000.0,7015000.0,3808000.0,1065000.0,372400.0,4892000.0,1434000.0,9849000.0,9997000.0,
4666000.0,2371000.0,1392000.0,7005000.0,3775000.0,1065000.0,372400.0,4892000.0,1476000.0,9857000.0,9859000.0,
4842000.0,2369000.0,1391000.0,6991000.0,3713000.0,1065000.0,372400.0,4892000.0,1526000.0,9807000.0,9649000.0,
4766000.0,2366000.0,1390000.0,6981000.0,3668000.0,1065000.0,372300.0,4892000.0,1526000.0,9807000.0,9693000.0,
4693000.0,2363000.0,1372000.0,6918000.0,3583000.0,1065000.0,372100.0,4892000.0,1526000.0,9856000.0,9795000.0,
4670000.0,2363000.0,1372000.0,6840000.0,3556000.0,1065000.0,372000.0,4892000.0,1526000.0,9856000.0,9845000.0,
4623000.0,2356000.0,1369000.0,6776000.0,3525000.0,1065000.0,371900.0,4892000.0,1526000.0,9856000.0,9875000.0,
4600000.0,2355000.0,1369000.0,6776000.0,3519000.0,1063000.0,371900.0,4892000.0,1526000.0,9905000.0,9901000.0,
4600000.0,2355000.0,1369000.0,6746000.0,3491000.0,1062000.0,371900.0,4892000.0,1526000.0,9905000.0,9932000.0,
4946000.0,2354000.0,1369000.0,6736000.0,3491000.0,1062000.0,371900.0,4892000.0,1666000.0,9765000.0,9581000.0,
5221000.0,2352000.0,1369000.0,6731000.0,3449000.0,1062000.0,371900.0,4892000.0,1747000.0,9683000.0,9335000.0,
5210000.0,2348000.0,1368000.0,6726000.0,3449000.0,1062000.0,371900.0,4892000.0,1747000.0,9683000.0,9335000.0,
5098000.0,2347000.0,1366000.0,6701000.0,3449000.0,1062000.0,371900.0,4892000.0,1939000.0,9539000.0,9440000.0,
5054000.0,2345000.0,1366000.0,6676000.0,3449000.0,1062000.0,371900.0,4892000.0,1939000.0,9587000.0,9461000.0,
5049000.0,2345000.0,1366000.0,6656000.0,3428000.0,1060000.0,371900.0,4892000.0,1939000.0,9587000.0,9484000.0,
5043000.0,2345000.0,1366000.0,6646000.0,3428000.0,1060000.0,371900.0,4892000.0,1939000.0,9587000.0,9484000.0,
5029000.0,2345000.0,1366000.0,6627000.0,3416000.0,1060000.0,371900.0,4892000.0,1939000.0,9635000.0,9511000.0,
5024000.0,2344000.0,1366000.0,6592000.0,3410000.0,1059000.0,371900.0,4892000.0,1975000.0,9599000.0,9518000.0,
5005000.0,2343000.0,1365000.0,6582000.0,3410000.0,1059000.0,371900.0,4892000.0,1995000.0,9627000.0,9518000.0,
4977000.0,2335000.0,1365000.0,6566000.0,3410000.0,1059000.0,371900.0,4892000.0,1995000.0,9675000.0,9531000.0,
4977000.0,2331000.0,1364000.0,6560000.0,3393000.0,1059000.0,371900.0,4892000.0,1995000.0,9675000.0,9547000.0,
4967000.0,2330000.0,1364000.0,6551000.0,3377000.0,1059000.0,371900.0,4892000.0,1995000.0,9723000.0,9564000.0,
5010000.0,2330000.0,1364000.0,6536000.0,3251000.0,1059000.0,371900.0,4892000.0,2013000.0,9705000.0,9641000.0,
4990000.0,2330000.0,1352000.0,6531000.0,3206000.0,1059000.0,371900.0,4892000.0,2013000.0,9705000.0,9699000.0,
4957000.0,2329000.0,1333000.0,6531000.0,3123000.0,1059000.0,371900.0,4892000.0,2013000.0,9802000.0,9824000.0,
5213000.0,2326000.0,1331000.0,6522000.0,3095000.0,1059000.0,371900.0,4892000.0,2243000.0,9573000.0,9576000.0,
5199000.0,2325000.0,1331000.0,6517000.0,3081000.0,1059000.0,371900.0,4892000.0,2243000.0,9621000.0,9589000.0,
5179000.0,2327000.0,1334000.0,6497000.0,3081000.0,1059000.0,408000.0,4914000.0,2258000.0,9595000.0,9589000.0,
5137000.0,2326000.0,1337000.0,6512000.0,3091000.0,1061000.0,408000.0,4933000.0,2227000.0,9643000.0,9589000.0,
5116000.0,2335000.0,1339000.0,6497000.0,3052000.0,1061000.0,423400.0,4975000.0,2169000.0,9643000.0,9628000.0,
5104000.0,2338000.0,1343000.0,6487000.0,3034000.0,1067000.0,423400.0,5001000.0,2137000.0,9643000.0,9646000.0,
5265000.0,2351000.0,1344000.0,6502000.0,3010000.0,1075000.0,421300.0,5095000.0,2049000.0,9632000.0,9475000.0,
5234000.0,2361000.0,1330000.0,6506000.0,2998000.0,1063000.0,433400.0,5114000.0,2127000.0,9570000.0,9516000.0,
