bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,1,0,0,0,0,0,0,0,0,0,0,1393,186.8,138.5,64.91,0.07159,3.083,0.5663,0.3116,0.3746,0.6156,0,344,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0,344,0.1077,1.797,0.08994,0.1572,0.2836,0.1136,0.05162,1.627,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,185.9,71.15,39.93,1167,224.4,4.838,3.404,6.583,2.216,0,108.7,2.867,6.098,59.1,34.48,0.6775,0.004553,0.005819,0.01764,0.1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,1.00E-04,0,0,99870,86310,49720,2.94E+07,30850,20340,26720,21970,23110,0,1.81E-37,9.83E-38,6.56E-37,4.45E-37,4.24E-38,1.30E-38,3.30E-39,1.53E-39,1.69E-39,1.45E-38,2.08E-35,0,0.2941,1.016,1.778,0.8056,0.1659,0.02714,0.00603,0.003031,0.004104,0.03369,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.00E-05,0.001644,0.001916,0.001441,0.1712,0.005009,0.001035,5.41E-04,4.75E-04,2.78E-04
0,1,0,0,0,0,0,0,0,0,0,0,1394,177.9,139.3,67.73,0.002771,2.672,0.5862,0.3383,0.3725,0.1141,0,344,0.106,1.396,0.09739,0.157,0.2517,0.1317,0.05032,1.702,12.28,0,344,0.106,1.396,0.09739,0.157,0.2517,0.1317,0.05032,1.702,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0,208.2,72.1,42.26,1125,210.7,8.077,6.634,7.739,3.229,0,108.7,2.793,5.664,57.13,34.49,0.6675,0.004736,0.006139,0.01302,0.1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,8.18E-04,0,164.5,91940,77650,45220,2.74E+07,28620,18920,25240,19880,21380,0,1.83E-37,9.16E-38,6.65E-37,4.50E-37,4.23E-38,1.11E-38,3.36E-39,1.61E-39,1.26E-39,2.62E-39,2.08E-35,0,0.2979,0.9707,1.807,0.8128,0.1658,0.02363,0.006164,0.003184,0.002252,0.005184,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,3.82E-05,0.001614,0.001923,0.001436,0.1702,0.004872,0.001023,5.71E-04,4.70E-04,2.81E-04
0,1,0,0,0,0,0,0,0,0,0,0,1396,178.6,143.4,75.67,0.001337,3.284,0.5298,0.2826,0.3457,0.1036,0,344,0.1014,1.343,0.1073,0.1544,0.2823,0.1183,0.04256,0.4684,13.5,0,344,0.1014,1.343,0.1073,0.1544,0.2823,0.1183,0.04256,0.4684,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7,68.63,46.79,1069,223.5,4.138,3.573,5.609,1.854,0,108.7,3.182,6.29,37.21,34.56,0.663,0.04549,0.0161,0.02513,0.1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,6.30E-04,0,451.9,86880,72290,44300,2.65E+07,27570,18300,24410,18910,20390,0,1.89E-37,9.51E-38,6.58E-37,4.34E-37,4.03E-38,1.45E-38,2.41E-39,1.22E-39,9.21E-40,2.54E-39,2.08E-35,0,0.3152,0.9742,1.792,0.786,0.1627,0.03184,0.005212,0.002642,0.001872,0.005024,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.28E-04,0.00158,0.001867,0.001496,0.1698,0.004797,0.001006,5.59E-04,4.62E-04,2.76E-04
0,1,0,0,0,0,0,0,0,0,0,0,1396,176.9,140.3,82.52,0.001636,2.743,0.4985,0.2375,0.3389,0.095,0,344,0.08269,1.435,0.06031,0.1555,0.261,0.1147,0.03555,0.5084,13.46,0,344,0.08269,1.435,0.06031,0.1555,0.261,0.1147,0.03555,0.5084,13.46,0,0,0,0,0,0,0,0,0,0,0,0,0,215.4,53.02,55.18,1030,228.1,3.655,1.893,5.747,1.785,0,111.8,3.272,9.104,32.61,31.72,0.6592,0.02475,0.01091,0.01849,0.1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,6.81E-04,0,917.9,88240,71520,42880,2.70E+07,27170,18410,24710,18640,20330,0,1.95E-37,8.44E-38,6.60E-37,4.37E-37,3.91E-38,1.22E-38,2.06E-39,9.95E-40,8.02E-40,2.49E-39,2.08E-35,0,0.3234,0.9539,1.802,0.7959,0.1614,0.02601,0.004663,0.002225,0.001699,0.004931,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.73E-04,0.001621,0.001732,0.001564,0.1704,0.004687,0.001007,5.53E-04,4.67E-04,2.75E-04
0,0.9984,0.001573,0,0,0,0,0,0,0,0,0,1385,182.2,148,83.72,0.5773,2.631,0.5375,0.2716,0.3564,0.1823,0,344,0.08588,1.395,0.07692,0.1633,0.2541,0.1163,0.0374,0.4018,13.58,0,344,0.08588,1.395,0.07692,0.1633,0.2541,0.1163,0.0374,0.4018,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,218.1,51.92,56.91,1004,227.3,3.702,2.137,5.615,1.766,0,109.1,3.119,10.6,28.69,31.89,0.658,0.01741,0.01117,0.02337,0.05762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9984,15.67,0,0,0,0,0,0,0,0,4.55E-04,0,951.7,88370,71960,46190,2.75E+07,26990,17870,24910,17150,21970,0,1.64E-37,8.89E-38,6.52E-37,4.35E-37,4.24E-38,1.17E-38,2.16E-39,1.12E-39,8.44E-40,1.75E-39,2.08E-35,0,0.2723,0.9693,1.825,0.8018,0.1629,0.02519,0.004865,0.00246,0.001794,0.004238,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.77E-04,0.001622,0.00169,0.001598,0.1694,0.004596,0.001004,5.51E-04,4.58E-04,2.95E-04
0,0.9984,0.001573,0,0,0,0,0,0,0,0,0,1385,179.9,144.2,86.93,0.001498,2.489,0.6101,0.3176,0.3849,0.122,0,344,0.1129,1.36,0.08297,0.1509,0.2445,0.121,0.04024,0.4012,13.58,0,344,0.1129,1.36,0.08297,0.1509,0.2445,0.121,0.04024,0.4012,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,211.8,99.05,27.29,978.8,226.3,3.917,2.215,5.648,1.854,0,109.1,3.062,8.222,30.97,32.34,0.6569,0.01287,0.01001,0.02172,0.1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9984,12.79,0,0,0,0,0,0,0,0,4.83E-04,0,1103,91800,75100,44540,2.89E+07,27450,17870,25800,16100,21780,0,1.64E-37,7.67E-38,6.39E-37,4.50E-37,3.77E-38,1.11E-38,2.74E-39,1.38E-39,1.05E-39,1.81E-39,2.08E-35,0,0.2724,0.9744,1.787,0.8227,0.1564,0.02415,0.005684,0.002877,0.002095,0.00434,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,2.53E-04,0.001517,0.002059,0.001347,0.1701,0.004494,0.001003,5.51E-04,4.56E-04,2.95E-04
0,0.9984,0.001573,0,0,0,0,0,0,0,0,0,1387,176.7,146,86.31,0.001784,3.515,0.6026,0.3157,0.3828,0.123,0,344,0.09118,1.38,0.07643,0.1551,0.2437,0.1211,0.04025,0.4012,13.58,0,344,0.09118,1.38,0.07643,0.1551,0.2437,0.1211,0.04025,0.4012,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,211.8,99.91,28.12,914.8,223.8,4.319,2.246,5.715,2.122,0,109.1,3.059,6.703,28.7,32.97,2.09,0.01192,0.009741,0.02121,0.1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9984,12.79,0,0,0,0,0,0,0,0,1.00E-04,0,1137,95920,67620,46120,3.03E+07,28260,18140,26810,15680,22000,0,1.73E-37,6.83E-38,6.32E-37,4.40E-37,3.82E-38,1.95E-38,2.68E-39,1.36E-39,1.03E-39,1.81E-39,2.08E-35,0,0.2892,0.9369,1.807,0.8187,0.1449,0.03568,0.005612,0.002858,0.002075,0.004348,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,2.67E-04,0.001509,0.002001,0.001328,0.1698,0.004495,0.001002,5.50E-04,4.54E-04,2.96E-04
0,0.998,0.002037,0,0,0,0,0,0,0,0,0,1382,183.6,144.5,91.02,0.2171,2.607,0.6244,0.3171,0.3854,0.1256,0,344,0.1058,1.354,0.08499,0.1556,0.2435,0.1223,0.04043,0.4016,13.58,0,344,0.1058,1.354,0.08499,0.1556,0.2435,0.1223,0.04043,0.4016,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,213.9,100.5,30.49,863.2,215.7,5.849,2.529,6.426,3.189,0,107.9,3.156,6.274,26.83,32.93,0.6576,0.01003,0.009252,0.02051,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9980,17.54,0,0,0,0,0,0,0,0,1.45E-04,0,1183,99770,68230,47350,3.19E+07,29090,18670,28040,15710,22550,0,1.60E-37,8.31E-38,6.14E-37,4.50E-37,3.83E-38,1.18E-38,2.79E-39,1.36E-39,1.04E-39,1.82E-39,2.08E-35,0,0.2675,0.9739,1.779,0.8356,0.1476,0.02527,0.00583,0.002867,0.002095,0.004374,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,2.73E-04,0.001515,0.001989,0.001335,0.1695,0.004465,0.001011,5.51E-04,4.54E-04,2.97E-04
0,0.998,0.002037,0,0,0,0,0,0,0,0,0,1384,168,159,92.17,0.003039,2.464,0.6274,0.3172,0.386,0.1261,0,344.1,0.09873,1.373,0.07693,0.1555,0.2374,0.122,0.04045,0.4016,13.59,0,344.1,0.09873,1.373,0.07693,0.1555,0.2374,0.122,0.04045,0.4016,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,222.7,100.5,31.07,819.9,214.2,6.075,2.541,6.46,3.348,0,107.9,3.214,7.023,23.79,33.12,0.6584,0.009388,0.009079,0.02022,0.1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9980,17.54,0,0,0,0,0,0,0,0,4.14E-04,0,1266,102900,68960,47810,3.30E+07,29790,18710,28810,15020,22800,0,1.69E-37,7.23E-38,6.23E-37,4.39E-37,3.83E-38,1.09E-38,2.80E-39,1.36E-39,1.04E-39,1.82E-39,2.08E-35,0,0.2842,0.8999,1.853,0.8182,0.1476,0.02377,0.005858,0.002869,0.002099,0.004378,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,3.06E-04,0.001536,0.001967,0.00131,0.1682,0.004388,0.001009,5.49E-04,4.50E-04,2.96E-04
0,0.9958,0.00422,0,0,0,0,0,0,0,0,0,1368,186.9,159,96.23,0.003317,2.784,0.651,0.2948,0.3916,0.1305,0,344.1,0.09813,1.371,0.0767,0.1551,0.2308,0.1261,0.04104,0.4019,13.59,0,344.1,0.09813,1.371,0.0767,0.1551,0.2308,0.1261,0.04104,0.4019,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,225.5,103.3,31.31,795.1,214.3,6.159,2.476,6.441,3.336,0,103.8,5.431,6.774,18.32,33.04,0.6508,0.008655,0.008746,0.01883,0.1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9958,39.09,0,0,0,0,0,0,0,0,1.00E-04,0,1386,100700,69110,46350,3.18E+07,28670,17970,27760,14260,21980,0,1.31E-37,9.91E-38,6.15E-37,4.35E-37,3.82E-38,1.21E-38,2.82E-39,1.22E-39,1.06E-39,1.84E-39,2.08E-35,0,0.2254,0.9653,1.851,0.8058,0.1474,0.02609,0.00591,0.00262,0.002135,0.004409,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,3.32E-04,0.00154,0.00196,0.001307,0.1688,0.004346,0.001007,5.49E-04,4.47E-04,2.95E-04
