bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,0,1,0,0,0,0,0,0,0,0,0,1393,186,138.5,65.7,0.07158,3.083,0.5663,0.3116,0.3746,0.6156,0,344,0.1181,1.797,0.0899,0.1471,0.2819,0.1144,0.05181,1.627,11.94,0,344,0.1181,1.797,0.0899,0.1471,0.2819,0.1144,0.05181,1.627,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,661.2,68.6,38.09,704.5,224.2,2.924,2.353,2.908,1.06,0,108.7,3.576,6.094,59.1,33.79,0.6771,0.001699,0.004253,0.01216,0.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,1.00E-04,0,0,2207000,75020,41570,2.74E+07,29820,11860,22060,5680,17980,0,1.81E-37,9.48E-38,6.56E-37,4.51E-37,3.92E-38,1.30E-38,3.29E-39,1.53E-39,1.67E-39,1.45E-38,2.08E-35,0,0.2941,1.012,1.778,0.8144,0.1608,0.02713,0.00601,0.00302,0.004064,0.03368,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.00E-05,0.01767,0.00183,0.001379,0.1556,0.005001,9.71E-04,5.05E-04,3.52E-04,2.39E-04
0,0,1,0,0,0,0,0,0,0,0,0,1393,176.3,141.4,62.09,0.002449,7.725,0.6322,0.3867,0.3803,0.1092,0,344,0.1096,1.396,0.106,0.1467,0.2519,0.1271,0.04661,1.235,12.75,0,344,0.1096,1.396,0.106,0.1467,0.2519,0.1271,0.04661,1.235,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,705.7,68.55,42.09,678.4,222.9,2.198,1.535,2.606,0.758,0,108.7,3.22,5.749,56.82,33.88,0.6718,0.001679,0.006696,0.008315,0.1534,6.87E-26,0,0,7.08E-05,0,0,0,0,0,0,0,0,3.60E-28,0,0,1.84E-28,3.72E-28,2.44E-29,6.70E-30,1.52E-28,1.94E-28,1.88E-29,6.28E-29,2.94E-27,0,0,1.68E-36,1.22E-34,9.97E-37,1.92E-40,4.42E-39,2.80E-39,3.27E-39,9.13E-38,2.88E-34,0,0,10000,0,0,0,0,0,0,0,0,2.12E-04,0,126.7,1992000,66420,36960,2.52E+07,27820,11090,20720,5205,16530,0,1.83E-37,8.78E-38,6.66E-37,4.29E-37,3.94E-38,3.46E-38,3.52E-39,1.80E-39,1.23E-39,2.60E-39,2.08E-35,0,0.2965,0.9623,1.812,0.775,0.1612,0.06477,0.006395,0.003458,0.002199,0.005143,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,4.06E-05,0.01765,0.001814,0.001392,0.1541,0.00494,9.70E-04,5.04E-04,3.53E-04,2.39E-04
0,0,0.9983,3.08E-04,5.03E-04,0,6.24E-04,3.06E-04,0,0,0,0,1393,147.4,131.2,74.29,9.30E-04,1.693,0.6167,0.3749,0.3773,0.1166,0,344,0.1046,1.388,0.1095,0.1446,0.252,0.1276,0.04619,1.235,12.75,0,344,0.1046,1.388,0.1095,0.1446,0.252,0.1276,0.04619,1.235,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,726.2,68.67,45.54,653.5,228,1.759,1.662,2.675,0.7836,0,108.7,9.186,35.94,43.72,33.91,0.6782,0.003594,0.006844,0.007467,0.1423,2.76E-25,0,0,1.15E-04,1.20E-07,5.81E-08,0,8.10E-08,3.53E-08,0,0,0,1.78E-27,0,3.78E-31,3.69E-27,5.81E-26,8.99E-28,5.87E-28,1.60E-27,3.21E-27,3.12E-28,2.46E-27,2.28E-26,0,8.78E-43,6.71E-34,3.60E-31,3.86E-34,2.81E-36,4.88E-38,7.76E-37,9.65E-37,1.03E-36,4.88E-33,0,0,9987,3.08,5.037,0,6.243,3.056,0,0,0,8.06E-04,0,172.8,1858000,64640,36120,2.46E+07,28610,11430,20340,4879,15930,0,1.83E-37,9.61E-38,6.69E-37,4.31E-37,3.92E-38,8.79E-39,3.45E-39,1.75E-39,1.21E-39,2.58E-39,2.08E-35,0,0.2966,0.8685,1.871,0.7994,0.162,0.01778,0.006282,0.003369,0.002163,0.005113,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,5.93E-05,0.01768,0.001813,0.001345,0.1541,0.004947,9.72E-04,5.03E-04,3.53E-04,2.40E-04
0,0,0.9979,3.75E-04,6.13E-04,0,7.60E-04,3.72E-04,0,0,0,0,1389,150,134.7,74.76,0.001052,1.7,0.6168,0.3739,0.3788,0.1206,0,344,0.08709,1.389,0.1159,0.143,0.2516,0.1281,0.04543,1.226,12.76,0,344,0.08709,1.389,0.1159,0.143,0.2516,0.1281,0.04543,1.226,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,770.7,64.92,47.36,641.8,227.8,1.793,1.933,2.733,0.8085,0,107.7,8.788,28.53,42.11,33.81,0.6696,0.003687,0.009773,0.007122,0.138,9.06E-25,0,0,1.82E-04,1.59E-07,1.10E-07,0,1.46E-07,6.70E-08,0,0,0,1.31E-26,0,2.89E-29,1.06E-26,5.21E-24,4.24E-27,2.37E-27,1.65E-26,1.52E-26,2.51E-27,7.28E-27,2.91E-25,0,2.27E-40,5.84E-33,1.96E-28,5.07E-33,2.11E-35,4.48E-35,4.60E-36,5.76E-36,3.25E-36,1.60E-32,0,0,9985,3.75,6.132,0,7.6,3.72,0,0,0,1.00E-04,0,242,1687000,63420,36100,2.48E+07,28350,11500,20680,4733,15950,0,1.72E-37,8.87E-38,6.66E-37,4.29E-37,3.89E-38,8.76E-39,3.44E-39,1.75E-39,1.21E-39,2.58E-39,2.08E-35,0,0.2786,0.8675,1.845,0.7974,0.1616,0.01776,0.006283,0.003383,0.002167,0.005113,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,7.99E-05,0.01771,0.001785,0.001356,0.1533,0.004926,9.75E-04,5.03E-04,3.53E-04,2.39E-04
0,0,0.9977,4.15E-04,6.79E-04,0,8.42E-04,4.12E-04,0,0,0,0,1389,149.9,133.3,71.23,0.00203,1.868,0.6228,0.3839,0.3878,0.1226,0,344,0.08869,1.403,0.1001,0.1408,0.2506,0.1283,0.1663,1.256,12.61,0,344,0.08869,1.403,0.1001,0.1408,0.2506,0.1283,0.1663,1.256,12.61,0,0,0,0,0,0,0,0,0,0,0,0,0,812.2,65.56,47.86,630.2,227.1,1.824,2.377,2.865,0.9029,0,107.7,8.254,31.33,43.93,33.77,0.667,0.003678,0.01198,0.006952,0.1364,1.73E-24,0,0,2.48E-04,1.93E-07,1.67E-07,0,2.15E-07,1.01E-07,0,0,0,5.26E-26,0,7.64E-29,5.96E-26,5.40E-23,2.43E-26,1.25E-26,9.75E-26,6.72E-26,8.73E-26,5.75E-26,2.91E-24,0,6.86E-40,2.92E-32,5.98E-27,3.89E-32,1.75E-34,9.80E-34,1.67E-35,2.24E-35,1.28E-35,3.30E-32,0,0,9308,3.876,6.338,0,7.856,3.846,0,0,0,5.09E-04,0,300.4,1438000,62800,37600,2.54E+07,28330,11660,21380,4578,16140,0,1.72E-37,8.79E-38,6.64E-37,4.26E-37,3.87E-38,9.28E-39,3.44E-39,1.77E-39,1.22E-39,2.57E-39,2.08E-35,0,0.2786,0.8643,1.843,0.7972,0.1609,0.01886,0.006307,0.003432,0.002201,0.005117,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.05E-04,0.01663,0.001792,0.001354,0.1522,0.0049,9.76E-04,5.04E-04,3.54E-04,2.40E-04
0,0,0.9974,4.64E-04,7.58E-04,0,9.40E-04,4.60E-04,0,0,0,0,1381,158.2,140.4,72.14,0.001482,1.85,0.6231,0.3842,0.3881,0.1234,0,344,0.08679,1.392,0.1136,0.1407,0.2471,0.1313,0.1635,1.256,12.61,0,344,0.08679,1.392,0.1136,0.1407,0.2471,0.1313,0.1635,1.256,12.61,0,0,0,0,0,0,0,0,0,0,0,0,0,844,65.53,47.93,597.6,226.3,1.856,2.66,2.999,0.9946,0,105.7,7.938,28,40.62,33.77,0.666,0.003686,0.01197,0.006842,0.1357,2.93E-24,0,0,3.41E-04,2.48E-07,2.55E-07,0,3.25E-07,1.55E-07,0,0,0,1.37E-25,0,2.01E-27,2.74E-25,2.33E-22,6.28E-26,4.00E-26,2.84E-25,1.66E-25,3.51E-25,2.29E-25,9.68E-24,0,3.36E-38,1.20E-31,5.21E-26,1.71E-31,4.46E-33,5.80E-33,3.26E-35,4.26E-35,2.39E-35,5.60E-32,0,0,8852,4.114,6.727,0,8.339,4.082,0,0,0,5.09E-04,0,412.7,1220000,63760,38660,2.68E+07,28980,12070,22540,4478,16790,0,1.50E-37,8.90E-38,6.57E-37,4.28E-37,3.87E-38,9.20E-39,3.43E-39,1.76E-39,1.21E-39,2.57E-39,2.08E-35,0,0.2442,0.8892,1.848,0.7978,0.1609,0.01876,0.006309,0.003434,0.002202,0.005118,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.58E-04,0.01591,0.001777,0.001362,0.1526,0.004848,9.70E-04,5.14E-04,3.55E-04,2.41E-04
0,0,0.9972,4.93E-04,8.07E-04,0,0.001,4.90E-04,0,0,0,0,1378,163.6,139.1,62.12,0.00151,1.458,0.6226,0.3852,0.3884,0.1239,0,344,0.1002,1.361,0.1165,0.1434,0.2374,0.1485,0.1616,1.254,12.6,0,344,0.1002,1.361,0.1165,0.1434,0.2374,0.1485,0.1616,1.254,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,865.5,67.97,49.22,581.2,223.7,1.897,3.655,3.451,1.331,0,104.7,9.097,28.82,47.17,34.16,1.254,0.003615,0.01197,0.006782,0.1354,4.56E-24,0,0,4.37E-04,3.04E-07,3.48E-07,0,4.40E-07,2.11E-07,0,0,0,2.43E-25,0,5.28E-27,9.15E-25,4.80E-22,1.66E-25,1.52E-25,6.37E-25,5.61E-25,7.94E-25,5.08E-25,2.06E-23,0,7.37E-33,4.59E-31,1.48E-25,4.70E-31,1.61E-32,2.59E-32,4.55E-35,5.86E-35,4.28E-35,8.57E-32,0,0,7848,3.883,6.349,0,7.87,3.852,0,0,0,3.75E-04,0,671,950600,67700,45720,2.78E+07,29380,12290,23350,4417,17240,0,1.46E-37,1.09E-37,6.38E-37,4.20E-37,4.09E-38,9.16E-39,3.42E-39,1.75E-39,1.21E-39,2.57E-39,2.08E-35,0,0.2412,0.9195,1.827,0.7778,0.1646,0.01914,0.006309,0.003444,0.002207,0.005122,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,1.88E-04,0.01433,0.001786,0.001377,0.1517,0.004818,9.69E-04,5.19E-04,3.57E-04,2.42E-04
0,0,0.9969,5.44E-04,8.90E-04,0,0.001103,5.40E-04,0,0,0,0,1365,171.6,152.1,65.38,0.01167,1.383,0.6236,0.3834,0.3869,1.906,0,344,0.4227,1.565,0.4422,0.141,0.2377,0.1486,0.1308,1.042,11.99,0,344,0.4227,1.565,0.4422,0.141,0.2377,0.1486,0.1308,1.042,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,884.5,69.79,53.03,557.8,232,2.394,1.974,2.646,6.694,0,101,9.55,21.46,43.54,33.24,0.5583,0.003662,0.012,0.006747,0.4194,6.39E-24,0,0,5.20E-04,3.70E-07,4.55E-07,0,5.73E-07,2.76E-07,0,0,0,4.16E-25,0,4.10E-26,3.01E-24,1.05E-21,1.02E-24,2.68E-25,1.47E-24,1.30E-24,7.48E-25,2.61E-24,3.88E-23,0,7.84E-33,2.45E-30,4.42E-25,1.88E-29,1.62E-32,6.19E-32,2.48E-34,3.07E-34,8.77E-35,6.15E-31,0,0,7316,3.994,6.531,0,8.095,3.963,0,0,0,1.00E-04,0,830.4,805800,68060,44300,2.95E+07,59650,12890,24760,4421,18600,0,1.28E-37,1.18E-37,6.23E-37,4.02E-37,3.78E-38,5.21E-39,3.41E-39,1.73E-39,1.20E-39,1.17E-38,2.08E-35,0,0.2154,0.9246,1.854,0.7518,0.1597,0.01346,0.006317,0.003429,0.002195,0.02081,0,0,3.57E-04,3.30E-04,6.05E-04,0.9966,4.71E-04,3.41E-04,7.72E-04,4.95E-05,4.70E-04,0,2.40E-04,0.01346,0.001753,0.001359,0.151,0.004971,9.76E-04,5.09E-04,3.50E-04,2.61E-04
0,0,0.9963,6.54E-04,0.001069,0,0.001326,6.49E-04,0,0,0,0,1365,162.6,159.7,65.89,0.03734,1.387,0.6235,0.3835,0.3869,2.683,0,344,0.1602,1.621,0.5882,0.1405,0.2369,0.1485,0.1179,1.042,12.05,0,344,0.1602,1.621,0.5882,0.1405,0.2369,0.1485,0.1179,1.042,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,933.5,72.82,62.27,528,231.5,2.505,2.002,2.663,9.54,0,101,7.702,19.35,40.42,35.33,0.5533,0.003899,0.01199,0.006714,0.3166,7.81E-24,0,0,5.49E-04,4.41E-07,5.71E-07,0,7.17E-07,3.47E-07,0,0,0,6.39E-25,0,4.79E-26,6.83E-24,1.79E-21,4.99E-24,1.46E-24,3.40E-24,2.47E-24,1.59E-24,3.25E-24,7.19E-23,0,7.84E-33,5.14E-30,9.13E-25,3.82E-29,8.25E-31,1.51E-31,6.70E-34,8.26E-34,1.80E-34,6.70E-30,0,0,6887,4.521,7.393,0,9.164,4.486,0,0,0,1.00E-04,0,875.1,726200,69030,48550,2.73E+07,55690,12170,23190,4220,17780,0,1.28E-37,7.75E-38,6.35E-37,4.00E-37,4.54E-38,5.18E-39,3.40E-39,1.72E-39,1.20E-39,1.45E-38,2.08E-35,0,0.2154,0.868,1.871,0.7539,0.17,0.01345,0.006317,0.00343,0.002195,0.02627,0,0,3.58E-04,3.31E-04,6.07E-04,0.9966,4.72E-04,3.43E-04,7.75E-04,4.97E-05,4.72E-04,0,2.55E-04,0.01273,0.001748,0.001411,0.1505,0.004954,9.76E-04,5.10E-04,3.50E-04,2.75E-04
0,0,0.9961,6.87E-04,0.001123,0,0.001392,6.82E-04,0,0,0,0,1356,173.6,156.8,71.51,0.01471,1.39,0.5821,0.4477,0.3877,3.699,0,344,0.1392,1.772,0.4982,0.1389,0.2352,0.04556,0.116,1.04,12.1,0,344,0.1392,1.772,0.4982,0.1389,0.2352,0.04556,0.116,1.04,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,966.3,81.05,62.11,518.8,230.8,2.634,2.114,2.687,9.423,0,98.91,8.718,18.45,37.21,31.63,0.543,0.003773,0.012,0.006297,0.192,1.08E-23,0,0,6.26E-04,5.10E-07,6.85E-07,4.35E-09,8.57E-07,4.15E-07,0,0,0,9.17E-25,0,1.48E-25,1.17E-23,2.63E-21,1.24E-23,3.42E-24,5.66E-24,2.95E-24,3.28E-24,1.54E-23,1.84E-22,0,7.89E-33,2.63E-29,1.52E-24,1.12E-28,9.15E-31,2.75E-31,5.72E-34,4.43E-33,1.93E-32,1.74E-29,0,0,5930,4.09,6.688,0,8.29,4.058,0,0,0,1.00E-04,0,1005,576600,66610,42850,2.55E+07,52870,11520,22050,4041,16710,0,1.11E-37,9.77E-38,6.07E-37,4.01E-37,3.80E-38,5.24E-39,3.17E-39,1.88E-39,1.19E-39,1.83E-38,2.08E-35,0,0.1899,0.9249,1.809,0.7726,0.1476,0.01355,0.006228,0.004226,0.002198,0.03341,0,0,3.60E-04,3.33E-04,6.12E-04,0.9966,4.76E-04,3.45E-04,7.80E-04,5.01E-05,4.75E-04,0,3.00E-04,0.01126,0.001747,0.001398,0.1501,0.004917,9.66E-04,5.17E-04,3.55E-04,2.81E-04
