bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,0,1,0,0,0,0,0,0,0,0,0,1605,164.5,183.8,154.6,0.04902,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.137,0.6699,0.6161,0.06893,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.137,0.6699,0.6161,0.06893,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,308.6,90.58,37.71,793.3,165.2,3.317,3.693,30.57,4.163,0,45.19,10.41,11.02,64.07,39.86,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,1.00E-04,0,0,211600,57180,47750,2.23E+07,45540,21470,24240,13490,24790,0,4.68E-36,4.19E-36,1.37E-35,1.68E-35,8.44E-37,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.321,3.005,1.58,0.1316,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.01505,0.008867,0.006466,0.2415,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,0,1,0,0,0,0,0,0,0,0,0,1605,161.7,190.1,155.3,0.04926,4.896,0.2234,0.1636,0.984,0.4029,0,343.6,0.1318,0.7849,0.5046,0.06857,0.1891,0.05912,0.08112,4.593,11.19,0,343.6,0.1318,0.7849,0.5046,0.06857,0.1891,0.05912,0.08112,4.593,11.19,0,0,0,0,0,0,0,0,0,0,0,0,0,350.5,90.35,38.88,755.7,165.2,3.267,3.588,30.6,4.109,0,45.19,5.804,8.561,63,38.6,0.1216,0.01351,0.01543,0.01181,0.0139,2.07E-26,0,0,7.07E-05,0,0,0,0,0,0,0,0,1.08E-28,0,0,1.79E-29,1.93E-29,3.50E-29,6.78E-31,5.73E-30,7.57E-30,1.69E-30,4.70E-29,2.30E-27,0,0,6.29E-38,5.08E-36,8.57E-37,9.77E-41,1.10E-39,5.04E-42,1.09E-42,9.97E-40,1.87E-38,0,0,10000,0,0,0,0,0,0,0,0,1.95E-04,0,133.8,217200,50370,46830,2.14E+07,42690,20360,22990,13200,23650,0,4.68E-36,4.00E-36,1.40E-35,1.65E-35,8.34E-37,3.48E-37,1.14E-38,7.74E-39,4.77E-38,2.18E-38,2.08E-35,0,0.6632,1.251,3.037,1.589,0.1307,0.03124,0.003698,0.002609,0.01636,0.0097,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,9.42E-05,0.01496,0.00886,0.00644,0.241,0.01387,0.001641,6.94E-04,0.005393,9.74E-04
0,0,1,0,0,0,0,0,0,0,0,0,1611,157.9,181.9,144.4,0.04935,4.811,0.2248,0.1637,0.9841,0.4028,0,343.6,0.1314,0.7842,0.4898,0.06834,0.1873,0.05108,0.07892,4.59,11.2,0,343.6,0.1314,0.7842,0.4898,0.06834,0.1873,0.05108,0.07892,4.59,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,373.3,90.31,38.9,727.4,165.1,3.16,3.47,30.58,4.016,0,47.15,5.899,12.13,71.54,37.88,0.1058,0.01341,0.01534,0.01177,0.01381,8.46E-26,0,0,1.46E-04,0,0,0,0,0,0,0,0,7.94E-28,0,8.52E-31,5.84E-28,1.78E-27,4.12E-28,3.28E-29,1.21E-28,1.06E-28,3.45E-29,9.19E-27,4.13E-26,0,1.99E-39,3.54E-36,1.13E-32,6.46E-34,8.06E-39,1.54E-36,8.49E-41,4.93E-41,5.09E-38,3.91E-37,0,0,9904,0,0,0,0,0,0,0,0,1.00E-04,0,515.2,224100,46980,44510,2.14E+07,41580,20040,22650,13150,23390,0,4.94E-36,3.94E-36,1.39E-35,1.62E-35,8.16E-37,3.47E-37,1.13E-38,7.72E-39,4.68E-38,2.18E-38,2.08E-35,0,0.7203,1.227,3.005,1.571,0.1284,0.03112,0.003701,0.002609,0.01636,0.009696,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.18E-04,0.01487,0.008838,0.006344,0.2389,0.01361,0.001653,6.90E-04,0.005392,9.67E-04
0,0,1,0,0,0,0,0,0,0,0,0,1607,163.2,179,140.4,0.3828,8.653,0.2267,0.1643,0.9849,0.4028,0,343.6,0.1329,0.7873,0.4361,0.06894,0.2158,0.05198,0.07968,4.591,11.2,0,343.6,0.1329,0.7873,0.4361,0.06894,0.2158,0.05198,0.07968,4.591,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,409.5,91.12,39.2,727.3,165,3.103,3.406,30.57,3.962,0,47.84,5.786,11.15,69.9,37.1,0.09339,0.01317,0.01509,0.01173,0.01362,2.04E-25,0,0,2.14E-04,0,0,0,0,0,0,0,0,2.25E-27,0,8.52E-31,3.91E-27,9.85E-27,2.41E-27,3.95E-28,1.21E-27,9.68E-28,1.83E-28,2.62E-26,2.01E-25,0,1.98E-39,3.44E-35,1.44E-31,1.20E-32,2.88E-36,2.05E-35,1.33E-39,3.56E-40,2.28E-37,1.81E-36,0,0,9140,0,0,0,0,0,0,0,0,1.00E-04,0,742.2,218500,49990,45170,2.21E+07,41550,20050,22770,13120,23670,0,4.75E-36,3.91E-36,1.39E-35,1.52E-35,8.27E-37,1.01E-36,1.08E-38,8.01E-39,4.67E-38,2.18E-38,2.08E-35,0,0.6871,1.281,2.938,1.551,0.1279,0.07005,0.003703,0.002608,0.01636,0.009695,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.14E-04,0.01448,0.008743,0.006341,0.2377,0.01353,0.001637,6.90E-04,0.005402,9.59E-04
0,0,1,0,0,0,0,0,0,0,0,0,1580,194.8,176.6,144.2,0.05192,5.131,0.2317,0.1718,0.9721,0.4077,0,343.6,0.1367,0.8961,0.3582,0.06951,0.229,0.05316,0.0803,4.643,11.1,0,343.6,0.1367,0.8961,0.3582,0.06951,0.229,0.05316,0.0803,4.643,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,445.6,91.15,39.34,708.7,165,3.159,3.484,29.7,4.115,0,45.39,5.826,8.889,69.3,37.07,1.529,0.013,0.01489,0.01171,0.07235,3.86E-25,0,0,2.85E-04,0,0,0,0,0,0,0,0,6.01E-27,0,8.49E-31,2.08E-26,3.54E-26,1.07E-26,2.38E-27,1.11E-26,4.31E-27,7.58E-28,9.40E-26,5.48E-25,0,1.95E-39,4.93E-34,5.55E-31,7.55E-32,1.26E-36,3.75E-32,9.54E-38,4.35E-39,9.81E-37,6.32E-34,0,0,8522,0,0,0,0,0,0,0,0,4.63E-04,0,777.5,214500,48040,45910,2.30E+07,42590,20700,23560,13240,25140,0,3.28E-36,4.11E-36,1.37E-35,1.57E-35,8.18E-37,4.86E-37,1.08E-38,8.07E-39,4.52E-38,2.56E-38,2.08E-35,0,0.4744,1.511,2.913,1.577,0.124,0.03736,0.003732,0.002647,0.01607,0.0131,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.38E-04,0.01411,0.00869,0.006308,0.2351,0.01351,0.001641,6.85E-04,0.005421,0.001001
0,0,1,0,0,0,0,0,0,0,0,0,1584,182.3,173.3,128.8,0.05429,6.508,0.2339,0.1722,0.9719,0.4107,0,343.6,0.1339,0.9045,0.3502,0.07047,0.226,0.05324,0.08087,3.105,12.64,0,343.6,0.1339,0.9045,0.3502,0.07047,0.226,0.05324,0.08087,3.105,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,480.5,92.16,39.38,709.7,165,3.148,3.471,29.69,4.104,0,45.4,5.697,10.04,90.73,37.76,0.09244,0.01303,0.01489,0.01174,0.06985,6.43E-25,0,0,3.55E-04,0,0,0,0,0,0,0,0,1.28E-26,0,2.18E-27,5.27E-26,1.70E-25,2.74E-26,9.11E-27,3.19E-26,1.55E-26,3.10E-27,2.56E-25,1.50E-24,0,5.13E-34,7.86E-34,1.33E-30,2.19E-31,1.69E-34,5.99E-32,1.72E-37,6.27E-38,7.60E-36,9.46E-32,0,0,8026,0,0,0,0,0,0,0,0,5.01E-04,0,1097,211200,53180,47320,2.34E+07,42810,20840,23750,13210,25380,0,3.39E-36,3.87E-36,1.38E-35,1.54E-35,8.25E-37,4.84E-37,1.06E-38,8.06E-39,4.48E-38,2.56E-38,2.08E-35,0,0.5135,1.439,2.947,1.535,0.1369,0.03728,0.003739,0.002649,0.01606,0.01311,0,0,2.53E-04,1.10E-04,8.25E-04,0.9961,0.001035,4.14E-04,5.44E-04,6.30E-05,6.60E-04,0,7.05E-04,0.01386,0.008687,0.006255,0.2308,0.01336,0.00165,6.83E-04,0.00542,0.001002
0,0,1,0,0,0,0,0,0,0,0,0,1587,175.4,171.9,121.1,0.057,6.512,0.2321,0.1698,0.9901,0.4088,0,343.6,0.1319,0.918,0.3334,0.0669,0.2253,0.05217,0.07936,2.747,13.01,0,343.6,0.1319,0.918,0.3334,0.0669,0.2253,0.05217,0.07936,2.747,13.01,0,0,0,0,0,0,0,0,0,0,0,0,0,525.1,93.2,39.29,698.9,164.9,3.005,3.294,30.6,3.824,0,45.4,5.689,13.85,91.11,40.36,0.08665,0.01291,0.01473,0.01174,0.06672,1.28E-24,0,0,4.87E-04,0,0,0,0,0,0,0,0,3.17E-26,0,2.87E-27,1.21E-25,4.91E-25,4.67E-26,4.32E-26,8.18E-26,3.85E-26,7.30E-27,7.73E-25,4.09E-24,0,5.50E-34,2.04E-33,4.56E-30,6.51E-31,1.36E-32,7.43E-32,3.34E-37,1.83E-37,2.85E-35,3.82E-31,0,0,7121,0,0,0,0,0,0,0,0,7.38E-04,0,1195,197800,51150,45670,2.24E+07,41210,19660,22390,12970,24150,0,3.75E-36,3.79E-36,1.38E-35,1.49E-35,8.25E-37,4.82E-37,1.04E-38,7.92E-39,4.53E-38,2.54E-38,2.08E-35,0,0.5399,1.388,2.935,1.519,0.1377,0.03726,0.003709,0.002608,0.01637,0.01303,0,0,2.53E-04,1.10E-04,8.25E-04,0.9961,0.001035,4.14E-04,5.44E-04,6.30E-05,6.60E-04,0,7.77E-04,0.01335,0.008637,0.006206,0.2297,0.01335,0.001646,6.78E-04,0.005404,0.001001
0,0,1,0,0,0,0,0,0,0,0,0,1599,170.4,171.3,114.3,0.05453,6.476,0.2338,0.1721,0.9757,0.4626,0,343.6,0.137,0.9134,0.3256,0.06686,0.2256,0.05217,0.07953,2.771,12.98,0,343.6,0.137,0.9134,0.3256,0.06686,0.2256,0.05217,0.07953,2.771,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,564.8,88.63,39.45,689.3,164.9,3.056,3.369,29.91,3.803,0,45.4,5.753,13.46,85.26,40.47,0.07267,0.01281,0.01458,0.01177,0.0133,1.65E-24,0,0,4.99E-04,0,0,0,0,0,0,0,0,5.15E-26,0,8.87E-27,2.99E-25,1.04E-24,8.62E-26,1.10E-25,1.63E-25,7.69E-26,1.41E-26,1.12E-24,1.52E-23,0,8.67E-34,9.92E-33,1.34E-29,1.46E-30,3.79E-32,8.78E-32,1.07E-35,6.17E-37,1.36E-33,3.91E-31,0,0,6442,0,0,0,0,0,0,0,0,1.01E-04,0,1292,188800,52320,45410,2.25E+07,41580,19490,22210,13010,23980,0,3.90E-36,3.88E-36,1.36E-35,1.46E-35,8.24E-37,4.83E-37,1.03E-38,7.97E-39,4.39E-38,2.54E-38,2.08E-35,0,0.5894,1.367,2.917,1.468,0.1382,0.03735,0.003738,0.002645,0.01614,0.01302,0,0,2.53E-04,1.10E-04,8.25E-04,0.9961,0.001035,4.14E-04,5.44E-04,6.30E-05,6.60E-04,0,9.49E-04,0.01299,0.008604,0.006072,0.2291,0.01329,0.001639,6.71E-04,0.005417,9.96E-04
0,0,1,0,0,0,0,0,0,0,0,0,1601,161.9,179.3,113.1,0.05295,6.476,0.2366,0.1677,0.9753,0.4625,0,343.6,0.1314,0.919,0.3254,0.06674,0.2256,0.05211,0.04283,2.381,13.41,0,343.6,0.1314,0.919,0.3254,0.06674,0.2256,0.05211,0.04283,2.381,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,586.8,88.63,39.44,662.5,164.8,3.008,3.314,29.88,3.754,0,45.4,5.814,13.18,84.46,40.39,0.07431,0.01288,0.0146,0.01183,0.01334,2.39E-24,0,0,5.58E-04,0,0,0,0,0,0,0,0,8.45E-26,0,1.03E-26,6.20E-25,1.87E-24,1.72E-25,2.04E-25,2.83E-25,1.56E-25,3.75E-26,2.09E-24,3.46E-23,0,8.73E-33,1.31E-32,3.02E-29,2.70E-30,5.58E-32,1.00E-31,8.53E-36,1.36E-36,1.40E-33,4.13E-31,0,0,5659,0,0,0,0,0,0,0,0,1.00E-04,0,1410,176200,52280,46040,2.33E+07,42300,19930,22760,13100,24540,0,3.99E-36,3.68E-36,1.37E-35,1.44E-35,8.18E-37,4.81E-37,1.02E-38,7.94E-39,4.35E-38,2.54E-38,2.08E-35,0,0.6131,1.286,2.991,1.444,0.1375,0.03735,0.003738,0.002645,0.01613,0.01303,0,0,2.53E-04,1.10E-04,8.25E-04,0.9961,0.001035,4.14E-04,5.44E-04,6.30E-05,6.60E-04,0,9.79E-04,0.01254,0.008601,0.006024,0.2283,0.01328,0.001636,6.67E-04,0.005412,1.00E-03
0,0,0.9929,0.004453,0.002604,0,0,0,0,0,0,0,1606,163.9,176.3,113.3,0.05248,8.283,0.2377,0.1695,0.9765,0.4627,0,343.6,0.1481,0.9204,0.298,0.06655,0.2316,0.1961,0.06916,2.255,13.36,0,343.6,0.1481,0.9204,0.298,0.06655,0.2316,0.1961,0.06916,2.255,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,618.2,87.7,38.9,648.8,164.8,2.964,3.266,29.87,3.715,0,45.4,5.809,11.12,80.68,40.24,0.06527,0.01264,0.0144,0.01173,0.01315,3.13E-24,0,0,5.81E-04,2.60E-06,1.52E-06,1.08E-08,0,0,0,0,0,1.32E-25,0,1.98E-26,1.45E-24,3.66E-24,7.79E-25,3.62E-25,7.43E-25,4.69E-25,1.83E-25,6.75E-24,7.18E-23,0,8.79E-33,5.98E-32,5.51E-29,7.44E-30,7.09E-32,1.04E-31,3.64E-35,1.42E-34,1.49E-33,4.48E-31,0,0,4937,22.14,12.95,0,0,0,0,0,0,4.58E-04,0,1565,164800,50600,46860,2.43E+07,43020,20490,23500,13070,25320,0,4.30E-36,3.68E-36,1.34E-35,1.39E-35,8.15E-37,8.01E-37,1.02E-38,8.04E-39,4.32E-38,2.54E-38,2.08E-35,0,0.6545,1.332,2.925,1.395,0.1368,0.05841,0.003724,0.002654,0.01613,0.01303,0,0,2.53E-04,1.10E-04,8.25E-04,0.9961,0.001035,4.14E-04,5.44E-04,6.30E-05,6.60E-04,0,0.001103,0.0126,0.008311,0.005813,0.2274,0.01321,0.001612,7.00E-04,0.005418,9.96E-04
