bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.0,164.3,183.5,154.6,0.04902,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.1368,0.6696,0.6161,0.06893,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.1368,0.6696,0.6161,0.06893,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,91.2,37.74,793.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,10.41,11.02,64.07,39.86,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,211600.0,57170.0,47740.0,2.228E7,45530.0,21460.0,24230.0,13490.0,24780.0,0.0,4.68E-36,4.179E-36,1.367E-35,1.6810000000000002E-35,8.437E-37,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.319,3.001,1.579,0.1316,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.01505,0.008867,0.006466,0.2414,0.01391,0.001641,6.991E-4,0.005386,9.757E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601.0,172.3,182.3,153.8,0.05156,4.595,0.2251,0.1657,0.9683,0.4063,0.0,343.6,0.1412,0.6901,0.5571,0.06963,0.2038,0.06002,0.08227,4.761,11.02,0.0,343.6,0.1412,0.6901,0.5571,0.06963,0.2038,0.06002,0.08227,4.761,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.8,95.95,38.91,770.4,165.2,3.286,3.628,29.83,4.232,0.0,48.04,5.893,9.902,60.4,38.75,0.1205,0.01342,0.01533,0.0118,0.01381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.719E-4,0.0,390.1,223100.0,50580.0,43870.0,2.104E7,42600.0,20240.0,22820.0,13160.0,23510.0,0.0,4.576E-36,4.088E-36,1.365E-35,1.6460000000000001E-35,8.282E-37,3.229E-37,1.144E-38,7.834999999999999E-39,4.71E-38,2.197E-38,2.08E-35,0.0,0.6536,1.346,2.965,1.552,0.1295,0.02751,0.003722,0.002643,0.01609,0.009761,0.0,0.0,2.516E-4,1.094E-4,8.216E-4,0.9961,0.001031,4.128E-4,5.415E-4,6.278E-5,6.578E-4,0.0,1.608E-4,0.01502,0.008865,0.006356,0.2382,0.01384,0.001639,6.895E-4,0.005408,9.698E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,174.9,185.6,140.1,0.05172,4.604,0.2251,0.1657,0.9707,0.4036,0.0,343.6,0.1346,0.7894,0.461,0.06975,0.2021,0.06003,0.0823,4.656,11.12,0.0,343.6,0.1346,0.7894,0.461,0.06975,0.2021,0.06003,0.0823,4.656,11.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.4,96.73,38.86,749.3,165.1,3.225,3.559,29.8,4.174,0.0,47.76,5.556,8.142,70.51,38.42,0.101,0.01309,0.015,0.01172,0.01354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,534.6,223600.0,45000.0,44170.0,2.06E7,40340.0,18900.0,21360.0,12870.0,22370.0,0.0,4.4120000000000005E-36,4.224E-36,1.395E-35,1.5830000000000001E-35,8.309E-37,3.219E-37,1.136E-38,7.808E-39,4.666E-38,2.195E-38,2.08E-35,0.0,0.6486,1.357,2.98,1.523,0.1289,0.02742,0.003721,0.002642,0.01608,0.009764,0.0,0.0,2.516E-4,1.094E-4,8.216E-4,0.9961,0.001031,4.128E-4,5.415E-4,6.278E-5,6.578E-4,0.0,2.492E-4,0.01469,0.008883,0.006347,0.2354,0.01374,0.001622,6.702E-4,0.005403,9.568E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601.0,180.9,175.7,138.5,0.04934,4.622,0.2212,0.1661,0.9798,0.4135,0.0,343.6,0.102,0.7899,0.4439,0.06673,0.2128,0.05965,0.08628,4.5,11.31,0.0,343.6,0.102,0.7899,0.4439,0.06673,0.2128,0.05965,0.08628,4.5,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.1,97.43,39.03,721.4,165.0,3.087,3.507,30.3,4.417,0.0,47.76,5.867,10.67,70.08,39.0,0.08407,0.01309,0.015,0.01171,0.01354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.601E-4,0.0,620.6,229600.0,42890.0,43540.0,2.103E7,39950.0,18720.0,21260.0,12740.0,22410.0,0.0,4.481E-36,4.273E-36,1.372E-35,1.576E-35,8.003E-37,3.218E-37,1.121E-38,7.969E-39,4.667E-38,2.194E-38,2.08E-35,0.0,0.6594,1.415,2.912,1.514,0.1268,0.02743,0.003688,0.002687,0.01624,0.00974,0.0,0.0,2.516E-4,1.094E-4,8.216E-4,0.9961,0.001031,4.128E-4,5.415E-4,6.278E-5,6.578E-4,0.0,3.289E-4,0.01441,0.008863,0.006298,0.2348,0.01369,0.001632,6.956E-4,0.00535,9.827E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601.0,173.4,181.1,140.7,0.04926,5.5,0.2284,0.1622,0.9853,0.4189,0.0,343.6,0.09722,0.8383,0.4542,0.06541,0.2193,0.05907,0.0801,4.011,11.75,0.0,343.6,0.09722,0.8383,0.4542,0.06541,0.2193,0.05907,0.0801,4.011,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,97.55,39.5,709.0,165.0,3.083,3.35,30.57,4.158,0.0,47.76,5.826,9.224,70.36,38.07,0.07521,0.01287,0.01474,0.01168,0.2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023E-4,0.0,647.1,221800.0,41500.0,45330.0,2.176E7,40260.0,18770.0,21360.0,12790.0,22850.0,0.0,4.481E-36,4.092E-36,1.379E-35,1.552E-35,7.845E-37,4.491E-37,1.107E-38,7.757E-39,4.638E-38,4.007E-38,2.08E-35,0.0,0.6595,1.345,2.946,1.532,0.1248,0.03554,0.003684,0.002621,0.01633,0.01491,0.0,0.0,2.527E-4,1.099E-4,8.254E-4,0.9961,0.001036,4.147E-4,5.441E-4,6.308E-5,6.608E-4,0.0,3.55E-4,0.01402,0.008788,0.006327,0.2315,0.01364,0.001636,6.641E-4,0.005377,9.986E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.0,186.6,179.3,142.8,0.04916,4.582,0.2265,0.1587,0.9859,0.4355,0.0,343.6,0.09813,0.8305,0.4562,0.06634,0.2218,0.1058,0.3178,3.824,11.65,0.0,343.6,0.09813,0.8305,0.4562,0.06634,0.2218,0.1058,0.3178,3.824,11.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.3,97.79,39.69,678.5,164.9,3.029,3.288,30.56,4.103,0.0,52.9,5.822,6.386,62.76,37.93,0.07211,0.01282,0.01467,0.0117,0.1874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019E-4,0.0,1433.0,219300.0,42490.0,44630.0,2.072E7,39290.0,18570.0,21060.0,12830.0,22390.0,0.0,4.9460000000000004E-36,4.029E-36,1.344E-35,1.48E-35,7.982E-37,3.2E-37,1.087E-38,7.773E-39,4.581E-38,4.007E-38,2.08E-35,0.0,0.6478,1.435,2.91,1.485,0.1255,0.02737,0.003685,0.00263,0.01632,0.01491,0.0,0.0,2.543E-4,1.106E-4,8.304E-4,0.9961,0.001042,4.172E-4,5.473E-4,6.346E-5,6.648E-4,0.0,5.672E-4,0.0138,0.008746,0.006204,0.229,0.01357,0.001616,6.702E-4,0.005388,9.966E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.0,191.7,177.0,150.2,0.05021,4.547,0.2267,0.1594,0.9862,0.5897,0.0,343.7,0.1269,0.6902,0.4705,0.06618,0.2202,0.1064,0.3176,3.824,11.58,0.0,343.7,0.1269,0.6902,0.4705,0.06618,0.2202,0.1064,0.3176,3.824,11.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.2,101.1,40.5,664.6,164.9,3.009,3.265,30.55,4.082,0.0,57.55,5.497,6.065,46.74,37.92,0.0714,0.0127,0.01451,0.0117,0.01511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,2883.0,211100.0,45670.0,44810.0,2.077E7,39390.0,18770.0,21290.0,12880.0,22720.0,0.0,6.547E-36,4.005E-36,1.229E-35,1.381E-35,8.087999999999999E-37,3.179E-37,1.078E-38,7.741E-39,4.548E-38,4.052E-38,2.08E-35,0.0,0.7265,1.501,2.807,1.415,0.1275,0.02713,0.003684,0.002627,0.01632,0.01437,0.0,0.0,2.543E-4,1.106E-4,8.304E-4,0.9961,0.001042,4.172E-4,5.473E-4,6.346E-5,6.648E-4,0.0,9.578E-4,0.01341,0.00865,0.006079,0.2282,0.01347,0.001611,6.624E-4,0.005384,0.00102,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.0,196.2,176.7,148.0,0.04888,4.45,0.227,0.1595,0.9861,0.4711,0.0,343.7,0.1397,0.686,0.445,0.06804,0.2166,0.1077,0.3184,3.824,11.6,0.0,343.7,0.1397,0.686,0.445,0.06804,0.2166,0.1077,0.3184,3.824,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.9,103.4,40.67,643.8,164.8,2.938,3.187,30.54,4.019,0.0,57.01,6.13,5.975,46.31,37.82,0.07017,0.0127,0.01446,0.01175,0.01326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.015E-4,0.0,3233.0,198500.0,50900.0,45020.0,2.034E7,39290.0,18990.0,21490.0,12990.0,22760.0,0.0,6.292E-36,4.35E-36,1.217E-35,1.36E-35,8.489E-37,3.165E-37,1.074E-38,7.755E-39,4.489E-38,3.462E-38,2.08E-35,0.0,0.7281,1.537,2.795,1.382,0.131,0.02704,0.003684,0.002627,0.01632,0.0124,0.0,0.0,2.561E-4,1.114E-4,8.366E-4,0.996,0.00105,4.203E-4,5.514E-4,6.393E-5,6.698E-4,0.0,0.001238,0.01299,0.0086,0.005966,0.2262,0.01326,0.001612,6.666E-4,0.005388,0.001016,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595.0,196.0,175.0,136.1,0.0513,4.427,0.2279,0.1624,0.989,0.5349,0.0,343.8,0.1124,0.6909,0.4363,0.06745,0.2162,0.1073,0.3203,3.818,11.61,0.0,343.8,0.1124,0.6909,0.4363,0.06745,0.2162,0.1073,0.3203,3.818,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.4,109.2,40.91,640.9,164.8,2.941,3.315,29.69,4.084,0.0,57.05,5.704,8.452,51.74,37.73,0.07317,0.01271,0.01442,0.01181,0.01327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014E-4,0.0,3437.0,195000.0,49770.0,47410.0,2.043E7,39320.0,19000.0,21520.0,13080.0,22780.0,0.0,6.732E-36,3.881E-36,1.1990000000000001E-35,1.3050000000000001E-35,8.345E-37,3.1529999999999998E-37,1.056E-38,8.038E-39,4.371E-38,3.771E-38,2.08E-35,0.0,0.7577,1.532,2.767,1.351,0.1297,0.02702,0.003697,0.002697,0.01605,0.01344,0.0,0.0,2.561E-4,1.114E-4,8.366E-4,0.996,0.00105,4.203E-4,5.514E-4,6.393E-5,6.698E-4,0.0,0.001318,0.0128,0.008663,0.005895,0.2257,0.01322,0.00159,6.786E-4,0.005423,0.001014,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.0,192.0,174.1,134.0,0.05157,4.43,0.2279,0.1625,0.9887,0.5351,0.0,343.8,0.1122,0.7285,0.3784,0.0665,0.221,0.1073,0.3201,3.818,11.61,0.0,343.8,0.1122,0.7285,0.3784,0.0665,0.221,0.1073,0.3201,3.818,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.3,110.1,40.9,644.3,164.7,2.898,3.27,29.66,4.048,0.0,57.07,5.486,5.798,53.51,37.56,0.06505,0.01246,0.01421,0.01169,0.01305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.306E-4,0.0,3655.0,175200.0,47770.0,46280.0,2.095E7,38650.0,18340.0,20870.0,12870.0,22450.0,0.0,7.173E-36,3.792E-36,1.1860000000000001E-35,1.261E-35,8.192E-37,3.142E-37,1.044E-38,8.007E-39,4.33E-38,3.7679999999999997E-38,2.08E-35,0.0,0.7873,1.506,2.757,1.333,0.1281,0.02698,0.003695,0.002697,0.01604,0.01344,0.0,0.0,2.561E-4,1.114E-4,8.366E-4,0.996,0.00105,4.203E-4,5.514E-4,6.393E-5,6.698E-4,0.0,0.00144,0.01239,0.008666,0.005848,0.2249,0.01315,0.001582,6.673E-4,0.00542,0.001007,
