entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.109,0.1425,0.2483,0.06509,0.03821,0.1986,0.1096,0.02896,0.01013,0.1329,0.03766,0.06523,0.06523,
2.093,0.1355,0.1763,0.04595,0.02716,0.1404,0.07765,0.02071,0.007242,0.09507,0.02858,0.1898,0.1912,
2.094,0.1352,0.1758,0.04609,0.02729,0.1382,0.07703,0.02081,0.007277,0.09556,0.0296,0.1899,0.1924,
2.095,0.1465,0.174,0.04618,0.02737,0.1376,0.07677,0.02088,0.007302,0.0959,0.0297,0.1906,0.1936,
2.095,0.1376,0.1728,0.04637,0.02747,0.1359,0.07665,0.02097,0.007332,0.09633,0.02983,0.1914,0.195,
2.099,0.1391,0.1728,0.04658,0.0276,0.1353,0.07663,0.02108,0.00737,0.09684,0.03113,0.1913,0.1935,
2.1,0.1465,0.1701,0.04644,0.02761,0.1353,0.07594,0.02112,0.00735,0.09699,0.03267,0.193,0.1936,
2.101,0.1412,0.1693,0.04635,0.02766,0.1351,0.07463,0.02117,0.007368,0.09724,0.03383,0.1933,0.194,
2.102,0.1462,0.1656,0.04632,0.02785,0.1342,0.07486,0.02132,0.00742,0.09793,0.03407,0.1947,0.1957,
2.102,0.1456,0.1621,0.04656,0.028,0.1328,0.07445,0.02141,0.00746,0.09848,0.03426,0.1968,0.1977,
2.107,0.148,0.1649,0.0467,0.02808,0.1321,0.07428,0.02147,0.00748,0.0988,0.03619,0.1956,0.1943,
2.105,0.1661,0.1641,0.04666,0.02807,0.1321,0.07325,0.02147,0.007478,0.09877,0.03618,0.1965,0.1954,
2.109,0.1557,0.1653,0.04669,0.02809,0.1322,0.07319,0.02145,0.007484,0.09886,0.03792,0.195,0.1939,
2.108,0.1503,0.1643,0.04655,0.02813,0.1323,0.07285,0.02149,0.007496,0.09901,0.03798,0.1953,0.1946,
2.108,0.1533,0.1663,0.04651,0.0278,0.1321,0.07246,0.02148,0.007493,0.09897,0.03848,0.1957,0.1928,
2.111,0.148,0.1659,0.04627,0.02746,0.132,0.07254,0.0215,0.007501,0.09908,0.04059,0.1938,0.1933,
2.109,0.1442,0.1664,0.04621,0.02702,0.1322,0.07138,0.02146,0.00751,0.09919,0.04064,0.194,0.194,
2.106,0.1432,0.1656,0.04607,0.02571,0.1321,0.07139,0.02146,0.00751,0.0992,0.04064,0.195,0.1954,
2.106,0.1476,0.1652,0.04609,0.02572,0.132,0.071,0.02147,0.007515,0.09926,0.04067,0.1951,0.1959,
2.109,0.1406,0.1683,0.04608,0.02541,0.1322,0.07061,0.02151,0.007526,0.09941,0.04311,0.193,0.1928,
2.108,0.1451,0.1675,0.04613,0.02501,0.1322,0.06983,0.02153,0.007534,0.09952,0.04316,0.1933,0.1943,
2.107,0.1431,0.1668,0.04618,0.02504,0.132,0.06942,0.02156,0.007543,0.09964,0.04321,0.1935,0.195,
2.105,0.155,0.1666,0.04608,0.02456,0.1318,0.06877,0.02154,0.007538,0.09959,0.04319,0.1944,0.196,
2.105,0.1411,0.1701,0.04604,0.02459,0.1315,0.06814,0.02157,0.007548,0.09972,0.04325,0.1946,0.1929,
2.104,0.149,0.1692,0.04611,0.02463,0.1314,0.0668,0.02161,0.007559,0.09987,0.04331,0.1949,0.1946,
2.102,0.1613,0.1681,0.04617,0.02436,0.1314,0.06541,0.02163,0.007568,0.1,0.04336,0.1952,0.1969,
2.102,0.1474,0.1677,0.04615,0.02435,0.131,0.0654,0.02163,0.007567,0.09998,0.04336,0.1961,0.1968,
2.101,0.1485,0.167,0.04613,0.02434,0.1308,0.06438,0.02162,0.007564,0.09995,0.04334,0.197,0.1978,
2.102,0.1468,0.1685,0.04618,0.02437,0.1303,0.064,0.02165,0.007574,0.1001,0.04419,0.1965,0.1966,
2.101,0.1416,0.1672,0.04613,0.02427,0.1295,0.06393,0.02162,0.007563,0.09997,0.04414,0.1982,0.1974,
2.1,0.1364,0.1671,0.04605,0.02428,0.1294,0.06349,0.02164,0.007567,0.1,0.04416,0.1983,0.1979,
2.101,0.1396,0.1675,0.04638,0.02431,0.1294,0.06349,0.02188,0.007444,0.1007,0.04419,0.1976,0.1971,
2.105,0.1381,0.1714,0.04657,0.02437,0.1301,0.06384,0.02168,0.008062,0.1002,0.0446,0.197,0.1922,
2.104,0.1426,0.1705,0.04661,0.02441,0.1299,0.06386,0.02153,0.008682,0.1013,0.04269,0.1986,0.1919,
2.104,0.149,0.1683,0.04672,0.02448,0.1316,0.0639,0.02193,0.008662,0.1027,0.041,0.1988,0.192,
2.142,0.1711,0.1672,0.04686,0.02454,0.1319,0.06361,0.02195,0.03053,0.08116,0.04251,0.1971,0.1927,
2.141,0.1676,0.1662,0.04722,0.02459,0.1322,0.06364,0.02196,0.03054,0.08334,0.04039,0.1972,0.1928,
2.139,0.1681,0.1652,0.04722,0.02461,0.1326,0.06278,0.02199,0.03062,0.08411,0.03924,0.198,0.1937,
2.139,0.1733,0.1642,0.0473,0.02465,0.1327,0.06292,0.02164,0.0309,0.08419,0.03904,0.1982,0.1941,
2.138,0.1705,0.1635,0.04761,0.02472,0.1326,0.06248,0.02153,0.03105,0.08476,0.03844,0.1984,0.1949,
2.138,0.171,0.1628,0.04777,0.02483,0.1329,0.0625,0.02154,0.03118,0.08518,0.03793,0.1984,0.1949,
2.143,0.177,0.1615,0.04807,0.0249,0.1333,0.06255,0.02156,0.03145,0.08527,0.03988,0.1964,0.1951,
2.141,0.1893,0.1597,0.04833,0.02452,0.1343,0.06161,0.0217,0.03123,0.08579,0.03945,0.1966,0.1968,
2.142,0.1714,0.1571,0.04862,0.02459,0.1358,0.06168,0.02172,0.03139,0.08577,0.0395,0.1968,0.1971,
2.142,0.1735,0.1564,0.04908,0.02465,0.1354,0.06174,0.02174,0.03142,0.0864,0.03899,0.197,0.1973,
2.141,0.1734,0.155,0.04966,0.02471,0.1355,0.06103,0.02173,0.03127,0.08709,0.03822,0.1978,0.1979,
2.144,0.1772,0.1568,0.04971,0.02442,0.1356,0.06099,0.02172,0.03125,0.08704,0.04014,0.1968,0.1956,
2.144,0.19,0.1563,0.04977,0.02449,0.1354,0.06104,0.02173,0.03128,0.08769,0.03959,0.1969,0.1958,
2.144,0.1815,0.156,0.04986,0.02458,0.1353,0.06071,0.02174,0.03129,0.08795,0.03937,0.197,0.1962,
2.141,0.1779,0.1521,0.04995,0.02473,0.138,0.0599,0.02174,0.03129,0.08989,0.03743,0.198,0.197,
2.139,0.1762,0.1514,0.04991,0.02483,0.1379,0.05963,0.02164,0.03133,0.09178,0.03568,0.1982,0.1977,
2.138,0.1704,0.15,0.05026,0.02491,0.1379,0.05914,0.02176,0.0312,0.0926,0.03485,0.1992,0.1982,
2.137,0.1796,0.1495,0.05013,0.02465,0.1379,0.05917,0.02177,0.03121,0.0936,0.03389,0.1993,0.1989,
2.136,0.1689,0.1504,0.05033,0.02471,0.1379,0.05868,0.02178,0.03122,0.09497,0.03291,0.199,0.198,
