RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
9138000.0,2395000.0,1406000.0,7308000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,2400000.0,2400000.0,
9072000.0,2364000.0,1398000.0,7224000.0,3995000.0,1065000.0,372700.0,4892000.0,1470000.0,9764000.0,9838000.0,
9000000.0,2359000.0,1397000.0,7075000.0,3943000.0,1065000.0,372500.0,4892000.0,1515000.0,9720000.0,9850000.0,
8878000.0,2355000.0,1396000.0,7021000.0,3916000.0,1065000.0,372500.0,4892000.0,1515000.0,9720000.0,9877000.0,
8773000.0,2355000.0,1395000.0,6902000.0,3892000.0,1065000.0,372300.0,4892000.0,1515000.0,9720000.0,9900000.0,
8727000.0,2353000.0,1394000.0,6834000.0,3871000.0,1065000.0,372300.0,4892000.0,1572000.0,9662000.0,9772000.0,
8576000.0,2342000.0,1392000.0,6824000.0,3830000.0,1065000.0,370700.0,4892000.0,1648000.0,9731000.0,9761000.0,
8518000.0,2331000.0,1392000.0,6795000.0,3754000.0,1065000.0,370700.0,4892000.0,1702000.0,9726000.0,9760000.0,
8274000.0,2314000.0,1391000.0,6701000.0,3739000.0,1065000.0,370600.0,4892000.0,1702000.0,9726000.0,9776000.0,
8053000.0,2312000.0,1391000.0,6597000.0,3698000.0,1063000.0,370500.0,4892000.0,1702000.0,9774000.0,9818000.0,
8165000.0,2312000.0,1390000.0,6542000.0,3678000.0,1063000.0,370300.0,4892000.0,1792000.0,9684000.0,9621000.0,
8129000.0,2311000.0,1390000.0,6542000.0,3628000.0,1063000.0,370300.0,4892000.0,1792000.0,9733000.0,9678000.0,
8178000.0,2310000.0,1390000.0,6542000.0,3622000.0,1062000.0,370300.0,4892000.0,1877000.0,9648000.0,9593000.0,
8118000.0,2300000.0,1390000.0,6537000.0,3599000.0,1062000.0,370300.0,4892000.0,1877000.0,9648000.0,9615000.0,
8221000.0,2299000.0,1374000.0,6527000.0,3582000.0,1062000.0,370300.0,4892000.0,1902000.0,9671000.0,9527000.0,
8190000.0,2284000.0,1356000.0,6517000.0,3582000.0,1062000.0,370300.0,4892000.0,2004000.0,9568000.0,9545000.0,
8207000.0,2279000.0,1332000.0,6517000.0,3520000.0,1058000.0,370300.0,4892000.0,2004000.0,9568000.0,9566000.0,
8166000.0,2272000.0,1268000.0,6513000.0,3520000.0,1058000.0,370300.0,4892000.0,2004000.0,9616000.0,9634000.0,
8141000.0,2272000.0,1267000.0,6508000.0,3499000.0,1058000.0,370300.0,4892000.0,2004000.0,9616000.0,9655000.0,
8279000.0,2267000.0,1250000.0,6507000.0,3475000.0,1058000.0,370300.0,4892000.0,2121000.0,9499000.0,9487000.0,
8234000.0,2267000.0,1229000.0,6497000.0,3432000.0,1058000.0,370300.0,4892000.0,2121000.0,9499000.0,9551000.0,
8189000.0,2267000.0,1229000.0,6482000.0,3408000.0,1058000.0,370300.0,4892000.0,2121000.0,9499000.0,9575000.0,
8183000.0,2264000.0,1206000.0,6472000.0,3378000.0,1058000.0,370300.0,4892000.0,2121000.0,9546000.0,9628000.0,
8346000.0,2258000.0,1206000.0,6452000.0,3342000.0,1058000.0,370300.0,4892000.0,2121000.0,9546000.0,9460000.0,
8286000.0,2258000.0,1206000.0,6437000.0,3272000.0,1058000.0,370200.0,4892000.0,2121000.0,9546000.0,9531000.0,
8223000.0,2258000.0,1192000.0,6427000.0,3200000.0,1058000.0,370200.0,4892000.0,2121000.0,9546000.0,9630000.0,
8204000.0,2258000.0,1191000.0,6407000.0,3200000.0,1058000.0,370200.0,4892000.0,2121000.0,9594000.0,9630000.0,
8174000.0,2258000.0,1191000.0,6402000.0,3151000.0,1058000.0,370200.0,4892000.0,2121000.0,9642000.0,9679000.0,
8236000.0,2257000.0,1191000.0,6367000.0,3128000.0,1058000.0,370100.0,4892000.0,2160000.0,9603000.0,9610000.0,
8183000.0,2257000.0,1187000.0,6338000.0,3128000.0,1058000.0,370000.0,4892000.0,2160000.0,9700000.0,9657000.0,
8173000.0,2252000.0,1187000.0,6328000.0,3105000.0,1058000.0,370000.0,4892000.0,2160000.0,9700000.0,9680000.0,
8193000.0,2268000.0,1188000.0,6328000.0,3105000.0,1070000.0,364000.0,4923000.0,2161000.0,9661000.0,9638000.0,
8380000.0,2277000.0,1191000.0,6359000.0,3121000.0,1060000.0,394100.0,4899000.0,2180000.0,9629000.0,9397000.0,
8351000.0,2282000.0,1195000.0,6359000.0,3127000.0,1054000.0,425100.0,4958000.0,2090000.0,9726000.0,9397000.0,
8233000.0,2286000.0,1198000.0,6440000.0,3127000.0,1073000.0,423900.0,5024000.0,2006000.0,9726000.0,9397000.0,
8174000.0,2291000.0,1200000.0,6447000.0,3110000.0,1073000.0,1493000.0,3968000.0,2078000.0,9635000.0,9421000.0,
8120000.0,2307000.0,1201000.0,6459000.0,3110000.0,1073000.0,1493000.0,4072000.0,1974000.0,9635000.0,9421000.0,
8077000.0,2309000.0,1203000.0,6482000.0,3070000.0,1075000.0,1497000.0,4113000.0,1919000.0,9683000.0,9469000.0,
8023000.0,2311000.0,1204000.0,6483000.0,3073000.0,1057000.0,1509000.0,4112000.0,1907000.0,9683000.0,9483000.0,
7983000.0,2324000.0,1206000.0,6473000.0,3050000.0,1051000.0,1515000.0,4137000.0,1876000.0,9683000.0,9513000.0,
7943000.0,2331000.0,1212000.0,6486000.0,3050000.0,1051000.0,1521000.0,4156000.0,1851000.0,9683000.0,9513000.0,
7875000.0,2344000.0,1214000.0,6498000.0,3050000.0,1051000.0,1533000.0,4158000.0,1945000.0,9576000.0,9513000.0,
7779000.0,2355000.0,1195000.0,6544000.0,3002000.0,1057000.0,1521000.0,4180000.0,1922000.0,9576000.0,9590000.0,
7644000.0,2366000.0,1197000.0,6606000.0,3002000.0,1057000.0,1527000.0,4174000.0,1922000.0,9576000.0,9590000.0,
7602000.0,2386000.0,1198000.0,6581000.0,3002000.0,1057000.0,1527000.0,4200000.0,1895000.0,9576000.0,9590000.0,
7542000.0,2416000.0,1202000.0,6592000.0,2969000.0,1057000.0,1521000.0,4237000.0,1859000.0,9624000.0,9629000.0,
7632000.0,2420000.0,1189000.0,6598000.0,2969000.0,1057000.0,1521000.0,4237000.0,1954000.0,9577000.0,9523000.0,
7602000.0,2421000.0,1191000.0,6585000.0,2969000.0,1057000.0,1521000.0,4265000.0,1925000.0,9577000.0,9523000.0,
7585000.0,2424000.0,1195000.0,6580000.0,2952000.0,1057000.0,1521000.0,4276000.0,1914000.0,9577000.0,9540000.0,
7393000.0,2428000.0,1202000.0,6710000.0,2912000.0,1057000.0,1521000.0,4370000.0,1820000.0,9625000.0,9580000.0,
7353000.0,2424000.0,1206000.0,6696000.0,2896000.0,1051000.0,1521000.0,4457000.0,1733000.0,9625000.0,9602000.0,
7284000.0,2441000.0,1210000.0,6699000.0,2872000.0,1057000.0,1515000.0,4497000.0,1692000.0,9673000.0,9625000.0,
7258000.0,2434000.0,1197000.0,6694000.0,2872000.0,1057000.0,1515000.0,4544000.0,1645000.0,9673000.0,9657000.0,
7298000.0,2442000.0,1199000.0,6694000.0,2848000.0,1057000.0,1515000.0,4609000.0,1597000.0,9657000.0,9611000.0,
7219000.0,2445000.0,1202000.0,6727000.0,2848000.0,1063000.0,1515000.0,4603000.0,1597000.0,9657000.0,9611000.0,
7171000.0,2474000.0,1198000.0,6727000.0,2848000.0,1063000.0,1527000.0,4591000.0,1597000.0,9706000.0,9618000.0,
7109000.0,2487000.0,1201000.0,6738000.0,2825000.0,1063000.0,1527000.0,4591000.0,1597000.0,9706000.0,9641000.0,
7068000.0,2492000.0,1204000.0,6741000.0,2825000.0,1063000.0,1527000.0,4649000.0,1538000.0,9706000.0,9641000.0,
7251000.0,2483000.0,1210000.0,6745000.0,2812000.0,1063000.0,1527000.0,4660000.0,1619000.0,9662000.0,9404000.0,
7175000.0,2503000.0,1213000.0,6738000.0,2765000.0,1063000.0,1550000.0,4664000.0,1592000.0,9662000.0,9452000.0,
6928000.0,2519000.0,1193000.0,6936000.0,2765000.0,1063000.0,1565000.0,4672000.0,1568000.0,9710000.0,9474000.0,
6900000.0,2531000.0,1194000.0,6907000.0,2740000.0,2007000.0,654000.0,4639000.0,1568000.0,9710000.0,9499000.0,
6805000.0,2541000.0,1196000.0,6953000.0,2740000.0,2007000.0,666100.0,4656000.0,1540000.0,9710000.0,9499000.0,
6769000.0,2540000.0,1202000.0,6940000.0,2740000.0,2013000.0,682200.0,4693000.0,1519000.0,9720000.0,9499000.0,
6682000.0,2547000.0,1209000.0,6973000.0,2740000.0,2018000.0,683400.0,4799000.0,1407000.0,9720000.0,9499000.0,
6608000.0,2584000.0,1192000.0,6953000.0,2740000.0,2018000.0,689100.0,4838000.0,1362000.0,9769000.0,9516000.0,
6319000.0,2586000.0,1169000.0,7175000.0,2740000.0,2018000.0,689100.0,4911000.0,1409000.0,9698000.0,9540000.0,
6144000.0,2587000.0,1153000.0,7294000.0,2740000.0,2018000.0,689100.0,4921000.0,1427000.0,9669000.0,9561000.0,
6014000.0,2598000.0,1155000.0,7356000.0,2722000.0,2018000.0,693900.0,5018000.0,1325000.0,9669000.0,9579000.0,
6098000.0,2604000.0,1160000.0,7472000.0,2671000.0,2024000.0,687900.0,5067000.0,1313000.0,9632000.0,9400000.0,
6004000.0,2607000.0,1135000.0,7496000.0,2671000.0,2024000.0,687800.0,5067000.0,1313000.0,9680000.0,9427000.0,
5946000.0,2609000.0,1141000.0,7496000.0,2731000.0,1969000.0,681700.0,5067000.0,1329000.0,9712000.0,9427000.0,
5861000.0,2609000.0,1144000.0,7518000.0,2707000.0,1969000.0,681700.0,5127000.0,1269000.0,9761000.0,9450000.0,
5818000.0,2610000.0,1147000.0,7487000.0,2690000.0,1969000.0,697000.0,5112000.0,1269000.0,9810000.0,9486000.0,
5724000.0,2626000.0,1150000.0,7499000.0,2690000.0,1969000.0,697000.0,5131000.0,1250000.0,9810000.0,9486000.0,
5694000.0,2622000.0,1152000.0,7480000.0,2696000.0,1963000.0,697000.0,5144000.0,1237000.0,9810000.0,9486000.0,
5591000.0,2631000.0,1154000.0,7541000.0,2702000.0,1967000.0,728400.0,5117000.0,1222000.0,9859000.0,9486000.0,
5543000.0,2633000.0,1157000.0,7524000.0,2682000.0,1950000.0,722400.0,5128000.0,1211000.0,9958000.0,9529000.0,
5504000.0,2629000.0,1160000.0,7504000.0,2682000.0,1950000.0,739700.0,5140000.0,1269000.0,9920000.0,9529000.0,
5474000.0,2630000.0,1164000.0,7509000.0,2682000.0,1956000.0,739300.0,5156000.0,1248000.0,9969000.0,9529000.0,
5451000.0,2642000.0,1145000.0,7494000.0,2688000.0,1962000.0,750400.0,5155000.0,1225000.0,9969000.0,9553000.0,
5415000.0,2648000.0,1150000.0,7474000.0,2694000.0,1967000.0,760500.0,5163000.0,1197000.0,9969000.0,9553000.0,
5359000.0,2658000.0,1152000.0,7470000.0,2659000.0,1957000.0,768900.0,5175000.0,1177000.0,9969000.0,9610000.0,
5244000.0,2658000.0,1160000.0,7492000.0,2653000.0,1955000.0,781200.0,5169000.0,1160000.0,9969000.0,9628000.0,
5226000.0,2663000.0,1162000.0,7462000.0,2634000.0,1980000.0,756100.0,5186000.0,1144000.0,9969000.0,9647000.0,
5348000.0,2668000.0,1164000.0,7442000.0,2614000.0,1992000.0,744000.0,5209000.0,1185000.0,9905000.0,9540000.0,
5308000.0,2671000.0,1170000.0,7451000.0,2614000.0,1998000.0,765200.0,5220000.0,1147000.0,9905000.0,9553000.0,
5280000.0,2674000.0,1176000.0,7459000.0,2601000.0,1992000.0,773400.0,5212000.0,1147000.0,9905000.0,9571000.0,
5265000.0,2685000.0,1166000.0,7445000.0,2607000.0,1992000.0,782500.0,5196000.0,1169000.0,9883000.0,9584000.0,
5407000.0,2687000.0,1169000.0,7445000.0,2595000.0,1986000.0,791300.0,5187000.0,1444000.0,9607000.0,9441000.0,
5371000.0,2696000.0,1175000.0,7444000.0,2528000.0,1990000.0,794400.0,5204000.0,1416000.0,9607000.0,9515000.0,
5332000.0,2704000.0,1178000.0,7448000.0,2534000.0,1984000.0,809300.0,5214000.0,1391000.0,9607000.0,9515000.0,
5306000.0,2706000.0,1180000.0,7444000.0,2546000.0,1972000.0,821100.0,5202000.0,1391000.0,9607000.0,9515000.0,
5254000.0,2714000.0,1186000.0,7444000.0,2546000.0,1979000.0,813700.0,5202000.0,1391000.0,9655000.0,9538000.0,
5177000.0,2716000.0,1189000.0,7460000.0,2513000.0,1986000.0,806100.0,5226000.0,1367000.0,9655000.0,9570000.0,
5141000.0,2714000.0,1188000.0,7461000.0,2499000.0,1981000.0,806100.0,5267000.0,1378000.0,9602000.0,9589000.0,
5110000.0,2716000.0,1194000.0,7473000.0,2505000.0,1975000.0,806100.0,5278000.0,1368000.0,9650000.0,9589000.0,
5091000.0,2718000.0,1196000.0,7479000.0,2505000.0,1975000.0,823000.0,5261000.0,1368000.0,9698000.0,9589000.0,
5072000.0,2728000.0,1199000.0,7479000.0,2494000.0,1969000.0,823000.0,5294000.0,1380000.0,9653000.0,9606000.0,
5117000.0,2728000.0,1206000.0,7494000.0,2482000.0,1963000.0,838500.0,5297000.0,1470000.0,9545000.0,9558000.0,
5098000.0,2734000.0,1207000.0,7501000.0,2488000.0,1957000.0,838500.0,5303000.0,1464000.0,9545000.0,9558000.0,
5085000.0,2737000.0,1212000.0,7501000.0,2499000.0,1952000.0,832400.0,5324000.0,1443000.0,9545000.0,9558000.0,
5050000.0,2735000.0,1219000.0,7511000.0,2499000.0,1965000.0,819700.0,5400000.0,1367000.0,9545000.0,9558000.0,
5033000.0,2733000.0,1223000.0,7520000.0,2469000.0,1971000.0,819700.0,5450000.0,1311000.0,9545000.0,9588000.0,
5012000.0,2742000.0,1226000.0,7519000.0,2446000.0,1976000.0,814900.0,5450000.0,1311000.0,9593000.0,9610000.0,
5010000.0,2745000.0,1228000.0,7535000.0,2461000.0,1968000.0,808800.0,5450000.0,1511000.0,9440000.0,9572000.0,
5003000.0,2745000.0,1230000.0,7517000.0,2467000.0,1960000.0,808700.0,5484000.0,1477000.0,9440000.0,9572000.0,
4986000.0,2760000.0,1232000.0,7507000.0,2467000.0,1960000.0,808700.0,5497000.0,1463000.0,9440000.0,9572000.0,
4955000.0,2770000.0,1235000.0,7515000.0,2473000.0,1953000.0,808700.0,5546000.0,1415000.0,9487000.0,9572000.0,
4917000.0,2781000.0,1241000.0,7516000.0,2479000.0,1970000.0,792600.0,5557000.0,1398000.0,9487000.0,9572000.0,
4878000.0,2807000.0,1220000.0,7506000.0,2485000.0,1970000.0,800900.0,5583000.0,1357000.0,9535000.0,9597000.0,
4832000.0,2813000.0,1211000.0,7522000.0,2513000.0,2333000.0,416300.0,5601000.0,1332000.0,9535000.0,9609000.0,
4786000.0,2813000.0,1217000.0,7529000.0,2555000.0,2290000.0,422000.0,5635000.0,1292000.0,9582000.0,9609000.0,
4851000.0,2823000.0,1221000.0,7545000.0,2561000.0,2283000.0,434000.0,5633000.0,1282000.0,9582000.0,9473000.0,
4835000.0,2828000.0,1225000.0,7522000.0,2592000.0,2266000.0,420900.0,5633000.0,1282000.0,9582000.0,9473000.0,
4812000.0,2827000.0,1230000.0,7522000.0,2591000.0,2293000.0,425200.0,5607000.0,1276000.0,9678000.0,9473000.0,
4778000.0,2836000.0,1235000.0,7517000.0,2586000.0,2298000.0,410700.0,5626000.0,1250000.0,9727000.0,9495000.0,
4742000.0,2839000.0,1241000.0,7540000.0,2579000.0,2292000.0,416700.0,5630000.0,1240000.0,9727000.0,9508000.0,
