bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.0,164.5,183.8,154.6,0.04902,5.632,0.2397,0.1645,0.9829,0.4028,0.0,343.6,0.137,0.6699,0.6161,0.0689,0.1893,0.05927,0.08164,4.769,11.01,0.0,343.6,0.137,0.6699,0.6161,0.0689,0.1893,0.05927,0.08164,4.769,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.6,90.58,37.71,794.3,165.2,3.317,3.693,30.57,4.163,0.0,45.19,10.41,11.02,64.07,39.86,0.1306,0.01362,0.01546,0.0119,0.01397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,211600.0,57170.0,47740.0,2.228E7,45530.0,21460.0,24230.0,13490.0,24780.0,0.0,4.68E-36,4.185E-36,1.3680000000000001E-35,1.6810000000000002E-35,8.436E-37,3.9829999999999995E-37,1.252E-38,7.804E-39,4.854E-38,2.182E-38,2.08E-35,0.0,0.6631,1.321,3.005,1.58,0.1316,0.0437,0.003975,0.002625,0.01634,0.009706,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.01505,0.008867,0.006466,0.2414,0.01391,0.001641,6.991E-4,0.005386,9.757E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.0,162.0,183.5,150.1,0.04924,11.11,0.2912,0.1636,0.9839,0.403,0.0,343.6,0.1355,0.6866,0.5863,0.06852,0.1982,0.05902,0.08118,4.451,11.33,0.0,343.6,0.1355,0.6866,0.5863,0.06852,0.1982,0.05902,0.08118,4.451,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.2,98.44,38.93,749.2,165.1,3.206,3.521,30.59,4.059,0.0,45.19,5.877,10.12,62.48,38.74,0.1233,0.01352,0.01544,0.01182,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,27.08,210000.0,52170.0,44150.0,2.137E7,42880.0,20370.0,22990.0,13200.0,23640.0,0.0,4.68E-36,4.041E-36,1.3590000000000001E-35,1.667E-35,8.215E-37,4.808E-37,1.578E-38,7.741E-39,4.793E-38,2.181E-38,2.08E-35,0.0,0.6631,1.268,2.976,1.545,0.1287,0.07405,0.004809,0.002609,0.01635,0.009707,0.0,0.0,2.511E-4,1.092E-4,8.2E-4,0.9961,0.001029,4.119E-4,5.405E-4,6.266E-5,6.565E-4,0.0,1.0E-5,0.01498,0.008897,0.006458,0.2398,0.01388,0.001655,6.927E-4,0.005389,9.75E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.0,143.0,192.5,140.9,3.068,5.935,0.3983,0.1694,0.968,0.4095,0.0,343.6,0.1398,0.7908,0.4691,0.07339,0.1984,0.06005,0.08226,2.632,13.14,0.0,343.6,0.1398,0.7908,0.4691,0.07339,0.1984,0.06005,0.08226,2.632,13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.4,102.8,38.01,740.3,165.0,3.191,3.521,29.76,4.145,0.0,45.19,5.53,13.14,72.89,39.03,0.1147,0.01349,0.01544,0.01179,0.01389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.168E-4,0.0,39.79,208800.0,57030.0,70130.0,2.076E7,41300.0,20000.0,22560.0,13070.0,23200.0,0.0,4.68E-36,2.794E-36,1.471E-35,1.632E-35,1.0320000000000001E-36,3.789E-37,2.079E-38,7.816999999999999E-39,4.635E-38,2.196E-38,2.08E-35,0.0,0.6631,1.098,3.068,1.533,0.1746,0.04023,0.006149,0.002646,0.01605,0.009793,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,2.23E-5,0.01503,0.008825,0.006587,0.2398,0.01387,0.001657,6.938E-4,0.005396,9.836E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.0,145.0,190.0,137.5,0.01379,15.88,0.4014,0.1673,0.9684,0.4149,0.0,343.6,0.1024,0.796,0.4489,0.06658,0.2062,0.05085,0.0654,2.629,13.22,0.0,343.6,0.1024,0.796,0.4489,0.06658,0.2062,0.05085,0.0654,2.629,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.2,104.5,30.97,738.0,165.0,3.521,3.525,29.84,3.665,0.0,45.19,5.391,12.38,72.07,34.28,0.3264,0.01342,0.01536,0.01178,0.01383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,113.1,222300.0,48340.0,50460.0,2.081E7,41540.0,20120.0,22700.0,13030.0,23320.0,0.0,4.71E-36,2.8850000000000002E-36,1.49E-35,1.553E-35,7.675E-37,9.087E-37,2.067E-38,7.785E-39,4.587E-38,2.2E-38,2.08E-35,0.0,0.678,1.124,3.031,1.498,0.1197,0.1054,0.006149,0.002645,0.01604,0.009798,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,6.108E-5,0.01486,0.008743,0.006384,0.2391,0.01387,0.00166,6.871E-4,0.005397,9.897E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.0,143.7,180.4,140.4,0.01379,14.27,0.4017,0.1675,0.9707,0.4123,0.0,343.6,0.1014,0.8616,0.3669,0.06542,0.2144,0.05068,0.1205,2.412,13.38,0.0,343.6,0.1014,0.8616,0.3669,0.06542,0.2144,0.05068,0.1205,2.412,13.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.4,103.1,30.73,733.6,164.9,3.481,3.481,29.91,3.535,0.0,52.12,6.842,19.2,72.75,34.01,0.173,0.01327,0.01519,0.01176,0.01371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1127.0,234700.0,45280.0,48590.0,2.148E7,41730.0,20380.0,23050.0,13040.0,23760.0,0.0,5.1590000000000005E-36,3.32E-36,1.488E-35,1.488E-35,7.588E-37,5.837E-37,2.054E-38,7.771E-39,4.55E-38,2.187E-38,2.08E-35,0.0,0.6699,1.147,3.014,1.514,0.1185,0.0853,0.006149,0.002647,0.01607,0.009764,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,3.502E-4,0.01491,0.008662,0.006203,0.2375,0.01372,0.001656,6.764E-4,0.005403,9.766E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588.0,177.7,154.5,158.0,0.0558,8.056,0.5269,0.08403,0.9086,0.1505,0.0,343.6,0.1394,0.8401,0.3489,0.06458,0.2121,0.05075,0.1204,2.411,13.38,0.0,343.6,0.1394,0.8401,0.3489,0.06458,0.2121,0.05075,0.1204,2.411,13.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.2,104.0,27.56,727.8,164.9,3.379,3.356,29.82,3.201,0.0,54.3,6.429,19.09,61.81,33.67,0.5461,0.1204,0.01494,0.01174,0.01353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039E-4,0.0,1653.0,236700.0,48320.0,47160.0,2.256E7,43110.0,21310.0,24090.0,13210.0,25030.0,0.0,4.647E-36,4.8750000000000004E-36,1.2150000000000002E-35,1.515E-35,7.409999999999999E-37,4.7839999999999995E-37,1.982E-38,3.273E-39,4.167E-38,7.835999999999999E-39,2.08E-35,0.0,0.5926,1.554,2.631,1.599,0.1174,0.05381,0.006521,8.915E-4,0.01476,0.004264,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,5.277E-4,0.01561,0.008278,0.005835,0.2364,0.01361,0.001648,6.632E-4,0.005393,9.504E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.0,181.9,143.8,153.5,0.05326,7.458,0.3351,0.08311,0.9079,0.1476,0.0,343.6,0.1474,0.8296,0.3443,0.06905,0.2091,0.05038,0.1206,2.412,13.38,0.0,343.6,0.1474,0.8296,0.3443,0.06905,0.2091,0.05038,0.1206,2.412,13.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.3,110.3,27.45,692.7,164.8,3.34,3.311,29.82,3.169,0.0,59.72,5.867,13.75,57.82,34.73,0.4881,0.1109,0.01495,0.01177,0.01355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3646.0,254200.0,60240.0,45510.0,2.389E7,44570.0,22300.0,25310.0,13400.0,26300.0,0.0,5.099E-36,4.8570000000000006E-36,1.187E-35,1.474E-35,7.662E-37,4.9669999999999995E-37,1.726E-38,3.178E-39,4.118E-38,7.573E-39,2.08E-35,0.0,0.69,1.595,2.497,1.544,0.1391,0.05019,0.005177,8.78E-4,0.01475,0.004222,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,8.809E-4,0.01559,0.008294,0.005728,0.2356,0.01336,0.001643,6.631E-4,0.005395,9.492E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.0,146.0,180.6,148.7,0.01719,7.458,0.3281,0.07348,0.9013,0.1165,0.0,343.6,0.1209,0.8572,0.3438,0.06484,0.2094,0.05037,0.1206,1.825,13.97,0.0,343.6,0.1209,0.8572,0.3438,0.06484,0.2094,0.05037,0.1206,1.825,13.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.3,107.6,27.57,678.3,164.8,3.327,3.296,29.81,3.172,0.0,60.3,5.786,8.416,57.77,34.26,0.482,0.1109,0.0149,0.01182,0.01355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,3992.0,268200.0,49780.0,47390.0,2.547E7,46600.0,23500.0,26760.0,13580.0,27800.0,0.0,5.2560000000000006E-36,2.49E-36,1.389E-35,1.4570000000000002E-35,7.27E-37,4.943E-37,1.634E-38,2.334E-39,4.015E-38,4.9259999999999997E-39,2.08E-35,0.0,0.7263,1.112,2.92,1.526,0.1202,0.05015,0.005063,7.35E-4,0.01464,0.003773,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,9.983E-4,0.01569,0.008026,0.005699,0.2355,0.01333,0.00164,6.609E-4,0.005398,9.454E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.0,151.8,168.0,141.2,0.1081,10.89,0.3513,0.0824,0.9206,0.1278,0.0,343.6,0.1323,0.8507,0.3262,0.07123,0.1949,0.05358,0.1218,1.494,14.29,0.0,343.6,0.1323,0.8507,0.3262,0.07123,0.1949,0.05358,0.1218,1.494,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.8,109.2,28.47,666.9,170.8,2.477,2.075,27.37,3.004,0.0,65.88,7.084,6.978,51.57,35.68,0.5289,0.111,0.01487,0.01211,0.6011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.201E-4,0.0,4605.0,276900.0,47970.0,49630.0,2.681E7,52410.0,22770.0,26090.0,13360.0,29000.0,0.0,5.3000000000000005E-36,3.0800000000000004E-36,1.219E-35,1.4300000000000002E-35,7.613E-37,7.3569999999999996E-37,1.757E-38,2.704E-39,4.041E-38,1.88E-38,2.08E-35,0.0,0.7515,1.224,2.61,1.453,0.1242,0.1269,0.005446,9.128E-4,0.015,0.005246,0.0,0.0,2.529E-4,1.1E-4,8.259E-4,0.9961,0.001036,4.149E-4,5.444E-4,6.312E-5,6.613E-4,0.0,0.00113,0.01576,0.007839,0.005679,0.2342,0.01331,0.001647,6.454E-4,0.005375,9.664E-4,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.0,146.0,176.5,142.9,0.01577,6.075,0.3345,0.07264,0.8998,0.1178,0.0,343.6,0.121,0.8824,0.3324,0.06901,0.1645,0.05007,0.12,1.493,14.3,0.0,343.6,0.121,0.8824,0.3324,0.06901,0.1645,0.05007,0.12,1.493,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.2,108.7,23.96,628.7,177.1,3.467,2.593,28.42,3.069,0.0,65.88,6.327,6.038,50.68,35.54,0.4722,0.1106,0.01466,0.01179,0.6009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003E-4,0.0,4719.0,274700.0,46090.0,47660.0,2.605E7,50920.0,22000.0,25200.0,13190.0,28180.0,0.0,5.4690000000000006E-36,2.7370000000000002E-36,1.257E-35,1.422E-35,7.32E-37,3.528E-37,1.596E-38,1.906E-39,3.827E-38,1.797E-38,2.08E-35,0.0,0.7741,1.134,2.698,1.495,0.1204,0.04788,0.005151,7.514E-4,0.01466,0.00508,0.0,0.0,2.544E-4,1.107E-4,8.309E-4,0.9961,0.001043,4.174E-4,5.477E-4,6.349E-5,6.652E-4,0.0,0.001197,0.01566,0.007809,0.005577,0.232,0.01336,0.001663,6.461E-4,0.005386,9.695E-4,
