R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.4E-5,0.031,0.031,0.0,490.0,8.6,0.0,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.8E-5,0.031,0.031,0.0,450.0,8.6,0.0,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,4.0E-5,0.031,0.031,0.0,420.0,8.6,0.0,0.0,0.0,0.0,1.8E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,4.0E-5,0.031,0.031,0.0,380.0,8.6,0.0,0.0,0.0,0.0,1.8E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.6E-5,0.031,0.031,0.0,370.0,8.6,0.0,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.1E-5,0.031,0.031,0.0,350.0,8.6,0.0,0.0,0.0,0.0,2.0E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,2.6E-5,0.031,0.031,0.0,330.0,8.6,0.0,0.0,0.0,0.0,2.1E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,2.2E-5,0.031,0.031,0.0,300.0,8.6,0.0,0.0,0.0,0.0,2.3E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,1.8E-5,0.031,0.031,0.0,280.0,8.6,0.0,0.0,0.0,0.0,2.4E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,1.9E-5,0.031,0.031,0.0,250.0,8.5,0.0,0.0,0.0,0.0,2.3E7,1.0,6.9E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,2.2E-5,0.031,0.031,0.0,240.0,8.5,0.0,0.0,0.0,0.0,2.2E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,2.4E-5,0.031,0.031,0.0,240.0,8.5,0.0,0.0,0.0,0.0,2.1E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,2.3E-5,0.031,0.031,0.0,230.0,8.5,0.0,0.0,0.0,0.0,2.2E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,2.1E-5,0.031,0.031,0.0,230.0,8.5,0.0,0.0,0.0,0.0,2.3E7,1.0,6.8E8,
7.6E-37,0.067,13000.0,27000.0,26000.0,4900000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,5000000.0,0.0,0.86,0.072,0.072,0.0,350.0,31.0,0.0,0.0,0.0,0.0,2.4E7,1.0,7.0E8,
6.400000000000001E-38,0.0059,270.0,56.0,700.0,4800000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,4800000.0,0.0,1.3E-5,0.048,0.048,0.0,350.0,5.8,0.0,0.0,0.0,0.0,2.4E7,1.0,7.0E8,
1.9E-37,0.016,170.0,8900.0,700.0,4900000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,4900000.0,0.0,1.0,0.089,0.089,0.0,350.0,5.8,0.0,0.0,0.0,0.0,2.4E7,1.0,7.0E8,
8.5E-38,0.0069,170.0,1400.0,700.0,4300000.0,3900.0,1600.0,2100.0,240.0,2500.0,0.19,4300000.0,0.0,1.6E-5,0.074,0.074,0.0,350.0,6.1,0.0,0.0,0.0,0.0,2.2E7,1.0,7.0E8,
8.200000000000001E-38,0.0066,170.0,1400.0,700.0,3999999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3999999.9999999995,0.0,1.8E-5,0.071,0.071,0.0,350.0,5.8,0.0,0.0,0.0,0.0,2.1E7,1.0,6.9E8,
7.800000000000001E-38,0.0063,170.0,1400.0,700.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,1.9E-5,0.068,0.068,0.0,350.0,5.5,0.0,0.0,0.0,0.0,2.0E7,1.0,6.9E8,
7.800000000000001E-38,0.0063,170.0,1400.0,700.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,2.2E-5,0.068,0.068,0.0,350.0,5.5,0.0,0.0,0.0,0.0,1.9E7,1.0,6.9E8,
