entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.089,0.1426,0.1768,0.04635,0.02718,0.1412,0.07795,0.02059,0.007204,0.09455,0.02678,0.1904,0.1911,
2.09,0.1401,0.1732,0.04602,0.02727,0.141,0.07845,0.02073,0.00725,0.09516,0.02696,0.1916,0.1923,
2.091,0.1424,0.1716,0.04568,0.02737,0.1391,0.07878,0.02085,0.007295,0.09574,0.02712,0.1928,0.1937,
2.092,0.1421,0.17,0.04579,0.02752,0.136,0.07909,0.02097,0.007347,0.09644,0.02732,0.1942,0.1954,
2.092,0.134,0.1708,0.04588,0.0271,0.135,0.0777,0.02105,0.007372,0.09679,0.02847,0.1938,0.196,
2.096,0.1483,0.1739,0.04592,0.02714,0.1331,0.07657,0.02109,0.007385,0.097,0.03092,0.1938,0.1932,
2.094,0.1543,0.1719,0.04578,0.02718,0.1329,0.07489,0.02113,0.0074,0.09719,0.03098,0.1952,0.1955,
2.094,0.1324,0.1696,0.04572,0.02729,0.1317,0.07488,0.02123,0.007432,0.09763,0.03112,0.196,0.1973,
2.093,0.1493,0.168,0.04506,0.02701,0.1307,0.07427,0.02134,0.007469,0.09814,0.03124,0.1971,0.1996,
2.093,0.1359,0.1663,0.0451,0.02708,0.1304,0.0742,0.02137,0.00749,0.09844,0.03134,0.1977,0.2006,
2.097,0.1354,0.1653,0.04523,0.02684,0.1307,0.07355,0.0214,0.007519,0.09886,0.0342,0.1958,0.2006,
2.096,0.1461,0.1652,0.04524,0.02636,0.1307,0.07342,0.0214,0.00752,0.09888,0.0342,0.1958,0.2013,
2.1,0.1346,0.171,0.04526,0.02606,0.1308,0.07309,0.02141,0.007523,0.09892,0.03649,0.1936,0.1959,
2.101,0.1254,0.1753,0.04531,0.02609,0.1308,0.07269,0.02144,0.007534,0.09907,0.03655,0.1939,0.1913,
2.1,0.1357,0.1749,0.04533,0.0261,0.1308,0.07164,0.02146,0.007538,0.09913,0.03657,0.194,0.1925,
2.1,0.1274,0.1747,0.0453,0.02609,0.1305,0.07159,0.02144,0.007533,0.09907,0.03655,0.1949,0.1924,
2.103,0.1302,0.174,0.04504,0.02612,0.1303,0.07167,0.02147,0.007541,0.09918,0.03872,0.193,0.193,
2.103,0.129,0.1736,0.04504,0.02611,0.1302,0.07132,0.02148,0.007547,0.09926,0.03874,0.1931,0.1936,
2.103,0.1234,0.1727,0.04505,0.02615,0.1296,0.07105,0.02153,0.007564,0.09948,0.03883,0.1935,0.1944,
2.102,0.125,0.1715,0.0451,0.02618,0.1297,0.07033,0.02155,0.007571,0.09958,0.03887,0.1937,0.1959,
2.101,0.131,0.1729,0.04512,0.0257,0.1297,0.06986,0.02156,0.007575,0.09963,0.03889,0.1938,0.1952,
2.1,0.1337,0.1725,0.04494,0.02569,0.1293,0.06959,0.02156,0.007575,0.09964,0.03889,0.1948,0.1955,
2.1,0.1429,0.1717,0.04488,0.02571,0.1287,0.06964,0.02158,0.00758,0.09972,0.03892,0.1959,0.1956,
2.102,0.1495,0.1713,0.0449,0.02574,0.1284,0.06971,0.0216,0.007588,0.09982,0.04007,0.195,0.1958,
2.101,0.1401,0.1707,0.0448,0.02572,0.1278,0.06931,0.02161,0.007591,0.09986,0.04009,0.1961,0.1964,
2.101,0.1358,0.1704,0.04481,0.02574,0.1277,0.06895,0.02163,0.007597,0.09994,0.04012,0.1962,0.1969,
2.098,0.133,0.1701,0.04467,0.0249,0.1273,0.06839,0.02162,0.007596,0.09992,0.04011,0.1972,0.1983,
2.102,0.1486,0.1733,0.04464,0.02491,0.1271,0.06826,0.02163,0.007597,0.09994,0.04278,0.1956,0.1942,
2.1,0.1323,0.1705,0.04444,0.02487,0.1264,0.06738,0.02161,0.007533,0.09982,0.04274,0.1983,0.1964,
