bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,159.1,169.5,108.8,0.07333,5.402,0.3514,0.2103,0.8005,0.406,0.0,344.4,0.1872,1.713,0.159,0.1634,0.2197,0.2045,0.1153,3.948,8.102,0.0,344.4,0.1872,1.713,0.159,0.1634,0.2197,0.2045,0.1153,3.948,8.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.7,156.7,25.93,902.5,4.882,0.472,1.383,0.1384,4.349,0.0,139.7,1.588,4.706,26.58,21.68,0.02723,0.01159,0.03024,0.002045,0.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,2207000.0,106400.0,35200.0,2.707E7,35810.0,7328.0,19700.0,5237.0,26340.0,0.0,5.77E-38,3.461E-38,1.728E-37,1.065E-37,3.493E-39,4.198E-39,9.499E-41,4.693E-40,2.533E-40,6.134E-40,2.08E-35,0.0,0.2936,0.7834,1.374,0.671,0.02709,0.03267,0.001826,0.002055,0.00452,0.003567,0.0,0.0,8.142E-4,8.797E-5,4.389E-4,0.9966,0.001045,1.332E-4,7.196E-4,2.643E-5,1.178E-4,0.0,1.0E-5,0.01739,0.001927,0.001355,0.1652,0.002152,6.474E-4,1.75E-4,3.767E-4,2.143E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,156.9,169.8,110.5,0.08386,4.271,0.3495,0.2198,0.8054,0.4109,0.0,344.4,0.2066,1.706,0.1428,0.1623,0.2182,0.1968,0.1168,3.952,8.104,0.0,344.4,0.2066,1.706,0.1428,0.1623,0.2182,0.1968,0.1168,3.952,8.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.3,158.7,25.98,868.8,4.868,0.471,1.377,0.1401,4.349,0.0,139.7,1.433,4.076,25.87,21.56,0.02719,0.01146,0.02104,0.001829,0.1334,1.872E-25,0.0,0.0,1.129E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019E-27,0.0,0.0,8.034000000000001E-28,8.476E-28,5.789E-29,6.774E-28,5.176E-28,1.243E-27,2.982E-29,1.696E-27,9.763E-28,0.0,0.0,1.744E-36,2.527E-35,2.1960000000000002E-36,4.128E-39,7.001E-39,8.433E-40,5.77E-41,5.009E-39,1.129E-37,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,62.39,1878000.0,93470.0,32260.0,2.551E7,34690.0,7178.0,19140.0,5076.0,24620.0,0.0,5.77E-38,3.404E-38,1.715E-37,1.066E-37,3.48E-39,3.454E-39,9.375999999999999E-41,4.69E-40,2.45E-40,6.132E-40,2.08E-35,0.0,0.2936,0.7724,1.368,0.6753,0.02703,0.02876,0.001815,0.002057,0.004538,0.003574,0.0,0.0,8.42E-4,9.097E-5,4.539E-4,0.9965,0.00108,1.378E-4,7.442E-4,2.733E-5,1.219E-4,0.0,1.766E-5,0.01738,0.001932,0.001358,0.1634,0.002134,6.49E-4,1.769E-4,3.761E-4,2.153E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0,157.0,162.3,110.5,0.1376,3.935,0.3495,0.2246,0.8105,0.4095,0.0,344.4,0.1721,1.722,0.148,0.1653,0.2169,0.2016,0.1159,3.78,8.273,0.0,344.4,0.1721,1.722,0.148,0.1653,0.2169,0.2016,0.1159,3.78,8.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.8,161.2,26.08,829.8,4.847,0.4683,1.362,0.1396,4.347,0.0,139.7,1.291,6.994,27.18,21.5,0.02717,0.01113,0.01664,0.001547,0.13,4.891E-25,0.0,0.0,1.872E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.902E-27,0.0,1.611E-29,9.602E-27,2.8570000000000003E-26,1.607E-27,5.95E-27,6.2859999999999996E-27,1.4180000000000002E-26,3.7110000000000003E-28,2.9200000000000003E-26,1.037E-25,0.0,2.151E-37,2.516E-34,4.192E-33,3.101E-34,9.975E-38,1.51E-37,3.057E-38,1.479E-39,8.643E-38,6.193000000000001E-36,0.0,0.0,10010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41E-4,0.0,272.3,1711000.0,86520.0,30170.0,2.448E7,34210.0,7107.0,18920.0,4998.0,23660.0,0.0,5.835E-38,3.35E-38,1.701E-37,1.055E-37,4.193E-39,3.031E-39,9.325E-41,4.685E-40,2.372E-40,6.112E-40,2.08E-35,0.0,0.2999,0.7703,1.348,0.6765,0.02952,0.02528,0.001812,0.00206,0.004564,0.003549,0.0,0.0,8.698E-4,9.398E-5,4.689E-4,0.9964,0.001116,1.423E-4,7.688E-4,2.823E-5,1.259E-4,0.0,3.591E-5,0.01739,0.001935,0.00135,0.1627,0.002133,6.511E-4,1.808E-4,3.775E-4,2.122E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0,153.2,164.4,111.2,0.0915,3.919,0.35,0.2256,0.818,0.4035,0.0,344.4,0.1718,1.712,0.1555,0.1635,0.2155,0.1955,0.1008,3.501,8.576,0.0,344.4,0.1718,1.712,0.1555,0.1635,0.2155,0.1955,0.1008,3.501,8.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.8,157.2,26.09,813.7,4.879,0.4724,1.384,0.1404,4.35,0.0,139.7,1.289,6.918,27.02,21.38,0.02731,0.01062,0.01551,0.001261,0.1286,8.173000000000001E-25,0.0,0.0,2.254E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5380000000000002E-26,0.0,1.5440000000000001E-28,7.773000000000001E-26,1.699E-25,9.778999999999999E-27,2.339E-26,2.2480000000000002E-26,4.5990000000000003E-26,7.19E-27,1.353E-25,1.081E-24,0.0,6.347E-37,3.37E-33,1.244E-31,5.707E-33,6.196E-35,6.78E-37,1.62E-37,1.766E-38,9.327E-37,3.025E-35,0.0,0.0,9235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27E-4,0.0,445.1,1490000.0,83720.0,29830.0,2.34E7,34930.0,7189.0,19470.0,4972.0,23670.0,0.0,5.88E-38,3.305E-38,1.6889999999999999E-37,1.0519999999999999E-37,4.173E-39,2.957E-39,9.291E-41,4.683E-40,2.279E-40,6.084E-40,2.08E-35,0.0,0.303,0.7482,1.357,0.6803,0.02943,0.02523,0.001813,0.002059,0.004608,0.003505,0.0,0.0,9.436E-4,1.02E-4,5.086E-4,0.9961,0.001211,1.544E-4,8.34E-4,3.063E-5,1.366E-4,0.0,5.183E-5,0.01618,0.001929,0.00136,0.1613,0.002138,6.541E-4,1.904E-4,3.801E-4,2.106E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0,154.5,152.6,120.4,0.09005,3.893,0.3472,0.2233,0.8307,0.3974,0.0,344.4,0.1744,1.692,0.1384,0.1856,0.2144,0.1892,0.0839,3.265,8.843,0.0,344.4,0.1744,1.692,0.1384,0.1856,0.2144,0.1892,0.0839,3.265,8.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.5,158.5,26.11,798.6,4.913,0.4767,1.408,0.1413,4.354,0.0,139.7,1.279,5.907,25.13,21.28,0.02879,0.01009,0.01587,0.001043,0.1329,1.339E-24,0.0,0.0,2.787E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2130000000000003E-26,0.0,1.653E-27,3.7780000000000003E-25,5.578E-25,4.127E-26,6.236E-26,5.686E-26,9.803000000000001E-26,1.1410000000000001E-26,2.274E-25,3.565E-24,0.0,1.222E-34,2.512E-32,4.189E-31,1.466E-31,2.708E-34,2.237E-34,7.036000000000001E-36,5.238E-38,2.0060000000000002E-36,8.877E-35,0.0,0.0,9053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.804E-4,0.0,534.1,1373000.0,84900.0,29720.0,2.251E7,36080.0,7244.0,19810.0,4994.0,24460.0,0.0,5.951E-38,3.3359999999999997E-38,1.663E-37,1.051E-37,4.1609999999999996E-39,2.839E-39,9.169E-41,4.676E-40,2.253E-40,6.072E-40,2.08E-35,0.0,0.3082,0.7592,1.304,0.7019,0.02937,0.025,0.001788,0.002047,0.004683,0.003471,0.0,0.0,0.001004,1.085E-4,5.412E-4,0.9958,0.001288,1.643E-4,8.874E-4,3.259E-5,1.453E-4,0.0,5.704E-5,0.01591,0.00191,0.001363,0.1585,0.002143,6.569E-4,1.961E-4,3.843E-4,2.174E-4,
0.0,0.0,0.9866,0.00891,0.002089,0.002381,0.0,0.0,0.0,0.0,0.0,0.0,1204.0,162.2,143.2,117.1,0.27,6.143,0.3476,0.222,0.8308,0.8727,0.0,344.4,0.2054,1.634,0.1328,0.1956,0.2141,0.1892,0.0839,3.265,8.855,0.0,344.4,0.2054,1.634,0.1328,0.1956,0.2141,0.1892,0.0839,3.265,8.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.6,164.8,27.27,763.1,4.891,0.4739,1.392,0.1407,4.351,0.0,139.7,1.269,5.813,23.46,21.22,0.02793,0.009549,0.01716,9.023E-4,0.1334,2.461E-24,0.0,0.0,3.872E-4,3.496E-6,8.197E-7,9.342E-7,0.0,0.0,0.0,0.0,0.0,7.518000000000001E-26,0.0,2.507E-27,9.827E-25,1.418E-24,1.017E-25,1.6600000000000001E-25,1.1650000000000001E-25,1.675E-25,1.6450000000000002E-26,2.535E-25,7.875E-24,0.0,1.422E-34,9.355E-32,1.335E-30,4.193E-31,8.883E-34,5.187E-34,1.588E-35,1.066E-37,3.783E-36,1.117E-33,0.0,0.0,8414.0,75.98,17.81,20.3,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,594.7,1144000.0,96120.0,31660.0,2.167E7,35860.0,7199.0,19650.0,4955.0,25240.0,0.0,6.114E-38,3.303E-38,1.6179999999999999E-37,1.005E-37,6.04E-39,4.9879999999999996E-39,9.128999999999999E-41,4.674E-40,2.174E-40,1.196E-39,2.08E-35,0.0,0.3188,0.7906,1.252,0.6779,0.03623,0.0348,0.001787,0.002047,0.004683,0.007747,0.0,0.0,0.001038,1.122E-4,5.598E-4,0.9957,0.001332,1.699E-4,9.178E-4,3.371E-5,1.503E-4,0.0,7.796E-5,0.01493,0.002045,0.001362,0.1568,0.002155,6.573E-4,1.99E-4,3.843E-4,2.212E-4,
0.0,0.0,0.9986,2.862E-4,3.945E-4,7.048E-4,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,143.4,139.9,118.6,0.08635,3.565,0.3483,0.2201,0.831,0.8354,0.0,344.4,0.1842,1.659,0.1358,0.1831,0.216,0.1888,0.08396,3.265,8.855,0.0,344.4,0.1842,1.659,0.1358,0.1831,0.216,0.1888,0.08396,3.265,8.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.7,159.1,26.11,722.0,4.829,0.4661,1.35,0.1391,4.345,0.0,137.8,22.89,6.658,26.34,21.06,0.2875,0.009148,0.01927,8.171E-4,0.1344,1.16E-23,0.0,0.0,4.731E-4,5.129E-7,2.374E-7,3.327E-7,0.0,0.0,0.0,0.0,0.0,2.284E-25,0.0,7.368E-27,1.309E-24,7.012E-23,3.679E-25,4.6910000000000005E-25,2.27E-25,2.6560000000000003E-25,2.4600000000000002E-26,3.337E-25,1.399E-23,0.0,2.102E-33,1.4010000000000001E-31,4.487E-29,1.838E-30,1.287E-33,7.723000000000001E-34,2.411E-35,1.912E-37,6.383E-36,1.293E-33,0.0,0.0,8521.0,2.442,3.366,6.014,0.0,0.0,0.0,0.0,0.0,7.782E-4,0.0,771.5,1028000.0,84170.0,29340.0,2.112E7,35350.0,7114.0,19230.0,4911.0,26150.0,0.0,5.822E-38,3.025E-38,1.631E-37,1.015E-37,4.111E-39,3.127E-39,9.100999999999999E-41,4.672E-40,2.076E-40,8.314E-40,2.08E-35,0.0,0.3165,0.7215,1.322,0.6951,0.0288,0.02516,0.001789,0.002048,0.004684,0.00742,0.0,0.0,0.001045,1.129E-4,5.634E-4,0.9957,0.001341,1.71E-4,9.238E-4,3.393E-5,1.513E-4,0.0,9.782E-5,0.0151,0.001925,0.001338,0.1571,0.002155,6.585E-4,2.003E-4,3.846E-4,2.216E-4,
0.0,0.0,0.9986,2.958E-4,4.077E-4,7.284E-4,0.0,0.0,0.0,0.0,0.0,0.0,1205.0,143.4,140.5,110.7,0.08357,3.678,0.3484,0.2173,0.8309,0.8346,0.0,344.4,0.1999,1.661,0.1177,0.1828,0.2136,0.1888,0.08406,2.024,10.1,0.0,344.4,0.1999,1.661,0.1177,0.1828,0.2136,0.1888,0.08406,2.024,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.5,158.8,27.29,708.3,4.805,0.463,1.333,0.1385,4.342,0.0,137.8,21.99,4.67,33.07,21.07,0.1741,0.00887,0.02209,7.656E-4,0.1353,2.4349999999999998E-23,0.0,0.0,5.784E-4,5.698E-7,2.859E-7,4.19E-7,0.0,0.0,0.0,0.0,0.0,7.6030000000000005E-25,0.0,1.138E-25,5.629E-22,9.694999999999999E-22,7.907000000000001E-25,1.277E-24,4.970000000000001E-25,4.919E-25,3.8170000000000004E-26,1.999E-24,2.5029999999999998E-23,0.0,1.8910000000000001E-31,1.2E-27,2.436E-27,1.984E-29,1.984E-33,5.322E-32,3.227E-35,3.425E-37,7.494E-35,1.522E-33,0.0,0.0,8527.0,2.526,3.482,6.22,0.0,0.0,0.0,0.0,0.0,6.892E-4,0.0,1020.0,895400.0,77530.0,32730.0,2.116E7,35460.0,7110.0,19240.0,4917.0,27200.0,0.0,5.986E-38,3.149E-38,1.595E-37,1.008E-37,4.112E-39,2.91E-39,9.063999999999999E-41,4.669E-40,1.983E-40,7.212E-40,2.08E-35,0.0,0.3311,0.7566,1.275,0.6901,0.0288,0.02424,0.001789,0.002048,0.004683,0.00742,0.0,0.0,0.001045,1.129E-4,5.634E-4,0.9957,0.001341,1.71E-4,9.238E-4,3.393E-5,1.513E-4,0.0,1.157E-4,0.01511,0.00188,0.001364,0.1571,0.002156,6.582E-4,2.004E-4,3.846E-4,2.216E-4,
0.0,0.0,0.9985,3.18E-4,4.383E-4,7.83E-4,0.0,0.0,0.0,0.0,0.0,0.0,1210.0,130.8,155.5,103.0,0.07969,3.274,0.3486,0.2131,0.8311,0.8368,0.0,344.4,0.1953,1.612,0.1159,0.1826,0.2121,0.1887,0.08409,2.024,10.15,0.0,344.4,0.1953,1.612,0.1159,0.1826,0.2121,0.1887,0.08409,2.024,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.1,156.0,27.45,663.5,4.741,0.4548,1.289,0.1369,4.335,0.0,137.8,19.65,5.732,30.88,21.07,2.701,0.008662,0.02622,7.308E-4,0.1341,3.572E-23,0.0,0.0,6.692E-4,5.379E-7,3.415E-7,5.183E-7,0.0,0.0,0.0,0.0,0.0,1.377E-24,0.0,2.399E-25,5.897999999999999E-22,4.252E-21,2.101E-24,2.706E-24,1.101E-24,4.014E-24,1.078E-25,2.612E-24,1.719E-22,0.0,3.818E-31,8.768E-28,2.329E-26,1.328E-28,2.775E-33,1.8E-31,4.732E-35,7.532E-37,1.1070000000000001E-34,4.675E-33,0.0,0.0,8531.0,2.717,3.745,6.69,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1251.0,806100.0,74700.0,32910.0,2.196E7,36760.0,7235.0,19940.0,4923.0,29080.0,0.0,6.316E-38,3.022E-38,1.593E-37,9.715E-38,4.112E-39,2.9719999999999996E-39,9.027E-41,4.667E-40,1.9079999999999998E-40,6.726E-40,2.08E-35,0.0,0.355,0.6528,1.351,0.6767,0.0288,0.0245,0.001789,0.002048,0.004684,0.007426,0.0,0.0,0.001045,1.129E-4,5.634E-4,0.9957,0.001341,1.71E-4,9.238E-4,3.393E-5,1.513E-4,0.0,1.67E-4,0.01511,0.001863,0.001345,0.157,0.002133,6.582E-4,2.003E-4,3.847E-4,2.367E-4,
0.0,0.0,0.9983,3.415E-4,4.706E-4,8.407E-4,0.0,0.0,0.0,0.0,0.0,0.0,1204.0,143.3,151.5,107.1,0.088,4.142,0.3536,0.2284,0.8313,0.8406,0.0,344.4,0.184,1.587,0.1405,0.1816,0.2163,0.1886,0.08412,2.024,10.15,0.0,344.4,0.184,1.587,0.1405,0.1816,0.2163,0.1886,0.08412,2.024,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.9,156.1,27.6,661.5,4.72,0.4521,1.275,0.1364,4.332,0.0,135.5,17.06,12.2,21.46,20.86,2.276,0.006356,0.02056,4.751E-4,0.1303,4.6189999999999995E-23,0.0,0.0,7.447E-4,5.778E-7,3.965E-7,6.165E-7,0.0,0.0,0.0,0.0,0.0,2.459E-24,0.0,4.282E-25,6.064999999999999E-22,1.2269999999999999E-20,7.02E-24,7.678E-24,5.998E-24,1.0759999999999999E-23,2.691E-24,6.642999999999999E-23,6.077999999999999E-22,0.0,3.8000000000000004E-31,2.003E-27,1.01E-25,4.949E-28,1.755E-31,2.119E-30,1.205E-33,1.4130000000000002E-31,4.894E-32,1.985E-31,0.0,0.0,8534.0,2.919,4.023,7.187,0.0,0.0,0.0,0.0,0.0,1.001E-4,0.0,1338.0,739800.0,70530.0,30920.0,2.141E7,36390.0,7129.0,19490.0,4859.0,27830.0,0.0,5.634E-38,3.043E-38,1.5669999999999999E-37,9.589E-38,4.083E-39,5.4209999999999997E-39,9.436999999999998E-41,4.822E-40,1.807E-40,6.506E-40,2.08E-35,0.0,0.3213,0.6991,1.331,0.6722,0.0287,0.03413,0.001808,0.002115,0.004684,0.007426,0.0,0.0,0.001049,1.134E-4,5.657E-4,0.9956,0.001347,1.717E-4,9.276E-4,3.407E-5,1.519E-4,0.0,1.819E-4,0.01511,0.001848,0.001337,0.1549,0.002124,6.579E-4,1.988E-4,3.846E-4,2.364E-4,
