bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,152.9,164.2,120.9,0.0565,3.255,0.439,0.823,1.66,0.1361,0.0,344.3,0.1536,1.717,0.1181,0.1461,0.2416,0.451,0.6194,1.937,10.15,0.0,344.3,0.1536,1.717,0.1181,0.1461,0.2416,0.451,0.6194,1.937,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.7,103.6,26.73,1021.0,4.297,3.457,5.072,189.1,3.033,0.0,146.5,9.498,8.09,20.13,38.91,0.1905,0.02858,0.1568,0.1353,0.07641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,2235000.0,104600.0,67930.0,2.346E7,40280.0,33710.0,34550.0,62340.0,29320.0,0.0,2.93E-38,2.034E-38,9.471E-38,7.546E-38,6.447E-39,1.419E-39,2.489E-40,6.362E-40,1.597E-39,1.852E-40,2.08E-35,0.0,0.3659,0.8239,1.58,0.9691,0.09439,0.01884,0.002305,0.005194,0.009556,0.001816,0.0,0.0,4.709E-4,0.001204,0.001181,0.9925,8.841E-4,9.671E-4,2.826E-4,0.001855,6.805E-4,0.0,1.0E-5,0.0177,0.0019,0.001752,0.1758,0.003361,5.652E-4,8.041E-4,0.001632,3.021E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,151.6,162.1,120.9,0.05554,3.242,0.4385,0.8252,1.664,0.137,0.0,344.3,0.1617,1.713,0.1145,0.1454,0.2386,0.4477,0.6195,1.93,10.16,0.0,344.3,0.1617,1.713,0.1145,0.1454,0.2386,0.4477,0.6195,1.93,10.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.2,103.8,26.56,970.2,4.167,3.334,4.867,189.0,2.931,0.0,146.5,9.791,9.079,20.63,38.83,0.1968,0.02852,0.155,0.1311,0.07595,6.753000000000001E-26,0.0,0.0,7.069E-5,6.353E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5340000000000005E-28,0.0,0.0,1.426E-28,8.845E-29,5.235E-30,1.5679999999999998E-29,1.025E-29,1.463E-29,8.22E-31,2.783E-32,1.591E-27,0.0,0.0,1.796E-37,3.939E-35,3.187E-36,1.651E-40,2.4759999999999998E-39,1.4829999999999998E-41,1.676E-43,2.475E-43,1.67E-38,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16E-4,0.0,46.69,2022000.0,94800.0,61960.0,2.19E7,38460.0,31200.0,31540.0,58560.0,27250.0,0.0,2.93E-38,2.115E-38,9.368E-38,7.504E-38,6.436E-39,1.4179999999999999E-39,2.4789999999999998E-40,6.341E-40,1.593E-39,1.788E-40,2.08E-35,0.0,0.3659,0.8348,1.561,0.9685,0.09426,0.01882,0.002301,0.005196,0.009556,0.001817,0.0,0.0,4.74E-4,0.001212,0.001189,0.9924,8.898E-4,9.734E-4,2.844E-4,0.001867,6.848E-4,0.0,2.901E-5,0.01769,0.001884,0.001741,0.171,0.003348,5.592E-4,8.032E-4,0.001625,2.998E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,149.4,162.6,113.3,0.2822,3.317,0.4387,0.8266,1.667,0.1372,0.0,344.3,0.154,1.713,0.118,0.1444,0.2375,0.4449,0.6222,1.93,10.16,0.0,344.3,0.154,1.713,0.118,0.1444,0.2375,0.4449,0.6222,1.93,10.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,105.3,26.55,916.5,4.073,3.208,4.732,188.9,2.829,0.0,146.5,9.908,8.972,26.55,38.68,0.2169,0.02836,0.1527,0.1275,0.07577,5.122E-25,0.0,0.0,1.909E-4,5.173E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.921E-27,0.0,0.0,1.1370000000000001E-26,1.133E-24,5.059E-28,3.643E-27,7.641E-27,2.183E-28,1.0680000000000001E-26,8.161999999999999E-29,5.461E-26,0.0,0.0,3.714E-34,1.795E-30,2.5969999999999997E-33,3.9630000000000003E-35,1.631E-35,8.469E-40,7.319E-39,1.656E-40,1.011E-36,0.0,0.0,9708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052E-4,0.0,159.3,1678000.0,89610.0,58630.0,2.086E7,36430.0,29350.0,29400.0,56250.0,25780.0,0.0,2.95E-38,2.018E-38,9.412E-38,7.435E-38,6.507E-39,1.45E-39,2.473E-40,6.321E-40,1.589E-39,1.723E-40,2.08E-35,0.0,0.3687,0.8137,1.574,0.9584,0.09559,0.01941,0.002302,0.005196,0.009556,0.001818,0.0,0.0,4.755E-4,0.001216,0.001193,0.9924,8.927E-4,9.765E-4,2.853E-4,0.001873,6.871E-4,0.0,4.316E-5,0.01721,0.001878,0.001731,0.1691,0.003336,5.562E-4,8.02E-4,0.001622,2.981E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,158.9,164.9,116.7,0.08579,3.265,0.4391,0.8261,1.67,0.1575,0.0,344.3,0.1351,1.765,0.1046,0.1641,0.2367,0.4569,0.6006,1.936,10.09,0.0,344.3,0.1351,1.765,0.1046,0.1641,0.2367,0.4569,0.6006,1.936,10.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.3,90.37,36.17,880.8,3.732,3.094,4.442,188.6,3.497,0.0,143.5,11.29,7.794,19.01,38.68,0.1846,0.02641,0.1042,0.09416,0.07946,8.466E-25,0.0,0.0,2.356E-4,5.173E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.481E-26,0.0,1.854E-28,2.074E-25,1.1849999999999999E-23,3.361E-26,2.688E-26,5.21E-26,3.176E-27,9.313E-26,2.458E-27,9.431E-25,0.0,4.3420000000000005E-36,9.259999999999999E-33,5.506999999999999E-29,4.071E-32,4.8460000000000005E-34,1.9530000000000002E-34,1.276E-38,2.811E-37,1.106E-38,9.375E-36,0.0,0.0,9421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,225.2,1528000.0,95710.0,60930.0,2.075E7,34180.0,28430.0,27870.0,55610.0,27330.0,0.0,2.568E-38,2.048E-38,9.462E-38,7.189E-38,6.612999999999999E-39,1.446E-39,2.476E-40,6.05E-40,1.566E-39,1.958E-40,2.08E-35,0.0,0.3234,0.8721,1.563,0.9365,0.0954,0.01925,0.002306,0.005018,0.009447,0.002029,0.0,0.0,4.755E-4,0.001216,0.001193,0.9924,8.927E-4,9.765E-4,2.853E-4,0.001873,6.871E-4,0.0,4.953E-5,0.01683,0.001751,0.001755,0.1689,0.00332,5.636E-4,7.942E-4,0.001624,3.074E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.0,169.1,162.4,120.3,0.05492,3.212,0.4363,0.8292,1.678,0.1933,0.0,344.3,0.1178,1.723,0.09289,0.1465,0.2348,0.4575,0.6604,1.999,9.96,0.0,344.3,0.1178,1.723,0.09289,0.1465,0.2348,0.4575,0.6604,1.999,9.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.7,93.34,34.61,844.8,2.973,2.128,5.458,191.9,6.157,0.0,141.1,11.84,7.591,19.57,32.45,0.1661,0.02358,0.05001,0.05736,0.03063,1.469E-24,0.0,0.0,3.024E-4,1.911E-8,5.679E-9,2.138E-8,0.0,0.0,0.0,0.0,0.0,3.126E-26,0.0,6.422E-28,2.38E-23,2.33E-24,4.5600000000000003E-26,9.538000000000001E-26,1.149E-25,1.5040000000000002E-26,3.404E-25,1.381E-25,4.654E-24,0.0,4.3210000000000004E-36,5.736E-30,1.5750000000000002E-28,2.0520000000000002E-31,1.333E-33,5.4E-34,6.958E-38,1.5880000000000002E-36,3.8070000000000004E-36,1.1779999999999999E-33,0.0,0.0,9052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.631E-4,0.0,387.6,1357000.0,85370.0,52470.0,2.133E7,35120.0,28750.0,29070.0,57370.0,28290.0,0.0,2.278E-38,1.885E-38,9.223E-38,7.215E-38,5.3099999999999995E-39,1.416E-39,2.428E-40,5.894E-40,1.562E-39,1.924E-40,2.08E-35,0.0,0.287,0.8795,1.551,0.9436,0.09228,0.01883,0.002285,0.004913,0.009403,0.002017,0.0,0.0,4.755E-4,0.001216,0.001193,0.9924,8.927E-4,9.765E-4,2.853E-4,0.001873,6.871E-4,0.0,5.833E-5,0.0163,0.001738,0.001706,0.1687,0.003317,5.62E-4,8.058E-4,0.001617,3.224E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.0,166.8,160.1,123.5,0.04977,4.369,0.4375,0.828,1.693,0.1849,0.0,344.3,0.1232,1.73,0.09074,0.1288,0.2312,0.4574,0.6609,1.756,10.21,0.0,344.3,0.1232,1.73,0.09074,0.1288,0.2312,0.4574,0.6609,1.756,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.4,93.57,34.59,832.1,2.954,2.075,4.189,196.2,3.038,0.0,141.1,5.593,6.794,23.82,30.08,1.689,0.0233,0.04621,0.05448,0.02907,2.617E-24,0.0,0.0,3.728E-4,1.755E-8,1.222E-9,3.835E-9,0.0,0.0,0.0,0.0,0.0,6.260000000000001E-26,0.0,1.0499999999999999E-27,2.455E-23,1.945E-23,7.64E-26,2.473E-25,2.927E-25,6.411000000000001E-26,8.779E-25,3.577E-25,1.316E-23,0.0,4.325E-36,1.963E-29,1.8160000000000002E-28,4.832E-31,2.4949999999999998E-33,4.163E-32,4.193E-37,5.6790000000000004E-36,3.1030000000000003E-35,4.1859999999999996E-33,0.0,0.0,8107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101E-4,0.0,429.8,1095000.0,86580.0,51860.0,2.217E7,35310.0,29450.0,28270.0,58070.0,28450.0,0.0,2.278E-38,1.831E-38,9.213E-38,7.121E-38,4.419E-39,2.882E-39,2.426E-40,5.817E-40,1.575E-39,1.745E-40,2.08E-35,0.0,0.287,0.8467,1.543,0.9663,0.07886,0.03179,0.00229,0.004899,0.009476,0.00197,0.0,0.0,4.755E-4,0.001216,0.001193,0.9924,8.927E-4,9.765E-4,2.853E-4,0.001873,6.871E-4,0.0,6.634E-5,0.01482,0.001733,0.001699,0.1671,0.003287,5.622E-4,8.036E-4,0.00163,3.121E-4,
0.0,0.0,0.9498,0.03579,0.003102,0.01127,0.0,0.0,0.0,0.0,0.0,0.0,1263.0,178.6,145.6,124.3,0.4439,3.658,0.4379,0.8287,1.694,0.1853,0.0,344.3,0.2355,1.627,0.08213,0.1265,0.2281,0.4548,0.6573,1.755,10.21,0.0,344.3,0.2355,1.627,0.08213,0.1265,0.2281,0.4548,0.6573,1.755,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.4,116.5,36.19,803.1,2.882,1.971,4.059,196.0,2.949,0.0,141.1,7.694,8.622,23.36,28.18,0.162,0.02315,0.04502,0.05361,0.02857,3.475E-24,0.0,0.0,4.028E-4,1.517E-5,1.316E-6,4.78E-6,0.0,0.0,0.0,0.0,0.0,9.847000000000001E-26,0.0,1.0499999999999999E-27,9.124999999999999E-23,7.128E-24,4.226E-25,1.566E-24,5.412E-25,1.352E-25,2.264E-24,4.964000000000001E-25,2.549E-23,0.0,4.325E-36,2.824E-28,3.1069999999999996E-29,1.947E-30,3.352E-30,1.993E-33,1.2140000000000001E-36,1.719E-35,5.881E-35,9.18E-33,0.0,0.0,7624.0,287.2,24.9,90.48,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,462.2,993800.0,122800.0,56250.0,2.347E7,35760.0,30800.0,28120.0,59830.0,29240.0,0.0,2.278E-38,2.406E-38,8.776E-38,7.06E-38,4.489E-39,1.433E-39,2.421E-40,5.794E-40,1.574E-39,1.696E-40,2.08E-35,0.0,0.287,0.9878,1.416,0.9588,0.07275,0.02111,0.002292,0.0049,0.009476,0.001971,0.0,0.0,4.755E-4,0.001216,0.001193,0.9924,8.927E-4,9.765E-4,2.853E-4,0.001873,6.871E-4,0.0,7.403E-5,0.01424,0.002064,0.001719,0.1671,0.003184,5.606E-4,8.028E-4,0.001629,3.101E-4,
0.0,0.0,0.9962,0.001164,4.05E-4,0.002201,0.0,0.0,0.0,0.0,0.0,0.0,1254.0,145.8,152.4,129.1,0.05272,3.843,0.438,0.8292,1.694,0.1854,0.0,344.3,0.1315,1.667,0.07886,0.1233,0.2297,0.455,0.6572,1.749,10.22,0.0,344.3,0.1315,1.667,0.07886,0.1233,0.2297,0.455,0.6572,1.749,10.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.0,97.75,34.53,767.4,2.821,1.892,3.939,195.9,2.875,0.0,138.1,15.91,10.77,40.74,28.08,0.1614,0.02294,0.04379,0.05269,0.02802,2.393E-23,0.0,0.0,4.837E-4,2.253E-6,2.956E-7,1.081E-6,0.0,0.0,0.0,0.0,0.0,2.712E-25,0.0,6.208E-27,9.595999999999999E-23,5.692E-23,2.698E-25,1.116E-24,1.308E-24,2.778E-25,4.665E-24,1.0719999999999999E-24,4.706E-23,0.0,9.695E-34,2.333E-29,3.063E-28,4.2499999999999995E-29,1.349E-31,2.7459999999999997E-33,1.701E-35,3.9290000000000003E-35,7.606000000000001E-35,1.6300000000000002E-32,0.0,0.0,7997.0,9.341,3.251,17.67,0.0,0.0,0.0,0.0,0.0,4.267E-4,0.0,1306.0,932400.0,94690.0,54530.0,2.474E7,36380.0,32060.0,28210.0,61830.0,30120.0,0.0,2.066E-38,1.881E-38,9.166E-38,6.878E-38,4.3579999999999996E-39,1.865E-39,2.418E-40,5.771E-40,1.573E-39,1.639E-40,2.08E-35,0.0,0.2554,0.7133,1.638,0.9561,0.06932,0.02347,0.002293,0.004901,0.009475,0.001971,0.0,0.0,4.755E-4,0.001216,0.001193,0.9924,8.927E-4,9.765E-4,2.853E-4,0.001873,6.871E-4,0.0,1.058E-4,0.0148,0.001641,0.001651,0.1653,0.003063,5.568E-4,8.0E-4,0.001623,3.066E-4,
0.0,0.0,0.9962,0.001171,4.076E-4,0.002216,0.0,0.0,0.0,0.0,0.0,0.0,1255.0,148.1,146.5,128.1,0.06205,3.664,0.5808,0.8185,1.695,0.1688,0.0,344.3,0.1293,1.653,0.0779,0.09386,0.231,0.2113,0.5756,1.584,10.74,0.0,344.3,0.1293,1.653,0.0779,0.09386,0.231,0.2113,0.5756,1.584,10.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.7,101.5,34.61,748.9,3.211,2.594,3.709,187.6,4.36,0.0,138.1,10.39,9.655,49.52,26.95,0.03443,0.02086,0.0394,0.05003,0.02459,5.235E-23,0.0,0.0,5.791E-4,2.443E-6,3.358E-7,1.28E-6,0.0,0.0,0.0,0.0,0.0,1.143E-24,0.0,4.044E-26,9.817E-23,1.545E-21,4.768E-25,1.645E-24,3.138E-24,1.208E-24,8.385E-24,4.276E-24,9.107999999999999E-23,0.0,9.71E-34,4.006E-29,7.054E-27,1.5030000000000002E-28,1.337E-31,4.231E-32,1.247E-34,2.455E-34,2.4970000000000003E-34,2.606E-32,0.0,0.0,8003.0,9.408,3.274,17.8,0.0,0.0,0.0,0.0,0.0,3.788E-4,0.0,1412.0,822200.0,106400.0,75460.0,2.563E7,38180.0,29750.0,24030.0,61850.0,25640.0,0.0,2.072E-38,1.468E-38,9.121E-38,6.757E-38,4.172E-39,2.2369999999999998E-39,3.125E-40,5.713E-40,1.55E-39,1.671E-40,2.08E-35,0.0,0.2614,0.7011,1.605,0.9642,0.06912,0.02371,0.002752,0.004734,0.009541,0.001994,0.0,0.0,4.771E-4,0.00122,0.001197,0.9924,8.957E-4,9.798E-4,2.863E-4,0.001879,6.893E-4,0.0,1.334E-4,0.01478,0.001677,0.001707,0.1633,0.003072,5.35E-4,7.706E-4,0.001599,2.86E-4,
0.0,0.0,0.9956,0.001361,4.736E-4,0.002574,0.0,0.0,0.0,0.0,0.0,0.0,1255.0,149.1,147.2,130.1,0.0649,3.751,0.4077,0.8194,1.702,0.1614,0.0,344.3,0.1276,1.652,0.0778,0.0911,0.2294,0.2086,0.5765,1.492,10.84,0.0,344.3,0.1276,1.652,0.0778,0.0911,0.2294,0.2086,0.5765,1.492,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.6,101.0,34.71,729.9,3.916,2.907,4.08,189.8,2.123,0.0,138.1,8.999,9.137,47.36,26.84,0.03496,0.0215,0.03976,0.05001,0.02449,7.581999999999999E-23,0.0,0.0,6.187E-4,2.597E-6,3.894E-7,1.571E-6,0.0,0.0,0.0,0.0,0.0,3.547E-24,0.0,5.112E-26,1.061E-22,1.1749999999999999E-20,3.566E-24,4.24E-24,8.206E-24,9.528E-24,3.324E-23,6.862999999999999E-23,3.9599999999999995E-22,0.0,9.711000000000001E-34,5.291E-29,9.676000000000001E-26,5.991E-28,1.2740000000000002E-31,4.334E-32,1.9140000000000002E-34,4.312E-34,1.1630000000000002E-31,6.308E-32,0.0,0.0,8000.0,10.93,3.805,20.68,0.0,0.0,0.0,0.0,0.0,8.128E-4,0.0,1423.0,777900.0,99120.0,72100.0,2.413E7,38600.0,29870.0,25820.0,59800.0,24410.0,0.0,2.072E-38,1.466E-38,9.017E-38,6.808E-38,4.1499999999999995E-39,2.235E-39,2.319E-40,5.69E-40,1.557E-39,1.535E-40,2.08E-35,0.0,0.2614,0.7,1.601,0.9688,0.0687,0.02381,0.00221,0.004741,0.009581,0.001957,0.0,0.0,4.771E-4,0.00122,0.001197,0.9924,8.957E-4,9.798E-4,2.863E-4,0.001879,6.893E-4,0.0,1.375E-4,0.01478,0.001678,0.001724,0.1629,0.003082,5.423E-4,7.873E-4,0.001608,2.844E-4,
