RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
9138000.0,2395000.0,1406000.0,7308000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,2400000.0,2400000.0,
9089000.0,2378000.0,1403000.0,7254000.0,4020000.0,1065000.0,372700.0,4892000.0,1404000.0,9831000.0,9761000.0,
9063000.0,2375000.0,1402000.0,7150000.0,4013000.0,1065000.0,372600.0,4892000.0,1420000.0,9864000.0,9596000.0,
8974000.0,2359000.0,1393000.0,7074000.0,3893000.0,1065000.0,372500.0,4892000.0,1420000.0,9963000.0,9724000.0,
8878000.0,2338000.0,1392000.0,7028000.0,3893000.0,1065000.0,372400.0,4892000.0,1420000.0,9963000.0,9724000.0,
8908000.0,2326000.0,1392000.0,6963000.0,3874000.0,1065000.0,370800.0,4892000.0,1470000.0,9912000.0,9540000.0,
8741000.0,2323000.0,1389000.0,6840000.0,3853000.0,1065000.0,370600.0,4892000.0,1470000.0,9912000.0,9587000.0,
8589000.0,2310000.0,1376000.0,6700000.0,3803000.0,1065000.0,370600.0,4892000.0,1470000.0,9912000.0,9648000.0,
8415000.0,2288000.0,1373000.0,6612000.0,3779000.0,1065000.0,370500.0,4892000.0,1470000.0,9912000.0,9672000.0,
8339000.0,2254000.0,1353000.0,6582000.0,3753000.0,1063000.0,370400.0,4892000.0,1570000.0,9811000.0,9629000.0,
8100000.0,2244000.0,1333000.0,6482000.0,3745000.0,1063000.0,370200.0,4891000.0,1570000.0,9860000.0,9655000.0,
8074000.0,2243000.0,1332000.0,6454000.0,3720000.0,1063000.0,370200.0,4891000.0,1570000.0,9860000.0,9680000.0,
8039000.0,2243000.0,1332000.0,6454000.0,3684000.0,1062000.0,370200.0,4891000.0,1570000.0,9959000.0,9743000.0,
7956000.0,2232000.0,1331000.0,6454000.0,3648000.0,1062000.0,370200.0,4891000.0,1570000.0,1.006E7,9820000.0,
8057000.0,2232000.0,1331000.0,6444000.0,3599000.0,1062000.0,370200.0,4891000.0,1705000.0,9924000.0,9757000.0,
8042000.0,2228000.0,1329000.0,6444000.0,3571000.0,1062000.0,370200.0,4891000.0,1705000.0,9924000.0,9786000.0,
8015000.0,2225000.0,1329000.0,6444000.0,3559000.0,1062000.0,370200.0,4891000.0,1705000.0,9924000.0,9798000.0,
8005000.0,2225000.0,1329000.0,6444000.0,3535000.0,1062000.0,370200.0,4891000.0,1705000.0,9924000.0,9822000.0,
8355000.0,2225000.0,1329000.0,6444000.0,3535000.0,1062000.0,370200.0,4891000.0,1897000.0,9732000.0,9466000.0,
8310000.0,2225000.0,1327000.0,6439000.0,3535000.0,1062000.0,370200.0,4891000.0,1897000.0,9732000.0,9508000.0,
8295000.0,2225000.0,1327000.0,6439000.0,3512000.0,1062000.0,370200.0,4891000.0,1897000.0,9781000.0,9531000.0,
8275000.0,2225000.0,1327000.0,6429000.0,3461000.0,1062000.0,370200.0,4891000.0,1897000.0,9781000.0,9582000.0,
8231000.0,2220000.0,1327000.0,6424000.0,3420000.0,1061000.0,370100.0,4891000.0,1897000.0,9781000.0,9643000.0,
8375000.0,2219000.0,1327000.0,6394000.0,3400000.0,1061000.0,370100.0,4891000.0,2068000.0,9658000.0,9485000.0,
8355000.0,2218000.0,1326000.0,6369000.0,3384000.0,1061000.0,370100.0,4891000.0,2303000.0,9471000.0,9501000.0,
8336000.0,2213000.0,1326000.0,6355000.0,3384000.0,1061000.0,370100.0,4891000.0,2303000.0,9518000.0,9501000.0,
8311000.0,2213000.0,1308000.0,6345000.0,3384000.0,1061000.0,370100.0,4891000.0,2303000.0,9518000.0,9519000.0,
8272000.0,2213000.0,1308000.0,6330000.0,3384000.0,1061000.0,370100.0,4891000.0,2303000.0,9518000.0,9557000.0,
8237000.0,2212000.0,1308000.0,6315000.0,3371000.0,1061000.0,370100.0,4891000.0,2303000.0,9518000.0,9569000.0,
8167000.0,2211000.0,1308000.0,6315000.0,3371000.0,1061000.0,370100.0,4891000.0,2303000.0,9518000.0,9606000.0,
8204000.0,2211000.0,1308000.0,6315000.0,3308000.0,1061000.0,370100.0,4891000.0,2303000.0,9566000.0,9603000.0,
8260000.0,2220000.0,1311000.0,6343000.0,3296000.0,1061000.0,450100.0,4907000.0,2196000.0,9614000.0,9515000.0,
8227000.0,2226000.0,1314000.0,6338000.0,3272000.0,1061000.0,462100.0,5003000.0,2087000.0,9614000.0,9539000.0,
8156000.0,2247000.0,1315000.0,6336000.0,3219000.0,1055000.0,474200.0,5039000.0,2103000.0,9551000.0,9598000.0,
8129000.0,2254000.0,1318000.0,6338000.0,3204000.0,1049000.0,498300.0,5086000.0,2032000.0,9551000.0,9619000.0,
8227000.0,2248000.0,1303000.0,6333000.0,3182000.0,1055000.0,509200.0,5087000.0,2014000.0,9599000.0,9534000.0,
8135000.0,2263000.0,1305000.0,6382000.0,3141000.0,1049000.0,521200.0,5127000.0,1962000.0,9599000.0,9582000.0,
8097000.0,2290000.0,1306000.0,6372000.0,3141000.0,1049000.0,521200.0,5162000.0,1926000.0,9647000.0,9582000.0,
8062000.0,2299000.0,1309000.0,6380000.0,3141000.0,1049000.0,557300.0,5140000.0,1912000.0,9695000.0,9582000.0,
7845000.0,2307000.0,1311000.0,6548000.0,3141000.0,1049000.0,581400.0,5116000.0,1912000.0,9695000.0,9582000.0,
7821000.0,2320000.0,1316000.0,6533000.0,3141000.0,1049000.0,587500.0,5110000.0,1912000.0,9695000.0,9582000.0,
7758000.0,2327000.0,1317000.0,6546000.0,3141000.0,1049000.0,608500.0,5132000.0,1869000.0,9695000.0,9582000.0,
7734000.0,2326000.0,1323000.0,6546000.0,3141000.0,1049000.0,608500.0,5153000.0,1847000.0,9743000.0,9582000.0,
7691000.0,2339000.0,1325000.0,6544000.0,3869000.0,321700.0,608400.0,5153000.0,1847000.0,9743000.0,9582000.0,
7666000.0,2352000.0,1327000.0,6534000.0,3875000.0,315600.0,608400.0,5191000.0,1878000.0,9724000.0,9582000.0,
7713000.0,2360000.0,1307000.0,6516000.0,3862000.0,315600.0,608200.0,5220000.0,1994000.0,9626000.0,9538000.0,
7659000.0,2369000.0,1311000.0,6506000.0,3849000.0,321700.0,614300.0,5242000.0,2026000.0,9608000.0,9551000.0,
7748000.0,2404000.0,1318000.0,6487000.0,3800000.0,315600.0,626300.0,5267000.0,2124000.0,9570000.0,9429000.0,
7691000.0,2407000.0,1321000.0,6483000.0,3779000.0,310300.0,632300.0,5305000.0,2080000.0,9570000.0,9455000.0,
7656000.0,2405000.0,1313000.0,6460000.0,3758000.0,322300.0,650800.0,5314000.0,2040000.0,9570000.0,9489000.0,
7616000.0,2403000.0,1321000.0,6435000.0,3731000.0,322300.0,650800.0,5360000.0,1994000.0,9570000.0,9517000.0,
7594000.0,2409000.0,1326000.0,6435000.0,3718000.0,328700.0,644300.0,5380000.0,1994000.0,9597000.0,9529000.0,
7523000.0,2407000.0,1330000.0,6450000.0,3696000.0,328700.0,644100.0,5398000.0,1977000.0,9597000.0,9552000.0,
7352000.0,2463000.0,1334000.0,6526000.0,3695000.0,328700.0,643900.0,5413000.0,1988000.0,9618000.0,9552000.0,
7331000.0,2469000.0,1338000.0,6507000.0,3683000.0,328700.0,643900.0,5413000.0,2079000.0,9527000.0,9564000.0,
7258000.0,2473000.0,1341000.0,6542000.0,3683000.0,328700.0,1332000.0,4730000.0,2073000.0,9527000.0,9564000.0,
7209000.0,2491000.0,1347000.0,6552000.0,3683000.0,328700.0,1338000.0,4773000.0,2024000.0,9527000.0,9564000.0,
7159000.0,2505000.0,1348000.0,6542000.0,3689000.0,322700.0,1344000.0,4806000.0,1986000.0,9527000.0,9564000.0,
7084000.0,2513000.0,1349000.0,6573000.0,3681000.0,322600.0,1356000.0,4872000.0,1907000.0,9575000.0,9572000.0,
7052000.0,2524000.0,1351000.0,6558000.0,3669000.0,322600.0,1380000.0,4875000.0,1880000.0,9575000.0,9584000.0,
7030000.0,2521000.0,1355000.0,6553000.0,3631000.0,322600.0,1398000.0,4920000.0,1969000.0,9471000.0,9622000.0,
7209000.0,2535000.0,1358000.0,6593000.0,3595000.0,322600.0,1416000.0,4902000.0,1969000.0,9471000.0,9408000.0,
7117000.0,2573000.0,1364000.0,6617000.0,3559000.0,328700.0,1416000.0,4962000.0,1902000.0,9471000.0,9444000.0,
6912000.0,2570000.0,1365000.0,6774000.0,3559000.0,328600.0,1431000.0,4995000.0,1855000.0,9518000.0,9444000.0,
6861000.0,2588000.0,1367000.0,6774000.0,3536000.0,328600.0,1449000.0,4977000.0,1855000.0,9518000.0,9466000.0,
6836000.0,2570000.0,1352000.0,6776000.0,3519000.0,333400.0,1465000.0,4985000.0,1826000.0,9518000.0,9505000.0,
6766000.0,2570000.0,1336000.0,6811000.0,3476000.0,343100.0,1470000.0,5013000.0,1783000.0,9518000.0,9568000.0,
6737000.0,2582000.0,1339000.0,6800000.0,3464000.0,343100.0,1481000.0,5083000.0,1702000.0,9518000.0,9581000.0,
6689000.0,2578000.0,1343000.0,6813000.0,3464000.0,343100.0,1493000.0,5108000.0,1665000.0,9518000.0,9581000.0,
6655000.0,2583000.0,1344000.0,6825000.0,3438000.0,347900.0,1494000.0,5113000.0,1654000.0,9613000.0,9606000.0,
6725000.0,2587000.0,1345000.0,6852000.0,3263000.0,341500.0,1499000.0,5142000.0,1684000.0,9548000.0,9654000.0,
6932000.0,2591000.0,1348000.0,6832000.0,3250000.0,347500.0,1499000.0,5159000.0,1660000.0,9548000.0,9437000.0,
6872000.0,2600000.0,1353000.0,6843000.0,3250000.0,347500.0,1507000.0,5157000.0,1654000.0,9548000.0,9437000.0,
6804000.0,2613000.0,1356000.0,6849000.0,3256000.0,341400.0,1513000.0,5175000.0,1631000.0,9548000.0,9437000.0,
6716000.0,2634000.0,1359000.0,6839000.0,3233000.0,355900.0,1523000.0,5150000.0,1631000.0,9596000.0,9459000.0,
6671000.0,2636000.0,1361000.0,6834000.0,3203000.0,355800.0,1544000.0,5129000.0,1631000.0,9596000.0,9490000.0,
6593000.0,2652000.0,1366000.0,6834000.0,3176000.0,355800.0,1550000.0,5137000.0,1617000.0,9644000.0,9560000.0,
6512000.0,2662000.0,1369000.0,6847000.0,3142000.0,355800.0,1550000.0,5137000.0,1617000.0,9692000.0,9593000.0,
6401000.0,2661000.0,1376000.0,6927000.0,3120000.0,361800.0,1544000.0,5152000.0,1601000.0,9692000.0,9616000.0,
6311000.0,2651000.0,1381000.0,6981000.0,3103000.0,367900.0,1547000.0,5174000.0,1571000.0,9692000.0,9633000.0,
6254000.0,2642000.0,1390000.0,7003000.0,3086000.0,373900.0,1561000.0,5168000.0,1556000.0,9741000.0,9650000.0,
6201000.0,2638000.0,1396000.0,6993000.0,3092000.0,373900.0,1561000.0,5191000.0,1526000.0,9741000.0,9650000.0,
6389000.0,2632000.0,1399000.0,6989000.0,3092000.0,373900.0,1612000.0,5141000.0,1558000.0,9709000.0,9410000.0,
6358000.0,2643000.0,1401000.0,6967000.0,3092000.0,373900.0,1618000.0,5149000.0,1543000.0,9709000.0,9410000.0,
6330000.0,2636000.0,1386000.0,6932000.0,3079000.0,444800.0,1565000.0,5147000.0,1579000.0,9706000.0,9441000.0,
