bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI
0,0,1,0,0,0,0,0,0,0,0,0,1605,164.8,182.9,154.6,0.04902,5.632,0.2397,0.1645,0.9829,0.4028,0,343.6,0.1457,0.6612,0.6161,0.0689,0.1893,0.05927,0.08164,4.769,11.01,0,343.6,0.1457,0.6612,0.6161,0.0689,0.1893,0.05927,0.08164,4.769,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,309.6,90.6,37.72,794.3,165.2,3.317,3.693,30.57,4.163,0,45.19,10.4,11.02,64.07,39.86,0.1306,0.01362,0.01546,0.0119,0.01397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,1.00E-04,0,0,211500,57250,47740,2.23E+07,45530,21460,24230,13490,24780,0,4.68E-36,4.25E-36,1.36E-35,1.68E-35,8.44E-37,3.98E-37,1.25E-38,7.80E-39,4.85E-38,2.18E-38,2.08E-35,0,0.6631,1.342,2.982,1.58,0.1316,0.0437,0.003975,0.002625,0.01634,0.009706,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.00E-05,0.01505,0.008865,0.006466,0.2414,0.01391,0.001641,6.99E-04,0.005386,9.76E-04
0,0,1,0,0,0,0,0,0,0,0,0,1598,173.1,178.2,141.1,0.0416,4.889,0.2265,0.1639,0.9842,0.4034,0,343.6,0.1383,0.775,0.4805,0.06391,0.19,0.05792,0.08613,4.282,11.5,0,343.6,0.1383,0.775,0.4805,0.06391,0.19,0.05792,0.08613,4.282,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,357.2,99.15,38.1,793.1,164.9,2.959,3.254,30.54,3.864,0,50.32,5.91,8.567,72.48,43.28,0.1533,0.04794,0.05305,0.01831,0.04241,2.97E-27,0,0,2.31E-05,0,0,0,0,0,0,0,0,1.58E-29,0,0,1.52E-29,9.37E-29,3.97E-29,6.79E-31,2.92E-30,1.34E-29,1.20E-29,7.31E-29,1.87E-28,0,0,7.83E-37,3.65E-36,5.66E-36,6.79E-38,8.07E-40,1.31E-41,2.83E-42,9.79E-41,1.93E-41,0,0,10000,0,0,0,0,0,0,0,0,1.88E-04,0,523.1,213200,49200,52780,2.15E+07,40150,16460,18770,12480,20470,0,4.55E-36,4.11E-36,1.39E-35,1.61E-35,8.22E-37,3.48E-37,1.07E-38,7.98E-39,4.82E-38,2.18E-38,2.08E-35,0,0.635,1.35,2.971,1.545,0.1304,0.03124,0.003716,0.002622,0.01634,0.009725,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,1.42E-04,0.01517,0.008826,0.00659,0.2406,0.01375,0.001534,5.80E-04,0.005377,8.89E-04
0,0,1,0,0,0,0,0,0,0,0,0,1580,184.1,169.6,139.8,0.0395,4.857,0.229,0.164,0.9849,0.4035,0,343.6,0.1385,0.794,0.4599,0.06323,0.1885,0.05048,0.09295,4.286,11.49,0,343.6,0.1385,0.794,0.4599,0.06323,0.1885,0.05048,0.09295,4.286,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,398.7,105.3,38.74,772.6,165.2,3.303,3.626,30.61,4.137,0,48.61,5.438,7.565,86.9,42.5,0.1402,0.05871,0.06855,0.01438,0.05096,2.47E-26,0,0,7.53E-05,0,0,0,0,0,0,0,0,2.19E-28,0,0,4.56E-28,8.47E-28,3.96E-28,1.49E-29,4.85E-29,7.28E-29,1.36E-28,3.78E-28,5.24E-27,0,0,9.10E-36,2.57E-34,3.98E-34,1.49E-36,1.20E-37,1.41E-40,5.33E-41,9.06E-40,3.05E-39,0,0,9608,0,0,0,0,0,0,0,0,1.00E-04,0,627.7,215400,51440,53950,2.16E+07,40560,18180,20990,12260,21960,0,3.52E-36,4.30E-36,1.38E-35,1.58E-35,8.18E-37,3.47E-37,1.08E-38,8.13E-39,4.75E-38,2.18E-38,2.08E-35,0,0.4909,1.465,2.925,1.574,0.1292,0.03119,0.003739,0.002639,0.01635,0.009741,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,2.40E-04,0.01495,0.008929,0.006727,0.24,0.01366,0.001591,6.38E-04,0.00538,9.26E-04
0,0,1,0,0,0,0,0,0,0,0,0,1583,181.2,166.6,140,0.03703,5.094,0.2335,0.1608,0.981,0.4007,0,343.6,0.1394,0.7916,0.4428,0.06219,0.2053,0.0511,0.09252,4.284,11.49,0,343.6,0.1394,0.7916,0.4428,0.06219,0.2053,0.0511,0.09252,4.284,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,435.8,97.71,35.48,754.7,176.2,2.939,2.757,28.45,3.181,0,53.88,5.419,9.599,79.64,41.97,0.1421,0.0626,0.07045,0.01299,0.05442,1.34E-25,0,0,1.83E-04,0,0,0,0,0,0,0,0,2.04E-27,0,2.06E-29,3.76E-27,3.92E-27,2.72E-27,1.48E-28,2.18E-27,6.08E-28,6.61E-28,3.93E-27,2.32E-26,0,2.21E-34,4.11E-35,2.74E-32,7.22E-33,4.03E-36,2.14E-36,2.38E-36,1.31E-35,9.90E-36,9.58E-37,0,0,9141,0,0,0,0,0,0,0,0,4.60E-04,0,1393,218700,48730,54110,2.20E+07,41030,18990,21870,12380,22810,0,4.16E-36,4.08E-36,1.35E-35,1.54E-35,8.09E-37,3.87E-37,1.03E-38,7.63E-39,4.59E-38,2.13E-38,2.08E-35,0,0.5509,1.441,2.885,1.55,0.1278,0.03398,0.003727,0.00261,0.01627,0.009708,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,4.32E-04,0.01473,0.008846,0.006653,0.2387,0.01373,0.0016,6.52E-04,0.005358,9.33E-04
0,0,1,0,0,0,0,0,0,0,0,0,1586,166.4,179.8,140.7,0.06507,8.815,0.2609,0.1726,0.9834,0.424,0,343.6,0.1325,0.8003,0.4335,0.06353,0.205,0.05274,0.09429,4.272,11.5,0,343.6,0.1325,0.8003,0.4335,0.06353,0.205,0.05274,0.09429,4.272,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,483,95.98,36.3,745,174.4,3.277,3.048,27.69,3.506,0,59.14,5.479,8.29,65.59,42.32,0.1362,0.06194,0.06907,0.01217,0.05395,2.93E-25,0,0,2.52E-04,0,0,0,0,0,0,0,0,4.90E-27,0,1.48E-28,1.45E-26,2.87E-26,1.11E-26,1.39E-27,1.14E-26,3.60E-27,2.03E-27,2.91E-26,2.65E-25,0,4.50E-34,1.30E-34,5.61E-31,2.64E-32,1.53E-34,5.46E-34,1.52E-35,6.32E-35,5.07E-35,9.33E-36,0,0,8268,0,0,0,0,0,0,0,0,1.00E-04,0,2154,209100,46420,53800,2.30E+07,41040,18770,21710,12350,22970,0,5.22E-36,3.85E-36,1.36E-35,1.43E-35,8.57E-37,3.57E-37,9.06E-39,7.40E-39,4.31E-38,2.06E-38,2.08E-35,0,0.6191,1.317,2.984,1.47,0.1305,0.04687,0.00375,0.002657,0.01589,0.009773,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,5.99E-04,0.01419,0.008861,0.00648,0.2379,0.01373,0.001591,6.45E-04,0.005362,9.19E-04
0,0,1,0,0,0,0,0,0,0,0,0,1592,168.2,178.8,128.7,0.2402,5.501,0.2557,0.1698,0.9746,0.4161,0,343.6,0.1372,0.8685,0.3616,0.06693,0.1974,0.05353,0.09297,4.271,11.5,0,343.6,0.1372,0.8685,0.3616,0.06693,0.1974,0.05353,0.09297,4.271,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,514,97.12,39.89,717.2,164.5,4.789,3.81,29.47,4.376,0,59.53,5.879,8.661,71.54,41.64,0.1234,0.06143,0.06824,0.0118,0.05356,6.98E-25,0,0,3.84E-04,0,0,0,0,0,0,0,0,1.40E-26,0,7.37E-28,6.07E-26,1.08E-25,3.23E-26,4.81E-27,2.96E-26,1.16E-26,5.07E-27,1.22E-25,1.27E-24,0,3.11E-32,9.08E-33,2.00E-30,1.36E-31,4.70E-34,2.03E-34,2.96E-35,1.48E-34,1.19E-34,3.61E-35,0,0,7635,0,0,0,0,0,0,0,0,1.00E-04,0,2718,203500,46630,56840,2.47E+07,41670,19390,22500,12420,23990,0,5.57E-36,3.89E-36,1.36E-35,1.38E-35,8.28E-37,3.04E-37,9.43E-39,7.70E-39,4.33E-38,2.08E-38,2.08E-35,0,0.6879,1.345,2.927,1.422,0.1289,0.02915,0.003738,0.002668,0.01589,0.009756,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,8.45E-04,0.01383,0.008774,0.006469,0.2382,0.0134,0.001617,6.55E-04,0.005389,9.34E-04
0,0,1,0,0,0,0,0,0,0,0,0,1591,166.9,179.1,116,0.4414,5.634,0.256,0.1701,0.9748,0.4165,0,343.6,0.1371,0.8831,0.3442,0.06589,0.1782,0.05386,0.09911,3.032,12.75,0,343.6,0.1371,0.8831,0.3442,0.06589,0.1782,0.05386,0.09911,3.032,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,547.1,90.16,39.14,733.2,163.8,4.862,3.839,29.57,4.41,0,59.18,5.701,16.66,73.09,43.04,1.181,0.06067,0.06729,0.01155,0.05294,9.64E-25,0,0,4.20E-04,0,0,0,0,0,0,0,0,2.47E-26,0,1.01E-27,1.65E-25,3.50E-25,8.92E-26,1.49E-26,1.04E-25,2.85E-26,1.40E-26,4.04E-25,4.23E-24,0,3.11E-32,1.95E-32,5.06E-30,2.06E-30,2.22E-33,6.42E-33,5.68E-35,2.70E-34,2.60E-34,8.85E-35,0,0,7119,0,0,0,0,0,0,0,0,4.16E-04,0,3005,198600,47430,58830,2.61E+07,42270,19450,22690,12390,24550,0,5.47E-36,3.85E-36,1.33E-35,1.36E-35,8.08E-37,4.23E-37,9.33E-39,7.69E-39,4.29E-38,2.08E-38,2.08E-35,0,0.6932,1.331,2.921,1.403,0.1289,0.0365,0.003741,0.002669,0.01589,0.009763,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,9.61E-04,0.01355,0.008684,0.006467,0.237,0.01325,0.001615,6.48E-04,0.005383,9.32E-04
0,0,1,0,0,0,0,0,0,0,0,0,1592,160.2,172.7,117.3,0.1192,5.236,0.2561,0.1702,0.9746,0.4139,0,343.6,0.1388,0.9239,0.337,0.3646,0.1795,0.05394,0.09921,3.032,12.39,0,343.6,0.1388,0.9239,0.337,0.3646,0.1795,0.05394,0.09921,3.032,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,573.3,93.73,33.46,713.4,163.8,4.778,3.745,29.54,4.498,0,59.5,3.914,13.84,88.13,41.63,0.09834,0.06125,0.06787,0.01162,0.7434,1.42E-24,0,0,5.05E-04,0,0,0,0,0,0,0,0,4.22E-26,0,3.72E-27,4.09E-25,7.21E-25,3.06E-25,6.50E-25,2.47E-25,5.61E-26,3.34E-26,8.55E-25,1.23E-23,0,5.63E-32,3.94E-31,1.14E-29,6.52E-30,4.72E-32,1.84E-33,1.06E-34,4.35E-34,5.98E-34,1.17E-33,0,0,6911,0,0,0,0,0,0,0,0,3.68E-04,0,3283,205600,52540,62630,2.72E+07,42940,19550,22900,12400,30130,0,5.50E-36,3.49E-36,1.36E-35,1.33E-35,7.53E-37,2.80E-37,9.20E-39,7.66E-39,4.25E-38,3.01E-38,2.08E-35,0,0.7073,1.288,2.868,1.415,0.1519,0.02573,0.003742,0.00267,0.01588,0.01565,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,0.001088,0.01306,0.008097,0.005612,0.2362,0.01314,0.001613,6.46E-04,0.00538,9.56E-04
0,0,1,0,0,0,0,0,0,0,0,0,1594,160.1,169.1,115.2,0.4262,5.159,0.256,0.1703,0.9743,0.3879,0,343.6,0.1285,0.8671,0.2982,0.07392,0.1782,0.05395,0.09923,3.032,12.74,0,343.6,0.1285,0.8671,0.2982,0.07392,0.1782,0.05395,0.09923,3.032,12.74,0,0,0,0,0,0,0,0,0,0,0,0,0,589.1,99.62,34.15,699.3,163.7,4.749,3.712,29.52,4.308,0,59.64,3.743,13.66,94.15,38.57,0.09642,0.06096,0.06751,0.01154,0.0851,2.26E-24,0,0,6.28E-04,0,0,0,0,0,0,0,0,7.35E-26,0,5.90E-27,1.05E-24,1.21E-24,4.34E-25,7.07E-25,5.37E-25,1.22E-25,6.66E-26,1.42E-24,2.74E-23,0,1.29E-31,9.52E-31,1.61E-29,1.80E-29,8.86E-32,4.78E-33,1.98E-34,6.57E-34,1.21E-33,2.51E-31,0,0,6318,0,0,0,0,0,0,0,0,3.95E-04,0,3480,197900,52960,64720,2.91E+07,44570,20120,23700,12470,30510,0,5.53E-36,3.33E-36,1.29E-35,1.34E-35,8.10E-37,2.75E-37,9.04E-39,7.63E-39,4.22E-38,2.07E-38,2.08E-35,0,0.7214,1.279,2.787,1.468,0.1405,0.02531,0.00374,0.002671,0.01588,0.009789,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,0.001135,0.01262,0.008124,0.005639,0.2363,0.01308,0.00161,6.44E-04,0.00538,9.55E-04
0,0,1,0,0,0,0,0,0,0,0,0,1599,163.9,167.9,101.4,0.4298,5.113,0.2542,0.1703,0.9946,0.3893,0,343.6,0.131,0.8806,0.283,0.06183,0.1775,0.05315,0.0976,2.012,13.77,0,343.6,0.131,0.8806,0.283,0.06183,0.1775,0.05315,0.0976,2.012,13.77,0,0,0,0,0,0,0,0,0,0,0,0,0,608.4,95.8,37.87,701.6,163.7,4.587,3.658,30.53,3.979,0,59.64,3.642,10.79,94.93,42.91,0.09501,0.06112,0.06766,0.01157,0.07875,2.99E-24,0,0,6.62E-04,0,0,0,0,0,0,0,0,1.16E-25,0,1.78E-26,1.73E-24,3.14E-24,8.25E-25,8.65E-25,9.39E-25,1.86E-25,1.50E-25,6.18E-24,5.36E-23,0,1.29E-31,1.97E-30,3.41E-29,3.79E-29,1.81E-31,1.08E-32,3.62E-34,1.07E-33,2.51E-33,2.30E-30,0,0,5604,0,0,0,0,0,0,0,0,7.82E-04,0,3637,184000,54380,66760,2.79E+07,42970,19320,22740,12310,28760,0,6.07E-36,3.40E-36,1.29E-35,1.25E-35,8.95E-37,2.73E-37,8.86E-39,7.62E-39,4.27E-38,2.04E-38,2.08E-35,0,0.7777,1.309,2.758,1.377,0.1471,0.02527,0.003702,0.002669,0.01622,0.009695,0,0,2.51E-04,1.09E-04,8.20E-04,0.9961,0.001029,4.12E-04,5.41E-04,6.27E-05,6.57E-04,0,0.001361,0.01225,0.007595,0.005565,0.2357,0.01302,0.00162,6.48E-04,0.005355,9.54E-04
